Body,"[0.0, 0.0]","[0.0, 1.0, 0.0]",2
"Такое впечатление что каждый раз открывая картинки загружаются из интернета, а не из кэша устройства..","[0.0, 0.0]","[0.0, 1.0, 0.0]",-1
Osm work,"[0.0, 0.0]","[0.0, 1.0, 0.0]",2
I lovee iiitt,"[0.0, 0.0]","[0.0, 1.0, 0.0]",2
Awesome,"[1.0, 1.0]","[1.0, 0.0, 0.0]",3
I love the fact everyone looks like me and there's so many to choose from I've always got one to send,"[0.5, 0.55]","[0.271, 0.729, 0.0]",2
Can't link it to my snap chat,"[0.0, 0.0]","[0.0, 1.0, 0.0]",1
It's fun and simple to use,"[0.15, 0.2785714285714286]","[0.398, 0.602, 0.0]",3
"Oh my God,I love it!","[0.625, 0.6]","[0.529, 0.471, 0.0]",3
"My Bit Babe is almost as sexy as I am! ( Almost )  Can we have some new clothes, though? Brighter colors would be good. I A really miss BITSTRIPS.","[0.4153409090909091, 0.5636363636363637]","[0.28, 0.66, 0.06]",3
I loved it and it's easy to use,"[0.5666666666666667, 0.8166666666666667]","[0.576, 0.424, 0.0]",3
I love the app and how we can send our emojis to other apps as well. It made me so happy to see that it had a hijab option 😁 but I just wish that it had more color and style options 😀,"[0.41875, 0.61875]","[0.227, 0.773, 0.0]",-1
I love it so much its the best I use it for sc too😍😘❤💓💕💝💜💛💚💙💗💖💞💟,"[0.5666666666666667, 0.3666666666666667]","[0.457, 0.543, 0.0]",-1
Alright,"[0.0, 0.0]","[1.0, 0.0, 0.0]",2
i cant conmect thru snapchat tho,"[0.0, 0.0]","[0.0, 1.0, 0.0]",1
Hahahahha,"[0.0, 0.0]","[0.0, 1.0, 0.0]",2
Wonderful app,"[1.0, 1.0]","[0.787, 0.213, 0.0]",3
"A very unique way to personalize text. My only suggestion is, I wish I could reply to a group without having to select everyone separately. Or maybe it is the user who hasn't figured it out","[0.24375000000000002, 1.0]","[0.08, 0.92, 0.0]",3
"Sólo que a veces se desvincula sola de Snap, pero me gusta","[0.0, 0.0]","[0.0, 1.0, 0.0]",-1
Make things good and draw a smile on our faces,"[0.5, 0.35000000000000003]","[0.435, 0.565, 0.0]",3
Love it ! myself emoji for Snapchat. Great I give it to u guys.👍,"[0.7125, 0.675]","[0.488, 0.512, 0.0]",-1
So cute!,"[0.625, 1.0]","[0.782, 0.218, 0.0]",3
I love this game,"[0.04999999999999999, 0.5]","[0.677, 0.323, 0.0]",3
Nice app,"[0.6, 1.0]","[0.737, 0.263, 0.0]",2
easy to use,"[0.43333333333333335, 0.8333333333333334]","[0.592, 0.408, 0.0]",2
Nice,"[0.6, 1.0]","[1.0, 0.0, 0.0]",2
Good app it's fun to use in SC,"[0.5, 0.4]","[0.508, 0.492, 0.0]",3
Love it so much have gotten 4 people onto it already,"[0.35, 0.4]","[0.318, 0.682, 0.0]",2
👍,"[0.0, 0.0]","[0.0, 1.0, 0.0]",-1
This is so much fun. It's needs a wedding and travel category though. You should be able to create family and friends too. Please add them.,"[0.4, 0.4125]","[0.345, 0.655, 0.0]",4
Is pretty cool.,"[0.3, 0.825]","[0.846, 0.154, 0.0]",2
It is very artistic to use,"[0.43333333333333335, 1.0]","[0.0, 1.0, 0.0]",3
I be rolling when I'm lit. This is so fun! I love it,"[0.4375, 0.4]","[0.5, 0.5, 0.0]",1
Bitstrips was better.,"[0.5, 0.5]","[0.592, 0.408, 0.0]",2
Love it,"[0.5, 0.6]","[0.808, 0.192, 0.0]",2
Love how you can personalise it so it looks like you. Great for adding a funny personal touch to Snapchat and other chats,"[0.28500000000000003, 0.605]","[0.437, 0.563, 0.0]",2
Why is it that when I share the emoji or save it the background is becoming black from white?,"[0.09444444444444444, 0.4277777777777778]","[0.252, 0.748, 0.0]",1
Avatar emoji so cool,"[0.35, 0.65]","[0.499, 0.501, 0.0]",3
❤❤❤❤❤,"[0.0, 0.0]","[0.0, 1.0, 0.0]",-1
"This app is amazing, absolutely love all the stickers keep up the good work, can't wait see what else you will add. Do you think that you would be able to add in time football ⚽ themes? Thanks L","[0.5, 0.5850000000000001]","[0.293, 0.707, 0.0]",-1
Very cool... lots of personality,"[0.45499999999999996, 0.8450000000000001]","[0.0, 1.0, 0.0]",3
Now am you the app for chating,"[0.0, 0.0]","[0.0, 1.0, 0.0]",2
You get to send them to people on other things other than snapchat,"[-0.125, 0.375]","[0.0, 1.0, 0.0]",2
This is awesome,"[1.0, 1.0]","[0.672, 0.328, 0.0]",3
It fun,"[0.3, 0.2]","[0.767, 0.233, 0.0]",3
I luv it,"[0.0, 0.0]","[0.0, 1.0, 0.0]",2
Really cool,"[0.35, 0.65]","[0.722, 0.278, 0.0]",3
This app is amazing you can link with snapchat and my snapchat and emojis upgraded,"[0.6000000000000001, 0.9]","[0.213, 0.787, 0.0]",3
LOL,"[0.8, 0.7]","[1.0, 0.0, 0.0]",2
Love it,"[0.5, 0.6]","[0.808, 0.192, 0.0]",2
"I haven't downloaded the app,  its taken too long to download","[-0.05, 0.4]","[0.0, 1.0, 0.0]",1
Love the animation lots of choices,"[0.5, 0.6]","[0.457, 0.543, 0.0]",2
Una mama,"[0.0, 0.0]","[0.0, 1.0, 0.0]",2
It is amazing u design what u look like and it turns it into an emoji u can dress them pick male or female then share it and do whatever u create ur own emoji,"[0.30000000000000004, 0.5416666666666667]","[0.282, 0.718, 0.0]",3
Loved it.,"[0.7, 0.8]","[0.796, 0.204, 0.0]",3
Perfect,"[1.0, 1.0]","[1.0, 0.0, 0.0]",2
if any one sees this tell all your friends to get this app because it's so cooool♡♡♡and it comes up on every thing,"[0.0, 0.0]","[0.124, 0.876, 0.0]",-1
Like it,"[0.0, 0.0]","[0.714, 0.286, 0.0]",2
"Would like to see separate top and bottom.  You do not have my favorite color ORANGE, otherwise I would have given it a 5 star.","[0.5, 0.75]","[0.167, 0.737, 0.096]",2
Bitmoji,"[0.0, 0.0]","[0.0, 1.0, 0.0]",2
Best app ever!,"[1.0, 0.3]","[0.692, 0.308, 0.0]",3
Boring.,"[-1.0, 1.0]","[0.0, 0.0, 1.0]",2
Cool,"[0.35, 0.65]","[1.0, 0.0, 0.0]",3
Love it,"[0.5, 0.6]","[0.808, 0.192, 0.0]",2
Good but can be better.,"[0.6, 0.55]","[0.659, 0.341, 0.0]",3
Fun app!  Lots of choices and variety.  Synchs well with other apps.,"[0.125, 0.2875]","[0.363, 0.637, 0.0]",3
It's an amazing avatars app.  I'm really enjoying using it and I hope it will be linked to whats app and other apps someday!,"[0.3145833333333334, 0.625]","[0.348, 0.652, 0.0]",3
It so much fun. It's  so funny and so easy to use.,"[0.3277777777777778, 0.6777777777777777]","[0.525, 0.475, 0.0]",4
Bitmoji,"[0.0, 0.0]","[0.0, 1.0, 0.0]",2
This is sooo much fun. My wife and I have so much fun with this!! Please keep updating! Love new features A+,"[0.3805752840909091, 0.36363636363636365]","[0.451, 0.549, 0.0]",3
Love it,"[0.5, 0.6]","[0.808, 0.192, 0.0]",2
It is fun and funny,"[0.275, 0.6]","[0.674, 0.326, 0.0]",4
Easy and beautiful,"[0.6416666666666666, 0.9166666666666667]","[0.872, 0.128, 0.0]",3
Lived it,"[0.0, 0.0]","[0.0, 1.0, 0.0]",2
Sweet little app that's fun,"[0.15416666666666665, 0.44999999999999996]","[0.668, 0.332, 0.0]",3
Funny cool I can change my profile,"[0.3, 0.825]","[0.565, 0.435, 0.0]",3
Hx,"[0.0, 0.0]","[0.0, 1.0, 0.0]",2
Coooooooool,"[0.0, 0.0]","[0.0, 1.0, 0.0]",2
good job,"[0.7, 0.6000000000000001]","[0.744, 0.256, 0.0]",3
K,"[0.0, 0.0]","[0.0, 0.0, 0.0]",2
I love it !!,"[0.78125, 0.6]","[0.705, 0.295, 0.0]",3
Great app. Have lots of fun with it!!!,"[0.69296875, 0.475]","[0.58, 0.42, 0.0]",3
Love it,"[0.5, 0.6]","[0.808, 0.192, 0.0]",2
Like it😍,"[0.0, 0.0]","[0.714, 0.286, 0.0]",-1
This app is so fun and addictive,"[0.15, 0.55]","[0.414, 0.586, 0.0]",3
His app us so cool you can create your own avatar and have them in stickers that you can share through snapchat and messages and more I love this app,"[0.4875, 0.6875]","[0.32, 0.68, 0.0]",3
Its fun to use...,"[0.3, 0.2]","[0.524, 0.476, 0.0]",3
Lot of different ways to express yourself.  Fun to use!,"[0.1875, 0.4]","[0.285, 0.715, 0.0]",2
Very cool app,"[0.45499999999999996, 0.8450000000000001]","[0.565, 0.435, 0.0]",3
"Easy to post into text, but doesn't also work with Hangouts.","[0.43333333333333335, 0.8333333333333334]","[0.163, 0.837, 0.0]",1
This is so cool,"[0.35, 0.65]","[0.499, 0.501, 0.0]",3
"I installed this (after the snapchat update) and I am very annoyed that it doesn't work. I tried to save my bitmoji but a notification said that my network connection was too weak. Please fix this, because this app has a lot of potential. *update* it's now working.","[-0.29833333333333334, 0.875]","[0.101, 0.782, 0.116]",1
fun!!!,"[0.5859375, 0.2]","[1.0, 0.0, 0.0]",3
Very user friendly n love the graphics just need a bit more,"[0.39375, 0.475]","[0.498, 0.502, 0.0]",3
So cute!,"[0.625, 1.0]","[0.782, 0.218, 0.0]",3
I look exactly thanks,"[0.2, 0.2]","[0.592, 0.408, 0.0]",2
I love it,"[0.5, 0.6]","[0.808, 0.192, 0.0]",3
Great App!,"[1.0, 0.75]","[0.815, 0.185, 0.0]",3
