  The Sia Bitmoji is here! Share w/  to enter for a Sia prize pack  - Team Sia ,"[0.0, 0.0]","[0.308, 0.692, 0.0]",3
  reportedly snaps upmaker Bitstrips for $100 million -  ,"[0.0, 0.0]","[0.0, 1.0, 0.0]",1
 Bitmoji is an amazing app and everyone should get it,"[0.6000000000000001, 0.9]","[0.297, 0.703, 0.0]",3
 Someone take the Bitmoji app away from ,"[0.0, 0.0]","[0.0, 1.0, 0.0]",2
 Me ; Taylar are having too much fun with the bitmoji app ,"[0.3, 0.2]","[0.248, 0.752, 0.0]",1
  Me ; Taylar are having too much fun with the bitmoji app ,"[0.3, 0.2]","[0.248, 0.752, 0.0]",1
  I love this app but you need to add tattoos sleeves!!!! ,"[1.0, 0.6]","[0.295, 0.705, 0.0]",2
" "" finally let me download the Bitmoji app for him Needless to say","[-0.25, 1.0]","[0.0, 1.0, 0.0]",2
 Bitmoji is the greatest app ever ,"[1.0, 1.0]","[0.457, 0.543, 0.0]",3
bitmoji is the best app to have ever come across the AppStore.,"[1.0, 0.3]","[0.276, 0.724, 0.0]",3
 The app to cartoon yourself is bitmoji and I'm laughing so hard at all the possibilities,"[-0.2916666666666667, 0.5416666666666666]","[0.168, 0.734, 0.098]",1
  I wish darl it's an app!! Bitmoji it's an essential,"[0.0, 0.3]","[0.291, 0.709, 0.0]",1
" ""Dear ","[0.0, 0.0]","[1.0, 0.0, 0.0]",2
 download bitmoji in app store ,"[0.0, 0.0]","[0.0, 1.0, 0.0]",2
" ""Yoo","[0.0, 0.0]","[0.0, 1.0, 0.0]",2
  bitmoji!!! the app. download it and sign up and ya,"[0.0, 0.0]","[0.0, 1.0, 0.0]",2
 Just found the app Bitmoji... Everyone has to try it its hilarious!!!  ,"[0.9765625, 1.0]","[0.245, 0.755, 0.0]",3
  I love the Bitmoji app :) ,"[0.5, 0.8]","[0.706, 0.294, 0.0]",2
" ""Sorry for anyone who texts me","[-0.5, 1.0]","[0.0, 0.794, 0.206]",2
  here's another.  Crap.  My  told me about the app  it's pointless but funny ,"[-0.26666666666666666, 0.7666666666666666]","[0.231, 0.661, 0.108]",2
 my mother recently discovered the bitmoji app. ,"[0.0, 0.25]","[0.0, 1.0, 0.0]",1
 Someone take away my moms bitmoji app  ,"[0.0, 0.0]","[0.0, 1.0, 0.0]",1
" ""Thanks ","[0.2, 0.2]","[1.0, 0.0, 0.0]",2
" ""  Thanks ","[0.2, 0.2]","[1.0, 0.0, 0.0]",2
" "" although I prefer the comics emoji","[0.0, 0.0]","[0.0, 1.0, 0.0]",2
 Bitmoji is the best app I've ever had ,"[1.0, 0.3]","[0.375, 0.625, 0.0]",3
  Text it up with Book of Mormon Bitmojis. Get em for free in the  app! ,"[0.5, 0.8]","[0.204, 0.796, 0.0]",3
  bitmoji lmao look it up on the App Store,"[0.6, 1.0]","[0.328, 0.672, 0.0]",2
" "" """" Day 17 - The  app.by","[0.0, 0.0]","[0.0, 1.0, 0.0]",2
 If you don't have the bitmoji app yet then yer kind of a loser. ,"[0.6, 0.9]","[0.0, 0.765, 0.235]",1
  app needs more long hair options,"[0.225, 0.45]","[0.0, 1.0, 0.0]",1
  HELLO! Get Book of Mormon Bitmojis for free in the  app! ,"[0.5, 0.8]","[0.28, 0.72, 0.0]",2
 Brad talking to me about house music and me loving the bitmoji app ,"[0.6, 0.95]","[0.245, 0.755, 0.0]",2
  Brad talking to me about house music and me loving the bitmoji app ,"[0.6, 0.95]","[0.245, 0.755, 0.0]",2
  this app called bitmoji,"[0.0, 0.0]","[0.0, 1.0, 0.0]",2
  Broadway's The Book of Mormon now in Bitmoji form! Download them for free in the  app!  ,"[0.5, 0.8]","[0.206, 0.794, 0.0]",3
  an app called ,"[0.0, 0.0]","[0.0, 1.0, 0.0]",2
" """""" Day 17 - The  app.by","[0.0, 0.0]","[0.0, 1.0, 0.0]",2
  Believe it! The Book of Mormon Bitmojis are here! Download them for free in the  app! ,"[0.5, 0.8]","[0.218, 0.782, 0.0]",3
