Body,"[0.0, 0.0]","[0.0, 1.0, 0.0]",2
i love the game but i will be hitting the button for it to jump and then the ball will fall. I'm liking the game other than that but won't really wanna play until that glitch is fixed.. thanks. love the game other than that. please fix!!,"[-0.032031250000000004, 0.375]","[0.316, 0.637, 0.047]",1
Stressful but fun,"[0.3, 0.2]","[0.586, 0.132, 0.283]",3
It's awesome,"[1.0, 1.0]","[0.804, 0.196, 0.0]",2
Should have less ads the ads get a annoying but the game is also a bit laggy so,"[-0.45555555555555555, 0.45555555555555555]","[0.0, 0.89, 0.11]",1
Downloadthis now,"[0.0, 0.0]","[0.0, 1.0, 0.0]",2
It is so attractive and awesome,"[0.9, 1.0]","[0.67, 0.33, 0.0]",4
my friend has it😩,"[0.0, 0.0]","[0.516, 0.484, 0.0]",-1
I mean you don't need the same ad over and over again,"[-0.15625, 0.40625]","[0.0, 1.0, 0.0]",2
Play it everyday and would recommend it to everybody😁😁😁😁,"[-0.2, 0.6]","[0.412, 0.588, 0.0]",-1
Too many interfering ads,"[0.5, 0.5]","[0.0, 1.0, 0.0]",2
Best game ever made 🙌,"[0.3, 0.35]","[0.512, 0.488, 0.0]",-1
The game is great there is just to many ads.,"[0.3, 0.5499999999999999]","[0.313, 0.687, 0.0]",3
Because you have a while to beat it,"[0.0, 0.0]","[0.0, 1.0, 0.0]",3
Love it you should try it out and get started on it,"[0.5, 0.6]","[0.276, 0.724, 0.0]",2
Awesome game.... U guys should download it,"[0.3, 0.7]","[0.451, 0.549, 0.0]",3
It's fun...love the challenges!!,"[0.0, 0.0]","[0.386, 0.614, 0.0]",3
its the best,"[1.0, 0.3]","[0.677, 0.323, 0.0]",3
Way too many adds and always had my phone freezing up😡,"[0.5, 0.5]","[0.0, 0.877, 0.123]",-1
Awsome. Their might be a lot of ads but it tottaly worth downloading,"[0.3, 0.1]","[0.176, 0.824, 0.0]",2
I love the game but every ad is for mobile strike like every single one and it is annoying come on people don't you have any other sponsors,"[-0.1792857142857143, 0.4978571428571429]","[0.171, 0.673, 0.155]",1
When i gey bored i just play it but itgets me in my nerves because sometimes i cant pass my level,"[-0.5, 1.0]","[0.086, 0.756, 0.159]",1
l aj gaoh bgfvdo,"[0.0, 0.0]","[0.0, 1.0, 0.0]",2
The Best!!!,"[1.0, 0.3]","[0.835, 0.165, 0.0]",3
It is so addicting and fun. I get close to beating the levels like jump and zigzag then they make more level for those and others and adds new levels like climb. LOVE SO MUCH!!!!!,"[0.4093430397727273, 0.3909090909090909]","[0.314, 0.621, 0.064]",4
Love it,"[0.5, 0.6]","[0.808, 0.192, 0.0]",2
Love this games.. prb it has too many ads😔😔,"[0.5, 0.55]","[0.344, 0.656, 0.0]",-1
Although I love this game very 4 rounds I play an ad shows up for mobile strike. If your going to see add shouldn't they at least be different?,"[0.0, 0.4600000000000001]","[0.219, 0.733, 0.048]",1
There is a glitch about the special stars that it doesn't give ten stars but still love the game,"[0.1142857142857143, 0.3928571428571428]","[0.323, 0.677, 0.0]",3
This game is so cool but  black and white when you are playing it does be hard but that was not hard for me when I start,"[-0.060416666666666674, 0.42777777777777776]","[0.143, 0.748, 0.109]",2
Amazing,"[0.6000000000000001, 0.9]","[1.0, 0.0, 0.0]",4
Its challenging but fun to play when I'm bored I love it so much 👌👌,"[0.2, 0.6000000000000001]","[0.557, 0.342, 0.101]",-1
I couldn't stop playing and I still can't. This game is so much fun I love it. ☺☺,"[0.13333333333333333, 0.4000000000000001]","[0.441, 0.488, 0.071]",-1
I love this game because you get to go on all different levels and it very fun a relaxing,"[0.1225, 0.465]","[0.446, 0.554, 0.0]",4
"I love the game! It is so addicting, when I'm bored I just play it! But there are to many ads, but overall it's a really fun game","[-0.03214285714285715, 0.4428571428571429]","[0.302, 0.65, 0.048]",4
WARNING!! Once you start playing this game.......you won't be able to leave it.....your fingers won't allow you to......coz this game is super awesome and amazing........,"[0.4066666666666666, 0.7183333333333333]","[0.293, 0.537, 0.17]",2
#NAME?,"[0.0, 0.0]","[0.0, 1.0, 0.0]",2
I love the game so much it is fun and addicting once u start playing I promise u will have loads of fun there are only I give it a five out of five even thought it deserves a ten out of ten dumber than dumb out ¯\\_(ツ)_/¯,"[0.040624999999999994, 0.3625]","[0.272, 0.622, 0.106]",-1
Love the game but your ads are super annoying !,"[-0.14166666666666666, 0.6416666666666666]","[0.463, 0.337, 0.2]",1
Awsome,"[0.0, 0.0]","[0.0, 1.0, 0.0]",2
It is fun and challenging for very one!!!,"[0.39687500000000003, 0.5]","[0.49, 0.51, 0.0]",3
This game is amazing whenever I'm bored I always go right to this game it's challenging but some are easy but no matter what fun my whole family plays it😂😂we try to see who can beat it all first😂but it's so fun:-),"[0.16536796536796536, 0.6244588744588745]","[0.295, 0.623, 0.082]",-1
Loved it,"[0.7, 0.8]","[0.796, 0.204, 0.0]",3
I cracked my phone because sence I got so made,"[0.0, 0.0]","[0.0, 1.0, 0.0]",1
I LOVED IT,"[0.7, 0.8]","[0.796, 0.204, 0.0]",2
