 United States Paid 58. App Box for Dropbox - It's About Time Products  0335,"[0.0, 0.0]","[0.189, 0.811, 0.0]",2
  me: *signs up for dropbox and wastes storage to keep the app just to listen to heathens all day*,"[-0.2, 0.0]","[0.0, 1.0, 0.0]",1
 Video Player and File Manager for Dropbox and Google Drive by Rojas Musach ,"[0.0, 0.0]","[0.0, 1.0, 0.0]",1
 United States Paid 28. App Drop for Dropbox - JUNHUA XIE  2154,"[0.0, 0.0]","[0.201, 0.647, 0.151]",2
 iTunes31Video Player and File Manager Pro for Dropbox and Google Drive - Rojas Musac... ,"[0.0, 0.0]","[0.0, 1.0, 0.0]",1
" ""How to get your  integrated into a persons daily routine","[0.0, 0.0]","[0.0, 1.0, 0.0]",2
  PostPlus is a pretty App for your notes on  such as post-it and sync with . 06,"[0.125, 0.75]","[0.186, 0.814, 0.0]",1
 Download Dropbox v8.2.4 () ,"[0.0, 0.0]","[0.0, 1.0, 0.0]",1
  do you have to open it in the dropbox app?,"[0.0, 0.5]","[0.0, 1.0, 0.0]",2
  Love the desktop app. Can I sync with Dropbox using the iOS app as well?,"[0.5, 0.6]","[0.344, 0.656, 0.0]",2
" ""Dropbox user? I have a folder showing on the site (1","[0.0, 0.0]","[0.0, 1.0, 0.0]",2
" ""Get your  branded mobile app","[0.0, 0.0]","[0.0, 1.0, 0.0]",2
  PostPlus is a pretty App for your notes on  such as post-it and sync with . 11,"[0.125, 0.75]","[0.186, 0.814, 0.0]",1
  download Dropbox app go to Xbox clips and click the download link and save to Dropbox and save to gallery,"[0.0, 0.0]","[0.262, 0.738, 0.0]",1
  idk i have dropbox app on my phone but i only have my phone to work w/,"[0.0, 1.0]","[0.0, 0.921, 0.079]",1
 Australia Free 38. Dropbox - Dropbox  5145,"[0.4, 0.8]","[0.398, 0.602, 0.0]",2
 The  app on the iPad or iPhone is not finding the photographs and so I'm unable to upload at all. Can you please help?,"[-0.5, 0.5]","[0.185, 0.815, 0.0]",1
 Korea Paid 28. App Drop for Dropbox - Instant at your desktop! - YUAN XIAOHONG  6551,"[0.0, 0.6666666666666666]","[0.0, 0.845, 0.155]",2
" "" correctly predicted  as """"a feature","[0.0, 0.0]","[0.0, 1.0, 0.0]",3
" ""Heard today","[0.0, 0.0]","[0.0, 1.0, 0.0]",2
" "" hi","[0.0, 0.0]","[0.0, 1.0, 0.0]",3
  i recommend this writing app i use called jotterpad and you can save your docs to your dropbox,"[0.0, 0.0]","[0.289, 0.711, 0.0]",1
 Japan Paid 32. Video Player and File Manager Pro for Dropbox and Google Drive - Rojas Musach  2217,"[0.0, 0.0]","[0.0, 1.0, 0.0]",2
  PostPlus is a pretty App for your notes on  such as post-it and sync with . 16,"[0.125, 0.75]","[0.186, 0.814, 0.0]",1
 Australia Paid 84. App Box for Dropbox - It's About Time Products  3955,"[0.0, 0.0]","[0.0, 1.0, 0.0]",2
" ""  Heard today","[0.0, 0.0]","[0.0, 1.0, 0.0]",3
 Adding the Dropbox API to an Android App  ,"[0.0, 0.0]","[0.0, 1.0, 0.0]",1
" "" if it's the same link I had","[0.0, 0.125]","[0.0, 1.0, 0.0]",2
