Body,"[0.0, 0.0]","[0.0, 1.0, 0.0]",2
"Same as many other reviews, I have been using this for years - however, the new pay rules have forced me to move to Google Keep as it is important to me that notes can synchronise across three different computers as well as two phones.","[0.08733766233766234, 0.4649350649350649]","[0.082, 0.825, 0.093]",1
"Ive had evernote on my all my phones since 2011, now im deleting it and moving all my documents to another app. great job on the new pricing structure Evernote /s.","[0.4681818181818182, 0.6022727272727273]","[0.12, 0.88, 0.0]",1
"I love everything about the app - design, the way it functions. But one thing is just frustrating, and makes me look for another app now. It's auto-editing ehich I can't change by any means. I'm using Russian keyboard, and it just drives me crazy when I delete a part of the word in my text note, and the app is substituting the word with the previous word typed, instead of just replacing a couple of letters that I intended to do. The stupidest text editor I've ever met!","[-0.14166666666666666, 0.5133333333333333]","[0.046, 0.855, 0.099]",3
Great app,"[0.8, 0.75]","[0.804, 0.196, 0.0]",3
Been using Evernote premium for six years. Now moving to one note because of the price mark up. There's no reason for a note taking software to cost as much as the entire office 365 suite.,"[0.1, 0.4125]","[0.0, 0.939, 0.061]",1
"Especially since my main device was briefly out of commission and I had to temporarily sync a backup device. Three would have been far more reasonable, considering that most of us these days have separate work and home computers and at least one smartphone. And what about when we get new devices to replace the old? Are we then expected to upgrade to sync with our new devices? I've used Evernote for years for its versatility and more importantly its ease of access, the latter is no longer applicable. SimpleNote may not have the versatility, but it seamlessly and currently without cost syncs across all devices. And someone else mentioned Google keep so I may give that a try as well.","[0.14349376114081994, 0.4809269162210339]","[0.055, 0.932, 0.013]",1
"Screw the new ""limitations"" copying my notes to Google Keep and uninstalling!!","[0.2130681818181818, 0.45454545454545453]","[0.0, 0.847, 0.153]",1
"The recent pricing changes have finally forced me over to Google Keep. I understand the need to change but I'm not prepared to pay for a subscription service - although I'd have paid a off fee. The change was final straw as evernote has been steadily declining as free competitors catch up and its 'killer features' are surpassed (eg doc scanning and biz cards) sad to move on and annoying to have to migrate my notes but that's the way it is. Thanks for the great app, sorry to end on a sour note.","[-0.06212121212121213, 0.6090909090909091]","[0.136, 0.696, 0.168]",1
Evernote taking away access after people establish themselves on their app was a concern I had when I first download this app years ago.   I wouldn't be surprised if limiting access or taking access away completely wasn't a consideration from the very beginning.  I guess having me hanging around cuts into your ability to purchase a new toy so I'll get out of your way and start telling everyone about a different product.  Let's see how good word of mouth advertising still works.  See ya Evernote.,"[0.21233766233766233, 0.5125541125541125]","[0.063, 0.891, 0.047]",1
