 First Click: My favorite new iOS 10 app is just an Evernote feature ,"[0.29545454545454547, 0.5959595959595959]","[0.2, 0.8, 0.0]",1
" ""Yo","[0.0, 0.0]","[0.0, 1.0, 0.0]",2
" ""Seriously","[-0.3333333333333333, 0.6666666666666666]","[0.0, 0.0, 1.0]",2
 My favorite new iOS 10 app is just an Evernote feature  ,"[0.3181818181818182, 0.7272727272727273]","[0.231, 0.769, 0.0]",1
 Japan Free 11. Evernote - Evernote  9426,"[0.4, 0.8]","[0.398, 0.602, 0.0]",2
" ""There is no excuse for Evernote's mac app to be as laggy as it is (or at all","[0.025, 0.05]","[0.067, 0.821, 0.113]",1
 Japan Paid 90. Alternote  the Beautiful Note-taking App for Evernote - MABee Arts Ltd  0809,"[0.85, 1.0]","[0.231, 0.769, 0.0]",2
What do you think of the app?,"[0.0, 0.0]","[0.0, 1.0, 0.0]",2
" ""  Great. I had my hopes up for the app. I appreciate your feedback","[0.8, 0.75]","[0.545, 0.455, 0.0]",3
" ""  """"Designing a Better Notes App"""" with  ; ","[0.5, 0.5]","[0.42, 0.58, 0.0]",3
 Vacations: Where Productivity Takes an Unexpected Turn  via  ,"[0.1, 1.0]","[0.0, 1.0, 0.0]",1
 First Click: My favorite new iOS 10 app is just an Evernote feature - ,"[0.29545454545454547, 0.5959595959595959]","[0.2, 0.8, 0.0]",2
  Hey is the mac app going to be updated to match the design language used in the web app. It is so modern yet not on the mac app :(,"[-0.275, 0.65]","[0.0, 0.909, 0.091]",1
 France Free 29. Evernote - Evernote  3540,"[0.4, 0.8]","[0.398, 0.602, 0.0]",2
  you can also use Evernote app.This app reminds you your daily task.,"[0.0, 0.0]","[0.0, 1.0, 0.0]",1
 Germany Free 25. Evernote - Evernote  7380,"[0.4, 0.8]","[0.398, 0.602, 0.0]",1
 Spain Free 19. Evernote - Evernote  1349,"[0.4, 0.8]","[0.398, 0.602, 0.0]",2
  Vacations: Where Productivity Takes an Unexpected Turn. Read Blog: ,"[0.1, 1.0]","[0.0, 1.0, 0.0]",2
 United Kingdom Free 19. Evernote - Evernote  4946,"[0.4, 0.8]","[0.55, 0.45, 0.0]",2
 Resolve to Stay on Track in the New Year  via  ,"[0.13636363636363635, 0.45454545454545453]","[0.224, 0.776, 0.0]",1
" ""  Love it","[0.5, 0.6]","[0.808, 0.192, 0.0]",2
