Body,"[0.0, 0.0]","[0.0, 1.0, 0.0]",2
"Despite the great quality of streaming sound it isn't a good app. I can't enjoy the music to the fullest because every track i listen to is repeated but with no sound. It gets on my nerves especially when i'm away from my phone listening through some aux speakers and can't skip the song that plays muted. Please, fix!","[0.07500000000000002, 0.6083333333333333]","[0.127, 0.751, 0.121]",1
"App often crash. And you cant add tracks to the top of the play queue, only to the bottom.","[0.25, 0.75]","[0.183, 0.699, 0.118]",3
crossfade doesn't work and there's no option to shuffle your whole library which seems like it should be a pretty basic function to have,"[0.15, 0.5083333333333333]","[0.204, 0.717, 0.079]",1
"I was excited to finally see Chromecast support. Really odd! I have my Chromecast plugged into my Emotiva receiver and the CD quality stream cuts out, clips and even has high pitched cymbal-like distortions overlaying the music. No problem with Google Play Music, YT Music videos, or Netflix, etc. Weird.","[-0.034666666666666665, 0.708]","[0.127, 0.676, 0.197]",3
Who would pay twen-ty bucks                  just to see niki shake her fake butt?       She does that in every vid who gives a fuq?                                                                  Dude your plan sucks,"[-0.4, 0.65]","[0.0, 0.708, 0.292]",2
"I love the exclusive music and the ability to watch the latest videos.  The quality and sound are also really good.  Drawbacks are that Tidal buffers....a lot.  In addition, customer support is incredibly slow and there is no phone number to call.  Lastly, I wish there was a better way to organize the music the way I want it to playback, it skips all over the place.","[0.32857142857142857, 0.49523809523809526]","[0.286, 0.686, 0.028]",3
Biased in the diversity of music the app contains and constant app crashes waste of time don't Download.,"[-0.1, 0.16666666666666666]","[0.0, 0.766, 0.234]",0
Love the hi fi streaming! Makes a HUGE difference. \u0026amp; love that I can get exclusive content. Wish it was less than 20 bucks a month though,"[0.33958333333333335, 0.5416666666666667]","[0.456, 0.544, 0.0]",2
Perfect. Don't understand why it is 3.5 stars,"[1.0, 1.0]","[0.346, 0.654, 0.0]",2
Y'ALL ALREADY KNOW IT'S SLICIN GREATNESS,"[0.0, 0.0]","[0.0, 1.0, 0.0]",1
"Everytime the track changes, the music shows that it is playin but its not. It no longer plays tracks back to back #fixitjesus. The sound is by far the best tho.","[0.3, 0.33999999999999997]","[0.275, 0.725, 0.0]",1
I can search any artist from any genre and listen. Thanks Jay!,"[0.25, 0.2]","[0.242, 0.758, 0.0]",1
I love being offline and still listening to my fave music.,"[0.5, 0.6]","[0.455, 0.449, 0.096]",3
"Every time I edit my profile, my birthday is knocked one day back in time regardless of whether I went to edit my birthday or not. Support casting (Chromecast, Roku, Mozilla's Matchstick, etc...). Add auto-rotation. There's clearly more than enough screen space either horizontally, vertically or virtually to show popup search results fully, yet they're shortened with an ellipsis. Support Google Now. Make native software for Windows/Mac/Linux, because Adobe's software is full of security holes.","[0.2125, 0.3875]","[0.065, 0.878, 0.057]",0
"I love the idea of streaming HiFi audio, but at the moment TIDAL fails to make that dream a reality. First and foremost, the Android app is a mess. Frequent crashes, half-baked playlist editing, and confusing navigation make for a rather unpleasant user experience - though the desktop client does work fine. More importantly, however, TIDAL as a service is quite dysfunctional. Have a problem with the service? Surely customer support will help... or not. I submitted several requests to TIDAL support, all of which received a pleasant ""your request is appreciated"" email with zero follow-up. I really want to like TIDAL - I really, really do. At this point, there are so many great alternatives. Take my advice, pass on this one.","[0.20416666666666666, 0.4813271604938272]","[0.274, 0.612, 0.113]",1
"Every time I try to watch a video on Tidal through my ChromeCast it buffers every few seconds. Every video, every time. It's not the ChromeCast because Hulu, Netflix, and HBO GO work well with my ChromeCast. I have an LG G4. Please fix this issue, OR have Beyonce put Lemonade back on HBO.","[-0.1, 0.05]","[0.082, 0.918, 0.0]",1
Always,"[0.0, 0.0]","[0.0, 1.0, 0.0]",2
It sucks now why does every other song doesn't play I have to pause then play again for it to work fix it soon it kills the vibe getting tired of this about to cancel if not fixed,"[-0.21875, 0.39375]","[0.0, 0.674, 0.326]",1
"Has great selection. Seriously the Netflix of music... but the music quality is not alway there. A lot of music skips and chops up. I wish there was a way to report it so you can fix them. Because as of now I feel like I'm paying 10 dollars a month for a bunch of scratched up cds.... so much potential, if you fix the skipping tracks.","[0.15555555555555559, 0.8055555555555555]","[0.138, 0.842, 0.02]",3
"I love how I pay 20.00 a month for songs that don't play or skip like a scratched up CD. I have no other issues, but that one","[0.28125, 0.4875]","[0.163, 0.675, 0.162]",2
"But I have some songs that aren't on there, I love ""Stranger"" by Katie Costello. But it's not on there please Tidal add this song and other song requests. 😊","[0.1875, 0.4875]","[0.0, 0.83, 0.17]",-1
It ain't free and it ain't cheap,"[-0.2, 0.75]","[0.0, 0.689, 0.311]",1
Does what its supposed to do better than the others,"[0.5, 0.5]","[0.244, 0.756, 0.0]",2
Will not crossfade anymore.,"[0.0, 0.0]","[0.0, 1.0, 0.0]",2
Lots and lots of bugs. Songs end before they actually suppose to end. Songs play simultaneously. These bugs are crossing android versions and TIDAL versions. Too bad.,"[-0.3499999999999999, 0.3833333333333333]","[0.078, 0.809, 0.113]",3
Have renewed my subscription but its not giving me access to anything and is telling me to renew my subscription. But the app is then saying I have.,"[0.0, 0.0]","[0.0, 0.911, 0.089]",1
Fix the crossfader.,"[0.0, 0.0]","[0.0, 1.0, 0.0]",2
Great,"[0.8, 0.75]","[1.0, 0.0, 0.0]",4
"What exactly is the point of great sound quality if songs double start, don't, or worst of all cross-fading starts AFTER beginning of next song? Completely frustrating listening experience. Neil Young and others that have gone exclusive to Tidal would pull all their music after one month of trying to enjoy listening to Tidal stream. Oh by the way...same problem in offline mode. Serious coding upgrade needed. Invest in upgrading software as much as you are supposedly investing in artists.","[0.037878787878787894, 0.4606060606060606]","[0.13, 0.776, 0.094]",1
"I only miss the ability to open videos in Kodi plugin, and be able to pass the video streaming from phone to kodi","[0.16666666666666666, 0.7083333333333334]","[0.096, 0.837, 0.067]",1
"No, I kms","[0.0, 0.0]","[0.0, 0.313, 0.688]",2
Underated,"[0.0, 0.0]","[0.0, 1.0, 0.0]",2
"Love, Love, Love","[0.5, 0.6]","[1.0, 0.0, 0.0]",2
Your new update sucks. Some songs dont even play anymore. I wind up having to skip to the next song. I'm paying $20 a month for this? Not For Long.,"[-0.053409090909090906, 0.28863636363636364]","[0.0, 0.851, 0.149]",1
"Only real problem with Tidal is it destroyed my ability to listen to Napster Spotify google play etc. 5 stars for absolute consistent heavenly SOUND bliss. This is across the the board. Even TIdal 320 AAC sounds better than Napster Spotify etc.   Runs solid  and I run this constantly. Slick UI  Great large album art helps enormously when choosing listens on the move. Landing page needs a ton of work, loaded  with silly top 40 videos/music, reminds me of the 80's disco push just now it's rap.","[0.17802197802197803, 0.5598901098901099]","[0.254, 0.69, 0.057]",1
"Pros: With tidal you can listen to the highest fidelity and it sounds very good, clean and crisp when you plug it to your Hi-fi amp/speakers at home :) it's definitely worth the extra money. This is for the music lover though...                                  Cons: With that said.... the app absolutely sucks.... I freaking hate having to uninstalling the app and reinstalling it to make some of my favorite songs to play again... I mean c'mon!!! Besides that... it's decent.... not more, no less.","[0.0858703926282051, 0.5551923076923078]","[0.254, 0.677, 0.069]",3
"Love the quality of the music, but the songs keep stopping 4 minutes into the track. They're fine if they're under 4 minutes. But I keep having to start the song back up and fast forward or choose the next song.","[0.22333333333333333, 0.34]","[0.115, 0.839, 0.046]",3
"With the latest update the cross fade feature doesn't work anymore, I'll set it for 6 seconds and it cuts of the current song being played by 6 seconds. And now suddenly stops between songs for a few minutes before playing another. I can't listen to my customized playlist because it constantly stops. This recent update needs to be fixed. Before this recent update the app worked fine, but now it's annoying.","[0.0015151515151515097, 0.393939393939394]","[0.061, 0.833, 0.106]",1
"Disappointing!  Fantastic sound on hi Fi. So, if you're paying$20 a month it's great.   However the app is awful. You can't seek within a track, the playback has gaps (ridiculous in this day and age) and the catalog is slightly limited. I'd have dumped it if it weren't for the high res stream.","[-0.04934523809523808, 0.6791071428571429]","[0.121, 0.709, 0.17]",3
Finally a lossless streaming service.  Will be a full five star review when Tidal implements either Chromecast support or something equivalent for Spotify Connect. *** EDIT: Now Tidal is a five star app after implementing Google Cast ***,"[0.175, 0.775]","[0.074, 0.926, 0.0]",2
Hate that you have to pay but I use it daily,"[-0.4, 0.45]","[0.0, 0.693, 0.307]",1
useless,"[-0.5, 0.2]","[0.0, 0.0, 1.0]",1
I have been with TidalHiFi for nearly a year and a half. I am only upset about how the crossfading has had issues here lately. Yet I am a believer that a growing brand has kinks and must develop itself. I am a satisfied customer and the offline capabilities of my favorites is an added bonus! Have yet to win a free prize but I do enjoy the services!!,"[0.2604166666666667, 0.6083333333333333]","[0.274, 0.683, 0.043]",1
Very Good,"[0.9099999999999999, 0.7800000000000001]","[0.762, 0.238, 0.0]",3
"Please for the love of God fix your buffering issues! I have unlimited 4G LTE data with full bars and my music keeps stopping every few seconds Never had a problem like this with Apple Music or Spotify,  this puts you guys behind the curve. Fix your app Tidal UPDATE: WHY IS MY MUSIC STILL TAKING FOREVER TO PLAY????","[0.09374999999999997, 0.4875]","[0.183, 0.754, 0.064]",2
Not getting better since begin.,"[0.5, 0.5]","[0.42, 0.58, 0.0]",1
Best music streaming service i kno,"[1.0, 0.3]","[0.512, 0.488, 0.0]",3
"The shuffle sucks, every time I've tried using the crossfade when it gets to the n3xt song it doesn't play sound but the record is spinning. 3 stars only for sound quality and songs library. Needs some fixing really, but it's OK....only ok","[0.19999999999999998, 0.46666666666666673]","[0.062, 0.865, 0.073]",1
"I love this app, I just wish the videos wouldn't lag on chromecast.","[0.5, 0.6]","[0.528, 0.472, 0.0]",1
This app was once a gem. But in the last 5 updates or so you guys have screwed up some fundamental elements. Such as being able to edit your play queue to play a specific song next or last. Or being able to move the songs to whatever order you wanted whether it was before or after the song that is currently playing.,"[0.125, 0.30104166666666665]","[0.1, 0.851, 0.049]",3
Could not even register,"[0.0, 0.0]","[0.0, 1.0, 0.0]",1
