 Checkthen ,"[0.0, 0.0]","[0.0, 1.0, 0.0]",2
" ""TIDAL IS THE BEST APP FOR MUSIC","[1.0, 0.3]","[0.412, 0.588, 0.0]",1
out NOW!iTunes: https,"[0.0, 0.0]","[0.0, 1.0, 0.0]",2
" ""Download Gemini: B-Side"""" NOW!iTunes:","[0.0, 0.0]","[0.0, 1.0, 0.0]",2
 Want to see Jefferson Memorial and Tidal Basin? Go free w/ Lyft app! Use Lyft Promo Code LOOT,"[0.5, 0.8]","[0.234, 0.766, 0.0]",1
  Get Beyonc's universally acclaimed #1 album LEMONADE!Buy:  ,"[0.0, 0.0]","[0.0, 1.0, 0.0]",2
 My disappointing experience with the TIDAL download store so far. ,"[-0.25, 0.85]","[0.0, 0.738, 0.262]",1
" ""Tidal has come such a long way. App use to be some shit","[-0.08333333333333333, 0.5666666666666668]","[0.0, 0.753, 0.247]",3
 Be a clear conduit during a  reading Free,"[0.25, 0.5916666666666667]","[0.596, 0.404, 0.0]",2
 Started free trial of  an I have to say the look of the app and sound quality is miles ahead of Spotify,"[0.4, 0.6000000000000001]","[0.142, 0.858, 0.0]",3
  H E 2 N D  C I V I L W A R ,"[0.0, 0.0]","[0.0, 0.0, 0.0]",1
  OUT NOW! iTunes: ,"[0.0, 0.0]","[0.0, 1.0, 0.0]",3
 the tidal app is ugly af,"[-0.7, 1.0]","[0.0, 0.602, 0.398]",1
 It's A Hit WDSR Radio Vol. 1  now available at all digital outlets Order today ,"[0.2, 0.2]","[0.0, 1.0, 0.0]",3
 Tidal really needs to improve the interface and accessibility of its app... shit's trash,"[0.0, 0.5]","[0.196, 0.804, 0.0]",1
 People actually have Tidal too. And anyone who wants Tidal's exclusive content could just purchase the app instead. ,"[0.1, 0.1]","[0.081, 0.919, 0.0]",2
  its in your settings lol like not in the tidal app,"[0.8, 0.7]","[0.371, 0.629, 0.0]",1
 I wish Tidal ; Apple could work together so I don't have to go from one app to another because they have different music.,"[0.0, 0.6]","[0.119, 0.881, 0.0]",1
iTunes:  Spotify:  Tidal:  Google: ,"[0.0, 0.0]","[0.0, 1.0, 0.0]",2
  Okay mostly valid reasons although Tidal on windows via their app ; chrome browser has been nice to me.,"[0.5333333333333333, 0.6666666666666666]","[0.227, 0.773, 0.0]",1
 ok I'm sorry but the TIDAL app is so BAD,"[-0.23333333333333328, 0.7222222222222222]","[0.092, 0.403, 0.505]",1
" "" Please check your internet settings and adjust in TIDAL as necessary. If that doesn't work","[0.0, 1.0]","[0.141, 0.859, 0.0]",1
" "" It works on the backend or at the following link:  When you reinstall the app","[0.0, 0.1]","[0.0, 1.0, 0.0]",2
" "" Can you play music if you use the TIDAL app on a browser or the computer app? If so","[0.0, 0.0]","[0.124, 0.876, 0.0]",2
 How do you move tracks around in a playlist you made on ? This app is complicated for no reason,"[-0.5, 1.0]","[0.0, 0.885, 0.115]",2
" ""On iTunes","[0.0, 0.0]","[0.0, 1.0, 0.0]",2
" ""  On iTunes","[0.0, 0.0]","[0.0, 1.0, 0.0]",2
 iTunes:  ,"[0.0, 0.0]","[0.0, 1.0, 0.0]",2
 How can one app be such a mess? I'm still completely baffled as to why people pay for Tidal?,"[-0.024999999999999994, 0.3583333333333334]","[0.0, 0.79, 0.21]",2
  Brooklyn! A pair of  tix for tonight could be yours. Show your TIDAL app at one of these 2 spots.  ,"[0.0, 0.0]","[0.0, 1.0, 0.0]",2
" ""awwwwlmost tapped """"get"""" on the tidal app. almost.""","[0.0, 0.0]","[0.0, 1.0, 0.0]",3
" ""available on Apple Music","[0.4, 0.4]","[0.0, 1.0, 0.0]",2
" "" it works on the computer you have to login to Tidal there","[0.0, 0.0]","[0.0, 1.0, 0.0]",3
 why can't I find any tickets I'm searching on the Tidal app,"[0.0, 0.0]","[0.0, 1.0, 0.0]",1
  the link for Made In America tickets is not working. It takes me to the Tidal app and there's nowhere to purchase the tickets,"[0.0, 0.0]","[0.0, 1.0, 0.0]",1
 Tidal still a shitty app but those BOGO tickets were clutch ,"[0.0, 0.0]","[0.0, 0.796, 0.204]",2
so my tidal app won't let me order tickets ,"[0.0, 0.0]","[0.0, 1.0, 0.0]",1
 How in the hell do u get the MIA tickets on the tidal app? Help,"[0.0, 0.0]","[0.127, 0.518, 0.355]",1
 When you click on tidal links on the app or site to try to get tidal presale tix... ,"[0.0, 0.0]","[0.0, 1.0, 0.0]",2
 Who are the app developers behind Tidal?!Labrats?! Aseyy,"[-0.5, 0.7]","[0.0, 1.0, 0.0]",2
 If you have the tidal app on your phone do it that way. Is it saying sold out? how ! Lol I can't get in,"[0.8, 0.7]","[0.123, 0.877, 0.0]",2
" ""Tidal always has an issue with their """"exclusives"""" with all the money users spend on the app one would assume it would work""","[0.0, 0.0]","[0.0, 1.0, 0.0]",1
why is my link for  not working thru my Tidal app?,"[0.0, 0.0]","[0.0, 1.0, 0.0]",1
