Body,"[0.0, 0.0]","[0.0, 1.0, 0.0]",2
10/10 Would waste countless hours on this app again.,"[-0.1, 0.25]","[0.0, 0.741, 0.259]",1
Nothing else needs to be said.,"[0.0, 0.0]","[0.0, 1.0, 0.0]",1
❤❤❤😞,"[0.0, 0.0]","[0.0, 1.0, 0.0]",-1
Keep it up😍,"[0.0, 0.0]","[0.0, 1.0, 0.0]",-1
don't tell anyone I use this,"[0.0, 0.0]","[0.0, 1.0, 0.0]",1
Great source for inspiration,"[0.8, 0.75]","[0.789, 0.211, 0.0]",3
"I love the app, but I can't verify my email and I keep trying. I even made a few more to try to get it verified, but nothing is happening.","[0.26666666666666666, 0.39999999999999997]","[0.098, 0.902, 0.0]",3
It's really nice yeah,"[0.6, 1.0]","[0.736, 0.264, 0.0]",3
I still can't search my tags on my tumblr page. It says that nothing is coming up. Heard that this a glitch tumblr has had for years and still not fixed.,"[-0.05, 0.2]","[0.0, 1.0, 0.0]",1
Why can't I block on android! ??!!!?!,"[0.0, 0.0]","[0.451, 0.549, 0.0]",1
It give me a new thinking about myself,"[0.13636363636363635, 0.45454545454545453]","[0.0, 1.0, 0.0]",2
Honestly used to crash before but now videos lag and it crashes even more often now. Just says app has stopped working. Please fix!!,"[0.690625, 0.7]","[0.155, 0.597, 0.248]",1
Love it,"[0.5, 0.6]","[0.808, 0.192, 0.0]",2
"I can watch YouTube at full HD without a hiccup, but it can take up to 30 seconds to load a single picture on this app. Really disappointing because I love Tumblr so much but this app is terrible.","[-0.10357142857142858, 0.5440476190476191]","[0.132, 0.68, 0.189]",1
Love this app!,"[0.625, 0.6]","[0.692, 0.308, 0.0]",3
Love it,"[0.5, 0.6]","[0.808, 0.192, 0.0]",2
It's great,"[0.8, 0.75]","[0.804, 0.196, 0.0]",3
Good app,"[0.7, 0.6000000000000001]","[0.744, 0.256, 0.0]",3
I am happy to find most of my favorite artists.,"[0.6, 0.8333333333333334]","[0.499, 0.501, 0.0]",3
"Sold \u0026amp; stable, hardly ever crashes. But  post from other apps strips out the photos except YouTube ?!?!? Isn't this mainly a VISUAL oriented blog?","[-0.1623263888888889, 0.3055555555555555]","[0.14, 0.86, 0.0]",1
I is not working!!!,"[0.0, 0.0]","[0.0, 1.0, 0.0]",1
what possesed me in order for me to download this,"[0.0, 0.0]","[0.0, 1.0, 0.0]",2
I absolutely adore Tumblr! It's fun and interesting and I've had it for less than a day and I love it! 😘,"[0.30166666666666664, 0.4533333333333333]","[0.495, 0.505, 0.0]",-1
The video loads eventhough i choose not to play on the settings. Please fix,"[0.0, 0.0]","[0.15, 0.717, 0.133]",1
Love it,"[0.5, 0.6]","[0.808, 0.192, 0.0]",2
Go 4 it,"[0.0, 0.0]","[0.0, 1.0, 0.0]",2
It's nice.,"[0.6, 1.0]","[0.737, 0.263, 0.0]",3
This app sucks! How in the world is it FASTER to Google tumblr and use a web page to view  tumblr than the App? Google and YouTube are slow and suck to start with! I don't get it...,"[-0.375, 0.35]","[0.0, 0.85, 0.15]",3
Love it,"[0.5, 0.6]","[0.808, 0.192, 0.0]",2
Grown folks,"[0.0, 0.0]","[0.0, 1.0, 0.0]",2
Nice,"[0.6, 1.0]","[1.0, 0.0, 0.0]",2
Lagging,"[0.0, 0.0]","[0.0, 0.0, 1.0]",2
"Originally had a problem with accessing my photos, but found out it had to do w new Android security update.  I love the convenience of this app","[0.3371212121212121, 0.6015151515151516]","[0.28, 0.661, 0.058]",1
Great app,"[0.8, 0.75]","[0.804, 0.196, 0.0]",3
Best chatting app,"[1.0, 0.3]","[0.677, 0.323, 0.0]",2
Love to watch and learn about others I'm fascinated by people their skills habits personalities or lack thereof.  .  Love this app,"[0.5, 0.6]","[0.373, 0.552, 0.075]",1
It's a good app it gives me something to do when instagram is boring me,"[-0.15000000000000002, 0.8]","[0.169, 0.698, 0.134]",3
Maybe there could be a tumblr Pro with NO advertisements...?,"[0.0, 0.0]","[0.0, 0.732, 0.268]",2
.,"[0.0, 0.0]","[0.0, 0.0, 0.0]",2
I love it.,"[0.5, 0.6]","[0.808, 0.192, 0.0]",3
"Tumblr is awesome! I love the design, it's easy to use. I love all the content. I don't know what else to say. Tumblr is a really awesome app and I think everyone should try it atleast once!","[0.6866666666666668, 0.8066666666666666]","[0.418, 0.582, 0.0]",3
I cant even see 10 posts,"[0.0, 0.0]","[0.0, 1.0, 0.0]",1
i open tumblr mostly on google chrome browser cuz its faster than tumblr app,"[0.25, 0.5]","[0.0, 1.0, 0.0]",1
It has everything pictures gifs comics videos I love it!,"[0.625, 0.6]","[0.36, 0.64, 0.0]",4
App,"[0.0, 0.0]","[0.0, 1.0, 0.0]",2
"Image loading system is too bad, specially for gifs.","[-0.17142857142857135, 0.6190476190476191]","[0.0, 0.696, 0.304]",1
"A mix between Facebook, Instagram and Pinterest. I like it. Full of treasures","[0.35, 0.55]","[0.371, 0.629, 0.0]",2
Just great,"[0.8, 0.75]","[0.804, 0.196, 0.0]",3
The so is so easy to navigate and you find so many different types of memes but the best things are the comments! Hilarious,"[0.4866666666666667, 0.6466666666666667]","[0.367, 0.633, 0.0]",3
🅱🅾🅱,"[0.0, 0.0]","[0.0, 1.0, 0.0]",-1
Unusable. Kept crashing.,"[0.0, 0.0]","[0.0, 1.0, 0.0]",2
I've used Tumblr for more than 2 years. The mobile app isn't that great because it closes a lot when I just open it. But I love Tumblr.,"[0.45, 0.5875]","[0.142, 0.746, 0.112]",1
"After I update it, I can't do anything especially upload my pic","[0.0, 1.0]","[0.0, 1.0, 0.0]",1
The best apps for pics!!!!!,"[1.0, 0.3]","[0.573, 0.427, 0.0]",3
Love it,"[0.5, 0.6]","[0.808, 0.192, 0.0]",2
If i had any complaint it would be how in the world do i get use to using it more like other social media. Haha i love it but i dont access it nearly enough to take advantage of all it offers,"[0.11354166666666667, 0.3177083333333333]","[0.188, 0.775, 0.038]",1
Awesome,"[1.0, 1.0]","[1.0, 0.0, 0.0]",3
"So this is my first time having tumble, but it keeps acting up and crashing when I try to edit my page. Please fix this. Thank you.","[0.125, 0.16666666666666666]","[0.205, 0.795, 0.0]",1
Thanks for this application,"[0.2, 0.2]","[0.492, 0.508, 0.0]",3
Keep freezing.,"[0.0, 0.0]","[0.0, 0.417, 0.583]",2
"Love Tumblr, however everytime I update the app it gets worse. Keeps crashing and deleting my post. Disappointed","[-0.21666666666666667, 0.65]","[0.172, 0.574, 0.254]",1
It takes a long time to load new pictures.,"[0.043181818181818175, 0.42727272727272725]","[0.0, 1.0, 0.0]",2
Although it keep auto exiting it's handy lol,"[0.7, 0.8]","[0.286, 0.714, 0.0]",2
It's Amazeballs,"[0.0, 0.0]","[0.0, 1.0, 0.0]",2
Honest to its word when it said never be bored again,"[0.04999999999999999, 0.95]","[0.362, 0.638, 0.0]",1
"When I look through my blog and search /tagged/me, I only want to see MY posts. I see why you include everyone's, but maybe it would be better to put that feature in, idunno, the archive page?","[0.25, 0.75]","[0.135, 0.865, 0.0]",1
"I download this app, at first it wasn't interested. But as I get real interested on the app, very interested! !!","[0.28369140625, 0.5583333333333333]","[0.0, 0.677, 0.323]",1
"Installed fine, never connected successfully :-(","[0.13888888888888892, 0.8166666666666668]","[0.41, 0.315, 0.276]",3
Videos and gif continue to automatically play even if it is set not to...😞,"[0.0, 0.0]","[0.156, 0.844, 0.0]",-1
good,"[0.7, 0.6000000000000001]","[1.0, 0.0, 0.0]",3
I can't find what I want and its easy to get confused,"[0.016666666666666663, 0.7666666666666666]","[0.216, 0.522, 0.262]",1
"Be careful, because this place can drown you in smutty fanfic, and bad memes. Love it. Must delete during finals","[-0.09999999999999994, 0.7555555555555555]","[0.2, 0.552, 0.248]",0
It crashes every 3 minutes. What u doin staff,"[0.0, 0.0]","[0.0, 1.0, 0.0]",2
"Love tumblr, always have 😍","[0.5, 0.6]","[0.512, 0.488, 0.0]",-1
Great app be sure to turn safety on/off depending on what you want to see.,"[0.65, 0.8194444444444444]","[0.488, 0.512, 0.0]",1
Oke,"[0.0, 0.0]","[0.0, 1.0, 0.0]",2
Ok,"[0.5, 0.5]","[1.0, 0.0, 0.0]",2
Still log...,"[0.0, 0.0]","[0.0, 1.0, 0.0]",2
Exelent,"[0.0, 0.0]","[0.0, 1.0, 0.0]",2
use it to learn. use it to smile.,"[0.3, 0.1]","[0.263, 0.737, 0.0]",2
I've been on tumblr for three years and had the app for two and up until this last update it worked perfectly. Now it crashes every 5 minutes. Please fix this so I can love this app again.,"[0.5, 0.5555555555555555]","[0.25, 0.75, 0.0]",3
Tumblr,"[0.0, 0.0]","[0.0, 1.0, 0.0]",2
It's toooo good,"[0.7, 0.6000000000000001]","[0.592, 0.408, 0.0]",3
Good morning I was just one that was,"[0.7, 0.6000000000000001]","[0.326, 0.674, 0.0]",3
Fun excitement,"[0.3, 0.2]","[1.0, 0.0, 0.0]",3
"Tumblr is amazing, they're right I haven't been bored. Great UI, regular updates and inspiring features. You can tell they have fun with it all too. Don't stop.","[0.2836734693877551, 0.6375196232339091]","[0.359, 0.554, 0.087]",3
Easy to use very helpful,"[0.31666666666666665, 0.5666666666666667]","[0.666, 0.334, 0.0]",1
Entah,"[0.0, 0.0]","[0.0, 1.0, 0.0]",2
Kept crashing and froze my phone/ made it glitch out even after the app was force closed!,"[-0.125, 0.1]","[0.0, 1.0, 0.0]",1
"I've used this App before it had so many glitches until now. Tumblr...excellent job!! 👏👏👏 Your app is perfect! 👌👌👌 And I'm back to blogging. This is, in my opinion, the best blogging app out there.","[0.6953125, 0.45]","[0.205, 0.795, 0.0]",-1
I really love this app. I haven't had any problems with it so far !😊,"[0.3125, 0.8]","[0.39, 0.61, 0.0]",-1
"Enjoy using it, sometimes loads slow but I love it nonetheless","[0.19999999999999998, 0.5]","[0.497, 0.503, 0.0]",2
Hornytightpussy,"[0.0, 0.0]","[0.0, 1.0, 0.0]",2
It's great,"[0.8, 0.75]","[0.804, 0.196, 0.0]",3
Excellent app room share information and memories.,"[1.0, 1.0]","[0.541, 0.459, 0.0]",3
Got a lot better love it!,"[0.5625, 0.55]","[0.711, 0.289, 0.0]",3
"Stable, nice theme, I like it better than Twitter app.","[0.55, 0.75]","[0.675, 0.325, 0.0]",1
"I use a lot of social apps; Instagram, Facebook, snapchat and Tumblr is the best so far! It's easy to use and really simple to figure out.","[0.31833333333333336, 0.5114285714285715]","[0.25, 0.75, 0.0]",4
"Why when Tumblr tells me ""upload stopped, we'll try posting again later"" does it never try again later? I lose posts because of this bug. Unreliable.","[0.0, 0.0]","[0.0, 0.833, 0.167]",1
Some,"[0.0, 0.0]","[0.0, 1.0, 0.0]",2
"Tumblr was much better before Yahoo bought it. We had more freedom to express ourselves back then, but Yahoo worries more about offending people with pretty harmless content - for example, bewbs/theS3X, but will allow legitimately harmful content like pro-nazi pages, racist pages,  anti-lgbt+ pages, pages dedicated to hating women, etc... But nah, sexytimes are surely the most damaging on society. Much worse than any amount of hate speech.","[0.17222222222222222, 0.5987654320987654]","[0.224, 0.468, 0.308]",2
Lags + crash = 👎👎,"[0.0, 0.0]","[0.0, 0.161, 0.839]",-1
Lots and lots of bewbs,"[0.0, 0.0]","[0.0, 1.0, 0.0]",3
Love Tumblr ❤,"[0.5, 0.6]","[0.677, 0.323, 0.0]",-1
why whenever i want to sign in it always shows. weird connection.try again yadaa yadaa and still not letting.me sign in. fix this. never happened before. plus. no one responded to our complaints,"[-0.5, 1.0]","[0.036, 0.78, 0.184]",2
its so cool,"[0.35, 0.65]","[0.565, 0.435, 0.0]",3
👌👌👌,"[0.0, 0.0]","[0.0, 1.0, 0.0]",-1
really good,"[0.7, 0.6000000000000001]","[0.762, 0.238, 0.0]",3
That I can share my feelings somewhere,"[0.0, 0.0]","[0.306, 0.694, 0.0]",3
Why?,"[0.0, 0.0]","[0.0, 1.0, 0.0]",1
