Body,"[0.0, 0.0]","[0.0, 1.0, 0.0]",2
Its so cool,"[0.35, 0.65]","[0.565, 0.435, 0.0]",3
Likes,"[0.0, 0.0]","[1.0, 0.0, 0.0]",2
The same as my title!,"[0.0, 0.125]","[0.0, 1.0, 0.0]",2
Love it sy,"[0.5, 0.6]","[0.677, 0.323, 0.0]",2
This game is amazing kool music fun levels I love this game and will keep playing,"[0.12, 0.5]","[0.544, 0.456, 0.0]",4
I love it!!!,"[0.9765625, 0.6]","[0.835, 0.165, 0.0]",3
Im not good at I die a lot but it's so addictive that I keep playing,"[-0.175, 0.75]","[0.267, 0.626, 0.107]",1
abovementioned,"[0.0, 0.0]","[0.0, 1.0, 0.0]",2
The game is perfect as it inproves a lot more than the impossible game. Its a great offline app i am playing as i have no wifi. Dont rage to much though,"[0.14761904761904762, 0.6071428571428571]","[0.247, 0.566, 0.188]",3
Awesome,"[1.0, 1.0]","[1.0, 0.0, 0.0]",3
"I really love this game and I am on clubstep, im excited for the new update but dont take too long.","[0.11227272727272726, 0.5209090909090909]","[0.207, 0.793, 0.0]",3
Asome,"[0.0, 0.0]","[0.0, 1.0, 0.0]",2
Jump just do it,"[0.0, 0.0]","[0.0, 1.0, 0.0]",2
"I've had this game for well over a year and it worked fine. However now when I re-installed it, it will no longer save anything I do. But over all this game is fantastic and worked brilliantly when I first had it :)","[0.2380952380952381, 0.6476190476190476]","[0.341, 0.617, 0.042]",3
It is op,"[0.0, 0.0]","[0.0, 1.0, 0.0]",2
Im am the god Of GD so easy,"[0.43333333333333335, 0.8333333333333334]","[0.493, 0.507, 0.0]",2
Coool,"[0.0, 0.0]","[0.0, 1.0, 0.0]",2
Best game ever!,"[0.25, 0.35]","[0.692, 0.308, 0.0]",4
Really addicting,"[0.2, 0.2]","[0.0, 1.0, 0.0]",2
It is a really well done game with interesting mechanics.,"[0.09999999999999999, 0.3666666666666667]","[0.421, 0.579, 0.0]",4
Kill me,"[0.0, 0.0]","[0.0, 0.175, 0.825]",2
Best game ever!,"[0.25, 0.35]","[0.692, 0.308, 0.0]",4
Great app,"[0.8, 0.75]","[0.804, 0.196, 0.0]",3
Best game I ever played since geometry dash lite,"[0.3, 0.35]","[0.524, 0.476, 0.0]",3
I'm such a noob at this game but I like it so far and am expecting much more out of it when I get better at it. Awesome game I love it :),"[0.25555555555555554, 0.6555555555555554]","[0.483, 0.493, 0.024]",1
"Simplemente increíble y super adictivo, aunque difícil al principio","[0.3333333333333333, 0.6666666666666666]","[0.358, 0.642, 0.0]",-1
Its a verrrrrry awesome game and its very very fun I think you guys should play,"[0.33, 0.5533333333333333]","[0.485, 0.515, 0.0]",3
I'll never get deadlocked all three coins btw I haven't completed any demon levels.    ; (   ; (,"[0.0, 0.0]","[0.0, 1.0, 0.0]",1
Just cuz,"[0.0, 0.0]","[0.0, 1.0, 0.0]",2
"Whenever I try to play the song Cosmic Dreamer in a level, it kicks me out, I have the song downloaded from Newgrounds and can listen to it. But in an in-game level, it crashes. I tried reinstalling, but it doesn't work.","[0.0, 0.0]","[0.044, 0.956, 0.0]",1
The game is good despite small lag spikes at some points but not to bad and its not often that it happens. I also love the level creator it works nicely and allows people to download and rate your levels.,"[0.07500000000000001, 0.611111111111111]","[0.332, 0.668, 0.0]",1
Its cool that you cam make levels,"[0.35, 0.65]","[0.277, 0.723, 0.0]",3
And the difficulty of the levels are perfect!,"[1.0, 1.0]","[0.322, 0.484, 0.194]",3
I love this so much.you should play it and test your skills to the max,"[0.5, 0.6]","[0.364, 0.636, 0.0]",2
I love this game!!!,"[-0.140625, 0.5]","[0.717, 0.283, 0.0]",3
This game is a really time waster if you have a few hours to spare. The editor is really well made and in my opinion  this is a great game,"[0.03333333333333335, 0.34166666666666673]","[0.206, 0.794, 0.0]",1
Loveeeeeeeeee,"[0.0, 0.0]","[0.0, 1.0, 0.0]",2
I really really like this game it is very addicting and fun and challenging,"[0.16, 0.42000000000000004]","[0.452, 0.548, 0.0]",3
Fun but hard and addicting,"[0.004166666666666652, 0.37083333333333335]","[0.319, 0.444, 0.237]",2
This is outstanding and very creative because of the level creator and definitely deserves five stars *****,"[0.3833333333333333, 0.7916666666666666]","[0.414, 0.586, 0.0]",4
Game,"[-0.4, 0.4]","[0.0, 1.0, 0.0]",2
☺☺☺☺🐢,"[0.0, 0.0]","[0.0, 1.0, 0.0]",-1
Love this game. One of my favorite games ever😁😁😁😁😃😃😃😃 Also luv seeing people rage.,"[0.19999999999999998, 0.6666666666666666]","[0.33, 0.505, 0.165]",-1
"I love this game but after a recent update, Saves would erase. I made a test and got 94% on stereo madness. I closed the app and reopened to see the test worked. My character customization and my 94% was gone completely. I even did it on an account that I created for the game. Please fix this bug or I will NOT STOP to get a refund","[-0.05000000000000001, 0.35833333333333334]","[0.115, 0.774, 0.111]",2
2.1!?,"[0.0, 0.0]","[0.0, 1.0, 0.0]",2
Cool,"[0.35, 0.65]","[1.0, 0.0, 0.0]",3
Love the game keep updating it :) it's also really fun toplay,"[0.22499999999999998, 0.55]","[0.545, 0.455, 0.0]",2
Its great! I just unlocked clubstep too!,"[1.0, 0.75]","[0.484, 0.516, 0.0]",4
Jess earth,"[0.0, 0.0]","[0.0, 1.0, 0.0]",2
It's Like That Um Eletrodynamix Is The Coolest Level Because The Song On Dat Level Is Aweesssssoooooommmmeeee!!!!!!!!!!!,"[0.0, 0.0]","[0.186, 0.814, 0.0]",1
