Apple App Store
D+,yingjiang Li
Dragalia Lost,"Nintendo Co., Ltd."
Design My Room: Fashion,NUTS POWER ONLINE ENTERTAINMENT LIMITED
Dinosaurs Are People Too,Pomelo Games
Run Ball - Jump On Helix Road,Jay Thomas
Dentist Care: Teeth Princess,Tania San Vicente
Donut County,Annapurna Interactive
Dancing Snake-Animal Dash Game,Jelly Candy
Dinosaur Patrol Boat,Yateland
D is for Drift,"Volume Games, LLC"
Dot to dot - Connect the dots!,X-Flow
Double Guns,Ketchapp
Dairy Queen®,"International Dairy Queen, Inc."
Daft Jump!,Appsolute Games LLC
DoorDash - Order Food Delivery,"DoorDash, Inc."
Duck Shooting Adventures,TRAN THI THO
Dream  Piano Tiles 2018,"Eyugame Network Technology Co., Ltd"
Draw In™,Lion Studios
Discord,"Discord, Inc."
Dancing Line,Cheetah Technology Corporation Limited
Dash Valley,MADBOX
"Google Docs: Sync, Edit, Share","Google, Inc."
Dead Target Effect: Shooting Z,BUI THI THUY DUNG
DIY Fashion Star,Baby Education Animal Weather Toys LTD.
Dinosaurs Hunters: Wild Shooti,NGO HAI YEN
Dance Tap Revolution,Timothy Taggart
Drum Pad Machine - Beat Maker,Easybrain
Dave: Outsmart Overdrafts,"Dave, Inc"
Domino's Pizza USA,Domino's Pizza LLC
Duolingo,Duolingo
Google Play Store
ZEDGE™ Ringtones & Wallpapers,net.zedge.android
d'Music,com.kuackmedia.digicel
FRONTLINE COMMANDO: D-DAY,com.glu.flcn_new
Lip Sync by Dubsmash,com.mobilemotion.dubsmash
mydlink Lite,com.dlink.mydlink
D-Link QRS Mobile,com.dlink.QRSmobile
Jack’d - Gay Chat & Dating,mobi.jackd.android
SHIN MEGAMI TENSEI Liberation D×２,com.sega.d2megaten.en
Chants D'Esperance with Tunes,com.eznetsoft.chantsdesperance
D Day World War II Commando Survival Shooting,com.a360g.worldwarshoot
Block City Wars + skins export,block.app.wars
Dropbox,com.dropbox.android
Dragon City,es.socialpoint.DragonCity
Chants D'Esperance,com.chantbook.chantbook
Lovedays - D-Day for Couples,com.wonderabbit.lovedays
Couple Widget - Love days Countdown,pr.lifestyle.coupleddaywidget
Google Duo – High quality video calls,com.google.android.apps.tachyon
Fruit Ninja®,com.halfbrick.fruitninjafree
Mood Scanner,mobi.borken.android.moodscanner
Sniper 3D Gun Shooter: Free Bullet Shooting Games,com.fungames.sniper3d
Bike Race Free - Top Motorcycle Road Racing Games,com.topfreegames.bikeracefreeworld
Kik,kik.android
TikTok - including musical.ly,com.zhiliaoapp.musically
Discord - Chat for Gamers,com.discord
Hill Climb Racing,com.fingersoft.hillclimb
Snapchat,com.snapchat.android
Minion Rush: Despicable Me Official Game,com.gameloft.android.ANMP.GloftDMHM
My Teacher - Classroom Play,com.tabtale.teacher
Love Frames,com.loveframes.android
Guitar Tuner Free - GuitarTuna,com.ovelin.guitartuna
Netflix,com.netflix.mediaclient
SoundCloud - Music & Audio,com.soundcloud.android
"DU Recorder – Screen Recorder, Video Editor, Live",com.duapps.recorder
Speedtest by Ookla,org.zwanoo.android.speedtest
Pixel Gun 3D: Survival shooter & Battle Royale,com.pixel.gun3d
PLAYMOBIL Horse Farm,com.playmobil.reiterhof
Dream League Soccer 2018,com.firsttouchgames.dls3
Google Drive,com.google.android.apps.docs
Hoarding Frames,com.roadframes.android
love test,com.mobilplug.lovetest
Indeed Job Search,com.indeed.android.jobsearch
"Mobizen Screen Recorder - Record, Capture, Edit",com.rsupport.mvagent
Idle Miner Tycoon,com.fluffyfairygames.idleminertycoon
Don't Tap The White Tile,com.umonistudio.tile
Doctr – ER wait times in Canada,ca.doctr
Boomerang from Instagram,com.instagram.boomerang
"AliExpress - Smarter Shopping, Better Living",com.alibaba.aliexpresshd
FRONTLINE COMMANDO: WW2,com.glu.dd2
DAY DAY Countdown Widget,pr.lifestyle.dayday
UNICORN - Colour by Number Pixel Art Game,com.appcraft.unicorn
