Escape School:Pretty Girl's High School Escape,"[['avoid', 'uncle'], ['beautiful', 'game']]"
Visit Santa Fe,"[['filter', 'get'], ['restaurants'], ['arts', 'music'], ['platform', 'events']]"
Survival Combat Strike Mission,"[['shooting', 'war'], ['thrilling', 'Challenging'], []]"
Safe Santa Fe,"[['send'], ['contact', 'campus'], ['access', 'safety'], ['safety', 'resources'], ['instructions'], ['provide', 'instant']]"
Sands Resorts – Photo,"[['share', 'ability'], ['photos', 'family'], ['available', 'purchase'], ['photo', 'custom'], []]"
Lake Hope: Ready For School,"[['shapes', '10'], ['vegetables', 'fruits'], ['promote', 'seeking'], ['pronounced', 'reinforce'], ['identify', 'sight'], ['written', 'form'], ['tap', 'word'], ['right', 'choose'], ['kids', 'apps'], ['let', 'listen'], [], [], ['number'], ['ready', 'school'], ['onion']]"
app,['features']
After School­,"[[], ['set', 'forth'], ['experiences', 'compliments'], ['school', 'issues']]"
St Brigid's - Officer,"[['contains', 'library'], ['forms', 'newsletters'], ['date'], ['events', 'upcoming'], ['subscribe', 'allowing'], ['alerts', 'reminders'], ['school', 'broader'], ['school', 'life']]"
Love Balloon Stickers for Valentine Day,"[['tap'], ['amazing', 'unique'], ['top', 'message'], ['please'], ['using', 'second']]"
Las Vegas Church of Harvest,"[['access'], ['steps'], ['reading', 'daily'], ['journey', 'READING'], ['faith', 'boost'], ['list', 'prayer'], ['needs', 'requests'], ['updates', 'prayer'], ['instant', 'get'], ['directions', 'get'], ['share', 'community', 'prayer'], ['photo', 'leader'], ['bios', 'added'], ['mission', 'trips'], ['edify', 'church'], ['up-to-date', 'church'], [], [], ['help'], ['ministry'], ['track'], ['favorite']]"
FaceU - Cute stickers camera,"[['selfie', 'take'], ['updated', 'everyday'], ['chic', 'outfits'], ['photo', 'frame'], ['stickers', 'videos'], ['massive', 'background'], ['celebrities'], ['fashion', 'kinds'], ['sticker', 'special'], ['control', 'magics'], ['hair', 'fireworks'], ['filters'], ['styles'], [], [], ['rid', 'pimples'], ['shapes', 'choice'], ['test', 'kind'], ['different', 'shot'], ['natural', 'remaining'], ['faceu', 'business'], ['ancient', 'styling'], ['expressions', 'facial']]"
US Army Training Officer,"[[], ['temperature'], ['goals'], ['attacker', 'sniper'], ['pushups'], ['monsters', 'abolish'], ['whole', 'days'], ['trained'], ['super'], ['hot', 'extreme'], ['difficult'], ['challenges', 'excited'], ['wants', 'join'], ['game', 'love'], ['game'], ['exercise'], ['military'], ['weapons'], ['war'], ['real', 'becoming'], ['real', 'army'], ['hero'], ['commando', 'army'], ['course', 'army'], ['training', 'school', 'army'], ['training', 'school'], ['rival', 'competing'], ['rescue', 'grand'], ['country', 'attack'], ['country', 'people'], []]"
Meetings Concierge - MBS,"[['impact', 'environmental'], ['associated', 'paper-based'], ['messaging', 'exhibitor'], ['photo', 'profiles'], ['built-in'], [], ['access', 'privacy'], ['advantage'], ['attendees', 'latest'], ['option']]"
Army Frontline Shooting Strike,"[['shooter'], ['thrill'], ['base', 'camp'], ['secret', 'find'], ['game'], ['blazing', 'commando'], ['strike', 'mission'], [], []]"
Guns of Boom,"[['shooting', 'streamlined'], ['shooty', 'super'], ['devices'], ['hang', 'get'], ['start'], ['game'], ['battles'], ['hardware', 'screen'], ['players', 'eSports'], ['colorful', 'themed'], ['content', 'constant'], ['perks'], ['hero'], ['perfect', 'look'], ['items'], [], [], [], ['multiplayer'], ['matches']]"
