Name,Package Name,Description,Rating,Rating Count
Murça em Rede,com.wiremaze.cityfy.murca,"A aplicação móvel “Murça em Rede” permite acompanhar toda a atualidade do Município de Murça, incluindo eventos e pontos de interesse turísticos, gastronómicos e culturais.
Compatível com a maioria dos “smartphones” e “tablets”, esta aplicação da Câmara Municipal de Murça dá acesso a notícias, agenda de eventos, informações meteorológicas, informações da proteção civil, informações ao nível do alojamento e restauração e de pontos de interesse patrimoniais, listagem e contatos de associações existentes, entre outros.
Através desta aplicação o munícipe poderá comunicar ocorrências ou até votar no Orçamento Participativo.
A aplicação possui ainda um conjunto de funcionalidades que permitem uma maior interação entre a Câmara Municipal de Murça e os seus munícipes e visitantes. Permite ainda que todos aqueles que, por várias razões, se encontram distantes, acompanhem de perto as novidades do concelho.
 
Principais funcionalidades:
· Agenda cultural;
· Consulta de notícias;
· Informações turísticas (o que visitar, onde comer e onde dormir;
· Notificações;
· Envio de ocorrências (Reportar problemas que encontre no Concelho);
· Participação/Votação no Orçamento Participativo;
· Farmácias de serviço.
. Informações meteorológicas;
· Informações da Proteção Civil;
. Envio de sugestões;",,
Rede Empresarial ES,br.com.globalsys.esemacao,"Plataforma para gestão e comunicação  de projetos.
Possibilita o acompanhamento dos projetos de varias instituições/empresas de forma simultânea.
O App permite a gestão a partir dos marcos críticos dos projetos.
Monitore os indicadores dos projetos e da instituições por meio do App.",,
Boletim Em Rede Scania,com.totalmobi.scaniaemrede,"O Em Rede traz notícias e vídeos sobre a Scania, seus produtos e serviços, além de apresentar tendências do setor de transporte. É dirigido aos colaboradores da rede de concessionárias da marca no Brasil.",,
Agência JS,com.agenciajs.gestaocliente,"A Agência JS disponibiliza para seus clientes o acesso as informações de produtos e serviços contratados na palma da sua mão, um canal rápido e fácil para ficar sempre informado.

Observação: 
O aplicativo é destinado para os clientes da Agência JS.",,
Rede Fácil Brasil,com.Phantasos.RedeFacilBrasil,"O App Redefácil Brasil possui tecnologia de Realidade Aumentada, mais uma forma de interação entre os materiais e serviços da marca Marita.

Baixe o nosso aplicativo e saiba mais sobre nossa empresa, produtos e plano de negócio.

Somos uma das maiores companhias de vendas diretas no segmento de alimentos e bebidas funcionais, para saber mais acesse www.redefacilbrasil.com.br e venha fazer parte da nossa família.",,
Realidade Aumentada Rede Massa,com.RAB.RedeMassa,"Baixe nosso aplicativo para acessar os vídeos e conhecer os detalhes do maior projeto de verão do Paraná, o Mais Verão Rede Massa.",,
Cielo iD,br.com.m4u.cielo.verde,"Cielo iD é um aplicativo que traz mais praticidade e segurança para seu dia-a- dia. Com ele, você recebe todos os comprovantes das compras realizadas nas máquinas da Cielo de forma digital e ainda tem acesso à promoções e descontos exclusivos em estabelecimentos perto de você.

COMO FUNCIONA?
Baixe o aplicativo, cadastre seus cartões e pague suas compras na máquina da Cielo para acessar todas as vantagens do Cielo iD! Você poderá aproveitar a praticidade dos comprovantes digitais e ganhar brindes e descontos. Cada cartão precisa ser cadastrado uma única vez.

FUNCIONALIDADES
- Comprovante Digital: Receba seus comprovantes digitais no Cielo iD sempre que realizar compras nas máquinas da Cielo.

- Busca: Localize seus comprovantes ou estabelecimentos no histórico de compras.

- Detalhe dos comprovantes: você tem acesso às mesmas informações dos comprovantes físicos sem gastar papel e contribuindo para o meio ambiente.

- Promoções: Acompanhe as promoções próximas a você e tenha acesso à descontos e brindes exclusivos nos estabelecimentos cadastrados.

IMPORTANTE
- As informações que trafegam no Cielo iD são criptografadas e protegidas.

- A Cielo é certificada pelo PCI Council e segue os mais rígidos parâmetros de segurança estabelecidos pelo mercado de pagamentos eletrônicos. Todos os seus dados estarão 100% seguros.

- Compatível com todas as operadoras de telefonia e válido para todo o território nacional.

Caso tenha alguma dúvida ou sugestão, por favor envie um e-mail para: cieloid@cielo.com.br.",4.0,5
WifiNow,com.br.executeti.wificonnecta,O WifiNow é um aplicativo que permite o uso de redes WiFi em estabelecimentos parceiros previamente cadastrados.,,
Rede Humaniza SUS Móvel,com.redehumanizasus.iosapp,"A Rede Humaniza SUS é a rede social das pessoas interessadas e/ou já envolvidas em processos de humanização da gestão e do cuidado no SUS.

Nosso objetivo é criar uma rede de colaboração, que permita o encontro, a troca, a afetação recíproca, o afeto, o conhecimento, o aprendizado, a expressão livre, a escuta sensível, a polifonia, a arte da composição, o acolhimento, a multiplicidade de visões, a arte da conversa, a participação de qualquer um.

Trata-se de uma arena aberta pela Política Nacional de Humanização para ampliar o diálogo em torno de seus princípios, métodos, diretrizes e dispositivos.
Uma aposta no coletivo. Uma aposta na inteligência coletiva. Uma aposta na constituição de coletivos inteligentes.
Aposta no Coletivo HumanizaSUS. Coletivo que se constitui em torno desse imenso acervo de conhecimento comum, que se produz sem cessar nas interações desta Rede.

A grande aposta é que essa experiência colaborativa aumente nossa potência coletiva para o enfrentamento dos grandes e complexos desafios da humanização no SUS.

Nesse sentido, cabe esclarecer que não apenas os conteúdos, mas as próprias ferramentas e o design do portal resultam dessa prática colaborativa, já que o objetivo é que esta Rede, sob todos seus aspectos, se construa na mais estreita sintonia possível com as necessidades intelectuais e afetivas do coletivo.",,
SAE Towers AR,com.saetowers.ar,"Veja algumas das torres em Realidade Aumentada!

Imprima os marcadores disponíveis em: http://bit.ly/saetowers

Fornecemos estruturas estaiadas e autoportantes com configurações de circuitos simples, duplos e múltiplos, abrangendo voltagens de 69 kV até 765 kV. Com uma extensa base de dados de projetos de torres, reunidas ao longo de mais de 40 anos, estamos aptos a projetar e fornecer torres para todos os tipos de terreno, ambientes e condições operacionais. A expertise de nossa engenharia compreende a elaboração de projeto de todos os tipos de torres, como as de suspensão, ancoragem e fim de linha.

Somos a referência nas Américas para complexas travessias de rios e áreas alagadas, estruturas para corrente contínua e alternada e outros grandes desafios enfrentados pelo setor da transmissão de energia. Todas as nossas estruturas são otimizadas para terem eficiência de peso e montabilidade, a fim de minimizar o custo final.

A SAE Towers é uma das maiores produtoras mundiais de torres treliçadas de aço para linhas de transmissão de energia.",,
Rede de Ensino Gênesis,br.com.eem.Genesis,"Colégio Gênesis! Acesse as informações da escola através deste aplicativo.

Com este aplicativo, os pais, responsáveis e professores poderão receber as últimas informações da escola, as notícias do dia a dia do seus filhos e o calendário de atividades escolares.

* Obs: O acesso às informações de um aluno ou usuário é privado e somente liberado usando o email e senha cadastrados junto a escola.",,
Rede Somos UM,br.com.fabricadeaplicativos.app1688012,"""É um aplicativo que reúne Cristãos Católicos e Evangélicos de diferentes denominações que unidos fazem a diferença no mundo testemunhando o Amor de Cristo em seus relacionamentos, seja pela oração comum seja pelo serviço aos mais necessitados.

Conheça e faça parte desta história inscrevendo-se para a I Conferência de Louvor e Adoração Somos Um.

Cadastre seu grupo de oração ou de serviço onde católicos e evangélicos de diferentes denominações sirvam com alegria e esperança dando testemunho do Evangelho do Amor de Cristo.

Saiba o que pensam católicos e evangélicos sobre a unidade dos Cristãos.""",,
Colégio Criativo Palmas,br.com.eteg.ColegioCriativo,"Colégio Criativo Palmas! Acesse as informações da escola através deste aplicativo.

Com este aplicativo, os pais, responsáveis e professores poderão receber as últimas informações da escola, as notícias do dia a dia do seus filhos e o calendário de atividades escolares.

* Obs: O acesso às informações de um aluno ou usuário é privado e somente liberado usando o email e senha cadastrados junto a escola.",,
Lideres em rede,br.com.lideresemrede,Aplicativo lideres em rede para os clientes Quality,,
Revista Lady&Lord - rede de salões de beleza,br.com.ladyelord,"A revista Mais Lady&Lord traz as últimas novidades sobre beleza: cortes e colorações para mulheres e homens, penteados, maquiagem, sobrancelhas, estética, depilação, manicure, pedicure e informações exclusivas para noivas e formandas. Enfim tudo o que você precisa saber para ficar ainda mais bela(o) com quem melhor entende o assunto – os profissionais da beleza de uma das maiores redes de salão de beleza do Brasil – o Lady&Lord.

O catálogo de tendências L&L Collection apresenta as mais recentes novidades em maquiagem, penteados, cortes e colorações femininos e masculinos para as estações Primavera/Verão e Outono/Inverno. Criações dos profissionais da rede Lady&Lord para inspirar e orientar o público feminino e masculino.

A rede de salões Lady&Lord tem mais de 32 anos de mercado e atua com lojas franqueadas em diversas cidades brasileiras. É reconhecida pela qualidade de atendimento e serviços, bem como pelo talento de seus profissionais da beleza. Vale a pena conferir este conteúdo.",,
