Name,Package Name,Description,Rating,Rating Count
ItsDeductible Charity Donation Tracker,com.intuit.ItsDeductible,"ItsDeductible is an easy way to keep track of your donations and get back the maximum deductions you deserve for your charitable acts. 

Track all your donations year-round for FREE
• Easily import your donations into TurboTax
• Helps reduce your risk of an IRS audit
• Add donated items as well as mileage and cash any time
• Accurately value your donated items

Optimized for iOS 10. TurboTax users, just sign in and go! New users sign up from the app now and start tracking your donations!

From Intuit, the makers of TurboTax, TaxCaster, QuickBooks Online, Proseries, and Mint.

To learn how Intuit protects your privacy, please visit https://security.intuit.com/privacy",4.5,2133
Donate a Photo - a free charity app,com.jnj.donateaphoto,"Donate a Photo, the free donation app from Johnson & Johnson takes your photos and turns them into a way to do good. For every photo you share through Donate a Photo, Johnson & Johnson will donate $1 to the charity of your choice. 

Your photos can do things like help a newborn breathe with Save the Children, get school supplies for a girl in Guatemala with Girl Up, or help a deployed service member call home with the USO. 

Here’s how it works:
1.Choose a charity you want to help.
2.Take a picture with your mobile device (through the Donate a Photo app or choose one from your camera roll).
3.Share it (It’ll go in the Donate a Photo gallery and you can post it for all your friends to see on Facebook, Twitter, and Instagram).
4.Johnson & Johnson gives $1 to your cause.

You can donate one photo a day, every day. And when your friends see your photos in their feeds, they’ll get inspired to help, too. So you can all raise more money and awareness and help your causes meet their goals even faster—and it's free.

Johnson & Johnson has curated a list of trusted charitable causes, and when a cause reaches its goal, or its donation period ends, a new cause gets added. Even if a cause doesn’t reach its goal, Johnson & Johnson will still give a minimum donation.

You can track all the causes you’ve helped, see what your photos have helped do, and get notified when your causes reach their goals or when a new cause is added.

It’s never been easier to help the causes you care about. It's free—so get the app and get started.

*Donate a Photo is not intended for users under the age of 13.",4.0,139
Givelify Mobile Giving App,com.pushcontrolz.Givelify,"Use the Givelify mobile giving app for charity donations and church giving in as few as three taps.

Donate during nonprofit fundraising events, make church tithes and offerings, or while traveling.

2014 TechPoint Mira Awards Nominee & Finalist, Mobile Technology Innovation. Featured in ChurchMag, Yahoo! Finance, Inside Indiana Business, The Boston Globe.

“Even our online giving doesn’t give the person the opportunity to give in-service or spontaneously.” - Pastor Matthew Ball, Faith Apostolic Church  

“Givelify users can be at peace knowing their credit card information is not stored on their phones nor on Givelify’s servers. Information is safely transmitted and protected by the same level of security that protects customer payment information for nine of the top 50 financial institutions.” - TechPoint (http://techpoint.org) 

“As a traveling minister, Givelify is my preferred choice whether I’m giving to my home church or any church I’m visiting.” - Bishop Walter S. Thomas, New Psalmist Baptist Church

Features: 

- Give to any charity or church in the U.S. in as few as three taps - All your donation records in one place for tax time - No phone numbers, text message codes, or logins to remember 

- Automatically pinpoints your location to identify the fundraiser or worship service you’re attending 

- Mark home and favorites for quick one-tap access 

- Church or charity receives your donations next business day 

Download the Givelify mobile giving app for the easiest, most pleasant way to make the world a better place one tap at a time. Learn more at https://givelify.com",4.0,55
Compassion,53E9UN3B28.COMPMOB,"Share life with your sponsored child, wherever you are. The Compassion app gives you tools to stay connected and discover the impact you’re having on your sponsored child.

• See your child’s latest photos. 
• Learn about your child's center and favorite activities. 
• Write your child or send a photo from your phone. 
• Be equipped to pray for your child. 
• You can even find out the weather in your sponsored child’s country!

Download Compassion’s app today and discover new ways to connect with the child you sponsor. It will remind you of the many ways you are changing a life through sponsorship.",3.5,274
GiveEasy - donate & give to your charity & cause,com.giveeasy.giveeasy,"GiveEasy, supported by Australia Post changes the future of giving.

This App allows you to donate funds to appeals and charities directly from your credit card, anytime, anywhere. Your friends and colleagues are even notified of your donations through Facebook and Twitter.

Features:

· Quickest and easiest way to donate to charities and causes from your credit card
· Once you have donated you never have to enter credit card details again
· Charities sorted into categories to make giving even easier 
· Easily see featured causes
· Receipt delivered to your phone and your email address
· Safe and secure
· Funds transferred directly to the charity’s bank account",3.5,7
ShareTheMeal,org.sharethemeal.app,"TOGETHER WE CAN END HUNGER!
ShareTheMeal is the charity app by the World Food Programme that allows you to feed a child in need with one tap on your phone. Every year, hunger kills more people than malaria, HIV and tuberculosis combined. But it costs only $0.50 to feed a child for one day. There are 20 times as many smartphone users as hungry children. If every one of us gives just a little, we can make this world a better place!

+ 850,000 people are already fighting hunger with ShareTheMeal
+ 14 million meals have been shared 
+ ShareTheMeal is part of the United Nations World Food Programme

Use ShareTheMeal to:
+ Share your meal with hungry children: wherever you are, whenever you want
+ See exactly where your donation goes and who you are helping
+ Create a team and fight hunger together with your friends
+ Learn more about how we can build a world without hunger

You should fight hunger with ShareTheMeal because: 
+ Hunger is the world’s greatest solvable problem
+ The World Food Programme provides the food and monitors the impact
+ It’s proven that helping others makes you a happier person too
+ Recommended by The New York Times, CNN, Wired, Buzzfeed, and many more.

**Please say hello**
We love to hear from you! Send your feedback and suggestions to support@sharethemeal.org

**Please join ShareTheMeal**
Website https://sharethemeal.org
Facebook https://www.facebook.com/sharethemeal
Twitter https://twitter.com/sharethemealorg 
Instagram https://instagram.com/sharethemeal/ 
Snapchat @sharethemeal",5.0,1615
Goodshop Coupons and Deals for Good,com.goodsearch.Goodshop,"We like to say that we have the most powerful coupons in the world.

Not only do we provide the best shopping deals at all of your favorite stores, but we also make a donation to the nonprofit or school of your choice for almost every purchase you make. That's right: when you shop with Goodshop you don't just save. You also give, at no extra cost.  Over $11 million donated so far!   


It’s simple to use:
1. Pick your favorite stores or brands.
2. We’ll send you the best coupons, deals, and discounts right when they come out.
3. Tell us the cause that’s most important to you. Virtually every time you shop, we’ll donate an average of 3% of your purchase to your cause - at no extra cost to you!
 
Features:

- Pick the stores you love for one-touch access to online shopping and savings.
- Get the latest coupons and deals as soon as they come out.
- Save money with over 200,000 great coupons, promo codes, deals, discounts and sales.
- Easily redeem online coupons via a simple tap and drop feature.
- Choose your favorite cause from a list of over 114,000 worthy nonprofits and schools.
- See how much each store will donate when you make purchases. 
- Share your favorite deals and your impact with friends.
- Watch your donations add up: money to help buy books for schools, fund clean water projects, feed the homeless, cure diseases, sponsor adoptions of stranded animals and much more!

To save big and to make an impact at the same time, download Goodshop today.

Save money, save the world!",5.0,161
آي خير للتبرع  iKhair Donation,com.qunatatel.ikhair,"أكثر من 5 مليون درهم تبرعات وصدقات تمت من خلال تطبيق ""آي خير"" للجهات الخيرية والجمعيات في الإمارات.

تطبيق آي خير، وسيلتك الأسهل والأسرع للخير والتبرع والصدقات!

ضغطة زر واحدة تصلك لطرق الخير المتعددة، دون بذل الجهد، فقط  من مكانك من جوالك

فقد أصبح الآن بإمكانك التبرع بكل سهولة وسلاسة دون الإضطرار للذهاب لموقع الجمعية المرادة دون تكلفه المواصلات ولا زحام مواقف السيارات، بكل سهولة ضغطة زر واحدة تصلك بالجمعية المراد التبرع بها واختيار المبلغ المعين والحاله الخاصة المطلوب التبرع لها، ووفر الوقت والمجهود.

تبرع من الجوال باستخدام:- الرسائل النصية SMS - بطاقات الائتمان - الحساب البنكي 
وليس هذا فقط !
بل ستصلك إشعارات للحالات الطارئة فلن تضطر إلى تفقد التطبيق في كل لحظة.

مميزات التطبيق:

- تصميم أنيق وعملي
- أكثر من 17 جهة وجمعية خيرية من جميع أنحاء الإمارات
- سهولة التبرع من خلال (الرسائل النصية SMS – بطاقات الإئتمان – الحساب البنكي)
- مشاريع وحالات مختلفة وطريقة عرض تسهل عليك التصفح خلالهم
- منبه للصدقات
- إمكانية معرفة مجموع تبرعاتك وأخر التبرعات
- إمكانية وضع المشاريع والحالات المراد التبرع لها في قائمة المفضلة لسهولة الوصول إليها
- صغر مساحة التطبيق وسرعة في التشغيل
- إشعارات تنبيهية للحالات العاجلة
- التبرعات تصل كلها للجمعية أو الحهة الخيرية دون أي خصم

الجهات والجمعيات الخيرية في آي خير:

•	جمعية الإحسان الخيرية
•	جمعية الشارقة الخيرية
•	هيئة الأعمال الخيرية
•	جمعية بيت الخير
•	الهيئة العامة للاوقاف أبو ظبي
•	جمعية دبي الخيرية
•	جمعية الفجيرة الخيرية
•	لجنة أصدقاء المرضى
•	جمعية أصدقاء المرضى بعجمان
•	أصدقاء مرضي السرطان
•	جمعية الرحمة الخيرية
•	القلب الكبير
•	الشارقة للتمكين الإجتماعي
•	صندوق الزكاة
•	تحقيق أمنية Make A Wish 
•	مؤسسة الجليلة
•	صندوق الفرج
•	مؤسسة القرآن والسنة
•	أوقاف الشارقة
•	جمعية دار البر الخيرية
•	الهلال الأحمر الإماراتي  Emirates Red Crescent

قال تعالى: ( إِنْ تُبْدُوا الصَّدَقَاتِ فَنِعِمَّا هِيَ وَإِنْ تُخْفُوهَا وَتُؤْتُوهَا الْفُقَرَاءَ فَهُوَ خَيْرٌ لَكُمْ وَيُكَفِّرُ عَنْكُمْ مِنْ سَيِّئَاتِكُمْ وَاللَّهُ بِمَا تَعْمَلُونَ خَبِيرٌ) (271) البقرة 

وقال تعالى: (خذ من أموالهم صدقة تطهرهم وتزكيهم بها وصل عليهم إن صلاتك سكن لهم والله سميع عليم) التوبة 103

وقال تعالى: (الذين ينفقون أموالهم بالليل والنهار سرا وعلانية فلهم أجرهم عند ربهم ولا خوف عليهم ولا هم يحزنون) البقرة 274

وقال تعالى : { مَثَلُ الَّذِينَ يُنْفِقُونَ أَمْوَالَهُمْ فِي سَبِيلِ اللَّهِ كَمَثَلِ حَبَّةٍ أَنْبَتَتْ سَبْعَ سَنَابِلَ فِي كُلِّ سُنْبُلَةٍ مِئَةُ حَبَّةٍ وَاللَّهُ يُضَاعِفُ لِمَنْ يَشَاءُ وَاللَّهُ وَاسِعٌ عَلِيمٌ . الَّذِينَ يُنْفِقُونَ أَمْوَالَهُمْ فِي سَبِيلِ اللَّهِ ثُمَّ لَا يُتْبِعُونَ مَا أَنْفَقُوا مَنًّا وَلا أَذًى لَهُمْ أَجْرُهُمْ عِنْدَ رَبِّهِمْ وَلا خَوْفٌ عَلَيْهِمْ وَلا هُمْ يَحْزَنُونَ } البقرة / 261 ، 262 .

قال رسول الله صلى الله عليه وسلم: من تصدق بعدل تمرة من كسب طيب ولا يقبل الله إلا الطيب وإن الله يتقبلها بيمينه ، ثم يربيها لصاحبه كما يربي أحدكم فَلوَّه حتى تكون مثل الجبل . 

قال رسول الله صلى الله عليه وسلم: قال الله أنفق يا ابن آدم أنفق عليك. 

قال رسول الله صلى الله عليه وسلم: ما نقصت صدقة من مال ، وما زاد الله عبدا بعفو إلا عزاً ، وما تواضع أحد لله إلا رفعة الله .
 
قال رسول الله صلى الله عليه وسلم: ما من يوم يصبح العباد فيه إلا ملكان ينزلان فيقول أحدهما : اللهم أعط منفقاً خلفاً ، ويقول الآخر : اللهم أعط ممسكاً تلفاً . 

قال صلى الله عليه وسلّم : الصّوم جُنة ، والصدقة تطفيء الخطيئة كما يطفيء الماء النار. 

قال صلى الله عليه وسلم : كل امرئ في ظل صدقته حتى يقضى بين الناس. 

عن أبي هريرة رضي الله عنه عن النبي صلى الله عليه وسلم قال : سبعة يظلهم الله تعالى في ظله يوم لا ظل إلا ظلُّه : .. ورجل تصدق بصدقة فأخفاها حتى لا تعلم شماله ما تنفق يمينه .. إلى آخر الحديث

قال صلى الله عليه وسلم : إن الصدقة لتطفئ غضب الرب. 

Mobile Donation App, pay zakat, and donate from your mobile via SMS, Credit card and Bank account.

Our website: www.ikhair.net",4.5,27
The Salvation Army Family Store App,com.SalvationArmy.FamilyStore,"Have clothes or furniture to donate? Want to discover some great deals?

With The Salvation Army Family Store App, you can do both, all while helping others.

Schedule a time for donation pick up. Find a drop-off location. And get a receipt for your donation.

Plus, get coupons and great deals for your local Family Store, delivered right to your phone.

Whether you’re donating furniture, clothing, books, household items, or even donating a car, The Salvation Army Family Store App makes it easier than ever.

This app will even keep track of the donations you’ve made, so you don’t have to.

Download the free Salvation Army Family Store app now. And see how your touchscreen can touch lives.",1.5,66
One Today,com.google.OneToday,"One easy way to better the world. Today.

One Today makes it easy to support the nonprofit causes you care about. Make it your very own generosity app.

• INSPIRE YOURSELF. INSPIRE OTHERS: See how one deed today = a better tomorrow. Get a real-world photo, short story, and simple explanation of what your dollars actually make better. Choose from a number of causes, browse new projects, and get inspired by others' generosity.

• DONATE. MATCH. REPEAT: Quickly give $1, or more. Double your impact by inspiring others to match your donations.

• FEELS GOOD. PASS IT ON: Generosity is contagious. So, share your projects. Spread random acts of kindness by paying it forward. You can even pay for someone else’s donations.

• BENEFITS: U.S.-based nonprofits — Validated by the IRS and Google for Nonprofits
No transaction fees — 100% of the donation goes to the nonprofit
Tax-deductible — Get a convenient, year-end tax receipt for all your donations
Discreet — Your private contact info is not given to the nonprofits, just your kindness
Better you — Science shows that generosity can improve health and reduces stress

GIVE A LITTLE. CHANGE A LOT.

Learn more by visiting google.com/onetoday",4.5,68
