Name,Package Name,Description,Rating,Rating Count
La X Radio Visual,com.gomobile1008584,"¡Ahora la radio se ve! 

Y este nuevo app te dará el acceso a la nueva plataforma Radio Visual de La X,  llevando la radio a nivel visual digital. 

Ahora vas a tener el poder de ver lo que toda nuestra programación ofrece: personalidades, programas en vivo, y la mejor música en video.

Entretenimiento, información y la mejor música al estilo de La X de Puerto Rico con los mejores programas: El Relajo (Deddie y Red), El Power Lunch (Ernesto y Bartender), El Ajetreo (El Bebo y Miguel Morales), Las Noches X (Joey y Barto).

¡La X, radio que se ve!!!",4.0,16
Lax Cowork,com.laxcowork.laxpp,"Lax Cowork, un espacio donde podrás encontrar a los artistas más exclusivos.

Como cliente podrás reservar y pagar tus servicios desde la app

Como artista podrás gestionar tus servicios, ver el historial de tratamientos de tus clientes",,
ITOA LA Taxi Los Angeles Cab,com.digital-dispatch.IndependentTaxiLA,"Order a taxi cab in Los Angeles from Independent Taxi (ITOA) using your phone or tablet – 24 hours a day, 365 days a year!! Fast, convenient, and easy to use.
Use a map to select your pick-up location, and track the location of your taxi.
Receive notification alerts about the status of your booking, and when your taxi arrives.
TAXI BOOKING FEATURES:
• Request a taxi cab right now, or select a future date and time for pick-up.
• Don’t know your location? – Send the taxi to your current GPS position.
• You can also tap a location on a map, or type in a pick-up address.
• Save a pick-up address as a favorite, and use it for future bookings.
• Select booking options for your cab (wheelchair accessible, pet-friendly,etc.)
• Send additional info the driver – type a message, up to 255 characters.
• A confirmation message lets you know your booking request was accepted.
• Push notifications alert you when your cab is on the way, and when it has arrived.
TRACKING FEATURES:
• Display the current location of your taxi on a map.
• Cancel a booking.
• Display up to three previous bookings made with your mobile device.
• Tap a button to make a phone call to Independent Taxi  (if app is installed on a phone).
NOTE: If the Independent Taxi – LA application is installed on a tablet, the feature to call Independent Taxi is disabled.
SERVICE AREA:
Los Angeles – Agoura Hills,Arleta,Arlete,Atwater Village,Bel Air,Beverly Hills,Brentwood,Calabasas,Canoga Park,Canyon Country,Central City,Central LA,Century City,Chatsworth,Cheviot Hills,Chinatown,City of Commerce,Culver City,Curlver City,Downtown,Eagle Rock,East Los Angeles,Edendale,El Segundo,Encino,Granada Hills,Hollywood,Hollywood Hills,LAX,La Canada Flintridge,La Crescenta,La Crescenta - Montrose,La Crescenta-Montrose,Ladera Heights,Los Angeles,Los Angeles Airport,Los Angeles Downtown,Los Angeles International Airport,Los Feliz,Malibu,Marina Del Rey,Mid City,Montrose,Moorpark,North Hills,North Hollywood,Northeast Los Angeles,Northridge,Oak Park,Pacific Palisades,Pacoima,Panarama City,Panorama City,Playa Del Rey,Porter Ranch,Reseda,Santa Clarita,Santa Monica,Saugus,Sharman Oaks,Sherman Oaks,Simi Valley,South Los Angeles,Studio City,Sun Valley,Sylmar,Tajunga,Taluca Lake,Tarzana,Thousand Oaks,Toluca Lake,Topanga,Topanga Canyon,Topanga Canyon Park,Tujunga,Tuna Canyon Park,Valley Village,Van Nuys,Venice,Vermon,Vernon,Warner Center,West Hills,West Los Angeles,West hills,Westwood,Woodland Hills",4.5,9
Guess The Place Game - 4 pics 1 city or country. Geography landmark pop quiz trivia for people who like to travel & know how to explore new cities and countries.,com.lucerotech.Guess-Place,"If you like to play trivia games, at least do so while learning world geography!
Look at 4 beautiful images and guess which country or city it is.

Highlights:
√ Tons of fun and challenging puzzles to guess!
√ It is Free and No Registration required. Enjoy the game instantly. 
√ Play with friends, share puzzles on Facebook to ask your friends for help! 
√ Use hints if you are stuck!

Like LuceroTech on Facebook!
https://www.facebook.com/lucerotech

Follow LuceroTech on Twitter!
https://twitter.com/LuceroTech",4.5,2058
UW La Crosse,com.80503.youvisit,"Discover the University of Wisconsin - La Crosse! 

Thinking of attending the University of Wisconsin - La Crosse? 
Prospective students and families can explore the campus and learn about our unique programs, culture and sports teams through a self-guided tour. Whether at home or on campus our interactive student guide will   accompany you as you explore our offerings 
through the use of the GPS-enabled campus map, student videos and photos.
 
Key Features 

* Self Guided Tour: A location-based Campus Map will highlight important landmarks on campus and will allow you to easily find your way around. As you approach 
buildings our tour guide will provide you with important information regarding our programs. 

* Landmarks and Buildings: Learn more about our programs and explore campus landmarks via descriptions and rich-multimedia 

* Custom Walking Tour: Enhance your visit by taking a custom tour and get an up-close look at many of the unique majors and programs offered. 

* Multimedia: Explore our community by watching videos from campus and browsing through hundreds of photos 

* Interactive Panoramas: Browse through a list of interactive 360 panoramas of covering various locations and buildings",,
Ride L.A. - United Taxi,com.fkiner.unitedtaxi,"The fastest way to get a Taxi Cab in LA. GPS based location detector, Under a minute, you can have all the necessary information about your trip sent and without delay, a taxi cab from United Taxi will be speeding away to pick you up. Los Angeles-based Taxi Service, United Taxi is one of the largest and most trusted Taxi Companies in town. Serving most of the greater LA including Beverly Hills and West Hollywood, San Fernando Valley, Burbank, Culver City, Long Beach, Pasadena, South Bay and Santa Clarita.",2.5,21
Car hire LAX - Los Angeles USA,lominov.CarRental24h.LAX,"Car Rental in Los Angeles Airport (LAX)

Have an unforgettable trip to the city of Los Angeles California, second-most populous in the United States. You can visit Walt Disney Concert Hall, the Cathedral of Our Lady of the Angels, Angels Flight, the Kodak Theatre, the Griffith Observatory, the Hollywood Sign.

Los Angeles International Airport or LAX:
- Is the sixth busiest airport in the world
- Serves near 63,688,121 passengers per year
- has nine passenger terminals

Rent A Car located at the Los Angeles International Airport, or LAX, is easily accessible to the terminals and shuttles. The Los Angeles rental car fleet at includes economy class, mid-size and family-size cars, through SUVs, vans and luxury vehicles for your business or pleasure travel needs.

Car Rental Companies:
Ace Rent A Car
Advantage 
Airport Van Rental
Alamo
Avis
Budget
Dollar 
E-Z Rent-A-Car 
Economy RentACar
Enterprise 
Fox RentACar
Hertz
MCAR 
National
NÜ Car Rentals
Payless 
Sixt 
State Van
Thrifty
U-Save",,
Alliance Limo Mobile,com.orissa.iride.alliance.appstore,"Alliance Limousine takes pride in providing you with a dedication of excellence in ground transportation. Our chauffeurs are there to meet your every need and ensure you the highest level of service. We offer a wide range of luxurious vehicles to choose from including towncars, luxury sedans and SUVs (from makes such as Mercedes Benz), stretch limousines and luxury vans for up to 13 passengers. 

Using our mobile app you can:
- Get a rate quote
- Book, edit or cancel a reservation
- Save frequently travelled locations
- View past reservations and obtain receipts
- Update location information
- Update payment information",5.0,6
L.A. Insider Specialist,com.travpromobile.losangeles.store,"Los Angeles is much more than a destination - it’s a lifestyle. It’s about soaking up a dreamy sunset, while washing it down with an authentic taco. It’s about street art, performance art, fashion, and cuisine. It’s a collection of vibrant neighborhoods, each with its own unique scene. And now, you can be an expert on this amazing city.  This mobile app is designed to help you more easily discover and sell Los Angeles like a pro, anytime or anywhere. 
 
The content is all-new, updated regularly, easily sharable, and has something for everyone. In addition to the destination content, enjoy the interactive supplier Directory and explore other products throughout the city to expand your understanding of what’s new, exciting, and available for your clients.",,
City Trans,com.limolabs.citytrans,"Using the City Trans App, you can:
 
-          Book your ride quickly as a guest, or log in under your personal and secure account
-          Easily setup and manage your account 
-          Pinpoint your exact location
-          Access live rates
-          Save your frequently used addresses and passengers
-          View and manage past and future rides
-          Experience convenience while working with a user friendly app",,
Reserve Limo,com.limolabs.reservelimo,"The Reserve Limo App makes it easy and convenient for you to book a private car and limo service in Los Angeles area.
 
Reserve Limo is a premier Los Angeles Limousine and LAX Limo Transfers service offering an extensive fleet of limousines, party buses, shuttle buses and sedans for any occasion.

Using the Reserve Limo App, you can:
 
-          Book your ride quickly as a guest, or log in under your personal and secure account
-          Easily setup and manage your account 
-          Pinpoint your exact location
-          Access live rates
-          Save your frequently used addresses and passengers
-          View and manage past and future rides
-          Experience convenience while working with a user friendly app",,
LA Airport Peace Officers Assn,com.partner-auto-9128.laapoa,"The Los Angeles Airport Peace Officers Association app keeps users at the forefront of public safety issues at home and abroad. The app also provides access to the latest LAAPOA news and press releases, the American Alliance of Airport Police Officers (AAAPO) press releases, and the latest issue of the BOLO Newsletter. The app enables members to stay up to date on union news, events, legal representation, benefits and more.

LAAPOA represents the sworn police officers and firefighters of the Los Angeles Airport Police Department assigned to protect and serve Los Angeles International Airport (LAX), LA/Ontario International Airport (ONT) and Van Nuys Airport (VNY).",,
LA Motopolitan,com.classco.lamotopolitan,"LA MOTOPOLITAN is a premium ground transportation service.

Whether you need a ride to/from the airport or across the town, don’t hesitate to book your ride with LA Motopolitan and get rid of daily traffic.

Save time, travel smart.
Enjoy your trip.
No fee for time spent on board.

We provide all the necessary equipments: helmet (with a single use hairnet-type cap), jacket and gloves. 
On board, you can make phone calls after pairing your phone to our helmet BlueTooth® connection. You can also enjoy your ride by listening your own music or chatting with your driver. 
We can take carry on (24lbs) + suitcase and little bag.

For further information about our service, please visit our website lamotopolitan.com

- Book your ride quickly with our website or app.
- Easily setup and manage your account
- Access live rates
- View and manage past and future rides
- Rate your driver and help us improve our service",,
