Name,Package Name,Description,Rating,Rating Count
City Mafia War: Fighting Shoot,com.sraaydin.arabi6c,"City Mafia War: Fighting Shooter is a best Crime simulator game among all shooting games & gangster games of theft auto gangsters. Show your skills by fighting in open world real action game. Be a real grand theft and steel all you can. Take the most extreme arsenal and defeat the criminal underworld
Features:

 High-quality realistic graphics and special effects.
 3D cityscape environments and multi-level quest!
 Action music and control sounds.
 Smooth and easy controls.",,
Survival Combat Strike Mission,com.counterstrike.force.real.combatstrike,"Be ready & prepare yourself for the counter shooting war mission in the modern free FPS action game

Features:
• Stunning 3D graphics with amazing gameplay.
• Easy tap to shoot the enemy
• Best warrior action with variety of weapons.
• Challenging & thrilling missions",,
Terrorist Assault Shooting,com.us.army.frontline.commando.shooting,"Terrorist Assault Shooting has accepted the difficult mission of going to the city to destroy the terrorists.The goal of each game mission is to fight against terrorists, kill every enemy, and survive in the mission

Features:
- HD 3D graphics
- Play anytime, anywhere
- Simple and smooth operation
- Best quality attractive sound effects
- Challenges of increasing levels of difficulty
- Realistic 3D shooting battlefield environment
- Radar vision positioning the enemy's position
- a large number of advanced powerful weapons",,
Survival VS Zombie Battle,com.zombie.game.survivalbattle,"Survival VS Zombie Battle is a best & exciting first-person zombie shooting game with incredible 3D graphics

Features:
Realistic 3D graphics
Easy controls to play
Horrifying visualization and sounds
Different type of zombies to kill
Different in game missions",,
Island Escape: Survivor Z Kill,com.ekgames.pandemi6c,"Survival land adventures begins with a hard time escape from lost Island along with wilder wolf. Seek help from your axe, guns and rifles expertise for escape day mission. Fight the savage targeted missions & combat zombies attack to save your life, hard time escape. 1st person assault shooting to evolve as brave hunting warrior in this thrilling adventures game for a life escape wild mission. Master your survivor escape plan and use wolf to attack on your rivals. Use all the possible tools and weapons to defend yourself from zombies and wilderness creature.
Your mission in the zombie sniper mountain gun shooter mission games is to kill all the zombies coming out",,
Zombie Shot Killer,com.shootzombie.Frontier.zombie.killer,"Stays alert! Kill all those dead zombie apocalypse and become the last lone endless survival. Rebuild your position aim, ready & fire. 

What are you waiting for??? Download Zombie Shot Killer for free and enter into the dark world where humanity is engaged into the ultimate evil.

Game Features:
-Visually stunning High Quality graphics 
-Terrifying sound effects
-Incredibly stunning ghost shooting game for free
-Addictive game play
-Multiple realistic weapons
-Realistic 3D environment scene
-Helping map
-Free zombie shooter
-You will get experienced new exciting things which entrance you to play more and more!",,
Fastlane: Road to Revenge,com.spaceapegames.fastlane,"THEY TOOK YOUR CITY.  THEY SHOULD’VE TAKEN YOUR CAR!

Reclaim your No.1 position as you blast past other players and outrageous gang bosses in Fastlane: Road to Revenge!

Pick-up this FREE classic arcade shooter and play anytime OFFLINE!

BUST OUT THE BIG GUNS
• 20 exotic cars to collect and upgrade.
• 10 unique & powerful UAVs.
• Game changing vehicle transformations to rain destruction on your rivals: Talon Gunship, Vulcan S-22, Tempest C-3.
• More gear and gadgets than Elon Musk!

CHALLENGE PLAYERS WORLDWIDE
• Blast your way past players the world over.
• Overtake rivals to steal their score bonus.
• Race through 30 player leagues with escalating difficulty. 
• Challenging environments and lethal obstacles.
• Can you reclaim your status as top boss?

RICH STORY CAMPAIGN
• 11 crazed bosses out to stop you in your tracks.
• Complete the campaign and reveal the identity of the boss who took over your turf.

HUGE SOUNDTRACK
• Actual in-game radio allows you to select your own beats.
• Wide selection of in-game music.
• Customize your own game soundtrack.


Please note that Fastlane is free to download and play, however, some game items can also be purchased for real money. If you don't want to use this feature, please disable in-app purchases. You can play Fastlane offline but a network connection is required for in-app purchases and League Promotion.

Fastlane also offers a 1 month auto-renewable subscription to 'Jobs Hustle'  which recharges in-game Jobs 100% faster.
– Subscription payment will be charged to iTunes Account at confirmation of purchase
– Subscription automatically renews unless auto-renew is turned off at least 24-hours before the end of the current period
– Account will be charged for renewal within 24-hours prior to the end of the current period, and identify the cost of the renewal
– Subscriptions may be managed by the user and auto-renewal may be turned off by going to the user's Account Settings after purchase
– Any unused portion of a free trial period, if offered, will be forfeited when the user purchases a subscription to that publication, where applicable

_____________________________________________
Fastlane will work on the following devices:
• iPad 3 and above.
• iPhone 5 and above.
• iPad mini 2 and above.
_____________________________________________


WE WANT YOUR FEEDBACK!
Visit our Fastlane community page and speak to us directly!  We want to hear your ideas and any issues:
http://links.spaceapegames.com/fastlaneband

Visit our official site at http://www.fastlaneroadtorevenge.com/
Follow us on Twitter or like us on Facebook to get info about upcoming Fastlane changes:
https://www.facebook.com/fastlaneroadtorevenge/
https://twitter.com/FastlaneRTR/

Privacy Policy: http://www.spaceapegames.com/privacy-policy/
Terms of Use: http://www.spaceapegames.com/terms-conditions/",5.0,46206
Action Commando: Max Shooting,com.lgern.actiam3i,"Action Commando: Max Shooting FPS is action-packed commando shooting game and specially designed for shooting action gamers willing to play the top fps thrilling action-packed the game with challenging missions in special sniper war to show gorilla commando skills. 
Game Play:
	Select a mission to play
	Swipe to adjust the aim of shooting
	Tap on the bullet button to fire!",,
Dragon Hunter: Sniper Legend,com.dragon.sniperlegend,"It is the fight , It is the hunting challenge you must win, It is the only way to survive against these monster dragons. It is the best way to shoot them before they come and burn you alive in fire. Aim and shoot them at distance to avoid their wrath of fire. 


 Features: 
Variety of dragons & interesting levels to play
Addictive dragon sniper shooting experience
Historic and heart touching gameplay sound
Amazing hunting missions for realistic war of thrones
Interesting mountainous 3D Land environment
Amazing HD Graphics & Sound Effects
Fantastic Epic 3D Medieval Environment
Easy, Smooth and Realistic Shooting Game controls",,
WII Shooting: Survival FPS Gam,com.moding.worldwa2r,"WII Shooting: Survival FPS Game is a First person shooting game which is full of action and you experience what was look like in World War 2 (WW2) and how these commandos laid their lives to proclaim peace for the world.
Secret and stealthy missions which are difficult to complete.
Slow Motion effect of dealing damage and taking down the enemy.
Full Action Commando Game.
Totally free to play.
Smooth and Steady Controllers.
Realistic 3D graphics with amazing sound effects.",,
