Name,Package Name,Description,Rating,Rating Count
Run Ball - Jump On Helix Road,com.runball.jumphelix,"Exciting adventure trip of climbing helix tower!
Tap to jump, make your ball jump over the pits and obstacles, earn diamonds and unlock new interesting balls.

Easy one-tap controls, rich visual effects and addictive gameplay.
Beat your high score and compete with others to hit the best score in the world!",4.5,3691
Knife Flip - Hit Geometry Cube,com.knifeflip.hitcube,"Imagine you are knife master. Download now to start throwing. 
Hold and throw knife, make knife hit the target.
Enjoy the thrill of continuously hitting the target.
Break the best record in the rankings. Become the best knife master in the world.

FEATURES:
-4 different gameplay
-20 knives with a cool design
-Physics-based realistic knives
-Awesome graphics and sounds",5.0,611
Knife Dash: Hit To Crush Pizza,com.knife.knifedash,"Tap the screen to launch a flying knife, dash, hit, crush the pizza and enjoy the fun of launching a flying knife and a pizza explosion. This is a game that perfectly relieves stress
Hit the oranges, unlock new flying knives, and start endless battles with pizzas. Become the best flying knife master on the leaderboard.

Game Features:
- Simple control
- 48 blades with cool design;
- 3 different game modes;
- Unique game mechanics",5.0,1353
Piano Ball : Music Dance Tiles,com.pianoballs.dancing,"Exciting Piano Ball dance. Join the challenge!
Do not hit the white and trap tiles. Along with the piano music, let your ball jump out of a beautiful dance.
This game is easy to play and extremely addictive.

Game features:
- Simple and smooth control.
- Beautiful 3D music scene, everyone can become a pianist.
- Breath rhythm will challenge your handspeed limit.
- Speed Challenge brings you thrill and adventure.
- Share your high scores with your friends and compete against players. around the world on the leaderboard.
- High quality piano music soundtracks.

Begin the endless jumping fun now!",4.5,95
Tanks Fire Up:pocket wars hero,com.qy02.mahjong,"Prepare yourself for the stunning adventure in the world of epic tank battles.
Hop into a tank and immerse yourself in a world of furious tank battles.Exciting and swiftly battles won't give you a time for thinking!

Unlock your tank and become stronger, faster, and deadlier.
Take out your enemies with missile, laser and other unexpected props.

Battle for your honor and experience epic, such as scale exciting tank games.",4.5,183
Last Battleground:Winter Shoot,com.mashnment.battlefl9d,"Last Battleground: Winter Shooter!!!
Play fast paced world war with sniper and amazing first person shooters
Shoot & aim accurately to get the exact position of enemies. Use all your specialized skills to survive in order to avenge of your fallen soldiers. Perform all challenging missions technically to achieve the medal of the best first-person shooter. 
Features:
1: Marvelous first-person shooter gameplay
2: Mind blowing & challenging environment 
3: Realistic 3D graphics 
4: Stunning 3D audio & visual effects 
5: Variety of modern weapons & equipment",,
Sniper 3D Assassin: FPS Battle,com.fungames.sniper3d,"Ready to have FUN? Download now the best shooting game for free!

Take your sniper, aim and start shooting your enemies.
If you like war games or FPS games, you will love Sniper 3D Assassin®: one of the most fun and addicting shooting games ever!

Start the killing: FIGHT the global war on crime and become the ULTIMATE SHOOTER.

Features: 
● Ultra REALISTIC 3D graphics and cool animations
● HUNDREDS of thrilling MISSIONS: stay tuned for NEW content all the time
● Tons of weapons: Play with 100's of different snipers, rifles, and guns!
● Free game: 13 incredible cities to clean from the terrorists. Assist the cops, police and army: they need your help!
● Limited time events: Kill the most zombies and robots and earn amazing and exclusive rewards! In this modern - combat fighting game, you are racing against the time against real rivals to prevent a 3rd World War
● Most popular game EVER: read the reviews of our millions of players!
● Hunting games? Boring. Start shooting real enemies, not deers, elephants, penguins, lions, or other any animal. Become a Sniper, not a hunter

DOWNLOAD this shooting game simulation for FREE now and don't miss amazing NEW CONTENT on periodic UPDATES.

Sniper 3D Assassin® is brought to you by Fun Games For Free, the minds behind the addicting Sniper Shooter game!

● Compatibility and support
We're continuously working (hard) so that all phones and tablets run the game smoothly. Please report any issue you may experience to support+sniper3d@fungames-forfree.com

● Disclaimer
Sniper 3D Assassin® is a free game but it contains mature content and optional in-app purchases for real money. You may want to keep it away from your kids, children and younger boys

Premium subscription
- Now you can subscribe for All-Access to premium features
- Subscriptions are from $4.99 USD weekly, $11.99 USD monthly and $59.99 USD annually*
- Payment will be charged to iTunes Account at confirmation of purchase
- You will be able to use premium features for the duration of the subscription
- Subscription automatically renews for the same price and duration period as the original ""one week""/""one month""/""one year"" package unless auto-renew is turned off at least 24-hours before the end of the current period
- Account will be charged for renewal within 24-hours prior to the end of the current period at the cost of the chosen package (weekly, monthly or yearly package)
- Subscriptions may be managed by the user and auto-renewal may be turned off by going to the user's iTunes Account Settings after purchase
- No cancellation of the current subscription is allowed during active subscription period
- You may cancel a subscription during its free trial period via the subscription setting through your iTunes account. This must be done 24 hours before the end of the subscription period to avoid being charged. Please visit http://support.apple.com/kb/ht4098 for more information
- You may turn off the auto-renewal of your subscription via your iTunes Account Settings. However, you are not able to cancel the current subscription during its active period
- Any unused portion of a free-trial period, will be forfeited when the user purchases a Premium subscription

Links to our Terms of Service and Privacy Policy can be found below
Privacy Policy: https://www.fungames-forfree.com/games/sniper3d/legal/privacy
Terms of Use: https://www.fungames-forfree.com/games/sniper3d/legal/tos

* Prices are equal to the value that ""Apple's App Store Pricing Matrix"" determines as the equivalent of the subscription price in $ USD",5.0,1368510
Pixel Zombies: Hero Shooter,com.filent.hiddec3t,"Enter the zombie apocalypse world, and create houses, build blocks with your fortress, and protect yourself from pvz zombie infection and the horror craft monsters!
zombie fps in first person
zombie pandemic
single player
building items
Construction Mode",,
Escape Town:Shooter Survival,com.ghown.bagstudio2s,"Be a zombie hunter! you can walk as one of the undead ops zombies heroes. Depart the graveyard, make your black ops zombie defense, grab the humans pocket tank and feed on their succulent zombie dust brains in a new zombie epic strategy game. play and have fun with this world war zombie free apocalypse shooting game
- Thrilling and breathtaking zombies animations
- Realistic sounds and zombies attack animations.
- Scary and Intense Zombie dogs attack
- Survive the Undead Horde Apocalypse",,
Hero WWII: Shooter Army,com.battler.spacer6a,"Hero WWII: Shooter Army is shooting games where WW2 US army commando will help the US army firing squad in WW2 war shooting battle to be the last unknown player standing in world war II survival battlegrounds war shooting games.You can kill your enemy in one man us army commando game of modern strike sniper shooting. However, it is recommended to use high weaponry in all call of sniper stealth missions of this high class fps sniper shooting rescue game. 
 features:
World war II exciting stealth missions
Fort war survival game in World War II battleground!
Realistic 3D graphics of world conqueror game
World war 2 Sniper gun shooter missions",,
