Name,Package Name,Description,Rating,Rating Count
i-Say Rewards your Opinion,com.ipsos.isay,"i-Say is an online survey rewards community that’s dedicated to giving you a voice. Enjoy the new i-Say app and start taking surveys anytime, anywhere! 

•Receive exclusive mobile surveys and get more opportunities to earn rewards 
•Get instant survey notifications and access them before anyone else  
•Cast a vote on your favorite polls or create one of your own  
•Manage your survey notifications to receive them on an instant, daily or weekly basis 
•Check your points balance and change your user settings 
•Redeem your i-Say points for rewards that are just right for you

We’re powered by Ipsos, a leading global market research company that provides a fresh perspective on the issues and trends of today.",3.5,819
I-Say - Challenge Your Brain,com.isayrc.com,"Welcome to I-say!!
Challenge your brain and try to follow up after the Colors without strike",,
Say It with Balloons,com.cme.sayitwithballoons,"Say It with Balloons for iMessage allows you to create your own custom personalized stickers of balloons with your messages, emojis, and photos! Also, select from a curated list of themed sticker packs in the balloon sticker shop!

In-App Purchases available to unlock all sticker maker's balloon type categories (first two categories free), and to unlock sticker packs from the balloon shop.

With various customization options, endless varieties of stickers can be created. In the sticker maker, you can do the following with every change displayed in the live preview image at the top of the view:

1) Select your balloon type, 
2) Accessorize it with a selection of centers and/or bands,
3) Include a photo from your library using the camera button (photo shapes and configurations are different depending on selection),
4) Add text, select font type, and set the color using the marker buttons next to each text field,
5) Add one of various patterns & set its color using the corresponding marker button,
6) Assign two different colors to the top & bottom half of the balloon for the categories that enable the halves button next to the balloon picker,
7) Add two different patterns on the top & bottom half of the balloon for the categories that enable the corresponding halves button (and set their respective colors with the marker picker while at the corresponding button state for either half),
8) And finally, add the final balloon to your sticker browser.

Messages written on the balloons begin with large font and automatically resize the more you write to fit the content area, with a maximum character limit. You can also use emojis in text fields!

Add-on stickers included that can be overlaid on the balloon stickers for a curling ribbon effect.

Stay tuned for updates! And stay tuned for new curated stickers & packs in the shop!",,
Say it With Your Hands,com.swy.Say-it-With-Your-Hands,"Have you ever wished you could convey the emotional complexity of what your are trying to text, if you could just talk with your hands to them? In a contentious meeting and really needing to display your skepticism with someone? Well now you can! With your choice of animated hand emoji you can improve business meetings, parties, or even dates. The power is yours. Talk with your hands with this pack of 12 animated hand gestures.",,
Say It with Coffee,com.cme.sayitwithcoffee,"Say It with Coffee for iMessage allows you to create your own custom personalized stickers of coffee cup notes, photos, and monograms! Also, select from a curated list of themed sticker packs in the coffee sticker shop!

In-App Purchases available to unlock all sticker maker's cup type categories (first two categories free), and to unlock sticker packs from the coffee shop.

With various customization options, endless varieties of stickers can be created. In the sticker maker, you can do the following with every change displayed in the live preview image at the top of the view:

1) Select your cup, 
2) Accessorize it with a selection from one of several categories (standard, sleeves, classic, stripes, bands, monograms),
3) Include a photo from your library using the camera button (photo shapes and configurations are different for each category),
4) Add text & set the color using the marker buttons next to each text field,
5) Add one of various patterns & set its color using the corresponding marker button,
6) Assign two different colors to the top & bottom half of the cup for the categories that enable the halves button next to the cup picker,
7) Add two different patterns on the top & bottom half of the cup for the categories that enable the corresponding halves button (and set their respective colors with the marker picker while at the corresponding button state for either half),
8) And finally, select a custom lid by pressing the lid swap button next to the preview image & add the final cup to your sticker browser.

Messages written on the coffee cups begin with large font and automatically resize the more you write to fit the content area, with a maximum character limit. You can also use emojis in text fields, including in place of the monogram fields!

Animated stickers included that can be overlaid on the coffee cup stickers for a steaming coffee effect.

Stay tuned for updates! And stay tuned for new curated stickers & packs in the shop!",,
Say Your Bet,com.sayourbet,"Say Your Bet une plateforme qui permet aux joueurs débutants de trouver les meilleurs conseils, et aux experts en pronostics de prouver leur expertise tout en créant leur réputation

Chaque joueur peut donner ses pronostics gratuitement. Il peut faire des tickets simple ou combinés et preciser son indice de confiance sur chaque ticket.
Chaque joueur possède un profil visible des autres utilisateurs, qui contient ses pronostics des matchs à venir, ses pronostics passés et ses statitsiques détaillés

Des classements sont disponibles pour reperer les meilleurs joueurs de chaque catégorie

Say Your Bet permet aussi d'avoir une vue d'ensemble des pronostics les plus joués

Que vous soyez parieurs ou non, avec Say Your Bet il n'y plus d'excuse pour dire ""Je l'avais dit !"" à la fin des matchs

Si vous avez un avis, Say Your Bet !",,
You say today,today.yousay,"You say today is a public service to bring together voice of the people on most urgent topics of the world. We only use your location while using the app, so that we can relate your answer to specific location, so that we can get wider scope of what people in certain geo location thinks on that topic.

If you could do as little as slide a finger to help the humanism here is your chance to do it. We don't keep any of your information. All the interaction is anonymous. We are trying to put voice as one. We just want you to play your part :)

You can create your own question's. And ask the world what do they think of it.",,
Have your say on Europe,eu.europa.publications.haveyoursayoneurope,"Reflecting on Europe is an initiative launched by the European Committee of the Regions to offer a space for citizens to present their ideas, thoughts and opinions on what the European Union should be. The main objective is to listen and report feedback from the local level to Brussels and EU institutions and to contribute to the ongoing reflection on the future of the European Union.

The Reflecting on Europe app, entitled ""Have your Say on Europe"", enables you to give your opinion through a survey on the future of Europe, view the survey results for all EU countries in the language of your choice, and discover past and future local events taking place in Europe. The app is available in all EU languages with the easy option to switch from one language to another.

The European Committee of the Regions is the European Union's assembly of regional and locally elected representatives from the 28 EU countries. Its 350 members are the voice of regions and cities in the European Union.",,
101 Way To Say I Love You To Your Wife,com.thedarkdimension.loveyouenglish,How Many Times You felt love for your own wife.. but the words doesn't came out clearly .. we are here to prove that words not everything.. you can prove your love without even whisper .. it's easy and fun and you love it and your wife too..tested all over lots of women in all the world and it's magically work..,3.0,124
Notchy Wallpapers,biz.regh.notchy,"Love your new iPhone X but having a hard time getting used to ""the notch"" ?

Notchy can help! Notchy brings you beautiful custom made iPhone X wallpapers specially designed to work best with the new screen design of iPhone X

Prefer the notch hidden? Or how about seamlessly blended into your background? Notchy has you covered! You can even upload your own photos and use Notchy's magic to turn them into the ideal wallpaper for iPhone X and it's infamous notch!

You've got the new iPhone, now get the perfect companion app to go with it!",5.0,13
