Name,Package Name,Description,Rating,Rating Count
The Walking Dead No Man's Land,com.nextgames.twd,"Join Rick, Daryl, Michonne and other iconic characters from AMC’s The Walking Dead in the official mobile game of the show. Do you have what it takes to survive the zombie apocalypse of TWD: No Man’s Land?

The Walking Dead: No Man’s Land is a thrilling, action-packed RPG where tactical choices make the difference between life and death. Only the strongest will survive so choose your team wisely: bring Michonne and dominate in close-quarter combat or send Rick to dispatch enemies from afar. Or perhaps you’ll choose to snipe from a distance with Daryl’s crossbow, or mow the herd down with Abraham’s assault rifle.

• FIGHT through hordes of deadly enemies in tactical turn-based combat
• COLLECT and upgrade your favorite characters from AMC’s The Walking Dead
• CHOOSE the right team and the equipment for each mission
• HUNT walkers in Terminus, The Prison and other familiar locations from AMC’s The Walking Dead
• JOIN other players in deadly weekly challenges and PVP combat for exclusive rewards

“Throw in some pretty swish graphics, lovely animations and blood splatters, and you have one of the most carefully fleshed out zombie games we've seen on mobile. It looks lovely, and plays great too.” - Pocketgamer

“Each aspect of survival on AMC's The Walking Dead has been parallel to the series' official mobile game, subtitled No Man's Land.” - Mashable

“Imagine your favorite mobile base-building strategy game, mix in a dash of XCOM, and then paint on a fresh coat of AMC’s The Walking Dead. That’s No Man’s Land in a nutshell.” - Gamezebo

For more, please visit:

http://www.facebook.com/thewalkingdeadnomansland
http://twitter.com/twdnomansland
http://www.thewalkingdeadnomansland.com
http://www.youtube.com/nxtgms

For player support, please visit:
nextgames.helpshift.com",4.5,33358
Map Guide For Fortnite,com.burn2rise.FortniteMap,"Knowing where Chests & Vending Machines are placed in Fortnite Map gives you a massive advantage. This app can help you with it.
 Challenges Map will help you to complete all Week Challenges in Fortnite and earn extra XP and Battle Stars very quickly! 
 Download Map For Fortnite Now!

App Features:
- All Fortnite Chest Locations
- All Vending Machine Locations (with screenshots)
- Week Challenges Guide & Locations (Remember that all previous Fortnite weekly challenges are live so you can still earn extra XP if there’s a challenge that has eluded you so far)

Legal Note: This is unofficial guidance app for the game Fortnite by Epic Games. This app is not associated by Epic Games. The Epic Games Logo, Fortnite and the Fortnite Logo are registered trademarks of epic Games, Inc. All right reserved.",5.0,30
"Kids Season Learning-Toddlers Learn Four Seasons with Fun Autumn,Winter,Spring and Summer Activities",com.appnanny.kidslearningseason,"An exciting way to learn the seasons of the year with four season activities. Learn to understand four seasons e.g. summer, autumn, winter and spring. A whole new fun way for kids to learn different seasonal outfits as well.


A beautiful season’s game with charmingly demonstrated interactive fun aimed to teach the little ones about the seasons of the year. Preschool Kids Season Learning is a creative play app that helps kids discover the natural wonders like spring, summer, autumn and winter.


Now learn to dress up with respect to each season and its needs with an educational purpose. The kid will learn to do different activities in each season with enhanced graphics and appreciating clear voice over along with each season’s relevant environment.


Play and learn as trees turning all those gorgeous colors in different seasons. Explore the nature and get indulged in a curious world for fantastic four seasons’ activities i.e. playing with sand, and swimming in the lake in summer season. Fly a kite in spring, make a snowman in winters, and enjoy music in autumn.


Preschool Kids Season Learning Features: 


•	Develop Four Seasons Learning Skills
•	Relevant Exercises and Outfits for Every Season
•	Encouraging Voice Overs to Build Sense of Success
•	Practice the memory by playing different seasonal activities
•	Simple and Intuitive controls, easy for kids to play
•	Sure to stimulate interest of your toddler
•	Learn Spring, Summer, Autumn, Winter
•	Learning with Educational Purpose 
•	Happy Music and sounds",,
Queen's Garden 4:Sakura Season,com.sevensails.queensgarden4sakuraseason,"It's Sakura Season in Japan and the Queen decided to celebrate!

Help Queen Ayame and the loyal minister Haruo decorate this exotic Japanese garden in this unique match-3 game! Play over 119 levels, collect coins and special jewels, purchase plants and decorations to design the most beautiful garden in Japan!

120 challenging Match-3 levels
Fully customizable garden
Bonus Mini-games
Visit animals in your garden

PLAY THE WHOLE GAME for FREE! SUPPORT the DEVELOPERS by WATCHING ADS or BUYING the IN-APP to REMOVE THEM FOREVER",,
Hidden Objects : Detective Sherlock Holmes,com.crispapp.HolmesFree,"HELP SHERLOCK HOLMES AND DR.WATSON IN THIS EXCITING ADVENTURE!  
If you love detective stories, adventures, unexpected turns of a plot – this game is for you.
The game is TRULY FREE, the whole adventure is open to you without any additional 
purchases - it's entirely up to you to buy optional tools.

Test your powers of observation during a search for clues in the most unexpected places. One minor detail can be the key to solving the mystery.

Solve the puzzle based on the stories of Arthur Conan Doyle.

We'll be happy to stay in touch with you at facebook.com/CrispApp :  leave comments, ask questions and get news about coming games!",4.5,2168
Emotes GO for Fortnite Dances,com.ngale.danceemotesgames,"Try and feel #HotTrend Dances of the Year.

How high can you climb? Learning all the coolest moves just become easier.

Jump to stack blocks and build the tallest tower imaginable! At the same time you will learn the dance ""Dance Emotes"" very well.",5.0,43
M!rror - Mirror for iPhone 4,com.grokkt.iad.mirror,"No need to carry a mirror in your pocket any more. With this app, you will be able to check your self up any time anywhere.",,
Queen's Garden 4 (Full),com.sevensails.queensgarden4sakuraseasonfull,"It's Sakura Season in Japan and the Queen decided to celebrate!

Help Queen Ayame and the loyal minister Haruo decorate this exotic Japanese garden in this unique match-3 game! Play over 119 levels, collect coins and special jewels, purchase plants and decorations to design the most beautiful garden in Japan!

120 challenging Match-3 levels
Fully customizable garden
Bonus Mini-games
Visit animals in your garden

- THIS IS THE COMPLETE VERSION WITHOUT ADS or IN-APP PURCHASES",,
HD Wallpapers & Backgrounds for Game of Thrones Free,com.kbornapp.wallpapersgameofthrones,"Customizable Wallpapers for Game of Thrones Free HD is here to bring you only the best HD wallpapers for your iOS device! The best part ? Customize the wallpapers to make them entirely your own using our suite of photo filters, and stickers. When you're finished, save to your camera roll, or share with friends! 

Feature Highlights: 
- Simple functionality to maximize your browsing experience 
- Awesome photo filters  to customize your wallpapers - make them black and white, artsy and more! 
- Stickers to place on the photos to make them entirely your own! 
- Share your favorite pics with your friends on Twitter, Facebook, or Email 
- Save your pictures directly to the camera roll. 

*DISCLAIMER* 
This app is an unofficial application for Game of Thrones. This app is not affiliated with the content creator. All images are copyright to their respective owners, and usage for this falls within the “Fair Use” guidelines.",4.5,3581
DIGITAL MICE,it.tecnocoference.DigitalMice,"App ufficiale di DIGITAL MICE 2017.
-	Consulta il programma e ordina per orario, sala, relatore o visualizza un’agenda in cui hai salvato le sessioni da non perdere.
-	Segui l’evento in streaming, scarica i materiali.
-	Invia le tue domande in diretta e interagisci con i relatori.
Scarica l’app ufficiale. Partecipa, non farti trascinare!",,
