Name,Package Name,Description,Rating,Rating Count
Amazing Facts Radio,com.amazingfacts.radio,"AF Radio’s mission is to broadcast God’s message for these last days, lifting up Jesus Christ, and preparing people for His soon return.",5.0,16
My Happy Hour,com.mhh,"A fun way for people to buy, meet and play around the corner!

My Happy Hour is a social network built around local businesses. Through our proposals for Happy Hours and fun activities around them, My Happy Hour is the privileged meeting place to exchange with your friends not just in the virtual world but also in the real one. Get access to offers, actions and games, feel invited to leave your home and spend quality time with your people. With My Happy Hour, you will always be informed of all the good plans happening around you at the precise moment in which they are occurring. On top of that, you will also participate indirectly in the promotion and revival of local businesses, genuine pillars for the social fabric of our neighborhoods. In short, My Happy Hour is a unique and fun way to communicate, meet, shop, save and play just around the corner. A whole world of opportunities at pocket reach!",,
Stylist Girl: Make Me Gorgeous,com.cocoplay.stylistgirl,"~~> You’re the hottest new fashion stylist in Hollywood, and your awesome reputation is already bringing you fame and fortune! 
~~> Work with famous fashion models and VIP celebrities. Bring out their star style!
~~> Create tons of incredible looks for your clients - find them the perfect outfits for their big events!

Welcome to Hollywood - the land of VIPs, where fashion rules and all the celebrities and famous models need to look amazing to keep up their star status! That’s where you come in - you're the stylist to the stars! Everyone’s talking about the hot looks you created at the latest red carpet event, and now you’re clients are piling in! 

Features:
> Open up your very own Hollywood stylist office and become famous!
> Style and dress up your VIP clients (supermodels, famous movie stars and more!) in glamorous outfits!
> From magazine cover shoots to red carpet movie premieres, it’s your job to make your clients wow the crowds!
> Find fabulous clothes for your models from the trendiest stores - Chick Shack, Party Fever and Stardust, and add perfect accessories to complete their outfits!
> Help your clients get the prettiest makeovers the world has ever seen!
> Make sure their nails are perfect - add cool stickers and nail jewels, and complement their manicures with rings and bracelets! 
> To make it in show business, stunning hair is key! Get your celebrity models killer new hairstyles!
> Reach #1 in the Top Stylist charts, gain followers and likes!
> Help your models win lots of fashion catwalk and photoshoot contests!
> Play fun fashion and stylist minigames! 
> Collect coins as you style!


About Coco Play
Coco Play Limited is China-based developer of creative and unique apps for kids. Founded in 2013, Coco Play provides rich 3D simulation-based games for the whole family. Coco Play is a subsidiary of TabTale, a leading, global creator of innovative games, interactive books and educational apps.
Visit us: http://www.tabtale.com/ 
Like us: http://www.facebook.com/TabTale
Follow us:@Tabtale
Watch us: http://www.youtube.com/iTabtale

 CONTACT US 
Let us know what you think! Questions? Suggestions? Technical Support? Contact us 24/7 at WeCare@TabTale.com.
 

FOR PARENTS 
The app is free to play but certain in-game items may require payment. You may restrict in-app purchases by disabling them on this device. The app may include advertising for TabTale and certain third parties which will redirect users to our sites, apps or third-party sites.
Your privacy matters. The app may enable collection of limited user data by TabTale or its carefully selected providers (e.g. ad networks and analytics) for limited purposes described in our Privacy Policy (e.g. respond to support queries; enable, analyze and improve the app’s features and services; serve contextual ads and measure their performance). The app includes certain features only accessible behind an age-gate to protect children (e.g. restrict behavioral ads; social networks links to connect with others while playing; option to accept push notifications to inform of exciting news e.g. updates). For more information (notably on the providers), please read our Privacy Policy: https://tabtale.com/privacy-policy/. By downloading, updating or using the app you consent (in your personal capacity and for other users of your device) to this collection and use of limited device information for ad display and reporting purposes, and to our Terms of Use: https://tabtale.com/terms-of-use/.",4.5,1778
The Lutheran Hour,com.thelutheranhour.app,"Listen to weekly sermons directly from your mobile device. With this app you have access to the most recent sermons, along with sermon transcripts. Learn about The Lutheran Hour program and our long tradition of renowned Speakers including our current Speaker, The Rev. Gregory P. Seltz and Speaker Emeritus, Rev. Kenneth R. Klaus.",3.5,12
Engineer's Handbook,magichour.GIM-Conversion,"The Engineering Handbook contains useful conversion factors, resources and data associated with engineering and physics.

Inside the app there are calculator tools for length, volume, temperature, density, weight and flow. Resources listing the periodic table of elements, screen size conversions, and vessel capacities.
 
The Engineering Handbook is continually being updated and expanded to provide a comprehensive source of common, and not so common, data to help engineers and physicists.",,
Ali's Power Album: Hour Party Playlist Maker,com.alispagnola.PartyHourPlaylistMaker,"Hey :) I’m the Party Hour musician, @alispagnola... and I made the freakin' awesomest party app. Instantly make playlists of one-minute songs from your music. You can shuffle all your songs, filter by genre or artist or use your completely custom iTunes playlists. Get this app and wherever you go… you always have a party in your pants.

***This also includes all 60 songs from Ali Spagnola’s Power Party Album!! - My original album of one-minute jams, written to be the perfect Party Hour***

BONUS: If you download this app and then run into me in person, I will high five the crap out of you.

Let’s be real here. Who wants to hear an entire song anymore? It’s 2014. You're far too busy to and important to invest any time past the first 60 seconds of a track. What happens at 61 seconds? Boredom, that’s what. All you need is a verse and a chorus. Then, get to the next jam. SWEET. That’s why my Party Hour Playlist Creator makes every party as efficiently awesome as possible! You rock out to only the best part of each song and keep it rolling. What’s even more efficient: you can easily set how many songs in your playlist so you know exactly how long you’ll be partying. Plus, there’s a timer with sound effects to let you know when the next exciting song change will happen so you can high five all your friends each minute.

WHY MY APP IS WAY BETTER THAN THE REST:
- Automatically tweet party photos while playing
- Connect with me and other Party Hour players!
- Customize the length, 1 to 100 minutes
- Add sound effects between songs
- Easily keep track of what minute you're on
- Swipe through tracks during the game
- Pause (for peeing, texting, etc.) and resume easily
- View album art with each minute/song
- Keep the party going even if you exit the app or lock your phone
- Don’t forget you get all my kickbutt songs!!
- Did I mention you’re very attractive? You are.


AS SEEN ON: Gizmodo, Mashable, Forbes, Kotaku, Wired and BuzzFeed


""Really entertaining” -Gizmodo

“Wonderful"" -Huffington Post

""Awesome game… Super-genius” -Kotaku


GET IT NOW AND IMMEDIATELY HAVE THE BEST PARTY EVER!

http://www.twitter.com/alispagnola
http://www.facebook.com/alispagnola
http://www.youtube.com/alispagnola
http://www.instagram.com/alispagnola",4.5,59
Overtake,com.neonplay.casualovertake,"Feel the adrenalin as you hit the high road and weave, dodge, swipe, wipe out and overtake the traffic! 


With six lanes of overtaking madness, do you have the reactions to drive through the rush hour?",,
Volunteer Hour Tracker,com.toledositsolutions.Volunteer-Hour-Tracker,"Have you been looking for a quick all in one place to track your volunteer hours and events?

Want to make it easier when it comes time for college applications or awards at work? This is the place. We provide a quick and intuitive experience to track all of your volunteer events in one place!",4.0,6
theCut: #1 Barber Booking App,com.thecut.mobile.ios.thecut,"theCut is a mobile platform for barbers and clients modernizing the barbershop experience.

Barbers:
- Invite your clients & manage your client list
- Keep all of your appointments organized in one place
- Set your location and availability to get discovered by new clients & grow your business
- Accept mobile payments

Clients:
- Find your barber or discover new ones
- Book appointments & and pay for your haircut within the app using mobile payments
- Keep a gallery of your past cuts & dope styles to show your barber at your next appointment

 Much more coming soon...stay tuned!",4.5,424
Speedometer»,com.timoswald.speedometer,"This a simple speedometer that tells you your current speed in mph, km/h, or knots.

-Retina Display
-Huge Indicators

*The less transparent the indicator the better the accuracy.",4.0,1080
One Hour,com.OneHour.App,"The One Hour Heating & Air Conditioning App enables you to:

- Conveniently request an appointment from a professional HVAC contractor. 
- View information on your local One Hour Franchise
- View special offers from your local One Hour Franchise
- View in-app only offers

One Hour Heating & Air Conditioning is your source for prompt, courteous, & reliable HVAC service. At One Hour, we provide heating and air conditioning service,  maintenance, installation, repairs, and everything in between. Our goal is to address your HVAC needs in a timely, efficient, and cost-effective fashion.",,
Princess Wedding Makeover @2,com.anjophoenix.princesssalon,"They need to be dressed trigged for rocking party ! Start with a soothing spa treatment to make sure her hair and skin is clean and clear. Next, help her do her make up. Lastly pick out the perfect princess dress with jewelry to match! Make this a dream princess show!


** Features ** 
- Treat yourself to the ultimate spa experience with soothing facial masks, cool cucumbers for your eyes, and even a steaming treatment! 
- Experiment with dozens of different makeup, lipsticks, eyes, eye-shadow, hair color and much more.
- how to apply eye maskara makeup , blush , beautiful lipglosh , eyeshadow , bronzer 
- makeup artist school for girls, teach you makeup styles and makeup lines
- waterproof eye maskara makeup ideas
- best powder foundation cosmetics makeup
- best makeup remover and natural makeup tutorials
- long lasting lipstick & become makeup artist
- contact lenses with wide range of colors
- show off waterproof  mascara and cosmetics mascara
- Lots of Dresses for the best day.
- Huge variety of princess wedding items, including earrings, necklaces and purses. 
- foundation Make-up and Dress up her in the gown of your dreams.
- best hairstyles and hair color with no barber shop
- play with hair like hair transplant and hair restoration
- hot tub for bath
- dress like white sundresses with maxi designer dress
- save & share your perfect girls easily over Facebook or twitter with one click.


ABOUT Phoenix Games LLP
With over millions of users Phoenix Games LLP to be known as the creator of makeup, dress up, salon, spa, makeover, cooking, and decorating games that babies, kids, girls and parents love.

Visit us on https://www.phoenixgames.in

Share the experience of these top free games with your family, friends and social people.
Or follow us on…
https://www.facebook.com/phoenixgamesllp

WE VALUE YOUR FEEDBACK
message us on https://www.facebook.com/phoenixgamesllp

PRIVACY POLICY:
As a designer of kids & girls games, read our privacy policy here: https://www.facebook.com/notes/phoenix-games-llp/privacy-policy/1743215219324593


Download and enjoy , don't forget to write your precious review this would help us a lot!",4.0,106
Pepe & Zé Delivery,com.modelonow,"Hi, how is it going?

From today everything will change, you will not lose any time of the party again.

Download the app and ask me what you want; beer, snacks, ice and much more, in minutes where you are.

It's very easy, enter your address, choose what you want and I'll take care of the rest.

The party never stops, and neither do I!

For use policies and terms and conditions visit pepedelivery.com or ze.delivery

We're delivering in Brazil, Mexico and Argentina!",3.0,18
Amazon Princess Party Makeover,com.phoenix.amazonprincessparty,"They need to be dressed trigged for rocking party ! Start with a soothing spa treatment to make sure her hair and skin is clean and clear. Next, help her do her make up. Lastly pick out the perfect princess dress with jewelry to match! Make this a dream princess show!


** Features ** 
- Treat yourself to the ultimate spa experience with soothing facial masks, cool cucumbers for your eyes, and even a steaming treatment! 
- Experiment with dozens of different makeup, lipsticks, eyes, eye-shadow, hair color and much more.
- how to apply eye maskara makeup , blush , beautiful lipglosh , eyeshadow , bronzer 
- makeup artist school for girls, teach you makeup styles and makeup lines
- waterproof eye maskara makeup ideas
- best powder foundation cosmetics makeup
- best makeup remover and natural makeup tutorials
- long lasting lipstick & become makeup artist
- contact lenses with wide range of colors
- show off waterproof  mascara and cosmetics mascara
- Lots of Dresses for the best day.
- Huge variety of princess wedding items, including earrings, necklaces and purses. 
- foundation Make-up and Dress up her in the gown of your dreams.
- best hairstyles and hair color with no barber shop
- play with hair like hair transplant and hair restoration
- hot tub for bath
- dress like white sundresses with maxi designer dress
- save & share your perfect girls easily over Facebook or twitter with one click.


ABOUT Phoenix Games LLP
With over millions of users Phoenix Games LLP to be known as the creator of makeup, dress up, salon, spa, makeover, cooking, and decorating games that babies, kids, girls and parents love.

Visit us on https://www.phoenixgames.in

Share the experience of these top free games with your family, friends and social people.
Or follow us on…
https://www.facebook.com/phoenixgamesllp

WE VALUE YOUR FEEDBACK
message us on https://www.facebook.com/phoenixgamesllp

PRIVACY POLICY:
As a designer of kids & girls games, read our privacy policy here: https://www.facebook.com/notes/phoenix-games-llp/privacy-policy/1743215219324593


Download and enjoy , don't forget to write your precious review this would help us a lot!",4.5,177
Shave Santa,ie.bluebear.shavesanta,"Who said Santa doesn't style his beard!

Be warned! Santa isn't always so jolly, especially when being shaved!

Open up shop, and start shaving your most valued clients today, Santa and Rudolph are only in town this time of year! Give them custom beard designs, getting them ready for the big night just around the corner!

Just remember, don't go too crazy shaving...you still want to make sure you are on the nice list!


FEATURES 
* Choose between Santa and Rudolph and your other favourite christmas characters
* Cut and trim hair with a scissors, razor blade, and clippers 
* Patch up any sore spots with paper bits. 
* Get rid of any rashes with the rash cream 
* Apply aftershave and wait for the reaction! 
* Kid friendly interface! 

Shave Santa™ is a trademark of Bluebear Technologies Limited.

About Bluebear 
Bluebear makes fun games for family and kids. Our popular cooking apps have legions of fans, and we pride ourselves in bringing premium quality games to everyone that unlock their creative abilities and stimulate their imaginations. 

IMPORTANT MESSAGE FOR PARENTS: 
- This App is free to play but certain in-game items may be purchased for real money. You may restrict in-app purchases by disabling them on your device.
- By downloading this App you agree to Bluebear's Privacy Policy: http://www.bluebear.ie/privacy.html
- Please consider that this App may include third parties services for limited legally permissible purposes.",4.0,2212
