Name,Package Name,Description,Rating,Rating Count
Home Builder Pro Calcs,com.doubledogstudios.ConstructionPro,"""Love this app makes my job much easier."" - Danny O'Dea

Thank you for your calculator suggestions.  Now with 440 home improvement calculations and unit conversions Home Builder Pro Calcs gives you access to quickly and easily solve a variety of calculations including hours and cost estimates and take off quantities.  Calculations can be saved and emailed.  

Easy to use and understand inputs and results in either decimals or fractions.  Rich support for U.S., imperial, and metric measurements.  Built-in calculator with support for ft/in and fractions.

Current Calculators include:

Business
* 28 calculators for loans, pricing, travel costs, and more.

Concrete & Paving
* 11 calculators for asphalt, concrete, paver bricks, and more.

Electrical
* 5 different calculators

Floors, Walls & Ceilings
* 13 calculators for carpet, drywall, wall covering, tile, paint, and more.

Foundations
* 33 calculators for foundations, soil, grading, rebar, etc.

Framing
* 19 calculators for balusters, joists, studs, siding, stairs, and more

Heating & A/C
* 8 calculators for airflow, attics, fans, air conditions, insulation...

Hours Estimates
* Effort Factor
* Over 55 different estimators for:
* Carpentry - finish, siding, stairs, walls, ...
* Concrete - blocks, bricks, concrete, reinforcement, tile, ...
* Doors & Windows - garage doors, glass, metal, windows, wood, ...
* Finishes - carpet, paint, wood floors, stucco, plaster, tile, ....
* Roofing - roofing, sheathing, sheet metal, ...
* Site Work - concrete demolition, excavation, stumps, trees, forms, culverts, landscape, ...

Landscape & Yard
* 15 calculators for fence, fertilizer, mulch, seeds, trees, mowing and more.

Masonry
* 8 calculators for walls, joints, core filling,...

Miscellaneous
* Area, Volume & Angle - 25 calculators for a variety of shapes.
* Conversions - 26 different unit conversions
* Glossary - Over 370 terms
* 11 calculators for tanks, pulleys, weather, wrenches, ...

Roof Framing and Roofing
* 22 calculators for rafters, ridges, gables, pitch, trusses, shingles and more

Wood & Materials
* 20 calculators for lumber, nails, plywood, caulking, etc.

You may also purchase add-on packs within the app.  There are currently two add-ons available:

Project Dates & Times
* Over 35 calculators help you understand and manage project timing and deadlines.

Sensor Angle
* A set of 10 calculators that use the angle sensing ability of your iPhone or iPad to easily and accurate measure an angle and calculate a variety of other angles and lengths.

Map Estimator
* Estimate the distance and area using a map.  Great for estimating size of yard, length of fence, etc.

If there's a calculator you'd like to see added, visit our website and send us an email.",4.5,290
Home Design 3D - Free,com.anuman.HomeDesign3DFreemiumiPad,"With Home Design 3D, designing and remodeling your house in 3D has never been so quick and intuitive! 
Accessible to everyone, Home Design 3D is the reference interior design application for a professional result at your fingertips. 

CREATE, DESIGN, FURNISH AND DECORATE EASILY YOUR HOME. SHARE IT WITH A COMMUNITY OF MORE THAN 30 MILLION OF USERS WORLDWIDE!

-- FREEMIUM VERSION --
In this trial version, you can test the functionalities of the app and explore its possibilities.
[THE SAVE FUNCTION IS NOT INCLUDED]
However, projects created can be saved directly by upgrading via in-app purchases. 

Whether you want to decorate, design or create the house of your dreams, Home Design 3D is the perfect app for you:

1. DRAW FLOOR PLANS
 -  In 2D and 3D, draw your plot, rooms, dividers
 - Change the height or the thickness of the walls, create corners 
 - Add doors, windows or openings with fully-resizable pieces of joinery

2. FURNISH AND DECORATE
- Design and decorate both the interior and outdoor of your home
- Make your choice from over a thousand of pieces of furniture and accessories, customize your decoration and express your style, from the most classical to the trendiest! 
- Edit any object, by changing its size, color, position and altitude on the walls
- Duplicate your favorite items thanks to the copy/paste function
- Use the undo/redo feature at anytime if you want to go back
- Use the eye dropper to find an existing color in the plan 
- You can also import picture as texture and apply them everywhere

3. VISUALIZE AND VISIT IN 3D
- Visit your creation in real-time 3D as if you were inside it
- Discover your home, your outdoor and even your neighborhood
- Admire the result day and night, the compass function will show you where exactly the light will fall at different times of the day

4. IMPORT/EXPORT AND SHARE
- Import blueprint and display it as a layer
- Share and Save your projects via e-mail, Dropbox, OneDrive and many more file hosting services!
- Export and continue your projects on other devices thanks to the cross-platform compatibility 
- Share your creations with the online gallery: homedesign3d.net/EN/galleries

________

Suitable for the iPad 4 and iPhone 4s or latest
No internet connection required
Illustrated tutorials + videos available 
___________________________

Follow us now on: 
Facebook: facebook.com/homedesign3d
Twitter: @homedesign3d
Instagram: @homedesign3d_off
Pinterest: pinterest.com/homedesign3d/
Youtube: youtube.com/c/homedesign3d
_________________________________________________________

Calling all professionals! Want to see your products in Home Design 3D? or develop have a unique version of the app for your needs? Contact us at pro@anuman-interactive.com",4.5,30619
Houzz Interior Design Ideas,com.houzz.app,"Houzz is the No. 1 app for improving and designing your home. Whether you’re building, remodeling or decorating, Houzz has you covered.

Get the Best Design Ideas for Your Home 

- Browse more than 11 million high-resolution photos of home interiors and exteriors. Choose by style, location or room, such as kitchen or bathroom.
- Save and share photos with friends, family and home professionals. 
- Use the Sketch feature to annotate and draw directly on photos from Houzz. 

Find, View and Buy Products for Your Home

- Shop from more than 5 million products and materials, including vanities, cabinets, lighting, furniture, tile and more. 
- Read verified product reviews.
- Save up to 75% off during featured sales. 
- Use Visual Match, our visual recognition technology, to discover and buy products and materials directly from photos on Houzz.
- Wondering what that sofa would look like in your living room? Select the View in My Room feature and use the camera on your iPhone or iPad to see what products would look in your space. 

Find, Hire and Collaborate with the Best Home Professional for Your Project 

- Connect with over 1 million active home improvement professionals, including architects, general contractors, interior decorators, repair professionals and more.

Read Articles From Our Editorial Staff and Design Experts 

- Check out our biweekly Houzz Newsletter for engaging and informative articles, including home tours, full kitchen and bathroom remodeling guides, industry news, decorating tricks, organizing guides, designing for pets, gardening advice, humor and everything in between. 
- Watch Houzz TV to see original videos of inspiring homes, how-tos and more. 

Get Advice

- Discuss home design and renovation topics in our Advice section and get feedback from the Houzz community on your projects and ideas.

The Houzz app topped The New York Times list of “best apps for home improvement.” The Washington Post called Houzz the “single best source"" for finding inspiration. CNN named it the “Wikipedia of interior and exterior design.”

Use of the Houzz iOS App and the services provided through the Apps are subject to Houzz.com's terms of use: http://www.houzz.com/termsOfUse",5.0,165523
Design Home,com.crowdstar.covetHome,"Love home decorating? Play Design Home! If you daydream about designing beautiful, unique interiors for your many fantastic homes, you can now bring your design dreams to life in this visually stunning 3D experience. Join millions of design and home decor lovers to discover, shop items you love, style gorgeous rooms and get recognized for your creativity! 

In Design Home, you can express your unique design style by using furniture and decor items from real, high-end brands to design beautiful, photo-realistic interiors. You can even discover and vote on new looks and styles created by other players and win exclusive in-game prizes for the designs that you have created.

It’s fun, it’s quick and you can share design ideas with friends!

SHOP THE BEST DECOR BRANDS. We’ve partnered with high-end brands like Design Within Reach, Serena & Lily, Kathy Kuo Home, Noir and Loloi (to name a few!) to bring your design dreams to life. With new furniture and decor added every day, you are sure to discover styles that you love!

DESIGN THE PERFECT ROOM. Choose from thousands of pieces of high-end furniture and decor, rugs, plants and wall art - in an endless variety of colors and styles - to design incredible interiors that range from chic metropolitan high-rises to exotic beach-front estates and cozy mountain retreats. 

VOTE ON THE BEST DESIGNS. Cast your vote and decide what’s hot in the Design Home community. With thousands of entries for each design challenge, you get to decide if a design is 5-star worthy or if it missed the mark. Get feedback, ideas and inspiration from other players and watch your interior design skills improve every day!

Love the items in your favorite design? You can shop for them directly through Design Home! Click any piece you love and buy it for your own home. With new pieces added every day, Design Home literally puts the best home decor directly at your fingertips. Not only can you discover brands and trends, you can own them, too!

Download Design Home now and start crafting the beautiful rooms of your dreams!",4.5,28990
Home Design 3D GOLD,com.anuman.HomeDesign3D-GoldEdition,"With Home Design 3D, designing and remodeling your house in 3D has never been so quick and intuitive! 
Accessible to everyone, Home Design 3D is the reference interior design application for a professional result at your fingertips! 

CREATE, DESIGN, FURNISH AND DECORATE EASILY YOUR HOME AND SHARE IT WITH A COMMUNITY OF MORE THAN 30 MILLION OF USERS WORLDWIDE!

Whether you want to decorate, design or create the house of your dreams, Home Design 3D is the perfect app for you:

1. DESIGN YOUR FLOORPLAN
- In 2D and 3D, draw your plot, rooms, dividers
- Change the height or the thickness of the walls, create corners 
- Add doors and windows  with fully-resizable pieces of joinery 

2. FURNISH AND DECORATE
- Design and decorate both the interior and outdoor of your home
- Make your choice from over a thousand of pieces of furniture and accessories, customize your decoration and express your style, from the most classical to the trendiest! 
- Edit any object, by changing its size, color, position and altitude on the walls
- Duplicate your favorite items thanks to the copy/paste function
- Use the undo/redo feature at anytime if you want to go back
- Use the eye dropper to find an existing color in the plan 
- You can also import picture as texture and apply them everywhere

3. VISUALIZE AND VISIT YOUR CREATION
- Visit your creation in real-time 3D as if you were inside it thanks to our brand new photo-realistic 3D rendering
- Discover your home, your outdoor and even your neighborhood
- Admire the result day and night, the compass function will show you where exactly the light will fall at different times of the day

4. IMPORT/EXPORT AND SHARE
- Import any plan and display it on the background of the project
- Export and continue your projects on your other devices thanks to the cross-platform compatibility 
- Share your projects via e-mail, Dropbox, OneDrive and many more file hosting services!
- Share your best creations  with the Home Design 3D community on www.homedesign3d.net!

Suitable for the iPad 4 and iPhone 4s or latest
No internet connection required
Illustrated tutorial available 

Calling all professionals! We can make it possible to see your products in Home Design 3D, or develop a unique version of the app for your needs. Contact us at pro@anuman-interactive.com
_________________________________________

Follow us on Twitter @homedesign3d
Join us on facebook.com/homedesign3d
Get inspired on our Pinterest boards/homedesign3d/",4.5,10365
Home Design Story,com.teamlava.homedesignstory,"Design, decorate, and personalize the home of your dreams with the #1 FREE home design game! Cozy country cabin, or modern mansion? You decide, you design! 

Dream big, decorate for success, and become the world’s most celebrated designer! 

- PERSONALIZE your home with an enormous selection of stylish pieces! Choose from retro, deco, vintage, and more! 
- BEAUTIFY your home with stunning victorian wallpaper, bamboo floors, and modern art! 
- DECORATE to raise your home value and unlock new design pieces! 
- LANDSCAPE a serene garden and patio paradise, add fountains and exotic plants! 
- SOCIALIZE with your friends! Visit neighbors for design inspiration, or invite them over to show off! 
- ACHIEVE designer fame through captivating storylines! Impress the press, hire photographers, and get rich! 
- Sharp, stunning graphics, animations, and sounds make your dream home a REALITY! 
- FREE weekly updates introduce new items, styles, and storylines! 

Antique Mansions, Rustic Cottages, Beach Chalets, and Modern Art Masterpieces! What's your dream home? 

Home Design Story is the BEST looking, most customizable, FREE home design game for your iPhone, iPad, or iPod Touch. 

Please note that Home Design Story is free to play, but you can purchase in-app items with real money. To delete this feature, on your device go to Settings Menu -> General -> Restrictions option. You can then simply turn off In-App Purchases under ""Allowed Content"". In addition, Home Design Story may link to social media services, such as Facebook, and Storm8 will have access to your information through such services.

Follow Storm8
www.storm8.com
facebook.com/storm8
twitter.com/storm8",4.5,35687
Design This Home,com.appminis.dth,"The most popular home design game in the world with 10,000,000 players!
Over 200,000 five star reviews and #1 around the globe!

**DESIGN YOUR DREAM HOME!**
Have you ever wanted to build, design and decorate your perfect dream home? Now you can in App Minis’ latest game, Design This Home™!

Become a superstar designer as you decorate and expand your house! Customize every element of your home: arrange furniture, put up cabinets, paint the walls, renovate the floors and more - anything is possible in Design This Home™! Increase your home's value and collect income from your residents - the nicer the home, the more cash and XP you'll earn!

**YOUR HOME - YOUR STYLE**
Incredible variety! Choose from different styles ranging from modern, traditional, country, Southwestern, European, Asian, Victorian and many more!

Over 700 items to customize your house with! No other game in the App Store has this much variety!

**DREAM IT, BUILD IT**
Your creativity shouldn't be constrained to a single space - you have an entire house to decorate to your heart's content. Customize your residents, share your house with your friends, clean and fix up your home, and earn rewards by completing tasks.

In Design This Home™, there really is no place like home!


FEATURES:

- Over 700 items - the largest home design game in the App Store

- Expertly crafted high-quality retina art and animation

- Customize every aspect of your home, from the floors to the walls and everything else!

- Nine full-sized rooms to construct and decorate

- Choose from six beautiful floor plans!

- Own multiple homes!

- Add your friends as your house residents

- Frequent updates, new items, seasonal decorations, tasks, and more

- Intuitive and easy to play for all ages

- Universal app - play on either your iPhone, iPod Touch or iPad!

- Share your home with your friends over Facebook, Twitter and email

*NOTE: DTH has a minimum requirement of iOS 4.0 and an iPhone 3GS, iPod touch 3G (16gb/32gb), or iPad*

_______________________________________
Design This Home is an ever-expanding game with new content planned regularly.

FUTURE FREE UPDATES: New items, new residents, new floor plans, gardens and landscaping, neighbors, monthly contests and more!

We want to hear from you! What would like to see in Design This Home? Let us know by reviewing the game or visiting our website!

Design This Home™ is free to play and also offers in-game currency that can be purchased.  If you would like to prevent yourself or others from making purchases, please turn off In-App purchasing in your device settings.

Please review our Privacy Policy and Terms of Service before playing:
Privacy Policy:  http://www.appminis.com/privacy.htm
Terms of Service:  http://www.appminis.com/tos.htm
__________________________",4.5,439044
"Wayfair - Shop Furniture, Home Decor, Daily Sales",com.wayfair.WayfairApp,"Hold the world’s largest selection of home goods in the palm of your hand with the Wayfair app. Whether you’re searching for wall art, furniture, or bedding, your dream home is just a tap away. So why are millions of shoppers already using our app? Read More…

•	See items in any space with our revolutionary View in Room feature
•	Purchase your items FAST with our mobile-optimized checkout
•	Save your faves with Idea Boards
•	Follow your orders home with our new order-tracking interface
•	Prep for your big day by creating a wedding registry
•	Get notified about new sales and the status of your orders

Don’t have an account with Wayfair.com? Sign up now using the app to access our great features, high-quality products, and more!
Whether you want to remodel an entire house or find that one item that tops off your look, shopping for your home has never been so easy and enjoyable.",4.5,13250
Zillow Digs - Home Design and Paint Visualizer,com.zillow.digs,"Zillow Digs is a hub for home improvement and interior design ideas. Get the information to make your project happen with cost estimates, paint colors and product details – all from your iPhone or iPad. Stunning images and an iOS-optimized interface make it easy to discover new home ideas.
•	Browse images organized by space and style – inspiration anywhere, anytime. 
•	See project estimates for kitchens and bathrooms, based on your location.
•	Find the products you need to re-create a design look you love.
•	Virtually paint your walls to test out different colors in your actual space
•	Ask an interior designer where to source a product.
•	Collect and save images to boards. Add descriptions and comments.
•	Photograph designs you love and instantly upload pictures to boards for future reference.
•	Share images to Facebook, Twitter and via email.
•	See the home details of an image with Zillow’s home database.
•	Follow other users, comment on images and contact home professionals.",4.5,1800
Planner 5D Home Interior Design & Room Decorating,com.planner5d.Planner-5D,"Whether you’re remodeling, renovating, or designing your dream home, Planner 5D has you covered! Create detailed 2D & 3D floor plans, browse a 3000+ item catalog, and create photo-realistic images of your projects. With over 2 million downloads, Planner 5D makes interior design easier than ever! 

Features:
• Immersive 2D & 3D design 
• “Snapshot” function to create photo-realistic images of your projects with realistic lighting, textures, and shadows
• Browse a 3000+ item catalog to personalize and decorate your projects with
• Sign in with Google+ or Facebook to work on your projects on any platform
• Switch between Metric and Imperial systems of measurement 
• Save and share your projects 
• Work on downloaded projects offline
• Completely Ad-free
• Multi-language 

Free Version
• 2D and 3D editor
• 150+ item catalog
• Unlimited number of projects
• Multi-platform synchronization
• 600+ texture catalog

Premium Version
• Access to entire 3000+ item catalog
• Ability to alter size and appearance of all furniture

Other Features
• Apple Pencil support
• 3D Touch support
• Follows Apple Design Guidelines
• Split-screen multitasking on iPad
• Basic Accessibility features for the visually impaired

If you have any questions, feel free to contact us at:
hello@planner5d.com
Or send a message to our support team by clicking on the “?” button in the app.

Follow us!
Facebook: https://www.facebook.com/Planner5D
Twitter: https://twitter.com/Planner5D
Instagram: https://instagram.com/planner5d",3.5,1657
