Name,Package Name,Description,Rating,Rating Count
Sage Construction,com.sage.construction,"Manage your project information via project files and be able access it from anywhere with seamless integration between your cloud and mobile devices.  Increase the accuracy and speed at which you collect and process employee time worked on a construction project by having employees or supervisors submit time worked remotely via an iPhone or iPad to Sage Construction Anywhere, a cloud-based collaborative solution that helps teams keep construction projects moving. Using this app, employees and supervisors can quickly and easily log employee time worked, the type of time worked (e.g., overtime), and link entered time to the activity performed on the job (cost codes) or to non-job related items like safety meetings, vacation or sick time. Notes can also be included as needed. Once submitted, supervisors, project managers and payroll administrators can review and approve time submitted via Sage Construction Anywhere and then electronically share approved time with Sage 300 Construction and Real Estate (formerly Sage Timberline Office) to jump start payroll and job costing processes.",3.0,13
hh2 Remote Payroll,com.hh2.hh2WebServices.hh2RemotePayroll,"HH2 REMOTE PAYROLL REQUIRES A SUBSCRIPTION TO HH2 WEB SERVICES AND FUNCTIONS EXCLUSIVELY WITH THE SAGE 300 CONSTRUCTION AND REAL ESTATE ACCOUNTING SYSTEM, FORMERLY TIMBERLINE OFFICE OR FOR SAGE 100 CONTRACTOR, FORMERLY MASTERBUILDER.

hh2 Remote Payroll allows Sage CRE (Sage 300, Sage Timberline Office, Sage Timberline Enterprise, Sage 100, Masterbuilder) to enter and approve their payroll on their iPhone or iPad!

The app supports advanced functionality:
- Copy Time from One Employee to Another
- Prefill Time from a Previous Week
- Batch Attendance Entry
- Enter Time While Offline and Sync up Later",2.0,12
Eco Knight : Tractor Rival (a save the planet 2 player gambling game),com.cobaltplay.ecoknight,"Save the world from destruction one tree at a time and be a hero in Eco Knight : Tractor Rival.
Amazing, addictive tap game play that kids and adults can pick up no problem. Take in some of the most relaxing music in a game ever, earn coins for saving trees, and battle in 2 player mode.

REVIEWS
- ""i love the calm feel of this game. the music, the colors, the slow pace, great experience""

- ""VVVVVVERY!!! Good game with a serious message to the world, really enjoyed it""

FEATURES
- 1 or 2 player battle mode.
- Earn coins as you save trees.
- Unlock high end items, the sports car, the jet, even buy the earth.
- Gamble and double your money against the other player if you win.
- Beautiful relaxing music and calming art work.

Now go save the world :)
Join us on facebook and post your score: http://at5.us/facebook",,
Sage Project Center,com.na.sage.projectcenter,"Connect anytime, anywhere to your project using the Sage Project Center Mobile App. The core app will enable your team to view and capture Daily Reports and Photos regardless of where they are.

Create, Share and Edit Daily Reports using your iOS device in a simple, efficient and secure manner. Work offline and then when you get connectivity, the app will sync back up automatically.

There are no additional costs to utilize the mobile app for Sage Construction Project Center customers.",,
Designing Your Perfect House - The Essential Guide to Building and Home Design,com.wuyan.homedesign,"Discover stylish interior design ideas for your home with the latest interior inspiration and décor pictures and tips for Living Room Design, Bedroom Design, Kitchen Design and the entire home& Garden.

we are will help distill your tastes and ideas into a design that suits the needs of your space.",,
Operation: Save Skiz,saveskiz,"CAN YOU RESCUE THE PEACEFUL SKIZOIDS FROM THE WARMONGERING LUGNUTS?

The Skizoids and the Lugnuts have been at war in what seems forever! While the Skizoids took advantage of their own natural energy resources in combat, the Lugnuts, a weak species really, relied on their superior technology and machines to gain a slight advantage in battle. But now, the Lugnuts are up to cunning new tricks, and have invented an evil machine they believe will end the war. They have built a machine that harvests the Skizoids own energy, thus turning the strength and advantage of the Skizoids against themselves! This is bad news indeed! It would result in a massive explosion fragmenting the planet and destroying the Skizoids forever! Thankfully, on the final day of battle, the Skizoids knew something sinister was going to happen, and in visions realized their impending doom! Despite all attempts to avoid the inevitable, the Skizoid army failed and the invention of the Lugnuts worked as intended. Unfortunately for the Lugnuts, enough energy was harvested on the planet to keep the Skizoids alive, and transport ships were dispatched to rescue the survivors before the Lugnuts got to them first! Now, on a distant planet deep within the universe, the surviving Skizoids are building their new home and planning their ultimate revenge …  

★Addicting Gameplay
★19 levels
★Immersive Story
★Over 30 Achievements
★Unique line-drawing gameplay
★In-game shopping for upgrades
★GameCenter High-Scores & Leaderboards
★Facebook Friends lists & Gifts",,
hh2 Field Reports,com.hh2.hh2WebServices.hh2FieldReports,"HH2 FIELD REPORTS REQUIRES A SUBSCRIPTION TO HH2 WEB SERVICES AND FUNCTIONS EXCLUSIVELY WITH THE SAGE 300 CONSTRUCTION AND REAL ESTATE ACCOUNTING SYSTEM, FORMERLY TIMBERLINE OFFICE OR FOR SAGE 100 CONTRACTOR, FORMERLY MASTERBUILDER. 

hh2 Field Reports allows Sage CRE (Sage 300, Sage Timberline Office, Sage Timberline Enterprise, Sage 100, Masterbuilder) to completely log the days events.  The following information is logable:

Weather
Labor
Subcontractors
Equipment
Materials
Activities
Events
Visitors
Journal
Meetings
Billing
Attachments

Theres more! Search Field Reports, View Job Cost reports, download project files, and gather signatures.",,
Energy Villas,com.energyvillas.energyvillas,"Electronic Platform for Architectural Designs
Privileges, the prospective homeowner had never before

An innovative application for those who are interested in acquiring a new house, in residential architecture, design, decoration and energy saving. Among numerous architectural designs of houses of different sizes and styles, the number of which will continually increase, you can select the study of the chosen house, at an advantageous price, and assign to us its construction.

Unique designs of different architectural styles, in 8 categories and five subcategories, prepared for you, so you can select the one that suits your personal criteria, through a large number of three-dimensional images for each house and 3D Full High Definition videos.

Our houses are shown decorated, equipped and furnished by renowned international firms.  For each house we create productions in different landscapes and with different scenarios and place them in a virtual environment that best suits its style and architecture.

Through virtual reality, we bring your future home as close as possible to reality, facilitating your choice, thus saving on your account both time and money. We give you numerous choices (without having to wait for completion of studies by the architect, the civil engineer, mechanical engineer) to facilitate your decision and purchase the full set of studies of the house you wish to own.

Our advantage:  Through technology, we bring you realistic images and designs so that you can choose the home you wish to own, from wherever you may be at the time!  We give you the opportunity to choose original and unique energy houses, at the tips of your fingers!",,
Sage Paperless Const. eCapture,com.sage.eCapture-2,"Use your smartphone as the ultimate scanner. Capture job photos, credit card receipts, AP receiving documents or even AP Invoices by using the cameral on your smartphone. Take pictures, add relevant information and submit directly to your SPC system from anywhere in the world! Use eCapture to instantly capture and submit: Job Photos, Credit Card Receipts, AP Receiving Tickets or anything you want to take a picture and route back to Sage Paperless Construction.",,
Police 12,com.blueriversinc.police12,"Save the police from crashing into road construction area.
Shoot for the highest score and have fun with this game! 
Tap all the Cars and save from Crash before its rush time! 

Police 12 - is an easy and fun game for people of all ages. 
Just tap a car to save it and… that’s about it! 

HIGHLIGHTS 

• Just tap the Car before they reach the road construction area. 
• Guarantee of fun for kids, boys and girls 
• Multi touch support to multiply the fun 
• Suitable for car lovers of all ages 

Download now and have fun!",,
