Name,Package Name,Description,Rating,Rating Count
SMC Go,edu.smc.m,"Stay connected with SMC Go, the official app of Santa Monica College. Quickly access crucial campus resources while you are on the go. 

SMC Go Features:
•	Academics
•	Admissions & Enrollment
•	Ask SMC
•	Athletics
•	Campus Tour
•	Class Schedules
•	College maps
•	Corsair Connect
•	Dining Options
•	Emergency Information
•	Employee Directory
•	Events
•	Indoor Maps
•	Library
•	Social Media
•	Student Life
•	Student Services
•	Transit
•	Videos",5.0,5
The SCVWD App,com.apprisemobile.scvwd,"The AquaGo App is the official app for those interested in and residents of, the Santa Clara Valley Water District. This mobile app provides you with interactive features and continuously updated content that will allow people who live in the Valley to track employees, gain information on the water district and more.  Features of the app include:

• Interact with other residents of the Valley by liking and commenting on content 
• A directory that allows you to call and email important Valley contacts
• Alerts regarding the most recent news, events, and important information 
• Streaming of videos both live and archived
• The ability to add upcoming events to native calendar
• Share content with others via your favorite social media channels and email
• . . . and more!",,
Let's Go Santa,com.degenet.gosanta,"*** Don't let this cute Santa Claus fool you. This is the toughest and most challenging game you'll play on Christmas. ***

Rudolph has taken off without Santa! You must now run and jump to try to catch up while picking up all the gifts that have fallen off Santa's sleigh. 

WARNING: This game is extremely difficult to master and will test your patience.  Do not play it if you get easily frustrated. 

FEATURES:

* Endless running and jumping adventure
* Win medals and compete against friends on the leaderboards
* Pickup gifts along the way
* Fun music and sounds
* Jump & double jump simply by tapping
* Hone your reflex skills (and your patience)
* Also available for AppleTV",5.0,5
Pocket Santa GO,alina.santago,"Santa GO
Love of the game where you can search for and collect the animal? Try our unique holiday, New Year's game with the search for the lost Santa and his friends!
Find all your friends and relatives santa. For a more interesting effect using the camera as augmented reality.
Collect the entire collection handheld toy Santa.
Features:
- Unique search on the map.
- Best Radar.
- A huge collection (Santa, snowman, reindeer, snow maiden, elves and many others!)
- Endless Search shells.
- Off line game.
- Completely free!
-And much more!
Begin the hunt for Santa now and you can not stop until you have collected the entire collection of pocket pets!
With nastupayushim New 2017 Year! Find all the magical characters until the new year and get a gift!",,
Go Santa Go Free,com.mapi.gosantagoios,"Go Santa Go! is the new Christmas runner game.

It's Christmas Eve and Santa’s sledge has gone out of control spilling presents all over the streets.
So now help Santa to collect as many presents as possible without being hit by traffic or trash.
The game gets progressively harder by increasing the speed and hazards!",,
Go Santa Run,com.NamrataGame.SantaRun,"Now Amazing Go Santa Run Game For Kids and Adults!

It's amazing endless FREE game.

Create your best score.

Amazing Adventure and Entertainment Game..

Play And Enjoy!!",,
Santa Casa da Misericórdia de Fortaleza,com.appbeeasy.doacao.santaCasa,"Há 155 anos a Santa Casa abraça o cearense, e hoje ela precisa do seu abraço. 
O aplicativo Santa Casa da Misericórdia de Fortaleza foi criado com o intuito de facilitar a sua doação. Baixe e ajude a salvar vidas!",,
:: Go Santa Go! :: The Ultimate Endless Runner for the Christmas Holiday Season!,com.beaconmobile.GoSantaGo,"Santa needs your help!!  It's the night before Christmas and Santa needs to deliver his gifts to families all around the world... but there are plenty of obstacles trying to hold him back!  It's your mission to help Santa reach everyone in time for Christmas and make it safely back to his home at the North Pole!

* Addictive game play
* Music and sounds to get you in the holiday spirit!
* Stunning graphics and continuous action
* Easy to play
* Extra lives to keep you running
* Game Center integration and leader boards
* Universal app (runs on iPhone, iPhone 5, iPad, iPad Mini, and iPod Touch)

Compete against your friends to see who can get Santa the farthest!

Contact us at support@beaconmobile.com for any issues.",,
TPNP TOMI Go Santa Marta,com.tomi.go.TPNP-TOMI-Go-Santa-Marta,"Santa Marta de Penaguião, bem no coração do Douro, onde sobressai uma beleza impar, com a presença de raras castas, socalcos, riachos e cascatas. As cores, que de verde a castanho ainda são pinceladas de dourado. Quando pensamos que a paisagem se repte, surge, imponente e determinada a serra do Marão que rende o olhar e nos faz pensar. Percorra este território em toda a sua extensão. A TPNP TOMI Go Santa Marta de Penaguião disponibiliza toda a informação necessária ao visitante deste município com mapas da região e organizada por categorias:

- Onde Comer
- Onde Ficar
- O que fazer
- Eventos

Todas as funções da TPNP TOMI Go Sta. Marta de Penaguião podem ser utilizadas em modo off-line, desta forma poderá usufruir das maravilhas desta região sem qualquer preocupação.",,
Christmas Swap 3,com.bubblego.christmasswap,"Christmas is coming again. Christmas Swap is a funny match 3 Puzzle game and just in time for the holidays. You will experience the adventure with Christmas Swap in a snow world of Christmas tree, santa's hat, Christmas bells and other cute Christmas Pieces.

Marvelous game modes include:

** Chocolate-Match the cute Christmas pieces on the chocolate to collect the delicious chocolates.
** Green Lawn-Drop the pieces into the green lawn to clean the dirty pieces.
** Flower basket-Match Pieces next to the Flower Basket to release the trapped pieces.
** Flower-Feed the flower spot with Christmas pieces to bloom the beautiful flowers for the holidays.

Download the Christmas Swap now and have a amazing adventure!
Wish you Merry Christmas and Happy New Year!",4.5,328
Go With The Snow,com.ranj.santagotchi,"&ranj wanted to do something different this Christmas and developed an app for our customers and stakeholders. This app is a nice addition to our Christmas message and stands for one of the &ranj habits: 'We achieve positive behavioural change through play'. The app is very simple: scan the grass field, tap on the field to let Santa run around and discover the hidden message!

> Download the marker at: https://ranj.com/x-mas",,
Running With Santa,com.zariba.runningwithsanta,"Save Christmas and dive into the holiday mood with the best running game of the holiday season!

Hurry up and get running with Santa! Save Christmas from becoming a complete disaster! 
Santa’s slay has been struck by a lightning and the jolly old man is now in big trouble! 
Help him save the holiday spirit and find all presents that were lost in the accident, by guiding his run around the snowy North Pole village’s streets. 
Santa needs your help with finding his way through the icy course and retrieving all of the presents that fell off the sled in the accident. Hurry-up and collect all lost gifts from the streets of Santa’s village as quickly as possible! Make sure that all good kids receive their presents just in time for the holiday.

Join the gift hunt and have the Christmas adventure of your life!

Snowy bridges to cross, tricky icicles to avoid, deadly gaps to jump over - those are only a few of the obstacles that you will have to deal with, while running with Santa. Try to collect all of the presents that you see on your Christmas dash.

The various bonuses and power-ups that you will stumble upon while running through the snowy village’s streets are there to help you with your mission. Run faster, jump further and collect more lost gifts, meant for good kids from all around the world. The more presents you retrieve, the easier your mission becomes! Equip your character with a blazing fast jet pack or just pick up a magnet and make sure that no gift is left behind!

Who is your favorite character? 
Do you like playing with Santa or you prefer the little dwarf character? It is up to you! 
Join our facebook community and let us know which dwarf or reindeer character you want to run with next!

You can’t get enough of Santa’s little helper dwarfs? 
Just vote for Dopey, Grumpy, Doc, Bashful, Sneezy, Sleepy, or Happy! 
Which of Santa’s reindeer is your favorite? 
Vote for Dasher, Dancer, Prancer, Vixen, Comet, Cupid, Donner or Blitzen!

This is your game so have your say and have it your way!

What we can promise is that you will fall in love with our great Christmas runner, once you glance at the stunning 3D graphics and hear the enchanting Christmas Carol soundtrack.",4.0,102
Santa Monica Works,com.govoutreach.gosantamonica,"Report problems, issues, concerns or simply use the official City of Santa Monica app to interact with your city.",4.0,5
Go Rudy,de.AffenLady.gorudy,"Help Rudy the reindeer collect as many presents as possible to save Christmas. 

Your mission is to tap on the screen to help Rudy fly - the longer he flies, the longer he can accumulate candy, cookies, gifts, and christmas trees.

Rule 1:
Tap on the right of the screen, and Rudy flies forward.  Tap on the left, and he will fly backwards.

Rule 2:
Avoid Buildings and Balloons at any cost! 

Game Center Achievements:
     Gingerbread, Present, Lollipop, Candy Cane & Christmas Tree

Game Center Leaderboard:
     Rudy List",,
Santa Days to Go,com.stealthproductions.Days2Go,"'Santa Days 2 Go’ is an app designed to enable you to determine the number of days to go to until Santa makes a visit along with other specific dates from the current date or if the number is negative it will show the number of days since the event occurred to the current date. 
Events and dates can be stored, edited and deleted from the table for future use. It can be used to determine how much time you have to book holidays, buy presents, organize parties etc.
Now there is no excuse as to why you missed an event.",,
