Name,Package Name,Description,Rating,Rating Count
ParkWhiz - Find Parking Nearby,com.parkwhiz.ParkWhiz,"Take the hassle out of parking with the ParkWhiz app. Find parking in any major city, compare prices, plus save up to 50% when you book in advance.

Free yourself from parking hassles by choosing the way you’d like to book with plenty of choices, parking times to suit everyone, close-by locations, on the go on mobile.  

You’ll get paperless passes that travel with you, for convenient parking anytime--with savings of up to 50% off drive-up.

BOOK easier than ever with our all-in-one homescreen.
PARK with your mobile pass, just pull in.
DO YOUR THING with all the time and money you've saved.

- All in one homescreen for the way you like to book.
- New larger date & time selection for better ease and accuracy.
- Control it all, make your own choices. Choose fast, book easy.
- Instant-load map, simple selections, speedy booking.
- Up to 50% off drive-up rate for pain-free city parking.

All the parking you need.

Business? Check. Commuting? Yep. Going to a museum or a concert? Got it. Need airport parking? Even there. Book with ParkWhiz for all of your parking needs.

We’re the leading NYC app, sparing New Yorkers from alternate side of the street parking. From the most congested place in the nation, to Chicago, San Francisco, Boston, Los Angeles, and all points in between, ParkWhiz gets drivers parking for less. 

Better yet, you book in advance, so your space is waiting. There's no more circling blocks, worrying about full lots or frayed nerves from not knowing where to park.

HOW IT WORKS

We contract with garages and lots across America for insider pricing we pass along to you. But booking couldn't be easier. Here's how it goes:

- The first screen lets you search by destination by address, map 
or past pass.
- Pick the pin on the map with the nearby location's price you like.
- Set date and times.
- Confirm booking.
- Get your virtual pass in your phone.
- Pull in, park, then do your thing.

WAITING TO HELP

We've got real people just dying to help you out. Have a question, need a hand? Our ace customer service folks will answer your call or text and get you on your way. 

Call 888-472-7594
Email info@parkwhiz.com
Follow us on Twitter @ParkWhiz
Like us on Facebook at http://facebook.com/parkwhiz
Learn more at www.parkwhiz.com

ParkWhiz Delivers

“Dead simple to use, just enter your destination and time then it shows nearby spots. Always reasonably priced with clear descriptions. Highly recommend to take stress out of parking.” -- PW customer, April 2017

“Customer service is beyond! Love this app. I live 10 miles from NYC so I’m there often. I’m always able to get discounted parking, no matter the area.” -- PW customer, April 2017

“ParkWhiz helps drivers get where they want to be for less.” -- American Airlines Magazine
“Check out apps like ParkWhiz that will save you money and a spot.” -- ABC News",5.0,11911
SpotHero - Find Parking Nearby,com.spothero.spothero,"Park smarter with the SpotHero iPhone app. SpotHero helps you get everywhere, easier by making it fast and convenient to find and reserve parking in major cities. Plus, when you book your parking spot in advance, you can save up to 50%.

SpotHero gives you access to thousands of garages, lots, and valets nationwide. Whether you’re commuting to work, heading to the airport, or exploring your city, we have a parking spot near you. Use the SpotHero parking app to reserve parking in New York City, Los Angeles, Chicago, Atlanta, Austin, Baltimore, Boston, Dallas, Denver, Detroit, Houston, Indianapolis, Milwaukee, Minneapolis, Miami, New Orleans, Newark, Oakland, Philadelphia, Sacramento, San Diego, San Francisco, Seattle, St. Louis, and Washington, D.C.

How does it work? It’s easy. Just look, book, and park!

1. Look: Enter the dates and times you need parking. Then compare parking garages and rates near your destination.
2. Book: Pre-pay to reserve your spot.
3. Park: Follow the directions on your parking pass to your selected garage, park your car, and go! 

Parking for work? Create a business profile to separate business and personal parking expenses, then automatically send receipts to Concur, Expensify, Certify or Chrome Riever. Have a commuter benefits card? Use pre-tax dollars to pay for daily parking near your work.

Have a question?
Call us at 312-566-7768 or email support@spothero.com. Our Customer Heroes are standing by ready to help every day from 6 a.m. – 11 p.m. CT.

Find us at:
SpotHero.com: http://spothero.com
Facebook: http://facebook.com/spothero
Twitter: http://twitter.com/spothero",4.0,1897
"Airport Island®, Asia",airport.asia,"- Build famous buildings from China, Japan, Korea, Hong Kong and Taiwan. - Beautiful island with nice airport background. - At the beginning of the game, you have to farm.- Export crops through the airport and makes money.
- You can buy aeroplanes at the airport. - But the most important thing is the trading exchange rate of grain. - You can buy a building by collecting money.- But you can sell the building, so negotiate at a good price. -Discover a traditional building hidden in a building


City management, management games, airport games, airport management, traffic games",,
LA Luxury Limo,com.mippin.ios.m07a13f05247c4771a21e0be28e639b19,"LA Luxury Limo clients select us for our commitment to providing luxury chauffeured car and limousine services. Each trip with LA Luxury Limo means receiving the highest professional hospitality service you expect from the world’s best airlines and five-star hotels. Here are a few ways we are more than just a ""limo"" company.
 
GLOBAL NETWORK: With services available in over 700 cities, we provide chauffeured transportation in cities as familiar as New York City and Boston, and as diverse as London, Tokyo and Barcelona, powered by a fleet of late-model luxury sedans, SUVs, limousines and professional chauffeurs.
 
FIVE-DIAMOND SERVICE: It is LA Luxury Limo standards of chauffeured hospitality and personal attention to detail for limousine and car trips that makes us the dedicated transportation provider for over 30 five-diamond hotels in New York City and Los Angeles.
 
MORE THAN A LIMO COMPANY: What separates LA Luxury Limo from other limo or black car companies is our standards of hospitality and attention to detail. We offer additional travel benefits, by request, based on your personal needs, including security detail to VIP airport concierge services. Professional chauffeurs must pass rigorous state and federal background, and are then trained to provide our standards of safe, personal transportation. Only the best become from LA Luxury Limo chauffeurs.
 
CHAUFFEURED HOSPITALITY: For business car sevice, luxury wedding,
airport car service, or other luxury limousine and black car transportation, make your online reservation with LA Luxury Limo. We deliver personal, chauffeur service that comes from 20 years of experience in the chauffeured transportation industry.
 
EARLY ARRIVAL: Using the latest reservation and tracking technologies, we ensure your LA Luxury Limo luxury car or limo arrives 15 minutes prior to pickup, allowing our professional chauffeurs time to adjust to last-minute itinerary changes or flight delays.
 
Explore our website to learn more about how we provide the industry’s leading luxury, chauffeured transportation services.",5.0,5
Palma de Mallorca Airport + Flight Tracker Premium PMI,com.webport.airportpmipro,"Flight tracker premium. #1 airport app 
For Mallorca and every airport in the world (2500+) you get: 
+Live Arrival and Departure boards 
+Terminal maps 
+Food and restaurants 
+Parking 
+Ground transportation 

Palma de Mallorca Airport is the third largest airport in Spain but during the summer months it becomes one of the busiest airports in Europe. This app provides complete information for Palma de Mallorca Airport including parking, food and restaurants, terminal maps, directions to and from the airport and more. 

No other app provides as much information on Palma de Mallorca Airport--useful information you need. 

See restaurants, shops, transportation to and from airport and Wifi. Airport lets you know if your flights delayed or cancelled and gives you the tools needed to quickly find an alternate flight and rebook all in one place. 

Check-in, flight status, baggage, seats, for your flight all at your fingertips. 

In addition, you can access information on virtually every airport you fly to from Auckland. We include Christchurch, Brisbane, Sydney, Melbourne, Stockholm, Brussels, Charleroi, Frankfurt, Munich, Hannover, Hamburg, Amsterdam, Dubai, Singapore, Shanghai, Hong Kong, Peking, Tokyo, Manila, Jarkarta, Paris, Frankfurt, Rome, Istanbul, Moscow, Tokyo, Mumbai, Rio, Sao Paulo, Buenos Aires, Santiago, Lima, Beijing, Hong Kong, and all the small and medium airports of the world.

The app also includes Packing Plus--a checklist for travelers. Did you remember everything? No problems with Packing Plus that is included along with a premium flight tracker.",,
Barcelona El Prat Airport + Flight Tracker Premium BCN,com.webport.airportbcnpro,"Flight tracker premium. #1 airport app 
For Barcelona and every airport (2500+) you get: 
+Live Arrival and Departure boards 
+Terminal maps 
+Food and restaurants 
+Parking 
+Ground transportation 

Barcelona El Prat Airport (BCN) is the second largest airport in Spain. It is a major hub for Vueling Airlines and also serves Ryanair and Iberia. This app provides complete information for Barcelona El Prat Airport (BCN) including parking, food and restaurants, terminal maps, directions and more. 

No other app provides as much information on Barcelona El Prat Airport--useful information you need. 

See restaurants, shops, transportation to and from airport and Wifi. Airport lets you know if your flights delayed or cancelled and gives you the tools needed to quickly find an alternate flight and rebook all in one place. 

Check-in, flight status, baggage, seats, for your flight all at your fingertips. 

In addition, you can access information on virtually every airport you fly to from Barcelona. We include Madrid, Palma de Mallorca, Lisbon, Alicante, Berlin, Stuttgart, Frankfurt, Hannover, Hamburg, Amsterdam, Dubai, Singapore, Shanghai, Hong Kong, Peking, Tokyo, Manila, Jarkarta, Paris, Frankfurt, Rome, Copenhagen, Istanbul, Moscow, Sydney, Tokyo, Mumbai, Rio, Sao Paulo, Buenos Aires, Santiago, Lima, Beijing, Hong Kong, and all the small and medium airports of the world.

The app also includes Packing Plus--a checklist for travelers. Did you remember everything? No problems with Packing Plus that is included along with a premium flight tracker.",,
Barcelona Airport Pro (BCN) Flight Tracker,com.webport.airportbcnprohd,"Flight tracker premium. #1 airport app
For every airport (2500+) you get: 
+Live Arrival and Departure boards 
+Terminal maps 
+Food and restaurants 
+Parking 
+Ground transportation  

Barcelona El Prat Airport (BCN) is the second largest airport in Spain. It is a major hub for Vueling Airlines and also serves Ryanair and Iberia. This app provides complete information for Barcelona El Prat Airport (BCN) including parking, food and restaurants, terminal maps, directions and more. 

No other app provides as much information on Barcelona El Prat Airport--useful information you need. 

See restaurants, shops, transportation to and from airport and Wifi. Airport lets you know if your flights delayed or cancelled and gives you the tools needed to quickly find an alternate flight and rebook all in one place. 

Check-in, flight status, baggage, seats, for your flight all at your fingertips. 

In addition, you can access information on virtually every airport you fly to from Barcelona. We include Madrid, Palma de Mallorca, Lisbon, Alicante, Berlin, Stuttgart, Frankfurt, Hannover, Hamburg, Amsterdam, Dubai, Singapore, Shanghai, Hong Kong, Peking, Tokyo, Manila, Jarkarta, Paris, Frankfurt, Rome, Copenhagen, Istanbul, Moscow, Sydney, Tokyo, Mumbai, Rio, Sao Paulo, Buenos Aires, Santiago, Lima, Beijing, Hong Kong, and all the small and medium airports of the world. 

The app also includes Packing Plus--a checklist for travelers. Did you remember everything? No problems with Packing Plus that is included along with a premium flight tracker.",,
LA Airport Transportation,com.partner-auto-3157.LAAirport1,"Our transport service was established back in 2009 with a dream to become the best transportation option city-wide. We set out to achieve this by offering our clientele the most luxurious, reliable and safe rides to and from Los Angeles, Orange County, Burbank and Ontario & Long Beach Airports. We are happy to provide you with complimentary drinks whether you’re travelling to the airport, or just 5 blocks up the road.  Rest assured that we’ll get you there in style, glitz and comfort. We also believe in providing the safest rides around. Our drivers not only went through an intense defense driving course, but they’ve all passed background and drug tests.",,
Madrid Airport (MAD) Flight Tracker - Aeropuerto de Madrid Barajas,com.webport.airportmadpro,"Flight tracker premium. #1 airport app 
For Madrid and every airport (2500+) you get: 
+Live Arrival and Departure boards 
+Terminal maps 
+Food and restaurants 
+Parking 
+Ground transportation 

Madrid Barajas Airport (MAD) is the largest airport in Spain. In 2008 Madrid Barajas Airport was voted by readers of Conde Nast travelers as the world's best airport. Terminal 4 is one of the world's largest airport terminals. This app provides complete information for Madrid Barajas Airport (MAD) including parking, food and restaurants, terminal maps, directions and more. 

No other app provides as much information on Madrid Barajas Airport--useful information you need. 

See restaurants, shops, transportation to and from airport and Wifi. Airport lets you know if your flights delayed or cancelled and gives you the tools needed to quickly find an alternate flight and rebook all in one place. 

Check-in, flight status, baggage, seats, for your flight all at your fingertips. 

In addition, you can access information on virtually every airport you fly to from Madrid. We include Barcelona, Lisbon, Palma de Mallorca, Berlin, Stuttgart, Frankfurt, Hannover, Hamburg, Amsterdam, Dubai, Singapore, Shanghai, Hong Kong, Peking, Tokyo, Manila, Jarkarta, Paris, Frankfurt, Rome, Copenhagen, Istanbul, Moscow, Sydney, Tokyo, Mumbai, Rio, Sao Paulo, Buenos Aires, Santiago, Lima, Beijing, Hong Kong, and all the small and medium airports of the world.

The app also includes Packing Plus--a checklist for travelers. Did you remember everything? No problems with Packing Plus that is included along with a premium flight tracker.",,
TUR.LA,org.turkapp.apps.app567f46dec989b,"Deneyimli kadromuz ve turizm belgeli araçlarımız ile bireysel ve kurumsal servis hizmetleri veriyoruz: 
Şehir içi günlük, saatlik organizasyonlar, 
Şehirler arası günü birlik ve/veya konaklamalı tur organizasyonları, 
Otel-hava limanı arası ulaşım hizmetleri, 
VIP hava alanı transferleri, konularında uzmanlaşan Tur.la kendini sürekli yenileyerek hızla büyümektedir. Hizmet verdiğimiz konuklarımıza güvenli, konforlu ve kendilerini mutlu hissedebilecekleri düzeyde bir hizmet sunmayı amaç edindik. Bu amaca ulaşma yolunda ilerlerken sunduğumuz hizmet kalitesi ile konuklarımızın beklentilerinin ötesine geçmeyi hedefliyoruz.",,
