Name,Package Name,Description,Rating,Rating Count
Sniper Shooter: Gun Shooting,com.fungames.snipershooter,"Aim and Shoot! Kill the bad guys and accomplish missions to become the master hitman. Just turn your device to aim and TAP TO SHOOT and kill. Download now!

● EASY CONTROLS: tap to shoot
● 3D graphics
● Multiple TARGETS and scenarios! 
● Improve your skills and accomplish EXTREME MISSIONS
● Mini sniper puzzles 
● 13 chapters, TONS OF LEVELS for you to enjoy
● Enjoy hours of fun for FREE

But don't miss a single shot… or you will end up losing your job! 

Download now and don't miss amazing FREE updates. 

● What our players are saying

- This is a great game. Easy to play and an easy way to kill some time in between appointments. A must have. I spend hours playing this game. Simplistic but addicting! Love it

- Very good game, but completely addicting. Finish whatever you have to before even starting.

- The game is really fun. It's got all awesome graphics. It is definitely the best. I have never played such an awesome game. Whoever doesn't like this game has a problem.

- That's right one of the best games I have ever played so if you are looking for a good time by just sitting around this is the app for you!

- I just downloaded it and it's so fun and addictive I recommend this to people who like games on mobile devices.

Sniper shooter VIP subscription
- You can subscribe for unlimited multiplayer matches
- Payment will be charged to iTunes Account at confirmation of purchase
- Subscription automatically renews for the same price and duration period as the original ""one week"" package unless auto-renew is turned off at least 24-hours before the end of the current period
- Account will be charged for renewal within 24-hours prior to the end of the current period at the cost of the chosen package (weekly, monthly or yearly package)
- Subscriptions may be managed by the user and auto-renewal may be turned off by going to the user's iTunes Account Settings after purchase
- No cancellation of the current subscription is allowed during active subscription period
- You may cancel a subscription during its free trial period via the subscription setting through your iTunes account. This must be done 24 hours before the end of the subscription period to avoid being charged. Please visit http://support.apple.com/kb/ht4098 for more information
- You may turn off the auto-renewal of your subscription via your iTunes Account Settings. However, you are not able to cancel the current subscription during its active period
- Any unused portion of a free-trial period, will be forfeited when the user purchases a Sniper shooter VIP subscription
- Subscription price : Weekly $7.99

Links to our Terms of Service and Privacy Policy can be found below
Privacy Policy: https://www.fungames-forfree.com/games/snipershooter/legal/privacy
Terms of Use: https://www.fungames-forfree.com/games/snipershooter/legal/tos

* Prices are equal to the value that ""Apple's App Store Pricing Matrix"" determines as the equivalent of the subscription price in $ USD",5.0,183774
Stick-Man City Fight-ing Army Shoot-er,com.tuck.stickbloodwar,"Blast your way through the city crime war zone. Army doodle stickman epic war empire fighting. Use your stickman sniper shooting aim and stickman battlefield game survival skills. We all love the classic army war games and army battle games fighting and strategy based alike. In this stickman army game you must use you war machine army of heroes to defeat the broken streets. Simple 2d army infantry game. If u like stickman games such as stickman killing games, stickman revenge games, or army men with commando defense battle skills you might like this game. Have fun!",2.0,6
Cartoon Dart Shoot Man,com.biz.bloonstd18ei,"Cartoon Dart Shoot Man is a Classical game with a modern twist.If you Enjoy playing darts then you will definitely love this game.Try to hit all the targets without hurting the poor fellow! 

Download this endless playing fun for FREE!!",,
Axe Man Shooting Combat Sushil - best monster fighting arcade game,com.VentureApps.AxeManCombatFree,"*** Axe! Fire them up! ***

Axe Man Shooting Combat is the newest shooting app in the Store. Win the war by shooting opponents with your awesome axe. Once played, you 'll definitely get hooked!

FEATURES: 

* Awesome graphics

* Cool sound effects

* Easy gameplay 

Download now and enjoy this awesome app!",,
Bowman Shoot,com.afegames.bowman,"SHOOT THE GUY OR HE WILL SHOOT YOU BACK!
Naughty David is really a super fan of archery and he likes to show off his bow shooting skills whenever he could. He almost practices bow shooting everyday whenever possible. Sometime he dreams of becoming middle ages knight riding a horse,shooting enemies with his bow in the battlefield. One day he comes to practice again in a grassland and another guy who is also a fan of archery practices his bow shooting as well. They decide to take part in a bowman shooting contest and find out who is the better shooting man. The one who gets injured more than the other one will lose the game and quit the contest.
Now David to win the game so that he could continue show off his bowman shooting skills.",,
Tilt to Live,com.OneManLeft.TiltToLive,"** The 2010 Game of the Year – AppAdvice.com ** 
A 2010 Best App Ever Award Winner 
A 2010 Staff Favorite – TouchArcade.com
 A 2010 Top App of the Year – AppAddict.net
 A Top 100 App of 2010 – theAppEra.com

Features:
• Fast, Frantic Action
• Responsive Tilt Controls
• Pick-Up & Play
• 4 Exciting Gametypes!
• 6 Unlockable Super-Weapons
• 46 Award Challenges
• Retina Display Compatible 
• Game Center Leaderboards
• Game Center Online & Offline co-op gameplay (via Viva la Turret Expansion)
• Post Your Highscores on Twitter & Facebook

Would you enjoy unleashing a screaming flock of heat-seeking cluster missiles? A flash-freezing blast of glacial ice? Or transforming into a buzz saw of razor-sharp spikes? Then you’re in luck. That stuff is in this game. Help yourself to a variety of unique gametypes, unlockable weapons, and diabolical award challenges. No buttons or thumbsticks to fumble around with, just tilt. Tilt for your life.",4.0,13756
Tilt to Live Lite,com.OneManLeft.TilttoLiveLite,"** The 2010 Game of the Year – AppAdvice.com **  
A 2010 Best App Ever Award Winner  
A 2010 Staff Favorite – TouchArcade.com 
 A 2010 Top App of the Year – AppAddict.net 
 A Top 100 App of 2010 – theAppEra.com 

Features: 
• Fast, Frantic Action 
• Responsive Tilt Controls 
• Pick-Up & Play 
• 4 Exciting Gametypes! 
• Retina Display Compatible 
• Game Center Leaderboards 


How do you play Tilt to Live? Just tilt. Tilt for your life! Lure relentless red foes over to a handy nuke orb, then ram it and blow the bajeezes out of them. Think you can exterminate your enemies faster than they can multiply? Think again.",4.5,1359
Thunder Assault:Flying Games,com.joynowgame.thunderassault,">>>>>Become a Master of the air combat in Thunder Assault<<<<<
Thunder Assault: Space bullet force is a classic space shooter game. 
Flying and avoiding enemy spaceship's bullet hell. Facing the threat from the Darkside. 
Amass the most powerful galactic bullet force and smash the miscreants into galaxy debris!
The galaxy future is depend on your Phoenix aircraft squadron. Bullet Hell Jets: Raiden Aircraft Space Shooter! 

Features :
-8 supreme battlefields
-15 Fierce Boss battles await, with soul-stirring storylines and challenging galaxy stages
-5 unique raiden fighters waiting for you
-Epic battle scenes coupled with adrenaline-pumping music
-Varied and deadly enemy spaceship

Easy to play! Conquer the enemy Jets and avoiding their bullet hell just by swiping your finger!
Now, come and join in Bullet Hell Jets: Raiden Aircraft Space Shooter and shoot’ em UP!

Facebook：https://www.facebook.com/ThunderAssault
Thanks to  American player：BILL BIXBY for language support.",5.0,332
Stickman Fighter - Shadow Fighting Games For Boys,com.skillgames.AStickmanFighterFreeFightingActionChallengeGames,"Stickman Fighter is back! LIMITED TIME OFFER: NEW USER BONUS! Download NOW before it expires!
Are you ready to protect the world from evil forces? 

Turn your device to a killing machine! 

Escape the terrorist base, run and jump, and do a stickman turbo dismount to avoid gunshots, aim and shoot to eliminate evil forces! 

Variety of weapons to choose from! 
From 45cal Pistols, Machine Gun, Katana, and you can even call 'Air Support' !!! Don't forget your trusty ol' flippy knife too when things go hand to hand and get heated!

Play with your friends, just log in to Facebook and fight the enemies along side your mates! 

*** FEATURES *** 
● Amazing game controls! 
● 3D graphics 
● Earn coins and upgrade your weapons 
● Play with your Facebook friends! 
● Realistic Sound and FX Music 
● Enjoy hours of stickman turbo dismount fighting fun for FREE!

Avoid getting hurt and shoot your enemies down! Wield your flippy knife if things get crazy!

Download Stickman Fighter now while its free and get your stickman turbo dismount on! Flippy knife and gun slinging good times await!",3.5,91
Bubble Shooter - Addictive!,com.PlanetArt.BubbleShooterFree,"Best Bubble Shooter game for iPhone. At the top of the appstore lists throughout the world.

What users are saying:
- ""Very addictive, lots of fun and way better than most other bubbleshooter apps. The whole family prefers playing this version.""
- ""This is honestly the BEST bubble shooter on the market. It's very relaxing and visually pleasing. The other bubble shooter games, I feel, don't really give one a fair shake. This one definitely does! Thanks.""
- ""I love this game I never thought I would like it this much:)""
- ""This game passes my time so quickly. It's addicting and I can't seem to go to any other app. Definitely one of my favorites""
- ""Such an addicting game! lots of fun, very simple. great way to pass time.""
- ""It's easy to lose track of time with this game! Lots of fun and relaxing at the same time. Wish they made more like this one.""
- ""Simple, yet fun. Could just sit and play over and over.""
- ""ahhmazing gaame !! passes time like it's nothin""



Enjoy hours of fun with this classic Bubble Shooter Game.
Match 3 or more bubbles of the same color to make them disappear and get score points.
The score you get increases with the number of bubbles you make disappear at the same time.
Game Center is supported for worldwide leaderboard.
The game includes different bonus bubbles  for an enhanced strategic gameplay.


Bonus bubbles:
- 3x score, multiplies by 3 the score you get when the connected bubbles disappear
- 4x score, multiplies by 4 the score you get when the connected bubbles disappear
- score bonus, you get an additional score bonus
- bomb, the surrounding bubbles explode
- pause, the bubbles don't fall down anymore for some time
- slow down, the bubbles fall down slowlier for some time
- move up, all the bubbles move up one line",4.0,18746
