rt latest update concern mount nasty weekend weather make thing worse,N
rt feeling stress evacuation take care family tip,N
rt fort mac crew shoulder shoulder story,N
rt today join thank deployed personnel support effort,N
rt urge british columbian stay back country weekend due,N
rt say wind speed will variable will likely last around day,N
rt re support community affect community effort donation https,N
rt reminder due many trail remain close detail safety info,N
rt crew prepare windy weekend,N
the latest go thank,N
find dbc s list emergency resource industry,N
this weekend perfect time bring knife sharpen contribute good cause,N
rt mt volunteer support evacuee w en route,N
rt due albertan travel bc check travel advisory road information depart https,N
rt state emergency continue affect interior,N
rt spot poor badger area please watch wildlife highway re escap,N
bentley sell toy raise money,N
rt smoke arrive deteriorate air quality moderate health risk latest,N
mt volunteer support evacuee w en route,N
rt radio matter proud team,N
rt list close due severe hazard include info camper reserva,N
rt donate recovery effort,N
rt since start human-caus responsible summer,N
rt future forest fire will frequent bigger harder control http,N
special weather statement effect throughout much b c wind lightning expect brace,N
rt b c wildfire status friday strong wind expect weekend worsen fire condition,N
rt say morning volunteer every evacuee,N
rt please serve bcer new ad-hoc cabinet cmte w colleague coordinate federal effort relief,N
the latest kate s news thank,N
rt send firefighter equipment,N
current condition william lake bc little smoke,N
icymi want help evacuee via,N
fort mac crew shoulder shoulder story,N
as say morning volunteer every evacuee,N
rt fire aircraft will ground fly airspace leave home https,N
more help way send firefighter equipment,N
rt s make news industry week cca headline,N
future forest fire will frequent bigger harder control,N
rt honour serve bcer new ad-hoc cabinet committee coordinate federal effort relief https,N
rt rt prepared unexpected power outage due need know,N
send firefighter equipment,N
rt evacuation alert place week,N
reminder due many trail remain close detail safety info,N
rt apocalypse now b c s william lake airport p m video courtesy bryan johns,N
rt love person displace year,N
evacuation alert place week,N
smoke arrive deteriorate air quality moderate health risk latest,N
rt nova scotia firefighter join battle b c wildfire,N
rt thank crew tackle today s brush fire sooke road report new near call -,N
crew prepare windy weekend,N
today join thank deployed personnel support,N
rt doug evacuate home day ago live truck ever since,N
rt fear start enough deterrent maybe will,N
rt lose count many burned car come across haunt sure,N
why year s wildfire severe can do stop future,N
thank,N
the rtnvancouver westside daily story via,N
rt icymi ask refund vacation booking near area depend part,N
icymi ask refund vacation booking near area depend part,N
rt ask evacuee want know,N
evacuation alert william lake last week official warn,N
if fear start enough deterrent maybe will,N
almost volunteer sign help evacuee,N
icymi information wildfire smoke,N
instated ad hoc cabinet committee coordinate recovery rebuilding effort victim,N
stay safe thank hard work patrol area,N
weather update strong wind interior bc special weather advisory,N
rt landlord tenant encouraged work together keep everyone safe,N
rt skrepnek say hard get person back country fire start spread,N
rt need,N
please serve bcer new ad-hoc cabinet cmte w colleague coordinate federal effort relief,N
rt lesson ash expert learn fire,N
rt report via toll-free current fire bans restriction,N
rt know anyone affect huge amount forest fire burning british columbia https,N
rt now close wb traffic little fort eb still open mile,N
honour serve bcer new ad-hoc cabinet committee coordinate federal effort relief,N
rt david fleck year food industry s help lead volunteer feed evacuee,N
rt rhonda busse work s teaching volunteer use dishwasher,N
rt latest update current evacuation order,N
rt believe receive resource decision probably accurate,N
b c wildfire status friday strong wind expect weekend worsen fire condition,N
rt senior pregnant woman person respiratory condition risk wildfire smoke,N
say wildfire burn throughout province new yesterday,N
rt have change damage pole far damage still found access new area available,N
rt new evacuee assistance program automatic credit account power consume away https,N
rt city stranger evacuation timely assistance other join mayor welcome evacue,N
rt skrepnek say see last weekend quickly thing evolve see weekend,N
rt mail delivery alert certain region british columbia,N
rt mail delivery alert certain region,N
rt rcmp report break-and-enter community clear,N
say person arrest july th evacuation area apparent break enter tool vehicle,N
