Murça em Rede,"A aplicação móvel “Murça em Rede” permite acompanhar toda a atualidade do Município de Murça, incluindo eventos e pontos de interesse turísticos, gastronómicos e culturais.
Compatível com a maioria dos “smartphones” e “tablets”, esta aplicação da Câmara Municipal de Murça dá acesso a notícias, agenda de eventos, informações meteorológicas, informações da proteção civil, informações ao nível do alojamento e restauração e de pontos de interesse patrimoniais, listagem e contatos de associações existentes, entre outros.
Através desta aplicação o munícipe poderá comunicar ocorrências ou até votar no Orçamento Participativo.
A aplicação possui ainda um conjunto de funcionalidades que permitem uma maior interação entre a Câmara Municipal de Murça e os seus munícipes e visitantes. Permite ainda que todos aqueles que, por várias razões, se encontram distantes, acompanhem de perto as novidades do concelho.
 
Principais funcionalidades:
· Agenda cultural;
· Consulta de notícias;
· Informações turísticas (o que visitar, onde comer e onde dormir;
· Notificações;
· Envio de ocorrências (Reportar problemas que encontre no Concelho);
· Participação/Votação no Orçamento Participativo;
· Farmácias de serviço.
. Informações meteorológicas;
· Informações da Proteção Civil;
. Envio de sugestões;","[['civil', 'prote'], ['informa', 'es'], ['micos', 'gastron'], ['e', 'listagem'], ['eventos', 'e'], ['aplica', 'esta'], ['com', 'maioria'], ['vel'], ['cipes'], ['poder', 'comunicar'], ['cipe', 'mun'], ['rias', 'v'], ['sticas', 'que'], ['que', 'todos'], ['ainda']]","[['informa', 'da'], ['ao', 'da', 'gicas', 'informa', 'es'], ['sticos', 'e', 'tur', 'sticos', 'gastron'], ['patrimoniais', 'contatos'], ['pontos', 'incluindo'], ['tablets', 'da', 'smartphones', 'e', 'tablets'], ['dos', 'vel', 'maioria', 'dos', 'smartphones'], ['A', 'aplica', 'ao', 'n'], ['e', 'visitantes', 'mun', 'seus'], ['ocorr', 'cipe'], ['aplica', 'poder', 'desta', 'aplica', 'mun'], ['raz', 'por'], ['tur', 'visitar'], ['ainda', 'aqueles', 'aqueles', 'que', 'por'], ['um', 'conjunto', 'aplica', 'possui']]"
Rede Empresarial ES,"Plataforma para gestão e comunicação  de projetos.
Possibilita o acompanhamento dos projetos de varias instituições/empresas de forma simultânea.
O App permite a gestão a partir dos marcos críticos dos projetos.
Monitore os indicadores dos projetos e da instituições por meio do App.","[['por', 'es'], ['e', 'da'], ['partir'], ['cr', 'ticos'], ['dos', 'projetos']]","[['institui', 'meio'], ['institui', 'projetos', 'para', 'gest', 'e'], ['dos', 'permite', 'marcos', 'gest'], ['dos', 'marcos', 'dos', 'marcos', 'cr'], ['indicadores', 'ticos']]"
Boletim Em Rede Scania,"O Em Rede traz notícias e vídeos sobre a Scania, seus produtos e serviços, além de apresentar tendências do setor de transporte. É dirigido aos colaboradores da rede de concessionárias da marca no Brasil.","[['produtos', 'e'], ['colaboradores', 'da']]","[['servi', 'seus', 'servi', 'os', 'al'], ['aos', 'rede', 'rias', 'da', 'marca']]"
Agência JS,"A Agência JS disponibiliza para seus clientes o acesso as informações de produtos e serviços contratados na palma da sua mão, um canal rápido e fácil para ficar sempre informado.

Observação: 
O aplicativo é destinado para os clientes da Agência JS.","[['ficar', 'sempre'], ['e', 'pido'], ['f', 'cil'], ['seus'], ['da']]","[['informado', 'para'], ['r', 'f'], ['e', 'para', 'cil', 'para', 'ficar'], ['disponibiliza', 'acesso', 'clientes', 'para'], ['os', 'palma', 'clientes', 'sua']]"
Rede Fácil Brasil,"O App Redefácil Brasil possui tecnologia de Realidade Aumentada, mais uma forma de interação entre os materiais e serviços da marca Marita.

Baixe o nosso aplicativo e saiba mais sobre nossa empresa, produtos e plano de negócio.

Somos uma das maiores companhias de vendas diretas no segmento de alimentos e bebidas funcionais, para saber mais acesse www.redefacilbrasil.com.br e venha fazer parte da nossa família.","[['nossa', 'fam'], ['parte', 'da'], ['www', 'acesse'], ['com', 'br'], ['uma'], ['servi', 'os'], ['materiais', 'e']]","[['lia', 'da'], ['nossa', 'fazer'], ['mais', 'redefacilbrasil'], ['e', 'redefacilbrasil', 'www', 'redefacilbrasil', 'com'], ['forma', 'maiores', 'mais', 'das', 'e', 'saiba', 'mais'], ['e', 'da'], ['servi', 'os', 'entre', 'os', 'materiais']]"
Realidade Aumentada Rede Massa,"Baixe nosso aplicativo para acessar os vídeos e conhecer os detalhes do maior projeto de verão do Paraná, o Mais Verão Rede Massa.","[['acessar', 'os'], ['e', 'conhecer'], ['deos', 'v'], ['detalhes']]","[['para', 'v'], ['deos', 'os'], ['os', 'e'], ['projeto', 'os', 'conhecer', 'maior']]"
Cielo iD,"Cielo iD é um aplicativo que traz mais praticidade e segurança para seu dia-a- dia. Com ele, você recebe todos os comprovantes das compras realizadas nas máquinas da Cielo de forma digital e ainda tem acesso à promoções e descontos exclusivos em estabelecimentos perto de você.

COMO FUNCIONA?
Baixe o aplicativo, cadastre seus cartões e pague suas compras na máquina da Cielo para acessar todas as vantagens do Cielo iD! Você poderá aproveitar a praticidade dos comprovantes digitais e ganhar brindes e descontos. Cada cartão precisa ser cadastrado uma única vez.

FUNCIONALIDADES
- Comprovante Digital: Receba seus comprovantes digitais no Cielo iD sempre que realizar compras nas máquinas da Cielo.

- Busca: Localize seus comprovantes ou estabelecimentos no histórico de compras.

- Detalhe dos comprovantes: você tem acesso às mesmas informações dos comprovantes físicos sem gastar papel e contribuindo para o meio ambiente.

- Promoções: Acompanhe as promoções próximas a você e tenha acesso à descontos e brindes exclusivos nos estabelecimentos cadastrados.

IMPORTANTE
- As informações que trafegam no Cielo iD são criptografadas e protegidas.

- A Cielo é certificada pelo PCI Council e segue os mais rígidos parâmetros de segurança estabelecidos pelo mercado de pagamentos eletrônicos. Todos os seus dados estarão 100% seguros.

- Compatível com todas as operadoras de telefonia e válido para todo o território nacional.

Caso tenha alguma dúvida ou sugestão, por favor envie um e-mail para: cieloid@cielo.com.br.","[['sem', 'gastar'], ['acessar', 'todas'], ['para'], ['realizadas', 'nas'], ['precisa', 'ser'], ['cart'], ['comprovantes', 'das'], ['digitais', 'comprovantes'], ['comprovantes', 'f'], ['suas', 'pague'], ['informa', 'es'], ['promo', 'es'], ['e', 'brindes', 'descontos'], ['voc'], ['tenha', 'acesso'], ['acesso', 'tem'], ['iD'], ['realizar', 'que'], ['praticidade', 'aproveitar'], ['praticidade', 'mais'], ['que', 'traz'], ['r', 'gidos'], ['os'], ['em', 'exclusivos'], ['exclusivos', 'nos'], ['vida', 'alguma'], ['ou']]","[['sicos', 'papel', 'todo', 'territ', 'rio'], ['vantagens', 'para'], ['seguran', 'contribuindo', 'e', 'meio'], ['quinas', 'compras', 'compras', 'nas', 'quinas'], ['cart', 'cadastrado'], ['e', 'cadastre', 'seus', 'es', 'seus', 'dados', 'estar'], ['os', 'compras'], ['dos', 'e'], ['dos', 'sicos'], ['e', 'compras', 'es', 'e', 'pague'], ['mesmas', 'dos'], ['pr', 'e'], ['es', 'e', 'descontos'], ['tenha', 'e', 'tem', 'comprovantes'], ['e', 'descontos', 'acesso', 'descontos', 'e'], ['mesmas', 'promo'], ['um', 'e', 'criptografadas', 'aplicativo'], ['sempre', 'compras', 'iD', 'sempre', 'que'], ['dos', 'poder'], ['e', 'traz'], ['aplicativo', 'mais'], ['par', 'mais', 'os', 'mais', 'r'], ['e', 'recebe', 'segue', 'todos'], ['estabelecimentos', 'descontos'], ['estabelecimentos', 'brindes'], ['tenha', 'ou'], ['estabelecimentos', 'por', 'comprovantes', 'sugest']]"
WifiNow,O WifiNow é um aplicativo que permite o uso de redes WiFi em estabelecimentos parceiros previamente cadastrados.,[],[]
Rede Humaniza SUS Móvel,"A Rede Humaniza SUS é a rede social das pessoas interessadas e/ou já envolvidas em processos de humanização da gestão e do cuidado no SUS.

Nosso objetivo é criar uma rede de colaboração, que permita o encontro, a troca, a afetação recíproca, o afeto, o conhecimento, o aprendizado, a expressão livre, a escuta sensível, a polifonia, a arte da composição, o acolhimento, a multiplicidade de visões, a arte da conversa, a participação de qualquer um.

Trata-se de uma arena aberta pela Política Nacional de Humanização para ampliar o diálogo em torno de seus princípios, métodos, diretrizes e dispositivos.
Uma aposta no coletivo. Uma aposta na inteligência coletiva. Uma aposta na constituição de coletivos inteligentes.
Aposta no Coletivo HumanizaSUS. Coletivo que se constitui em torno desse imenso acervo de conhecimento comum, que se produz sem cessar nas interações desta Rede.

A grande aposta é que essa experiência colaborativa aumente nossa potência coletiva para o enfrentamento dos grandes e complexos desafios da humanização no SUS.

Nesse sentido, cabe esclarecer que não apenas os conteúdos, mas as próprias ferramentas e o design do portal resultam dessa prática colaborativa, já que o objetivo é que esta Rede, sob todos seus aspectos, se construa na mais estreita sintonia possível com as necessidades intelectuais e afetivas do coletivo.","[['rec', 'proca'], ['troca', 'afeta'], ['express', 'livre'], ['conhecimento', 'afeto'], ['rede'], ['arte', 'da'], ['pessoas', 'interessadas'], ['design'], ['complexos', 'e'], ['e', 'intelectuais'], ['sens', 'vel'], ['vel', 'com'], ['ampliar', 'di'], ['intera'], ['desse', 'imenso'], ['constitui', 'se'], ['em', 'torno'], ['sem', 'produz'], ['seus', 'aspectos'], ['conte', 'os'], ['colaborativa', 'j'], ['pr', 'dessa'], ['pr', 'prias'], ['cabe', 'esclarecer'], ['que', 'objetivo']]","[['afeta', 'afeto'], ['encontro', 'rec'], ['escuta', 'aprendizado'], ['aprendizado', 'proca', 'conhecimento', 'aprendizado', 'express'], ['criar', 'das', 'uma', 'social'], ['polifonia', 'composi', 'da', 'gest', 'e'], ['e', 'das'], ['portal', 'ferramentas', 'e', 'resultam'], ['desafios', 'grandes'], ['afetivas', 'necessidades'], ['polifonia', 'escuta'], ['poss', 'necessidades', 'sintonia', 'poss', 'vel'], ['logo', 'para'], ['desta', 'nas', 'cessar', 'es'], ['acervo', 'torno'], ['em', 'que', 'constitui', 'em', 'torno'], ['desse', 'logo'], ['cessar', 'se', 'que', 'se', 'produz'], ['todos', 'se', 'sob', 'todos', 'seus'], ['apenas', 'dos'], ['tica', 'que', 'pr', 'tica', 'colaborativa'], ['tica', 'resultam'], ['mas', 'ferramentas', 'dos', 'mas', 'pr'], ['sentido', 'que'], ['j', 'objetivo', 'que', 'esta']]"
SAE Towers AR,"Veja algumas das torres em Realidade Aumentada!

Imprima os marcadores disponíveis em: http://bit.ly/saetowers

Fornecemos estruturas estaiadas e autoportantes com configurações de circuitos simples, duplos e múltiplos, abrangendo voltagens de 69 kV até 765 kV. Com uma extensa base de dados de projetos de torres, reunidas ao longo de mais de 40 anos, estamos aptos a projetar e fornecer torres para todos os tipos de terreno, ambientes e condições operacionais. A expertise de nossa engenharia compreende a elaboração de projeto de todos os tipos de torres, como as de suspensão, ancoragem e fim de linha.

Somos a referência nas Américas para complexas travessias de rios e áreas alagadas, estruturas para corrente contínua e alternada e outros grandes desafios enfrentados pelo setor da transmissão de energia. Todas as nossas estruturas são otimizadas para terem eficiência de peso e montabilidade, a fim de minimizar o custo final.

A SAE Towers é uma das maiores produtoras mundiais de torres treliçadas de aço para linhas de transmissão de energia.","[['enfrentados', 'pelo'], ['Am', 'ricas'], ['cont'], ['para'], ['alagadas', 'estruturas'], ['estaiadas', 'e'], ['e', 'condi'], ['e', 'alternada'], ['fornecer', 'e'], ['reunidas', 'ao'], ['das']]","[['setor', 'desafios', 'setor', 'da', 'transmiss'], ['nas', 'para', 'refer', 'ncia', 'nas'], ['e', 'corrente', 'para', 'nua'], ['torres', 'travessias', 'todos', 'complexas'], ['para', 'reas'], ['autoportantes', 'estruturas', 'autoportantes', 'com', 'configura'], ['ambientes', 'es'], ['outros', 'outros', 'grandes', 'desafios'], ['torres', 'projetar', 'aptos', 'projetar', 'e'], ['torres', 'longo'], ['em', 'torres', 'maiores', 'uma', 'dispon', 'veis', 'em']]"
