Sniper 3D Assassin: FPS Battle,"Ready to have FUN? Download now the best shooting game for free!

Take your sniper, aim and start shooting your enemies.
If you like war games or FPS games, you will love Sniper 3D Assassin®: one of the most fun and addicting shooting games ever!

Start the killing: FIGHT the global war on crime and become the ULTIMATE SHOOTER.

Features: 
● Ultra REALISTIC 3D graphics and cool animations
● HUNDREDS of thrilling MISSIONS: stay tuned for NEW content all the time
● Tons of weapons: Play with 100's of different snipers, rifles, and guns!
● Free game: 13 incredible cities to clean from the terrorists. Assist the cops, police and army: they need your help!
● Limited time events: Kill the most zombies and robots and earn amazing and exclusive rewards! In this modern - combat fighting game, you are racing against the time against real rivals to prevent a 3rd World War
● Most popular game EVER: read the reviews of our millions of players!
● Hunting games? Boring. Start shooting real enemies, not deers, elephants, penguins, lions, or other any animal. Become a Sniper, not a hunter

DOWNLOAD this shooting game simulation for FREE now and don't miss amazing NEW CONTENT on periodic UPDATES.

Sniper 3D Assassin® is brought to you by Fun Games For Free, the minds behind the addicting Sniper Shooter game!

● Compatibility and support
We're continuously working (hard) so that all phones and tablets run the game smoothly. Please report any issue you may experience to support+sniper3d@fungames-forfree.com

● Disclaimer
Sniper 3D Assassin® is a free game but it contains mature content and optional in-app purchases for real money. You may want to keep it away from your kids, children and younger boys

Premium subscription
- Now you can subscribe for All-Access to premium features
- Subscriptions are from $4.99 USD weekly, $11.99 USD monthly and $59.99 USD annually*
- Payment will be charged to iTunes Account at confirmation of purchase
- You will be able to use premium features for the duration of the subscription
- Subscription automatically renews for the same price and duration period as the original ""one week""/""one month""/""one year"" package unless auto-renew is turned off at least 24-hours before the end of the current period
- Account will be charged for renewal within 24-hours prior to the end of the current period at the cost of the chosen package (weekly, monthly or yearly package)
- Subscriptions may be managed by the user and auto-renewal may be turned off by going to the user's iTunes Account Settings after purchase
- No cancellation of the current subscription is allowed during active subscription period
- You may cancel a subscription during its free trial period via the subscription setting through your iTunes account. This must be done 24 hours before the end of the subscription period to avoid being charged. Please visit http://support.apple.com/kb/ht4098 for more information
- You may turn off the auto-renewal of your subscription via your iTunes Account Settings. However, you are not able to cancel the current subscription during its active period
- Any unused portion of a free-trial period, will be forfeited when the user purchases a Premium subscription

Links to our Terms of Service and Privacy Policy can be found below
Privacy Policy: https://www.fungames-forfree.com/games/sniper3d/legal/privacy
Terms of Use: https://www.fungames-forfree.com/games/sniper3d/legal/tos

* Prices are equal to the value that ""Apple's App Store Pricing Matrix"" determines as the equivalent of the subscription price in $ USD","[['cities'], ['cops', 'Assist'], ['need', 'army'], ['phones', 'hard'], ['rifles', 'snipers'], ['penguins', 'elephants'], ['deers', 'enemies'], ['real'], [], ['game', 'shooting'], ['game', 'racing'], ['forfeited', 'user'], ['iTunes'], ['portion'], ['current'], ['active', 'allowed', 'subscription'], ['features'], [], [], [], ['players']]","[['13', 'terrorists', 'clean', 'incredible'], ['police', 'terrorists'], ['police', 'help'], ['tablets', 'working'], ['different', 'guns'], ['lions', 'deers'], ['real', 'elephants', 'shooting', 'real', 'enemies'], ['purchases', 'time', 'money', 'rivals'], ['free', 'trial', 'game', 'Free', 'guns', 'subscription'], ['best', 'simulation'], ['fighting', 'time', 'combat', 'fighting', 'game'], ['purchases', 'period', 'managed', 'user', 'auto-renewal'], ['charged', 'setting', 'Payment', 'subscription', 'Account', 'charged', 'renewal'], ['unused', 'period', 'Any', 'free-trial'], ['subscription', 'end', 'period', 'cancellation'], ['subscription', 'active', 'period'], ['duration', 'use', 'premium', 'subscription', 'subscribe', 'All-Access', 'premium'], ['exclusive', 'rewards', 'package', 'chosen', 'amazing', 'cost'], ['younger', 'graphics', 'boys', 'animations', 'children', 'cool'], ['sniper3d', 'support', 'able', 'However', 'experience', 'cancel'], ['reviews', 'games', 'Hunting', 'millions', 'war', 'crime', 'become']]"
City Mafia War: Fighting Shoot,"City Mafia War: Fighting Shooter is a best Crime simulator game among all shooting games & gangster games of theft auto gangsters. Show your skills by fighting in open world real action game. Be a real grand theft and steel all you can. Take the most extreme arsenal and defeat the criminal underworld
Features:

 High-quality realistic graphics and special effects.
 3D cityscape environments and multi-level quest!
 Action music and control sounds.
 Smooth and easy controls.","[['auto', 'theft'], ['skills'], ['world']]","[['gangsters', 'games', 'games', 'gangster', 'games'], ['gangsters', 'open', 'fighting', 'Show'], ['real', 'action', 'open', 'fighting']]"
Fastlane: Road to Revenge,"THEY TOOK YOUR CITY.  THEY SHOULD’VE TAKEN YOUR CAR!

Reclaim your No.1 position as you blast past other players and outrageous gang bosses in Fastlane: Road to Revenge!

Pick-up this FREE classic arcade shooter and play anytime OFFLINE!

BUST OUT THE BIG GUNS
• 20 exotic cars to collect and upgrade.
• 10 unique & powerful UAVs.
• Game changing vehicle transformations to rain destruction on your rivals: Talon Gunship, Vulcan S-22, Tempest C-3.
• More gear and gadgets than Elon Musk!

CHALLENGE PLAYERS WORLDWIDE
• Blast your way past players the world over.
• Overtake rivals to steal their score bonus.
• Race through 30 player leagues with escalating difficulty. 
• Challenging environments and lethal obstacles.
• Can you reclaim your status as top boss?

RICH STORY CAMPAIGN
• 11 crazed bosses out to stop you in your tracks.
• Complete the campaign and reveal the identity of the boss who took over your turf.

HUGE SOUNDTRACK
• Actual in-game radio allows you to select your own beats.
• Wide selection of in-game music.
• Customize your own game soundtrack.


Please note that Fastlane is free to download and play, however, some game items can also be purchased for real money. If you don't want to use this feature, please disable in-app purchases. You can play Fastlane offline but a network connection is required for in-app purchases and League Promotion.

Fastlane also offers a 1 month auto-renewable subscription to 'Jobs Hustle'  which recharges in-game Jobs 100% faster.
– Subscription payment will be charged to iTunes Account at confirmation of purchase
– Subscription automatically renews unless auto-renew is turned off at least 24-hours before the end of the current period
– Account will be charged for renewal within 24-hours prior to the end of the current period, and identify the cost of the renewal
– Subscriptions may be managed by the user and auto-renewal may be turned off by going to the user's Account Settings after purchase
– Any unused portion of a free trial period, if offered, will be forfeited when the user purchases a subscription to that publication, where applicable

_____________________________________________
Fastlane will work on the following devices:
• iPad 3 and above.
• iPhone 5 and above.
• iPad mini 2 and above.
_____________________________________________


WE WANT YOUR FEEDBACK!
Visit our Fastlane community page and speak to us directly!  We want to hear your ideas and any issues:
http://links.spaceapegames.com/fastlaneband

Visit our official site at http://www.fastlaneroadtorevenge.com/
Follow us on Twitter or like us on Facebook to get info about upcoming Fastlane changes:
https://www.facebook.com/fastlaneroadtorevenge/
https://twitter.com/FastlaneRTR/

Privacy Policy: http://www.spaceapegames.com/privacy-policy/
Terms of Use: http://www.spaceapegames.com/terms-conditions/","[['cars'], ['cost', 'identify'], ['reveal', 'identity'], ['boss'], ['difficulty'], ['outrageous', 'gang'], ['bosses'], ['rain', 'destruction'], ['subscription'], ['user'], ['in-app', 'required'], [], [], [], ['hear', 'ideas'], ['use', 'feature'], ['allows', 'select']]","[['exotic', 'collect', 'upgrade', '20'], ['period', 'renewal', 'end', 'current', 'period'], ['campaign', 'boss'], ['status', 'turf', 'top', 'took'], ['leagues', 'escalating', 'Challenging', 'environments', 'environments', 'lethal', 'obstacles'], ['players', 'bosses'], ['11', 'tracks', 'crazed', 'stop'], ['rivals', 'transformations', 'changing', 'vehicle', 'transformations'], ['purchases', 'auto-renewable', 'publication', 'month'], ['purchases', 'forfeited', 'managed', 'auto-renewal'], ['purchases', 'connection', 'offline', 'network', 'connection'], ['work', 'free', 'trial', 'portion', 'devices', 'following'], ['use', 'arcade', 'shooter', 'play', ""n't"", 'want'], ['real', 'selection', 'money', 'in-game', 'music', 'purchased'], ['issues', 'want', 'payment', 'charged', 'iTunes'], ['please', 'want'], ['beats', 'radio']]"
Modern FPS: Combat Sniper 3D,"Modern FPS: Combat Sniper 3D is rapidly increasing. It’s time to defeat the enemy in 3d shooting combat sniper mission. You are the real Fps hunter who will accurately aim & target by sniper shooting at the gangster evil slots. Confront in the dangerous & challenging sniper shoot to assassin the blood eradicator enemies in battle environment. Be the special shooting to face & strike with modern guns at deadly criminals, gangsters & mafia lords. 
 FEATURE:

- Realistic Game play.
- Different kind of Thrilling Modes
- Collection of Quality Weapons 
- In app purchase 
- Many challenging levels.
- Smooth Controls","[['assassin', 'blood'], ['battle', 'enemies'], ['gangster'], ['strike'], ['challenging']]","[['shoot', 'eradicator'], ['environment', 'eradicator'], ['slots', 'shooting', 'evil', 'sniper'], ['modern', 'shooting', 'guns', 'face', 'special', 'shooting', 'face'], ['shoot', 'Many', 'levels', 'sniper', 'combat', 'sniper', 'mission']]"
Dead Trigger 2 Zombies Shooter,"Fight for survival in a zombie apocalypse with this heart-stopping first person shooter. Choose from an insane arsenal of combat weapons and battle against the walking dead in terrifying environments around the globe.
60+ million players are now battling for the future of mankind - can YOU make a difference?

“Hours of fun in marathon sessions or short bursts.” - Gamezebo.com
“The game is improving upon everything that made the first title great.” - ArcadeSushi.com

MASSIVE, CONTINUOUSLY UPDATED CONTENT. EVOLVING STORYLINES.
The Dead Trigger 2 universe is constantly expanding its frontiers. Every update features brand new content to make your game experience even more enjoyable.
• Battle your way through ten regions and explore 33 unique environments.
• Grab your favourite zombie annihilator from 50 types of weapon. Sharpen your shooting skills and take zombies out with a bullet to the head!
• Dive into the action with more than 600 gameplay scenarios, including Solo Campaign, Global Mission and Side Quests. Complete achievements, smash challenges and receive exclusive in-game currency.

MOUTH-WATERING GRAPHICS
You’ll be blown away by our frontier-pushing graphics, including real-time water reflections, dynamic vegetation, and enhanced ragdolls. Explore varied locations and kill the undead in diverse environments ranging from the deserted mines of Africa to the alleyways of Shanghai. The apocalypse never looked so good!

TEETH-RATTLING GAMEPLAY
• Brutal enemies - Some of the easier to kill zombies might be a soft target for a sharpshooter, but you’ll need more than one shot for a formidable array of bosses. Get ready for Kamikaze, Vomitron and more - powerful walking dead with an inventive approach to your extinction.
• Awesome weapons - Get to grips with melee weapons like the Big Hammer, Boat Motor and Machete. What’s our favourite? Check out the Grenade Chickens, Rocket Chickens and special Machine Gun mounted to Chickens. You’re gonna love ‘em…
• Real time story development - Join the Global Resistance and tune in to stay informed as the global gameplay develops, where the actions of every single player can directly influence the tide of war. Immerse yourself in different types of operation including Story, Global Mission and Side Quests.

TONS OF FEATURES
• Tournaments for Real Prizes - Get ready for some serious shooting! Go to war with players from all over the world in the Arena, featuring custom combat gladiator rules every week. Become a legend in the new Purgatory arena…
• The Finger is Mightier Than the Gun - Choose between a touch control target system designed especially for casual players or an enhanced virtual joystick for FPS veterans. If you prefer console gaming, then go ahead - Dead Trigger 2 supports MOGA.
• Explore your personal hideout and meet the Gunsmith, Scientist, Smuggler and Engineer. These NPCs will help on your quest for survival as you unlock incredible new weapons and gadgets.","[[], [], [], [], [], [], [], ['game'], ['zombies'], ['challenges'], ['sessions'], ['target'], ['array', 'formidable'], ['global', 'informed'], ['water', 'real-time'], ['enhanced', 'virtual'], ['vegetation'], ['future', 'battling'], ['deserted', 'ranging'], ['environments'], ['melee', 'grips'], ['battle'], ['arsenal', 'combat'], ['combat', 'custom']]","[['graphics', 'person', 'including', 'real-time', 'heart-stopping', 'first'], ['made', 'help', 'title', 'survival', 'quest', 'first'], ['development', 'story', 'made', 'everything', 'time', 'first'], ['ten', 'expanding', 'constantly', 'regions', 'way', 'frontiers'], ['gaming', 'TEETH-RATTLING', 'good', 'console', 'prefer', 'looked'], ['zombie', 'annihilator', 'favourite', 'influence', 'tide', 'directly'], ['features', 'brand', 'update', 'player', 'single', 'every'], ['The', 'com', 'make', 'experience', 'locations', 'kill', 'undead'], ['skills', 'head', 'take', 'bullet'], ['achievements', 'smash', 'receive', 'exclusive'], ['fun', 'bursts', 'marathon', 'short'], ['control', 'soft', 'sharpshooter', 'system'], ['bosses', 'shot', 'bosses', 'Get', 'ready'], ['gameplay', 'stay', 'gameplay', 'develops', 'actions'], ['including', 'reflections'], ['players', 'joystick'], ['ragdolls', 'dynamic', 'reflections', 'enhanced'], ['players', 'mankind', 'war', 'players', 'world'], ['mines', 'environments'], ['33', 'unique', 'terrifying', 'dead'], ['weapons', 'Get', 'weapons', 'Get', 'grips'], ['weapons', 'walking', 'dead', 'combat'], ['insane', 'weapons'], ['featuring', 'gladiator', 'combat', 'gladiator', 'rules']]"
Bubble Shooter - Pop Bubbles,"Play the classic and most addictive Bubble Shooter game for FREE, now available on the App Store and perfect for your iOS device. Blast and pop all the bubbles, solve the fun & colorful puzzles and beat the challenges to reach the level’s target and win coins!

In this good old version you need to aim & shoot, to drop & burst all the colored bubbles. Train your brain with this original puzzle as you blast balls online or offline - anytime! Bubble Shooter - Pop Bubbles matching puzzle game offers different puzzles and challenges, amazing graphics and smashing levels - all for free! 

Pop and break all the balls to move on to the next awesome level. Play and enjoy plenty of fun challenges and puzzles, and make sure to reach the target of each level, clear the board and collect coins. It’s the perfect pastime shooter game to play when you want to relax and clear your mind. 

Aim, match and smash all the balls in this relaxing color-matching adventure. This incredible shooter is simple and easy to learn, perfect for families to enjoy! This is the ideal match puzzle game for long car rides to play with family and friends!

We took the classic arcade game and added some new, awesome features to this bubble game that you’ll love to relax with.

Play the Classic Game Mode - So Fun!
Enjoy the old classic game mode. Match 3 bubbles to blast them away, and clear the board, complete the missions and win coins & awesome rewards. Tap on the screen to drag the laser aim and lift it to take a shot. It’s important to form a strategy according to the different bubbles layout in each level. Shoot and pop all the colored balls in the best fun & free game, aim carefully and match same colored bubbles to reach the target! Work your way through all the different challenges and puzzles, solve the brain teasers and win levels.

Arcade Game Mode - Never get bored!
Play Bubble Shooter puzzle game in this old retro game mode to rediscover the classic arcade games. Play & match through fun game levels in our arcade game mode as this addicting game gets even more challenging. Advance along thousands of fun puzzle levels, and enjoy the best retro shooter game experience anywhere you want, no WiFi needed. You can start any level over and not have to wait for lives, as they are unlimited! 
 
Levels Game Mode 
Smash & pop colorful bubbles to advance to the next level of puzzle games! Test your skills to reach the target while playing this special & addictive bubble game. Shoot the colorful balls to win the next amazing puzzle level, and test your matching skills while playing this addictive, casual game for free. Hurry up and join the balloon crushing mania, but be careful- once you start popping bubbles you simply can’t stop! 

EXPLORE THESE FUN FEATURES: 
* The best classic bubble shooter game, same as the original pc version.
* Addictive gameplay, once you start – you can’t stop playing.
* Pop 7 bubbles in a row to fill the fireball.
* Smash 10+ bubbles at once to get a bomb. 
* Play & win 2000 + Exciting levels, with more added all the time. 
* New, special elements and great prizes.
* Brand new effects and sounds. 
* Collect awesome daily rewards.
* Connect to Facebook and share the fun with friends!
* Leader-board, challenging achievements.
* Clear obstacles and beat the challenges to reach your target. 
* Colorblind mode – so everyone can enjoy fun matching games for free.
* Play anytime and anywhere, no WiFi connection is required! 

So get ready, take aim, pop & shoot all bubbles!!

Download NOW the Best Bubble Breaker Game & Start Cracking Bubbles!

Every 2-3 weeks, we add new features and new levels. Come and join the fun!


Bubble Shooter - Pop Bubbles is free to download and play, but contains in-app purchases. You can turn off the payment feature by disabling in-app purchases in your device’s settings.","[[], [], ['in-app', 'disabling'], ['car', 'long'], ['in-app', 'contains'], ['relax'], ['offline', 'online'], ['win'], ['color-matching', 'relaxing'], ['balls'], ['new', 'features'], ['shooter'], ['graphics'], ['game', 'match'], ['added'], ['arcade', 'classic'], ['game', 'arcade'], ['game', 'mode'], ['retro'], ['fun', 'plenty'], ['enjoy'], ['fun', 'levels'], ['puzzle', 'level'], ['matching'], ['offers'], ['puzzles', 'challenges', 'different'], ['beat', 'challenges'], ['brain', 'solve'], ['original'], ['board'], ['reach', 'target'], ['playing'], ['drag', 'laser'], ['aim', 'shoot'], ['bubbles', 'pop'], ['different', 'according'], ['level', 'wait'], ['advance', 'next'], ['bubbles']]","[['balloon', 'crushing', 'Collect', 'mania', 'effects', 'sounds'], ['perfect', ""'s"", 'form', 'important', 'learn', 'families'], ['purchases', 'feature', 'turn', 'payment', 'feature'], ['game', 'rides', 'rides', 'play', 'family'], ['purchases', 'play'], ['play', 'mind', 'clear', 'want'], ['balls', 'anytime'], ['teasers', 'balls', 'levels', 'next', 'target', 'win', 'coins'], ['balls', 'adventure'], ['puzzle', 'move', 'blast', 'next'], ['add', 'levels', 'features', 'bubble', 'game'], ['This', 'game', 'experience', 'incredible'], ['challenges', 'amazing', 'levels', 'smashing'], ['fun', 'puzzle', 'This', 'ideal', 'match'], ['new', 'game', 'levels', 'time'], ['rediscover', 'games'], ['levels', 'mode'], ['rediscover', 'addicting'], ['enjoy', 'game', 'shooter', 'best'], ['enjoy', 'challenges'], ['fun', 'levels', 'everyone', 'best', 'mode', 'everyone', 'enjoy'], ['game', 'puzzle', 'thousands', 'fun', 'puzzle'], ['test', 'games'], ['fun', 'game', 'games', 'puzzle', 'test', 'matching', 'skills'], ['puzzles', 'different', 'game', 'puzzle'], ['fun', 'challenges', 'puzzles'], ['puzzles', 'obstacles', 'way', 'different', 'challenges'], ['puzzles', 'teasers', 'bubbles', 'solve', 'fun'], ['brain', 'game', 'puzzle', 'pc'], ['clear', 'missions', 'complete', 'level'], ['challenges', 'bubbles', 'reach', 'target', 'level'], ['skills', 'special', 'target', 'addictive', ""n't"", 'stop', 'playing'], ['aim', 'screen', 'laser', 'aim', 'lift'], ['need', 'drop'], ['shoot', 'colorful', 'take', 'aim', 'pop'], ['bubbles', 'strategy'], ['start', 'lives', 'start', 'popping', 'bubbles'], ['bubbles', 'level'], ['get', 'bomb', 'colored', 'burst']]"
Asteroids Shooter 3D,"Select your ship and shoot the asteroids in this funny 3D game.

Two ships available and 4 levels: easy, medium, difficult and extreme

Animated background with stars, planets and moons moving.

Game with no in-app purchases",[['medium']],"[['levels', 'extreme', 'easy', 'difficult', 'ship', 'shoot', 'asteroids']]"
Shoot The Block,"Tap to flappy jump while shooting blocks.

Break through as many blocks as possible.

Collect upgrades and powerups to break stronger blocks.",[],[]
Space Pop Shooter,"Play with friends and family the best bubble popper puzzle game!
Download Space Pop Shooter for free and get ready to explore the galaxy. 
This amazing bubble shooter puzzle features thousands of highly addictive levels, a fun gameplay and cool in-game features. 

You’ll get addicted to this galactic bubble pop game in no time! Your goal is to blast and crack all the balls, clear the board and save the galaxy. Finish all the different missions so you can move on to the next space adventure! Space Pop Shooter is the best bubble shooter game  that will keep you entertained for hours! 

Enjoy an easy and fun gameplay, tap where you want to shoot the bubbles, remove the bubbles from the board and fly to the next fun level. 
Match colors and break all the bubbles to achieve the level target and win. The more balls you remove from the board in one shot, the higher score you’ll get!  

Take a ride on our spaceship, orbit the moon and the earth and explore 1000+ exciting levels packed with awesome puzzles and challenges. Play and enjoy a classic gameplay and lot of cool features and visual effects. 
Space Shooter Features:
- Colorful bubbles and fun puzzles. 
- A rich supply of boosts and power-ups.
- Unlock the fireball and boost up your game!  
- Amazing visual effects. 
- Exciting new challenges and missions. 
- Relaxing and addictive game mode. 
- Get a free GIFT everyday! 
- Thousands of cosmic levels to explore! 
- Unique challenges to discover. 
- Easy to learn and play.
- Perfect game to kill time.
- Aim and shoot matching bubbles. 
- Practice your matching skills.    
- Get 3 stars on each level! 
- Suitable for all ages. 


**Play and Win!** 
* Join the space frontier and smash all the balls in this fun galaxy shooter. 
* Make sure to aim well so your bubble will land exactly where you want it. 
* Drop the big groups of bubbles first so you can clear a path. 
* Each new level has a different target you need to reach, so plan your moves carefully and fire away!
* See which bubble color you are going to get next so you can plan your moves and make these bubble drop & pop!
* Bubble swap option is free- use it wisely! All you have to do is tap on the bubble to change its color.

It’s a must have app for fans of bubble shooter games!
Take a spacecraft to get to the moon and help the astronauts in their special mission. Navigate through 1000+ puzzle levels, popping and smashing all the bubbles. 

Fans of the good old bubble shooter games? You must try this fun new hit! The solar system needs protection- fight the space invaders and defend the bubble galaxy! Download for free and enjoy original new levels and challenges, shoot the balls and clear the board. 
Download this fun puzzle game and put your strategy skills to the test in this exciting bubble popping adventure. Explore the galaxy and use amazing boosters that will help you get through challenging levels. Tease your brain and journey through the sky in this all-new bubble shooter game - It is fun and entertaining! 
We would love to hear your feedback! 
Liked the game? Please support us by rating the game so we can keep improving and create more fun levels. 

Space Pop Shooter is completely free to download and play, but some optional in-game items will require payment.","[[], ['supply'], ['astronauts', 'special'], ['spacecraft', 'get'], ['moon'], ['needs', 'protection-'], ['features'], ['put', 'strategy'], ['entertained', 'keep'], ['game', 'time'], ['puzzle', 'game'], ['plan', 'next'], ['target', 'level'], ['smash', 'frontier'], ['space'], ['tap'], ['defend', 'bubble'], ['make', 'bubble'], ['blast', 'crack'], ['bubbles'], ['shoot', 'bubbles'], ['fly', 'next'], ['board', 'remove'], ['awesome', 'packed'], ['missions'], ['challenges'], ['fun', 'gameplay'], ['fun', 'galaxy'], ['fun', 'create'], ['levels'], [], []]","[['use', 'shot', 'option', 'score', 'free-', 'higher'], ['A', 'power-ups', 'boosts', 'rich'], ['help', 'mission'], ['Take', 'moon', 'games', 'Take', 'spacecraft'], ['earth', 'orbit', 'help', 'get'], ['system', 'fight', 'The', 'solar', 'system'], ['visual', 'effects', 'lot', 'cool'], ['skills', 'game'], ['hours', 'game'], ['kill', 'pop'], ['fun', 'popper', 'puzzle', 'features', 'thousands'], ['moves', 'get'], ['different', 'achieve', 'Each', 'new', 'level'], ['balls', 'space'], ['next', 'invaders', 'move', 'fight'], ['shoot', 'bubble', 'change', 'want'], ['invaders', 'galaxy'], ['drop', 'moves'], ['balls', 'goal', 'win', 'The', 'balls'], ['big', 'groups', 'remove'], ['matching', 'want'], ['fun', 'board'], ['bubbles', 'balls', 'balls', 'clear', 'board'], ['puzzles', 'levels', 'awesome', 'puzzles', 'challenges'], ['challenges', 'new', 'move', 'next'], ['shoot', 'new', 'balls', 'levels', 'Exciting', 'new', 'challenges'], ['levels', 'tap', 'enjoy', 'classic', 'gameplay'], ['balls', 'shooter'], ['improving', 'levels'], ['Thousands', 'cosmic', 'challenging', 'get'], ['use', 'love', 'feedback', 'amazing', 'boosters', 'hear'], ['play', 'items', 'require', 'download', 'optional', 'payment']]"
Strike Hit <-> Bulls eye,"Please Note: This app is free, no IAP, cool gameplay and optimized user interaction.

The objective of this game is simple : There are multiple layers and each layer consists of normal segments and may consist of SPECIAL SEGMENTS that are red in color. Your job is to pass through all the layers without hitting any of those special segments and make you way to the center.

The  formation is designed as a spinning wheel, with the formation in a constant  state of rotation. This is a super fun and highly addictive game suited for everyone.

Features include :-

* Awesome gameplay 
* Clean UI  
* Nice music and sound effects 
* Cool animations
* 200+ LEVELS (more to be added soon)
* No IAP, free and much more....

Use your strategic skills matched with perfect timing to penetrate different segments all the way to the center. Have fun...","[['optimized', 'user'], ['game'], ['formation'], ['segments'], ['center', 'way'], []]","[['interaction', 'gameplay', 'job', 'pass', 'layers'], ['objective', 'The', 'everyone', 'suited'], ['wheel', 'spinning', 'constant', 'state'], ['hitting', 'make', 'special', 'way', 'consists', 'normal', 'segments'], ['segments', 'make', 'center', 'Have', 'fun'], ['sound', 'perfect', 'skills', 'music', 'effects', 'matched']]"
