Talking Tom Cat,"Play Talking Tom Cat, the fun free virtual pet from the makers of Talking Tom and Friends with over 5 BILLION downloads worldwide!

THE ORIGINAL TALKING VIRTUAL PET
Everyone knows Talking Tom, the cat who talks back! Tom can repeat after you, play with you and make you laugh. Meet the star of some of the most popular free games for kids. Accept no copycat apps!

TALK TO THE LEGEND
- Talk to Tom and he will repeat after you
- Laugh out loud at Tom’s funny voice
- Share funny videos with your friends

PLAY WITH TOM
- Poke his head until he sees stars
- Pet Tom to make him purr with happiness
- Make Tom fart for a smelly situation
- And more!

FEED HUNGRY TOM
- Spoil your cute virtual pet with his favorite food
- Give him spicy chilies and watch him react
- Hand him ice cream for a cold surprise
- And more!

TAP AND DISCOVER
- Tom has even more fun reactions to discover
- Can you find more than your friends?
- Tom’s latest animation eye candy is the bubble burp!
 
JOIN TALKING TOM AND FRIENDS
Tom is brought to you by Outfit7, the makers of My Talking Tom, Talking Tom Gold Run, My Talking Angela, and more games for kids and adults alike! Can you discover all of Tom’s moves?

This app is PRIVO certified. The PRIVO safe harbor seal indicates Outfit7 has established COPPA compliant privacy practices to protect your child’s personal information. Our apps do not allow younger children to share their information.

This app contains:
- Promotion of Outfit7's products and advertising
- Links that direct customers to our websites and other Outfit7 apps
- Personalization of content to entice users to play the app again
- Watching videos of Outfit7's animated characters via YouTube integration
- The option to make in-app purchases

Terms of use: http://outfit7.com/eula/
Privacy policy: http://outfit7.com/privacy-policy/","[[], ['kids', 'games'], ['cold', 'cream'], ['chilies'], ['candy'], ['pet', 'virtual'], ['funny', 'videos'], ['in-app', 'purchases'], ['use', 'Privacy'], ['content', 'entice'], ['play'], []]","[['customers', 'option', 'Links', 'in-app', 'make', 'direct'], ['adults', 'free', 'even', 'fun', 'reactions'], ['surprise', 'ice'], ['react', 'spicy', 'watch', 'Give'], ['bubble', 'animation', 'eye', 'burp'], ['cute', 'makers', 'pet', 'favorite', 'food'], ['Share', 'friends', 'children', 'share', 'information'], ['make', 'Terms'], ['policy', 'Terms', 'compliant', 'privacy', 'practices'], ['users', 'Personalization'], ['app', 'make', 'users', 'laugh'], ['purr', 'head', 'sees', 'make', 'stars', 'happiness']]"
Roti Rewards,"Download the app that Loves You Back! The Roti app was created to reward loyal fans AND make getting delicious, wholesome Mediterranean eats easier than ever! 

-Features-

EASY AND SECURE MOBILE PAYMENTS 
Use your Roti App to pay in-store with just one touch! This makes for less time at the register and MORE time enjoying your delicious food. 

REWARDS, TWO WAYS 
Not only will you receive $5 for every $50 you spend, you’ll also work your way up our status levels, which unlock rewards like birthday specials, free lunches for you and a friend every season, Roti swag, and even exclusive invites to events and opening parties.

CHECK US OUT 
Find Roti locations near you, get directions, and view online menus!

Order ahead feature coming soon!","[['view', 'online'], ['events'], ['enjoying', 'delicious'], ['status', 'way'], [], []]","[['directions', 'menus'], ['exclusive', 'opening', 'invites', 'parties'], ['food', 'time', 'makes', 'less', 'time'], ['work', 'levels', 'levels', 'unlock', 'rewards'], ['season', 'free', 'specials', 'every', 'friend', 'lunches'], ['ahead', 'work', 'feature', 'also', 'way', 'coming']]"
☆ Cool Facts ★,"Thousands of Cool Facts that will surprise you!

☆ The oldest known animal in the world was 'Ming' the 405 year old clam, discovered in 2007.

★ Japan is the largest exporter of frog's legs.

☆ No president of the United States was an only child for his parents.

Categories:
  Animal
  Business
  Celebrity
  TV
  Christmas
  Food & Drink
  Health
  Historical
  Language
  Sports
  Geographical
  Computer
  Science
  Space
  Technology
  Politics
  Religion
  Country
  People
  Law & Crime
  Obama
  Weather
  Fart
  Superstitions
  Interesting
  Funny
  Weird
  Weird Laws",[],[]
Fart On Time,"Ooga the cave man seems to be a simple creature.  If you feed him, he farts. If you give him something to drink, he burps! 

But there's more. He can delay his farts until the timer reaches zero. 
Set the timer, darken the screen and put the iPhone/iPod touch next to an unsuspecting victim. Then watch as Ooga releases his deadly charge... 

Fart On Time features a hilarious collection of 47 farting sounds and 22 burping samples.

On Fart On TIme you can use the device camera to replace Ooga, the cave man, with yourself or with your friends. By Pressing on camera button you can insert new face into the farting creature.","[[], ['timer'], ['simple', 'seems'], ['insert', 'new'], ['camera']]","[['cave', 'burps', 'drink', 'something', 'friends', 'man'], ['delay', 'farts', 'screen', 'darken', 'features', 'hilarious', 'collection'], ['creature', 'man', 'face', 'farting', 'creature'], ['button', 'face'], ['device', 'use', 'Pressing', 'button']]"
Rotimatic Mobile,"Unlock all the exciting features in your Rotimatic. This App, is your personalized guide to help you make most of your Rotimatic. 

Get access to all the videos and articles that will guide you through the first set up, cleaning and much more. Chat or have a video call with the support team right away or schedule a call when it's convenient.

What's more? 

Once you connect Rotimatic to the WiFi via the App, you will never miss any new features or recipes that we push out as a software upgrade. You will get notified when your Rotimatic auto upgrade itself to the latest version. 

--------------------------

About Rotimatic 

Rotimatic is the world's first fully automatic roti robot. It allows you to enjoy the  freshness of home-cooked food without the hassle and it is as easy as load, play and puff. 

Rotimatic is a flagship product of Zimplistic Pte. Ltd.","[[], ['support', 'call'], ['load'], ['Rotimatic'], ['push', 'recipes']]","[['articles', 'set', 'videos', 'access', 'cleaning', 'first'], ['video', 'team'], ['puff', 'play', 'hassle', 'easy'], ['notified', 'auto', 'make', 'help', 'personalized', 'guide', 'help'], ['features', 'software', 'push', 'software', 'upgrade']]"
Kids school lunch maker – A school food & lunch box cooking game for girls,"Hello school girls! 

 Do you love to take lunch box at your school and want to learn how to make delicious school lunch items?
We bring you an exciting school lunch box maker game that helps you making fast lunch for school. Its school time, make your customized school lunch box of your choice and fill it with scrumptious and tasty food items of your choice. Decorate lunch box for kids who love school lunch with your favorite foods like fast food items like sandwiches, burgers fries drinks, juices and smoothies of your choice. Make your lunchtime memorable & Decorate your lunch box with these tasty fast food items. If you really love to make your school meal on your own and crazy about cooking class games this is a perfect game for you to learn the school lunch box recipe.

Game play and features:

 1- Make sandwich or burger from scratch by cutting meat selecting vegetables and other toppings
 2- Make crispy fries from scratch by cutting the spuds and fry them till perfection, add them as a side line to your lunch box.
 3- Choose a smoothie, juice or any drink of your choice.

Place all the items in your school lunch box and enjoy them during your lunchtime. Download this perfect school cooking game and cool school lunch game for high school as well as junior school kids and enjoy your leisure time!","[['selecting', 'vegetables'], ['scratch'], ['make', 'customized'], ['make', 'love'], ['school', 'learn'], ['make', 'delicious'], ['cooking', 'class'], ['game', 'school'], ['lunch', 'school', 'items'], ['food', 'items'], ['enjoy', 'leisure'], ['box', 'maker'], ['box', 'lunch', 'school'], ['juice', 'drink'], ['juices', 'smoothies'], ['fries', 'drinks'], ['add', 'side']]","[['toppings', 'meat'], ['burger', 'cutting', 'meat', 'sandwich'], ['school', 'time'], ['school', 'really', 'love', 'school', 'lunch'], ['game', 'want'], ['school', 'learn'], ['crazy', 'games'], ['high', 'lunch', 'school', 'cooking', 'game'], [], ['tasty', 'choice'], ['kids', 'time'], ['lunch', 'game'], ['lunch', 'box', 'kids'], ['smoothie', 'choice'], ['drinks', 'choice'], ['burgers', 'juices', 'sandwiches', 'burgers', 'fries'], ['line', 'perfection', 'play', 'features', '1-']]"
Fart Code,"Get smart from your Fart.

Fart code is an app that educates kids about nutrition in a fun, new way.

Scan food bar codes to discover their fart power.

Brought to you by BETA Group of Goodby Silverstein & Partners in San Francisco.","[['food'], ['fun', 'new'], ['kids', 'educates']]","[['codes', 'bar', 'way', 'Scan', 'discover', 'fart', 'power'], ['nutrition', 'way'], ['nutrition', 'app']]"
Bacon Food Clickers: 100 Click Challenge FREE - Catch that Hot Pig Smell!,"Be prepared for endless hours of fun and entertainment!

The game is very simple:
- Cook as much bacon as you can by tapping aimlessly on the giant slice of stinky bacon as fast as you can.
- As soon as you have enough bacon take a trip to the shop and use them to buy upgrades to create bacon even quicker!

Bacon Fart Clickers Challenge will allow you to play for an indefinite amount of time, or at least until you create so many slices of bacon that you can serve countless delicious breakfats.

So click that piggy scrap and make it smell! How many can you get to? 100 clicks, 1 thousand, 1 million...?

Don't waste time... start now, your friends have already started and you need to catch up…. Quick!","[['create'], ['shop', 'trip'], ['bacon'], [], ['time']]","[['many', 'upgrades', 'bacon', 'slices', 'use', 'buy', 'upgrades'], ['use', 'take', 'bacon', 'take', 'trip'], ['Cook', 'much', 'stinky', 'slice'], ['play', 'entertainment', 'hours', 'amount', 'fun', 'indefinite'], [""n't"", 'start', 'waste', 'friends', 'click', 'piggy', 'scrap']]"
The Guy Game Lite - Match 3 with pizza and beer,"What do you get when you mix match 3 with farts, pizza, and beer?   Possibly the most addicting and hilarious game ever.  It's The Guy Game, an outrageous new puzzler from Rocking Pocket Games.

By day, Bob is a mild mannered business man.   By night, Bob is a party animal and a typical male, watching football, going fishing, eating pizza, chips and hamburgers, drinking beer, playing video games, and using power tools.  Your goal is to spend your entire monthly paycheck on as many male pass times as you can.  

INSTRUCTIONS:
Arrange the items so there are 3 in a row to take them to the checkout.  Watch out for sales where you can get items for 25% or 50% off.   4 items in a row will make a mega-fart bowl of beans.   5 items in a row will make a mega-burp root beer float.

If you use all your credit, the bank will offer you more at the end of the month.  If you run out of moves your credit will be reduced.  Every month you will get paid and replenish your funds, but lose too often and your career will be in the toilet!

FEATURES:
- High score for the highest number of items bought
- Outrageous sound effects!

A sense of humor is required!

More RPG Games:
Doodle Chopper, Puppet Jump, Puppet Sprint, Puppet Labyrinth, Super Soccer Kick 3D, Super Football Kick 3D, Pocket Farm, iFishing, iFishing Saltwater, Dark Raider, Dark Raider S, Blue Skies 3GS, The Guy Game, The Girl Game","[[], ['paid', 'replenish'], ['mannered', 'business'], ['items'], ['bowl', 'mega-fart'], ['male'], ['bank'], ['video', 'playing'], ['using', 'power'], ['root'], ['chips', 'pizza'], [], [], []]","[['entire', 'goal', 'toilet', 'career', 'spend', 'often'], ['funds', 'get'], ['mild', 'man'], ['sales', 'highest', 'number', 'get'], ['make', 'beans'], ['times', 'football', 'pass', 'watching'], ['credit', 'use', 'end', 'offer', 'offer', 'end', 'month'], ['beer', 'games'], ['tools', 'games'], ['mega-burp', 'beer', 'float', 'make'], ['eating', 'hamburgers', 'farts', 'pizza', 'beer'], ['number', 'score', 'take', 'highest', 'checkout', 'row'], ['sound', 'Outrageous', 'game', 'addicting', 'effects', 'hilarious'], ['humor', 'get', 'required', 'mix', 'match', 'More']]"
NaanMap for iPhone – The Best Way to Find Halal...,"NaanMap is the fastest way to experience the near-by halal restaurants and stores in USA. Works with one tap. Instant searches without using the data-connection! That's magical!

Skip the net: 
Yup, you don't need the data-connection; our secret-halal-unicorn-sauce is the key to it. iPod Touch users rejoice, we thought exactly about you too.

Map it!
Without map there is no Naan, so find your favorite halal joint on the Map while keeping the basic detail up-front to get an idea about the near-by location, plus get the direction blazingly fast! 

Simplicity:
Complexity never serves you well, it annoys you and we understand your pain, it is simple, elegant and to the point, one tap and you get the result, we call it ""Halal Tap"" ;)

Filtering is so easy:
So you are out with your friends for a night-out and want to try the Italian cuisine in San Francisco, try our brilliantly fast filtering: easy, fast and simple.

NaanMap.com, NaanMap for iPhone is the product of Qurtaba LLC, Design and Techniques are the copyrighted material.","[['try'], ['detail'], ['result', 'get'], ['halal', 'restaurants'], []]","[['night-out', 'cuisine', 'want', 'Italian', 'secret-halal-unicorn-sauce', 'key', 'iPod'], ['keeping', 'get', 'up-front', 'basic'], ['call', 'tap'], ['near-by', 'stores', 'find', 'favorite', 'halal'], ['pain', 'idea', 'near-by', 'understand', 'location', 'annoys']]"
