Sage Construction,"Manage your project information via project files and be able access it from anywhere with seamless integration between your cloud and mobile devices.  Increase the accuracy and speed at which you collect and process employee time worked on a construction project by having employees or supervisors submit time worked remotely via an iPhone or iPad to Sage Construction Anywhere, a cloud-based collaborative solution that helps teams keep construction projects moving. Using this app, employees and supervisors can quickly and easily log employee time worked, the type of time worked (e.g., overtime), and link entered time to the activity performed on the job (cost codes) or to non-job related items like safety meetings, vacation or sick time. Notes can also be included as needed. Once submitted, supervisors, project managers and payroll administrators can review and approve time submitted via Sage Construction Anywhere and then electronically share approved time with Sage 300 Construction and Real Estate (formerly Sage Timberline Office) to jump start payroll and job costing processes.","[['mobile', 'cloud'], ['start', 'payroll'], ['job', 'performed'], ['app', 'employees'], ['supervisors', 'submitted'], ['project', 'employees'], ['construction'], ['review', 'approve'], ['vacation'], ['employee', 'log'], ['process', 'employee'], ['worked', 'type', 'time'], ['entered', 'time'], ['worked', 'e'], []]","[['integration', 'devices'], ['jump', 'job', 'managers', 'payroll', 'administrators'], ['cost', 'activity', 'job', 'cost', 'codes'], ['Using', 'supervisors'], ['project', 'Once'], ['supervisors', 'construction', 'supervisors', 'project', 'managers'], ['worked', 'keep', 'teams', 'time', 'keep', 'construction', 'projects'], ['administrators', 'time'], ['meetings', 'safety', 'sick', 'time'], ['easily', 'time'], ['collect', 'time', 'speed', 'collect', 'process'], [], ['link', 'activity'], ['g', 'time', 'g', 'overtime', 'link'], ['files', 'also', 'able', 'access', 'needed', 'included']]"
hh2 Remote Payroll,"HH2 REMOTE PAYROLL REQUIRES A SUBSCRIPTION TO HH2 WEB SERVICES AND FUNCTIONS EXCLUSIVELY WITH THE SAGE 300 CONSTRUCTION AND REAL ESTATE ACCOUNTING SYSTEM, FORMERLY TIMBERLINE OFFICE OR FOR SAGE 100 CONTRACTOR, FORMERLY MASTERBUILDER.

hh2 Remote Payroll allows Sage CRE (Sage 300, Sage Timberline Office, Sage Timberline Enterprise, Sage 100, Masterbuilder) to enter and approve their payroll on their iPhone or iPad!

The app supports advanced functionality:
- Copy Time from One Employee to Another
- Prefill Time from a Previous Week
- Batch Attendance Entry
- Enter Time While Offline and Sync up Later","[['supports', 'advanced'], ['approve', 'payroll']]","[['app', 'functionality', 'iPad', 'The', 'app'], ['iPhone', 'enter']]"
Eco Knight : Tractor Rival (a save the planet 2 player gambling game),"Save the world from destruction one tree at a time and be a hero in Eco Knight : Tractor Rival.
Amazing, addictive tap game play that kids and adults can pick up no problem. Take in some of the most relaxing music in a game ever, earn coins for saving trees, and battle in 2 player mode.

REVIEWS
- ""i love the calm feel of this game. the music, the colors, the slow pace, great experience""

- ""VVVVVVERY!!! Good game with a serious message to the world, really enjoyed it""

FEATURES
- 1 or 2 player battle mode.
- Earn coins as you save trees.
- Unlock high end items, the sports car, the jet, even buy the earth.
- Gamble and double your money against the other player if you win.
- Beautiful relaxing music and calming art work.

Now go save the world :)
Join us on facebook and post your score: http://at5.us/facebook","[[], ['items', 'sports'], ['coins', 'trees'], ['calming', 'art'], ['play', 'kids'], ['colors'], ['music', 'relaxing'], ['feel', 'game']]","[['score', 'facebook', 'go', 'world', 'post', 'save'], ['car', 'end', 'high', 'end', 'items'], ['save', 'saving', 'saving', 'trees', 'battle'], ['work', 'music'], ['game', 'adults', 'tap', 'game', 'play'], ['pace', 'game', 'slow', 'music', 'pace', 'great', 'experience'], ['Beautiful', 'game'], ['music', 'calm']]"
Sage Project Center,"Connect anytime, anywhere to your project using the Sage Project Center Mobile App. The core app will enable your team to view and capture Daily Reports and Photos regardless of where they are.

Create, Share and Edit Daily Reports using your iOS device in a simple, efficient and secure manner. Work offline and then when you get connectivity, the app will sync back up automatically.

There are no additional costs to utilize the mobile app for Sage Construction Project Center customers.","[['connectivity', 'app']]","[['sync', 'get', 'offline', 'get', 'connectivity']]"
Designing Your Perfect House - The Essential Guide to Building and Home Design,"Discover stylish interior design ideas for your home with the latest interior inspiration and décor pictures and tips for Living Room Design, Bedroom Design, Kitchen Design and the entire home& Garden.

we are will help distill your tastes and ideas into a design that suits the needs of your space.","[['tastes', 'distill'], ['design', 'suits'], ['design', 'ideas']]","[['help', 'ideas', 'cor', 'pictures', 'tips'], ['needs', 'ideas', 'suits', 'needs', 'space'], ['interior', 'home']]"
Operation: Save Skiz,"CAN YOU RESCUE THE PEACEFUL SKIZOIDS FROM THE WARMONGERING LUGNUTS?

The Skizoids and the Lugnuts have been at war in what seems forever! While the Skizoids took advantage of their own natural energy resources in combat, the Lugnuts, a weak species really, relied on their superior technology and machines to gain a slight advantage in battle. But now, the Lugnuts are up to cunning new tricks, and have invented an evil machine they believe will end the war. They have built a machine that harvests the Skizoids own energy, thus turning the strength and advantage of the Skizoids against themselves! This is bad news indeed! It would result in a massive explosion fragmenting the planet and destroying the Skizoids forever! Thankfully, on the final day of battle, the Skizoids knew something sinister was going to happen, and in visions realized their impending doom! Despite all attempts to avoid the inevitable, the Skizoid army failed and the invention of the Lugnuts worked as intended. Unfortunately for the Lugnuts, enough energy was harvested on the planet to keep the Skizoids alive, and transport ships were dispatched to rescue the survivors before the Lugnuts got to them first! Now, on a distant planet deep within the universe, the surviving Skizoids are building their new home and planning their ultimate revenge …  

★Addicting Gameplay
★19 levels
★Immersive Story
★Over 30 Achievements
★Unique line-drawing gameplay
★In-game shopping for upgrades
★GameCenter High-Scores & Leaderboards
★Facebook Friends lists & Gifts","[['invented', 'evil'], ['believe', 'end'], ['superior', 'technology'], ['strength', 'turning'], ['gain', 'slight'], [], [], ['sinister'], ['dispatched', 'rescue'], ['planet', 'harvested']]","[['machine', 'tricks', 'cunning', 'new', 'tricks'], ['machine', 'war', 'built', 'machine', 'harvests'], ['machines', 'relied'], ['thus', 'advantage'], ['machines', 'advantage'], ['building', 'army', 'failed', 'invention', 'home', 'new'], ['avoid', 'revenge', 'attempts', 'planning', 'ultimate', 'inevitable'], ['happen', 'going', 'something', 'knew', 'going', 'happen', 'visions'], ['survivors', 'ships', 'alive', 'transport', 'ships'], ['energy', 'keep', 'explosion', 'fragmenting', 'planet']]"
hh2 Field Reports,"HH2 FIELD REPORTS REQUIRES A SUBSCRIPTION TO HH2 WEB SERVICES AND FUNCTIONS EXCLUSIVELY WITH THE SAGE 300 CONSTRUCTION AND REAL ESTATE ACCOUNTING SYSTEM, FORMERLY TIMBERLINE OFFICE OR FOR SAGE 100 CONTRACTOR, FORMERLY MASTERBUILDER. 

hh2 Field Reports allows Sage CRE (Sage 300, Sage Timberline Office, Sage Timberline Enterprise, Sage 100, Masterbuilder) to completely log the days events.  The following information is logable:

Weather
Labor
Subcontractors
Equipment
Materials
Activities
Events
Visitors
Journal
Meetings
Billing
Attachments

Theres more! Search Field Reports, View Job Cost reports, download project files, and gather signatures.","[['files', 'gather']]","[['project', 'signatures', 'reports', 'download', 'project']]"
Energy Villas,"Electronic Platform for Architectural Designs
Privileges, the prospective homeowner had never before

An innovative application for those who are interested in acquiring a new house, in residential architecture, design, decoration and energy saving. Among numerous architectural designs of houses of different sizes and styles, the number of which will continually increase, you can select the study of the chosen house, at an advantageous price, and assign to us its construction.

Unique designs of different architectural styles, in 8 categories and five subcategories, prepared for you, so you can select the one that suits your personal criteria, through a large number of three-dimensional images for each house and 3D Full High Definition videos.

Our houses are shown decorated, equipped and furnished by renowned international firms.  For each house we create productions in different landscapes and with different scenarios and place them in a virtual environment that best suits its style and architecture.

Through virtual reality, we bring your future home as close as possible to reality, facilitating your choice, thus saving on your account both time and money. We give you numerous choices (without having to wait for completion of studies by the architect, the civil engineer, mechanical engineer) to facilitate your decision and purchase the full set of studies of the house you wish to own.

Our advantage:  Through technology, we bring you realistic images and designs so that you can choose the home you wish to own, from wherever you may be at the time!  We give you the opportunity to choose original and unique energy houses, at the tips of your fingers!","[['styles', 'sizes'], ['houses'], ['bring', 'future'], ['images'], ['designs', 'choose'], ['increase', 'select'], ['set', 'studies'], ['decision', 'facilitate'], ['civil', 'architect'], ['criteria'], ['environment'], ['scenarios'], ['productions'], ['decoration', 'design'], ['architecture'], ['house'], [], ['account', 'saving']]","[['different', 'number', 'houses', 'different', 'sizes'], ['energy', 'unique', 'tips', 'fingers'], ['home', 'reality', 'reality', 'facilitating', 'choice'], ['bring', 'number', 'three-dimensional', 'realistic'], ['images', 'home', 'architectural', 'designs', 'houses'], ['study', 'continually', 'subcategories', 'prepared', 'select'], ['house', 'full', 'purchase', 'full', 'set'], ['purchase', 'engineer'], ['studies', 'engineer', 'engineer', 'mechanical', 'engineer'], ['large', 'personal', 'number', 'suits'], ['place', 'best', 'virtual', 'suits'], ['landscapes', 'different', 'place', 'virtual'], ['house', 'different', 'landscapes', 'create'], ['energy', 'architecture'], ['residential', 'style', 'suits', 'house'], ['chosen', 'new', 'study', 'acquiring', 'house', 'advantageous', 'price'], ['give', 'choices', 'application', 'innovative', 'An', 'numerous'], ['thus', 'time', 'account', 'time', 'money']]"
Sage Paperless Const. eCapture,"Use your smartphone as the ultimate scanner. Capture job photos, credit card receipts, AP receiving documents or even AP Invoices by using the cameral on your smartphone. Take pictures, add relevant information and submit directly to your SPC system from anywhere in the world! Use eCapture to instantly capture and submit: Job Photos, Credit Card Receipts, AP Receiving Tickets or anything you want to take a picture and route back to Sage Paperless Construction.","[['credit', 'card'], ['smartphone'], []]","[['photos', 'receipts', 'job', 'photos', 'credit'], ['using', 'cameral', 'ultimate', 'scanner'], ['information', 'relevant', 'anything', 'add', 'take', 'want']]"
Police 12,"Save the police from crashing into road construction area.
Shoot for the highest score and have fun with this game! 
Tap all the Cars and save from Crash before its rush time! 

Police 12 - is an easy and fun game for people of all ages. 
Just tap a car to save it and… that’s about it! 

HIGHLIGHTS 

• Just tap the Car before they reach the road construction area. 
• Guarantee of fun for kids, boys and girls 
• Multi touch support to multiply the fun 
• Suitable for car lovers of all ages 

Download now and have fun!","[['construction', 'road'], ['car', 'Suitable'], ['fun', 'game']]","[['crashing', 'area', 'reach', 'road', 'construction'], ['fun', 'lovers'], ['score', 'people', 'support', 'multiply', 'fun']]"
