High School Simulator 2017,"Sequel of High School Simulator GirlA
Please enjoy the Japanese high school life",[],[]
High School Simulator 2018,"Please enjoy high school life in Japan.
You can customize boys and girls.
2018 version improves the quality of school and students.","[['improves', 'quality']]","[['school', 'version', 'quality', 'school', 'students']]"
High School Escape,"High School Escape 2 - Out Now!

Hey, freshman! 
Are you ready to escape through the locked campus? 
This escape game takes you back to the high school but this time you are trapped. Prove you skills in code-breaking, puzzle solving and logical thinking! Because no one wants to be locked down in the school. So use all the escaping skills you have to break out!

Are you ready to escape through campus, trophy room, chemistry class and many others?

Game features:
- Back to school atmosphere!
- Scientific puzzles!
- Amazing graphics!
- Classical room escape game!","[['class'], ['trophy', 'campus'], ['solving', 'logical'], ['skills', 'escaping']]","[['many', 'chemistry', 'room', 'others'], ['room', 'escape', 'escape', 'locked', 'campus'], ['thinking', 'puzzle'], ['break', 'use', 'skills', 'code-breaking', 'puzzle']]"
Cheerleader Champion Dance Off,"~~> You’re the new girl in school, and you’ve decided to try out for the cheerleading squad!
~~> Join the squad and show ‘em what you got! Your dance skills will help you become a cheerleader pro, and maybe even captain!
~~> Help your squad win first prize in the big cheerleading dance off! 

You just joined a cool new school, where being a cheerleader is like being a celebrity! You’ve just got to join the cheerleading squad! The squad will thank you for teaching them all your great dance moves! You’ll even get to choreograph the cheerleading routines! Help your squad win the trophy and beat all those other squads in the big cheerleading dance-off event of the year!

Features:
> Try out for the cheerleading squad at your new school – they’ll be begging you to join them!
> Become a cheerleading superstar! Your new bestie is the cheerleading captain, and the captain of the basketball team is SO cute! Will he notice you?!
> Get ready for the cheerleading dance-off event of the year! Get a killer makeover and a beautiful hairstyle!
> Work out at the gym to build up your cheerleader muscles!
> Oh no! You got a cheerleading injury! Go to the doctor and get better before the competition!
> Getting a little nervous? Relax at the spa before the cheerleading competition!
> Dress up in the coolest cheerleader outfits ever!
> Decorate the stage for the big cheerleading dance off contest!
> Choreograph your squad’s cheerleading dance routine – they’ll love it! But will the snobby judge?
> Keep your eyes on the 1st place prize, and cheer your way to the top!
> Dance ‘til you drop with a dance minigame! 
 

ABOUT Coco Play
Coco Play Limited is China-based developer of creative and unique apps for kids. Founded in 2013, Coco Play provides rich 3D simulation-based games for the whole family. Coco Play is a subsidiary of TabTale, a leading, global creator of innovative games, interactive books and educational apps.
Visit us: http://www.tabtale.com/ 
Like us: http://www.facebook.com/TabTale
Follow us:@TabTale
Watch us: http://www.youtube.com/Tabtale

CONTACT US 
Let us know what you think! Questions? Suggestions? Technical Support? Contact us 24/7 at WeCare@TabTale.com


FOR PARENTS 
The app is free to play but certain in-game items may require payment. You may restrict in-app purchases by disabling them on this device. The app may include advertising for TabTale and certain third parties which will redirect users to our sites, apps or third-party sites.
Your privacy matters. The app may enable collection of limited user data by TabTale or its carefully selected providers (e.g. ad networks and analytics) for limited purposes described in our Privacy Policy (e.g. respond to support queries; enable, analyze and improve the app’s features and services; serve contextual ads and measure their performance). The app includes certain features only accessible behind an age-gate to protect children (e.g. restrict behavioral ads; social networks links to connect with others while playing; option to accept push notifications to inform of exciting news e.g. updates). For more information (notably on the providers), please read our Privacy Policy: https://tabtale.com/privacy-policy/. By downloading, updating or using the app you consent (in your personal capacity and for other users of your device) to this collection and use of limited device information for ad display and reporting purposes, and to our Terms of Use: https://tabtale.com/terms-of-use/.","[['trophy', 'beat'], ['build', 'cheerleader'], ['teaching', 'great'], ['dance', 'drop'], ['dance', 'contest'], ['squad'], ['competition'], ['dance-off', 'event'], ['captain'], ['prize'], ['big', 'cheerleading'], ['serve', 'contextual'], ['read', 'please'], ['purchases'], ['information', 'ad'], ['reporting', 'display'], ['device', 'collection'], [], ['respond', 'support'], ['news', 'e'], ['e', 'g'], ['networks', 'social'], ['ad', 'networks'], ['analyze'], ['certain', 'includes'], ['app'], ['personal', 'capacity'], ['redirect', 'users'], ['third-party', 'apps', 'sites'], ['books'], ['games'], [], []]","[['win', 'squads'], ['gym', 'muscles', 'coolest', 'cheerleader', 'outfits'], ['dance', 'thank'], ['til', 'minigame'], ['>', 'cheerleading', 'great', 'dance', 'moves'], ['em', 'The', 'show', 'try', 'cheerleading', 'squad'], ['better', 'spa', 'cheerleading', 'get'], ['cheerleading', 'year'], ['basketball', 'cheerleading', 'captain', 'basketball', 'team'], ['big', 'cheer', 'way', 'cheerleading'], ['dance-off', 'stage', 'ready', 'cheerleading', 'dance-off'], ['services', 'ads', 'ads', 'measure', 'performance'], ['Privacy', 'providers', 'carefully', 'selected', 'providers'], ['restrict', 'device', 'disabling', 'in-app'], ['device', 'display'], ['ad', 'purposes', 'reporting', 'purposes', 'Terms'], ['use', 'users'], ['limited', 'use', 'Limited', 'device', 'China-based', 'developer', 'analytics', 'limited', 'purposes'], ['g', 'queries'], ['exciting', 'g'], ['respond', 'ad', 'providers', 'e', 'g'], ['ads', 'links'], ['analytics', 'g'], ['app', 'enable', 'improve', 'queries'], ['app', 'features'], ['matters', 'The', 'using', 'consent', 'app', 'free', 'play'], ['consent', 'users'], ['sites', 'parties'], ['unique', 'apps', 'kids'], ['apps', 'educational', 'games', 'interactive'], ['3D', 'whole', 'family', 'simulation-based', 'creator', 'innovative', 'games'], ['beautiful', 'makeover', 'hairstyle', 'get', 'doctor', 'better'], ['option', 'top', 'way', 'others', 'playing', '>']]"
Monster High™ Beauty Shop,"Oh, My, Ghoul!!! 
Clawdeen Wolf™, the trendiest monsterista from “Monster High” just opened her very own beauty salon - and she needs YOUR spooktacular touch! 
Help Clawdeen give her ghoulfriends killer looks!
Clawesome hairdo? Creeperific nails? How about a new fangtastic outfit? You can get ’em all in the ghoulest one-stop shop!

Oh wait, that’s not all: You can get freaky-fab looks by using our gore-geous selfie filters. You can even create your own filters, so get creative! 

Are you ready for some spooky fun, ghoulfriends?!

Fangtastic Features:
> Use spooky-cool hair salon tools like magic growing spray, hair dyes, mousse and so much more! You can even use Znap to electrify hair! 
> Our selfie filter pack gives you monstrous looks, lets you dance like a Zomboy, AND you can create your own fangtastic filters too - how clawesome is that?!
> Add your freaky fab photos to Spookygram to show off your killer looks.
> Give the boo-tiful monsters the makeover of their nightmares, using the best makeup tools you’ve ever laid your eyeballs on! Add lightning stickers and spider face jewels for an extra creepy cool touch.
> Dress up time! Mummy leggings or dresses fit for a rock star monster? The choices are endless! And wait till you see the crazy shoe collection!
> No monster look is complete without killer nails! Choose claw-like nail shapes, add purrfect rings, and give the monsters spooktacular manicures. 
> Accessorize your spooky clients with clawesome jewelry like crazy-shaped earrings or spiky collar necklaces.
> Give makeovers to all of the ghoulest monsters: Frankie Stein™, Draculaura™, Clawdeen Wolf™, Cleo de Nile™,  Lagoona Blue™, Ari Hauntington™, Silvi Timberwolf™ and Twyla™.

ABOUT US
Crazy Labs is a casual games brand, under which TabTale develops and publishes fun and addictive games. Crazy Labs partners with independent development studios across the globe to create engaging mobile content for audiences of all ages. 
Like us: https://www.facebook.com/crazylabsgames
Watch us: http://www.youtube.com/Tabtale
Visit us: http://tabtale.com/
Follow us:@CrazyLabsGames

CONTACT US 
Let us know what you think! Questions? Suggestions? Technical Support? Contact us 24/7 at Talk2Us@Crazy-Labs.com

PRIVACY:
The app is free to play but certain in-game items may require payment. The app includes:
- advertising for TabTale and some third parties that redirect users to our sites, apps or third-party sites
- social networks links to connect with others while playing
- the option to accept push notifications to inform of exciting news (e.g. updates) 
- an age-gate to prevent access to some features to protect children (e.g. restrict behavioral advertising or information sharing).
Your privacy matters. The app may enable data collection for limited purposes (e.g. respond to support queries; enable, analyze and improve the app’s features and services; personalize content including targeted ads and analyse those ads). For more information refer to our Privacy Policy: https://tabtale.com/privacy-policy/. Note that referred third parties are subject to their own policies. By downloading, updating or using the app you consent to this collection and use of device information and your data for ad display and reporting purposes, and to our Terms of Use: https://tabtale.com/terms-of-use/.

MONSTER HIGH and associated trademarks and trade dress are owned by, and used under license from, Mattel. ©2017 Mattel. All rights reserved.","[['see', 'crazy'], ['development', 'independent'], ['ads'], ['spider', 'face'], ['links'], ['spiky', 'collar'], ['trademarks', 'trade'], ['used', 'owned'], ['parties'], ['third-party', 'apps', 'sites'], ['redirect', 'users'], ['dresses', 'fit'], ['monster'], ['add', 'purrfect'], ['makeovers'], ['monsters'], ['ghoulfriends'], ['features'], ['news', 'e'], ['e', 'g'], ['reporting', 'purposes'], ['ad', 'display'], ['device', 'information'], ['enable'], ['app'], ['consent'], ['engaging', 'mobile'], ['content', 'audiences'], ['selfie', 'gore-geous'], ['clawesome'], ['create', 'filters'], ['looks'], ['salon'], ['makeup', 'best'], []]","[['till', 'shoe'], ['partners', 'studios'], ['targeted', 'including', 'analyse'], ['stickers', 'jewels'], ['others', 'networks', 'connect', 'social'], ['earrings', 'necklaces', 'necklaces', '>', 'Give'], ['dress', 'associated'], ['dress', 'license'], ['referred', 'third', 'policies', 'subject'], [], ['sites', 'parties'], ['leggings', 'rock'], ['>', 'rock', 'star', 'No', 'monster', 'look', 'complete'], ['shapes', 'rings', 'claw-like', 'nail', 'shapes'], ['ghoulest', '>', 'monsters', 'Give'], ['spooktacular', 'manicures', 'rings', 'give'], ['fun', 'Fangtastic', 'Features', 'spooky'], ['access', 'prevent', 'protect', 'children'], ['exciting', 'g'], ['children', 'purposes', 'e', 'g', 'respond'], ['Terms', 'display'], ['reporting', 'data', 'information', 'data', 'ad'], ['use', 'data', 'collection', 'use', 'device'], ['analyze', 'data', 'collection', 'queries', 'respond', 'support', 'queries'], ['matters', 'The', 'analyze', 'improve', 'app', 'free', 'play'], ['using', 'use', 'app', 'collection', 'collection', 'limited', 'purposes'], ['content', 'create'], ['mobile', 'ages'], ['using', 'filters', 'selfie', 'filter', 'pack'], ['clients', 'jewelry', 'filters', '>'], ['even', 'fangtastic', 'filters', 'get', 'creative'], ['using', 'gore-geous', 'freaky-fab', 'get', 'gives', 'monstrous', 'looks'], ['hair', 'tools', 'opened', 'beauty'], ['using', 'tools', 'nightmares', 'using', 'best'], ['freaky', 'photos', 'laid', 'fab', 'ever', 'eyeballs']]"
High School Life,"Live your own High School Life.  Meet & talk with boys -- go on dates, flirt and get a boyfriend.  Be popular, find love and make friends.   Text on your phone! 

Get popular!  Get a BFF and new boyfriends.  Get popular! 

Use our **NEW** Snapcat app to text everyone!  Work at the mall, get all the latest fashions for your closet, go on dates and to special events.  Get girlfriends and text!  Text boyfriends too! 
     
*Meet cute boys!  Chat!  Go on dates! 
*Go to dances with your boyfriend -- text him too. 
*Text your friends - get a new BFF! 
*Shopping for lots of different outfits and fashions. 
*5 different stores to find the right outfit for you and him! 

It all leads up to The Prom, where if you have the best outfits and best dance - you could be crowned Prom Queen.

ABOUT Sunstorm
Sunstorm is the pioneer of the popular ""Maker"" and ""Sunnyville"" series of games. Founded in 2009, Sunstorm provides creative and fun experiences for kids and parents to enjoy together. Sunstorm is a subsidiary of TabTale, a leading, global creator of innovative games, interactive books and educational apps.
Visit us: http://www.tabtale.com/ 
Like us: http://www.facebook.com/TabTale
Follow us:@Tabtale
Watch us: http://www.youtube.com/iTabtale

CONTACT US 
Let us know what you think! Questions? Suggestions? Technical Support? Contact us 24/7 at WeCare@TabTale.com.

IMPORTANT MESSAGE FOR PARENTS:

This app may include advertising for TabTale and certain third parties which will redirect users to our sites, apps or third-party sites. 

TabTale Ltd. is committed to protect the privacy of its apps users. This app may enable collection of limited user data by TabTale or its carefully selected third party providers (e.g. advertising networks and web analytics) for limited and lawful purposes (e.g. respond to support queries; maintain, analyze, provide and improve the app’s functionalities and performance; serve contextual advertising; protect app and users’ security). By downloading or using this app you accept TabTale’s Privacy Policy at: http://tabtale.com/privacy-policy/ and permit such uses for users of your device. For more information please refer to our Privacy Policy.","[['events'], ['fashions'], ['queries'], ['party', 'third'], ['serve', 'contextual'], ['e', 'g'], ['games'], ['refer', 'Privacy'], ['app', 'protect'], ['third-party', 'apps', 'sites'], ['redirect', 'users'], ['uses', 'users'], [], ['friends'], ['stores'], ['fun', 'creative'], ['kids', 'experiences']]","[['dates', 'special', 'girlfriends', 'Get'], ['different', 'get', 'latest', 'outfits', 'lots', 'different', 'outfits'], ['respond', 'analyze', 'support', 'maintain', 'analyze', 'provide', 'improve'], ['selected', 'providers'], ['performance', 'advertising'], ['respond', 'advertising', 'providers', 'e', 'g'], ['innovative', 'books', 'interactive', 'creator', 'leading', 'global', 'creator'], ['Policy', 'please'], ['users', 'advertising', 'committed', 'protect', 'privacy'], ['privacy', 'apps', 'users'], ['sites', 'parties'], ['device', 'permit'], ['right', 'Get', 'outfit', 'popular', 'boyfriends', 'find'], ['new', 'make', 'love', 'get', 'mall', 'get', 'latest'], ['different', 'right', '5', 'find'], ['experiences', 'provides'], ['fun', 'parents']]"
MaxPreps,"MaxPreps is America’s Source for High School Sports.

High school sports fans: Follow your favorite high school teams and get alerted when new information is available.  Find schedules, scores, rosters, stats and standings.  Get push notifications for game scores and when your favorite teams updates their sports information.

+ Get exclusive push notifications about your favorite teams
+ See real-time updates from all your favorite teams when games are scored live in the News Tab
+ Easily contribute live scores when attending a game, or become an official MaxPreps scorer and have fun providing live play-by-play updates to remote fans using the Scores Tab
+ Obtain an alert when your favorite team’s rankings are updated or when new photos or videos are published
+ Automatically get regional scores for teams in surrounding neighborhoods on the Scores Tab

With the most timely and complete high school sports information anywhere, the MaxPreps app is exactly what every high school sports fan needs to keep up with their favorite teams.

COACHES: Get our free team management and communication app, Teams by MaxPreps. Log in with your MaxPreps coach admin account credentials and share your team's unique app code to get your athletes and parents access. 

Feel free to email us anytime at, support@maxpreps.com.

***Currently available sports: Baseball, B/G Basketball, Field Hockey, Football, B/G Ice Hockey, B/G Lacrosse, B/G Soccer, Softball, B/G Volleyball, B/G Water Polo

***MaxPreps has, by far, the largest national database of high school information; but not every team or school participates at the same level.  The more information your favorite team or school provides MaxPreps the better you’ll be able to enjoy your MaxPreps App experience.","[['new', 'updated'], ['push', 'notifications'], ['stats', 'rosters'], ['game', 'scores'], ['live', 'providing'], ['information'], ['favorite', 'team'], ['high', 'school'], ['school', 'sports'], ['updates', 'sports'], ['updates'], ['regional', 'scores'], ['favorite', 'teams'], ['credentials', 'share'], ['admin', 'account'], ['athletes', 'get']]","[['photos', 'rankings'], ['exclusive', 'Get', 'standings', 'Get', 'push'], ['standings', 'scores', 'schedules', 'scores', 'rosters'], ['attending', 'favorite', 'game', 'become', 'official'], ['fun', 'play-by-play', 'contribute', 'live', 'scores'], ['new', 'alerted', 'The', 'level'], ['information', 'school', 'team', 'school', 'participates'], ['every', 'teams'], ['high', 'information', 'school', 'sports', 'fans'], ['information', 'teams'], ['See', 'play-by-play', 'live', 'real-time'], ['teams', 'get'], ['keep', 'scores', 'updates', 'favorite', 'teams'], ['account', 'team'], ['credentials', 'coach'], ['code', 'parents', 'far', 'largest', 'national']]"
High School Crush,"~~> Fall in love with your high school crush! Flirt, date, & dress to impress in the most stylish outfits!
~~> Be the Prom Queen & dance with your date! Mix & match moves to create your own real-life dance routines - the combinations are endless! 
~~> Earn popularity points & become the most popular girl in high school! You go girl! 

There’s a new guy at school & rumor has it he thinks you’re really cute! Flirt with him in the cafeteria & make him blush! What, did he just ask you to prom?! Glam up at the spa, add a touch of makeup and BAM - you look HOT! Dance the night away & have a ball - you only go to high school once, after all!

Features:
> Dress up for the first day of school! Choose from tons of stylish clothing at the mall!
> Flirt with really cute boys in the cafeteria! Does your crush like you back?! 
> Choreograph dances at Prom! Choose from tons of real-life dance moves!
> Collect hearts & earn popularity points! Become the most popular girl in school!
> Makeover time - choose from tons of makeup items, style your hair & more! 
> Pamper yourself at the spa - get a cleaning facial so you feel fresh! 
> Get your nails done at the Nail Salon - file, paint & design nail art! 
> Strike a pose! Pose for your glam shot before Prom! 
> Be the star of the school newspaper! Everyone is talking about YOU! 

ABOUT Coco Play
Coco Play is China-based developer of creative and unique apps for kids and the whole family. Founded in 2013, Coco Play provides rich 3D simulation-based games for the whole family. Coco Play is a subsidiary of TabTale, a leading, global creator of innovative games, interactive books and educational apps.
Visit us: http://www.tabtale.com/ 
Like us: http://www.facebook.com/TabTale
Follow us:@TabTale
Watch us: http://www.youtube.com/Tabtale

CONTACT US 
Let us know what you think! Questions? Suggestions? Technical Support? Contact us 24/7 at WeCare@TabTale.com

FOR PARENTS 
The app is free to play but certain in-game items may require payment. You may restrict in-app purchases by disabling them on this device. The app may include advertising for TabTale and certain third parties which will redirect users to our sites, apps or third-party sites.
Your privacy matters. The app may enable collection of limited user data by TabTale or its carefully selected providers (e.g. ad networks and analytics) for limited purposes described in our Privacy Policy (e.g. respond to support queries; enable, analyze and improve the app’s features and services; serve contextual ads and measure their performance). The app includes certain features only accessible behind an age-gate to protect children (e.g. restrict behavioral ads; social networks links to connect with others while playing; option to accept push notifications to inform of exciting news e.g. updates). For more information (notably on the providers), please read our Privacy Policy: https://tabtale.com/privacy-policy/. By downloading, updating or using the app you consent (in your personal capacity and for other users of your device) to this collection and use of limited device information for ad display and reporting purposes, and to our Terms of Use: https://tabtale.com/terms-of-use/.","[['earn', 'popularity'], ['design'], ['touch', 'add'], ['items', 'makeup'], ['create', 'real-life'], ['dance', 'routines'], ['tons'], ['high', 'school'], ['analyze'], ['certain', 'includes'], ['app'], ['personal', 'capacity'], ['redirect', 'users'], ['books'], ['third-party', 'apps', 'sites'], ['creator'], ['whole', 'family'], ['read', 'please'], ['serve', 'contextual'], ['purchases'], ['information', 'ad'], ['reporting', 'display'], ['device', 'collection'], ['limited'], ['respond', 'support'], ['news', 'e'], ['e', 'g'], ['networks', 'social'], ['ad', 'networks'], [], ['cleaning', 'facial']]","[['hearts', 'points'], ['nail', 'paint', 'art', 'file'], ['spa', 'makeup'], ['style', 'tons', 'items', 'style', 'hair'], ['dance', 'moves', 'real-life', 'dance', 'moves'], ['combinations', 'real-life', 'tons', 'real-life', 'dance'], ['stylish', 'clothing', 'choose', 'time'], ['go', 'Features', 'love', 'high', 'school'], ['app', 'enable', 'improve', 'queries'], ['app', 'features'], ['matters', 'The', 'using', 'consent', 'app', 'free', 'play'], ['consent', 'users'], ['sites', 'parties'], ['apps', 'educational', 'games', 'interactive'], ['unique', 'apps', 'kids'], ['leading', 'global', 'games', 'innovative'], ['kids', 'games', '3D', 'simulation-based', 'games'], ['providers', 'Privacy', 'carefully', 'selected', 'providers'], ['services', 'ads', 'ads', 'measure', 'performance'], ['restrict', 'device', 'disabling', 'in-app'], ['device', 'display'], ['ad', 'purposes', 'reporting', 'purposes', 'Terms'], ['use', 'users'], ['device', 'analytics', 'use', 'purposes'], ['g', 'queries'], ['exciting', 'g'], ['ad', 'providers', 'e', 'g', 'respond'], ['ads', 'links'], ['analytics', 'g'], ['blush', 'option', 'make', 'others', 'cafeteria', 'playing'], ['feel', 'get', 'points', 'become', 'popular']]"
Cheerleader Clash,"It's been half a month since the Beach Queen Scramble. Welcome back to an exciting new semester! This is still a story about Sophia and her friends. Guess you all know what happened among them before. So, how will the story go? Will Sophia and Rebecca be friends again? Will Sophia forgive Javier for not telling her the truth? Will Sophia encounter new difficulties? You gotta find it out by yourself!

Features:
- A new theme of cheerleaders offers you different enjoyment
Love sports? Love the enthusiasm of cheerleaders? This will be a good place for you.
- 24 levels involve both mind and brain
Dozens of levels offer you endless fun. Style Sophia for different occasions and play fun-filled mini games.
- A story full of ups and downs helps you witness the growth of Sophia
The seemingly peaceful campus actually happens a plenty of conflicts. You can only know what will happen after reading through the whole story.
- Use the camera to freeze the beauty of high school girls
Cheerleader uniforms, evening dresses... be sure to take unique pictures of the girls with rich expressions.

About Libii:
With over 600 million downloads and growing, Libii is committed to creating innovative games for kids. We'll keep working on establishing a good relationship with both parents and their children and bringing a healthy, happy atmosphere for them.
Visit us: http://www.libii.com/
Like us: http://www.facebook.com/LibiiGame
Contact us: Got any ideas? Suggestions? Need technical support? Please feel free to contact us 24/7 at WeCare@libii.com

Need You Know:
This app is totally free to download and play, some basic items are also free to use, but some additional items need you to purchase and pay to unlock. Therefore, if you do not want to use these items, please turn off the in-app purchase in your settings. Thanks.","[[], ['helps', 'witness'], ['free'], ['new', 'theme'], ['different', 'offers'], ['parents', 'relationship'], ['pictures', 'unique'], ['high', 'school'], ['offer', 'endless'], ['involve', 'mind'], ['mini', 'fun-filled'], ['items'], ['purchase', 'settings'], [], [], ['This']]","[['uniforms', ""'s"", 'month', 'evening', 'half', 'dresses'], ['downs', 'growth'], ['feel', 'also', 'use', 'contact'], ['A', 'cheerleaders'], ['enjoyment', 'cheerleaders'], ['good', 'children', 'establishing', 'good', 'relationship'], ['girls', 'take'], ['girls', 'beauty', 'camera', 'freeze', 'beauty'], ['fun', 'levels'], ['brain', 'levels'], ['play', 'games', 'occasions', 'play', 'fun-filled'], ['need', 'purchase', 'use', 'want', 'use', 'additional', 'items'], ['in-app', 'Thanks', 'turn', 'in-app', 'purchase'], ['semester', 'got', 'new', 'exciting', 'find', 'ta'], ['happens', 'story', 'plenty', 'conflicts', 'reading', 'whole'], ['app', 'good', 'place', 'Know']]"
High School Bus Parking & Driving Test - 2K16 Extreme simulator 3d Edition,"*^*^*^* High School Bus Parking & Driving Test *^*^*^*

You had have fun car races or bike racing 3D games in your device, we invite you to get some new and extreme driving experience. Drive heavy duty school buses in busy streets of the city. Get some real time experience while driving heavy vehicles?
Let’s have some crazy fun and drive a big yellow School Bus! This game will make you sit in the front seat of a School bus and let you maneuver around the road. Sounds fun right? Steer the big bus, push on the pedal and drive your way around the city.

Features:
-It’s absolutely FREE on ios app store !
-Time base challenge finish tasks before time ends.
-Smooth and simple screen controls to drive bus easily.
-Realistic and amazing 3D graphics.
-Smooth controls and fun gameplay. 
-Superb background music to enhance your game plays experience.","[['store'], ['sit'], ['heavy', 'driving'], ['duty', 'school'], ['enhance', 'music'], ['fun', 'gameplay'], ['background', '-Superb'], ['pedal', 'drive'], ['controls']]","[['app', 'base', 'ios', '-Time', 'challenge', 'finish', 'tasks'], ['front', 'game', 'make', 'seat'], ['vehicles', 'experience', 'extreme', 'driving', 'experience'], ['heavy', 'buses', 'buses', 'busy', 'streets'], ['game', 'background'], ['controls', '-Superb'], ['gameplay', 'music'], ['push', 'way', 'controls', 'drive', 'bus'], ['-Smooth', 'simple', 'screen', 'graphics']]"
High School Fun: Gangster 3D,"High school Fun game is all about the crazy actions one can perform at the teen’s school. Live high school life and take revenge from the gang in this Fun school game, plan your escape in different challenging situations. Smash everything & strike, run with high school girlfriends and boyfriends in this game. Fight the principal & dodge him. You are the best high school gangster on the campus, plan your survival at nights. Steal bags of the students, have fun with the teachers and hall monitors patrolling the city school corridor. Hit them hard with your strike weapons.
Steal the homework of the fellow students. Break the security lockers in search of different tasks, steal the exam papers from the principal's office and sneak from the corridor, bypass the hall monitor of the school and don’t get caught in the way by cameras. Face the bullies of the school and save your friend from beating, throw rocks and papers, don’t seek too much attention to yourself and stop anyone from complaining to the principal about your secret hunts of the crazy adventure in this High School Fun Game. You have been caught into the detention as punishment for your disciplinary actions, sneak and escape from the office while the teacher is sleeping, destroying the cameras of the campus to erase any footage of your crime recordings. Be the vicious criminal in high school and get ready for some great fun of your life.
Key Features:
- High-End School 3D Graphics.
- Fun missions of school life.
- Exciting and challenging gameplay.
- Stunning & High-Quality 3D Graphics
- Smooth, Easy & Intuitive Controls","[['caught', 'way'], ['search', 'different'], ['Break', 'security'], ['take', 'revenge'], ['beating', 'friend'], ['crazy'], ['high', 'run'], ['girlfriends'], ['city', 'patrolling'], ['school', 'missions'], ['school'], ['hall', 'monitor'], ['corridor', 'bypass'], ['teachers'], ['sneak', 'office'], ['gangster', 'campus'], ['plan'], [], ['attention']]","[['cameras', 'get', 'caught', 'detention', 'punishment'], ['lockers', 'tasks'], ['lockers', 'students', 'homework', 'fellow', 'students'], ['life', 'gang'], ['save', 'throw', 'school', 'save', 'friend'], ['game', 'hunts', 'adventure', 'actions', 'punishment', 'disciplinary', 'actions'], ['strike', 'school'], ['high', 'school', 'boyfriends', 'game'], ['school', 'monitors', 'city', 'school', 'corridor'], ['Fun', 'life'], ['high', 'ready', 'best', 'get'], ['school', 'bypass'], ['hall', 'sneak'], ['fun', 'students', 'monitors', 'hall'], ['corridor', 'escape', 'actions', 'sneak', 'escape'], ['school', 'plan'], ['different', 'school', 'game', 'escape', 'plan', 'survival', 'nights'], ['complaining', 'footage', 'crime', 'anyone', 'recordings', 'principal'], ['anyone', 'seek', 'much', 'stop', 'different', 'challenging', 'situations']]"
