Christmas Swap 3,"Christmas is coming again. Christmas Swap is a funny match 3 Puzzle game and just in time for the holidays. You will experience the adventure with Christmas Swap in a snow world of Christmas tree, santa's hat, Christmas bells and other cute Christmas Pieces.

Marvelous game modes include:

** Chocolate-Match the cute Christmas pieces on the chocolate to collect the delicious chocolates.
** Green Lawn-Drop the pieces into the green lawn to clean the dirty pieces.
** Flower basket-Match Pieces next to the Flower Basket to release the trapped pieces.
** Flower-Feed the flower spot with Christmas pieces to bloom the beautiful flowers for the holidays.

Download the Christmas Swap now and have a amazing adventure!
Wish you Merry Christmas and Happy New Year!","[['dirty', 'clean']]","[['lawn', 'pieces', 'pieces', 'green', 'lawn']]"
SMC Go,"Stay connected with SMC Go, the official app of Santa Monica College. Quickly access crucial campus resources while you are on the go. 

SMC Go Features:
•	Academics
•	Admissions & Enrollment
•	Ask SMC
•	Athletics
•	Campus Tour
•	Class Schedules
•	College maps
•	Corsair Connect
•	Dining Options
•	Emergency Information
•	Employee Directory
•	Events
•	Indoor Maps
•	Library
•	Social Media
•	Student Life
•	Student Services
•	Transit
•	Videos",[],[]
Running With Santa,"Save Christmas and dive into the holiday mood with the best running game of the holiday season!

Hurry up and get running with Santa! Save Christmas from becoming a complete disaster! 
Santa’s slay has been struck by a lightning and the jolly old man is now in big trouble! 
Help him save the holiday spirit and find all presents that were lost in the accident, by guiding his run around the snowy North Pole village’s streets. 
Santa needs your help with finding his way through the icy course and retrieving all of the presents that fell off the sled in the accident. Hurry-up and collect all lost gifts from the streets of Santa’s village as quickly as possible! Make sure that all good kids receive their presents just in time for the holiday.

Join the gift hunt and have the Christmas adventure of your life!

Snowy bridges to cross, tricky icicles to avoid, deadly gaps to jump over - those are only a few of the obstacles that you will have to deal with, while running with Santa. Try to collect all of the presents that you see on your Christmas dash.

The various bonuses and power-ups that you will stumble upon while running through the snowy village’s streets are there to help you with your mission. Run faster, jump further and collect more lost gifts, meant for good kids from all around the world. The more presents you retrieve, the easier your mission becomes! Equip your character with a blazing fast jet pack or just pick up a magnet and make sure that no gift is left behind!

Who is your favorite character? 
Do you like playing with Santa or you prefer the little dwarf character? It is up to you! 
Join our facebook community and let us know which dwarf or reindeer character you want to run with next!

You can’t get enough of Santa’s little helper dwarfs? 
Just vote for Dopey, Grumpy, Doc, Bashful, Sneezy, Sleepy, or Happy! 
Which of Santa’s reindeer is your favorite? 
Vote for Dasher, Dancer, Prancer, Vixen, Comet, Cupid, Donner or Blitzen!

This is your game so have your say and have it your way!

What we can promise is that you will fall in love with our great Christmas runner, once you glance at the stunning 3D graphics and hear the enchanting Christmas Carol soundtrack.","[[], [], ['bonuses', 'various'], ['blazing', 'fast'], ['magnet'], ['spirit'], ['game'], ['kids'], ['fell', 'sled'], ['lost'], ['retrieve', 'easier'], ['course'], ['finding', 'way'], [], []]","[['love', 'obstacles', 'jump', 'gaps', 'promise', 'fall'], ['dwarf', 'becoming', 'reindeer', 'know', 'complete', 'disaster'], ['The', 'power-ups'], ['character', 'jet'], ['make', 'sure', 'pack', 'pick'], ['presents', 'save', 'holiday', 'find'], ['season', 'say', 'holiday', 'way'], ['presents', 'meant', 'good', 'receive', 'gifts', 'meant', 'good'], ['presents', 'accident'], ['gifts', 'collect', 'accident', 'presents', 'accident', 'guiding', 'run'], ['presents', 'mission'], ['presents', 'icy', 'way', 'retrieving'], ['icy', 'help', 'streets', 'help', 'mission'], ['snowy', 'big', 'running', 'village', 'trouble', 'man'], ['tricky', 'sure', 'gift', 'make', 'cross', 'icicles']]"
Santa Jump - Don't let Santa fall,"Try keep jumping through all  the way to delivery gifts on Christmas Eve. Click left part of screen to jump one step, right part to jump two steps. Mind your steps or Santa would fall down from the reindeers. 


Click left part of screen to jump one step
Click right part of screen to jump two steps
Pick the gifts to summon Trump in the game store.","[['delivery', 'way'], ['jump', 'screen', 'part']]","[['gifts', 'jumping', 'step', 'right', 'part'], ['left', 'part', 'screen']]"
Let's Go Santa,"*** Don't let this cute Santa Claus fool you. This is the toughest and most challenging game you'll play on Christmas. ***

Rudolph has taken off without Santa! You must now run and jump to try to catch up while picking up all the gifts that have fallen off Santa's sleigh. 

WARNING: This game is extremely difficult to master and will test your patience.  Do not play it if you get easily frustrated. 

FEATURES:

* Endless running and jumping adventure
* Win medals and compete against friends on the leaderboards
* Pickup gifts along the way
* Fun music and sounds
* Jump & double jump simply by tapping
* Hone your reflex skills (and your patience)
* Also available for AppleTV","[['patience'], ['jump', 'try'], ['compete', 'friends']]","[['test', 'skills', 'master', 'reflex'], ['catch', 'run', 'catch', 'picking', 'gifts'], ['leaderboards', 'medals', ""n't"", 'let', 'cute']]"
Cat Calling You! Fake Calls,"Receive Call from pretty cats now, Yes, You can make it look like you calling Kitten Cat! Raffle friends, including fake bell the cats and show a friend, he will be very surprised!

Share close, let think that phoning your favorite pet! Make fun of a lot of fun! In the game you can choose different cats for a call! A real blast and a voice straight out of the tube!

Features:

• Simulate fake incoming call from cats.
• Cat sounds.
• Phone Ringtone.
• Options to decline, or, accept call.
• Great as a game.
• Easy to use.
• No need for Wi-Fi to play for more fun.

Thank you for playing with us leave us your feedback and we will try to make our game even better and more interesting!","[['cats'], [], ['straight', 'tube']]","[['call', 'incoming', 'friend', 'show', 'fake', 'bell', 'cats'], ['A', 'real', 'make', 'try', 'game', 'blast'], ['voice', 'Features', 'fun', 'lot', 'fun']]"
:: Go Santa Go! :: The Ultimate Endless Runner for the Christmas Holiday Season!,"Santa needs your help!!  It's the night before Christmas and Santa needs to deliver his gifts to families all around the world... but there are plenty of obstacles trying to hold him back!  It's your mission to help Santa reach everyone in time for Christmas and make it safely back to his home at the North Pole!

* Addictive game play
* Music and sounds to get you in the holiday spirit!
* Stunning graphics and continuous action
* Easy to play
* Extra lives to keep you running
* Game Center integration and leader boards
* Universal app (runs on iPhone, iPhone 5, iPad, iPad Mini, and iPod Touch)

Compete against your friends to see who can get Santa the farthest!

Contact us at support@beaconmobile.com for any issues.","[[], ['obstacles'], ['spirit'], []]","[['everyone', 'families', 'deliver', 'reach', 'gifts', 'time'], ['world', 'hold', 'trying', 'plenty', 'integration', 'leader', 'boards'], ['holiday', 'Stunning', 'graphics', 'get', 'graphics', 'continuous', 'action'], ['help', 'runs', ""'s"", 'mission', 'iPhone']]"
Santa Long Legs Challenge - Crazy walk bros HD,"Hold finger on screen to stretch santa's Leg to place on the next wall. If the Legs Open Wide enough, you will fall down! Its a challenging game.

Watch out!

How far can you go?",[],[]
Santa Monica Works,"Report problems, issues, concerns or simply use the official City of Santa Monica app to interact with your city.",[],[]
GoGaucho,"GoGaucho is a mobile app developed by UCSB students, for UCSB students. It serves as a powerful tool for thousands of Gauchos. Everything from your GOLD schedule to dining hall menus, all in one place!

   [ Dining ]
- View today's menus
- View weekly menus
- Mark your favorite dishes
- Watch cameras outside Dining Commons
- Check your meal plans in Widget
- Receive urgent campus notification

   [ Maps ]
- Campus map
- Search by building's name
- Search by building's code

   [ Schedule ]
- Get the schedule on via UCSB NetID
- Quick view on Widget and Apple Watch",[],[]
Klondike Solitaire: Christmas,"This is a classic Klondike Solitaire Card Game you know and love for your iPhone, iPad, and iPod. 

We have stayed true to the spirit of the classic Solitaire, also known as Klondike, and carefully designed a fresh modern look, woven into the wonderful classic feel that everyone loves. 

Experience the crisp, clear, and easy to read cards, simple and quick animations, and subtle sounds, in either landscape or portrait views. 

You can move cards with a single tap or drag them to their destination. You can either play the easy Draw 1 games where most games are winnable, or if you feel up-to the challenge, try your luck with Draw 3 and Vegas play modes. 

If you enjoy adding a personal touch to your game, customize the backdrop and card backs with photos from your own photo library for unlimited personalization possibilities. 

Key Features: 
+ Draw 1 card (Easy) 
+ Draw 3 cards (Hard) 
+ 10 Kinds of App Backgrounds 
+ 14 Kinds of Card Backgrounds 
+ Crisp, beautiful, and easy to read cards 
+ Portrait or landscape 
+ Efficient, fast, and sensible game interface 
+ Single tap to place a card or drag and drop 
+ Standard Klondike scoring 
+ Smart hints show potentially useful moves 
+ Custom backdrops & cards from your photos 
+ Timer, moves, and statistics 
+ Unlimited Undos 
+ Auto-Complete option to finish a solved game 
+ Fun & challenging achievements 
+ Support for iPhone, iPad, and iPod Touch","[[], ['iPad', 'iPhone'], ['unlimited', 'personalization'], ['customize', 'backdrop'], ['photos', 'photo'], ['card'], ['cards'], [], []]","[['scoring', 'stayed', 'true', 'spirit', 'Smart', 'hints'], ['iPod', 'love'], ['possibilities', 'library'], ['game', 'card', 'finish', 'solved', 'game'], ['backs', 'library'], ['photos', 'tap', 'place', 'backs', 'card', 'drag', 'drop'], ['backdrops', 'photos', 'single', 'tap', 'easy', 'read', 'cards'], ['enjoy', 'adding', 'classic', 'personal', 'wonderful', 'woven'], ['views', 'challenge', 'try', 'portrait', 'landscape', 'luck']]"
Pocket Santa GO,"Santa GO
Love of the game where you can search for and collect the animal? Try our unique holiday, New Year's game with the search for the lost Santa and his friends!
Find all your friends and relatives santa. For a more interesting effect using the camera as augmented reality.
Collect the entire collection handheld toy Santa.
Features:
- Unique search on the map.
- Best Radar.
- A huge collection (Santa, snowman, reindeer, snow maiden, elves and many others!)
- Endless Search shells.
- Off line game.
- Completely free!
-And much more!
Begin the hunt for Santa now and you can not stop until you have collected the entire collection of pocket pets!
With nastupayushim New 2017 Year! Find all the magical characters until the new year and get a gift!","[[], ['snow', 'maiden'], ['camera'], ['collected', 'entire'], ['collection']]","[['search', 'gift', 'get', 'collect', 'animal', 'year'], ['reindeer', 'elves', 'elves', 'many', 'others'], ['using', 'reality', 'effect', 'augmented'], ['stop', 'collection'], ['A', 'huge', 'toy', 'handheld', 'collection', 'pocket', 'pets']]"
Pretty Puppy Dog Calling You!,"Enjoy & Call The Pretty Puppy Dog Calls, You can make it look like you calling the puppy dog! Raffle friends, including fake bell the puppys dogs and show a friend, he will be very surprised!

Share close, let think that phoning your favorite puppy's! Make fun of a lot of fun! In the game you can choose different dogs for a call! A real blast and a voice straight out of the tube!

Features:

• Puppy sounds.
• Phone Ringtone.
• Options to decline, or, accept call.
• Great as a game for entertainment.
• Simulate fake incoming call from puppy's dogs.
• No need for Wi-Fi to play for more fun.

Thank You for playing with us leave us your feedback and we will try to make our game even better and more interesting!","[[], [], ['straight', 'tube'], ['incoming', 'call'], ['puppy']]","[['A', 'real', 'blast', 'fun', 'lot'], ['show', 'make', 'try', 'game', 'dogs', 'friend'], ['voice', 'Features'], ['puppy', 'fake'], ['phoning', 'favorite', 'dog', 'calling']]"
Elf Flu Doctor - Help yourself and the frozen Christmas Elves,"Santa’s Christmas Elf is feeling poorly! We need all your Doctor skills to make him better, how else will Santa make all his special festive deliveries on time?

First you must check little Elf’s temperature, listen to his heart and look for nasty bugs in his throat. All is not well, he has Flu! Poor Elf must have your best care, Santa is waiting to load up his sleigh with Christmas Presents for everyone and he is lost without his number one helper.

You know what to do, Elf will need an ice pack to bring his temperature down, medicine and an injection to take away his flu quickly. Clean his face and soon he will be much better, he will smile, everyone will cheer and Christmas can begin!

Find Us Online: 

Facebook: Facebook.com/RisingHighApps 
Twitter: @RisingHighApps 
Web: www.RisingHigh.net","[['bring', 'temperature'], ['heart', 'listen']]","[['medicine', 'pack', 'temperature', 'medicine', 'injection'], ['look', 'temperature', 'look', 'nasty', 'bugs']]"
