Hovercraft: Takedown - Custom Combat Cars,"Hovercraft: Takedown is the #1 combat racing, custom vehicle building, totally addicting, physics based, action game of the year!

Thugs have taken over the the Hovercraft highways! Build your custom Hovercraft. Arm it to the teeth with machine guns, lasers, and rockets. Then take to the streets and rack up those Takedowns!

FEATURES
* Build a completely custom Hovercraft and arm it with guns, lasers, missiles, and more!
* Play with friends over Wi-Fi and fight through Multiplayer Survival Mode!
* Smash enemy vehicles to pieces and cause crazy chain reaction explosions!
* Equip up to 6 weapons simultaneously, and customize your loadout from thousands of possible combinations
* Long range sniper cannons? 360 degree tracking lasers? Triple fire homing rockets? How about all of them, at the same time!
* Blast your way through gorgeous rocky mountain passes at breakneck speeds
* Counter enemy weapons with dozens of unique power ups and weapon types
* Upgrade your Hovercraft squadron and become even more powerful
* Endless loot! Collect & win tons of rare, epic, and legendary consumables & gear from card packs
* Real-time damage models affect all of your Hovercraft's systems, from weapons to thrusters
* Experience insane physics-based combat racing, like nothing you've played before!

“I got 35 Takedowns! What’s a Takedown?...” – Margaret from California
“Those #@$% laser trucks keep blowing up my power core!” – Noah from New Zealand
“My custom Hovercraft is a flying cat with laser eyes and machine gun paws.” – Spark from New York

FOLLOW US
https://www.facebook.com/hovercraftgame
https://twitter.com/HovercraftGame
http://www.highscorehero.com/


Please note this app is not compatible with iPhone 4 or iPod Touch 4.","[[], ['passes'], ['customize', 'loadout'], ['racing', 'custom'], ['crazy', 'cause'], ['gear', 'card'], ['damage', 'Real-time'], ['action', 'game'], ['dozens', 'unique'], ['machine', 'gun'], ['eyes', 'laser'], ['guns', 'lasers'], []]","[['Then', 'app', 'streets', 'compatible', 'take', 'iPhone'], ['breakneck', 'rocky', 'speeds', 'mountain', 'range', 'sniper', 'cannons'], ['thousands', 'simultaneously', 'thousands', 'possible', 'combinations'], ['combat', 'vehicle', 'insane', 'physics-based', 'combat'], ['chain', 'pieces', 'chain', 'reaction', 'explosions'], ['consumables', 'packs'], ['models', 'packs'], ['based', 'year', 'physics', 'based', 'action'], ['weapons', 'power', 'unique', 'power', 'ups'], ['eyes', 'paws'], ['machine', 'cat', 'flying', 'cat', 'laser'], ['machine', 'arm', 'guns', 'lasers', 'rockets'], ['Wi-Fi', 'rare', 'fight', 'tons', 'epic', 'friends']]"
Hovercraft - Build Fly Retry,"Hovercraft is the #1 hover action simulation, arcade racing, custom vehicle building, totally addicting, physics based, breakout hit game of the year!

* Build a completely custom Hovercraft in a simple, yet powerful editor
* Blast your way down an urban highway in the sky
* Dodge and weave through traffic at insane speeds
* Cause crazy chain reaction crashes and watch Hovercrafts go flying!
* Experience physics based hovering, collision and destruction
* Earn huge rewards for piloting your Hovercraft skillfully, and dangerously!
* Collect and win over 80 unique Hovercrafts, or create your own fleet from scratch

""I love my Hovercrafts more than my dog."" - Margaret from California
""I can't stop playing Hovercraft! It's the best game I've played since… ever."" - Noah from New Zealand
""You can race them? I just build the craziest Hovercrafts I can imagine and watch them wobble over the pavement!"" - Spark from New York

Follow us!
https://www.facebook.com/HovercraftGame
https://twitter.com/HovercraftGame


Please note this app is not compatible with iPhone 4 or iPod Touch 4.","[[], [], [], [], ['reaction', 'chain'], ['insane', 'traffic'], ['game']]","[['totally', 'stop', ""n't"", 'addicting', 'physics', 'playing'], ['app', 'compatible', 'collision', 'hovering', 'iPhone', 'destruction'], ['urban', 'scratch', 'create', 'way', 'fleet', 'highway'], ['wobble', 'watch', 'custom', 'pavement', 'vehicle', 'racing'], ['crazy', 'crashes', 'hover', 'action', 'simulation'], ['speeds', 'weave'], ['hit', ""'s"", 'best', 'year']]"
Deploy and Destroy: Ash vs ED,"Welcome to Deploy and Destroy ft. Ash vs. Evil Dead and Divergent.

Dive into the terrifying fun of Ash vs. Evil Dead and the post-apocalyptic locations of Divergent. With its awesome graphic quality, cinematic arenas, PC-quality visual effects, and Hollywood action characters in addition to customizable original characters... ""Deploy and Destroy"" has it all.

Download now to play as Ash, Kelly, or Pablo from the Ash vs. Evil Dead TV series, or as Tris, Eric, Edward, or Max from Divergent! You can also play as one of our original Deploy and Destroy Characters, customizing your look by earning weapons upgrades, new armor, and other cool swag while you play.

Stay tuned for updates, and get ready to Deploy and Destroy!","[['swag', 'cool'], [], []]","[['armor', 'play'], ['look', 'cinematic', 'weapons', 'arenas', 'quality', 'earning'], ['get', 'addition', 'action', 'updates', 'characters', 'ready']]"
Smiley Block Jump,"** THE MEGA JUMPER  **

Timing is all you need, leap along with several stack of objects while maintaining balance. Stack and balance them! Up to the challenge? Come and try it out.

================
FEATURES
================

- Easy control (Just tap to jump)
- Challenging gameplay
- Multiple characters to choose
- Game center leaderboard to compete with your friends

Download now.",[],[]
Cup Stack!,"Stack up the Cups as high as you can and unlock new cool cups.
- How to play : 
         Tap to drop the cup.",[],[]
Tower Jumper!,"Tower Jumper- One of the most Addictive iOS games ever released!

""Quick and easy to pick up gameplay that becomes wildly hard to put down! One of our favorite mobile games of 2018!""
""Extremely Fun! Great game from Bowl Digital.""
""So simple, yet so enjoyable! I'll be playing this one for a while.""

•Simple, One-Touch Controls: One tap controls everything!
•Loads of Content: Many characters to unlock and collect!
•Quick Gameplay: Great for picking up/putting down while on the bus, in the car etc.
•Endless Gameplay: Never run out of levels or missions! A fresh, new experience every time!
•Competitive: Challenge your friends to grab the highest score!","[[], [], ['bus', 'car'], ['grab', 'highest']]","[['run', 'missions', 'mobile', 'favorite', 'levels', 'games'], ['tap', 'collect', 'controls', 'everything', 'unlock', 'characters'], ['etc', 'putting'], ['score', 'friends']]"
Icarus - Snow Jump,"Press the screen to build up power.

Release to jump.

Jump too low or too high, and it’s game over.

How high can you go!?

Features:
• FREE!
• Endless gameplay
• One finger gameplay

MORE CHARACTERS AND GAME MODES COMING SOON!","[['gameplay', 'MORE']]","[['finger', 'CHARACTERS', 'screen', 'build', 'power']]"
Stack X -The Extreme Stack,"Stack X, the extreme stack builder game.

Do you have what it takes to reach the top?

-Fuelled with Apple's latest breathtaking technology.
-Apple exclusive game.
-Easy to learn, lifetime to master.
-Small Size.
-No ads.
-60 fps.
-Game Center Leaderboard.

-iOS 10 + required.
-Lots of new features in production pipeline.","[['lifetime', 'master'], ['features']]","[['-Small', 'learn', 'stack', 'builder', 'game'], ['new', 'pipeline', 'production', '-Lots']]"
The HiFat App,"Watch out for high fat foods! Convenient search of the 100 highest fat food items from popular restaurants while you are on the go. You can even find out if it's near you! Food items include mouthwatering burgers, pizza, tacos, sandwiches and more. Whether you are looking to avoid these foods or if you are one of those rare people who happens to be looking for that dangerous bite! By clicking on each item after searching you can find what is closest to your current location. The highest fat items are always listed first along with calorie content.","[['pizza', 'tacos'], ['fat']]","[['burgers', 'sandwiches', 'one', 'rare', 'people'], ['high', 'food', 'foods', 'items', 'looking', 'avoid', 'foods']]"
Star Cheerleader - Go Team Go!,"~~> Do you have what it takes to become a STAR cheerleader?! Cheer your way to the top!
~~> Compete against other cheerleaders in tryouts to win a spot on your high school team!
~~> Show off your cheering skills then get points for creativity and performance!

It's your chance to be the STAR cheerleader! Cheer your way to the varsity team by building amazing routines and then performing them! Earn adorable cheer outfits along the way and unlock awesome moves that will make YOU the best cheerleader around. Give me a G! Give me an O! Ready? GO!!!

Features:
> Choose from a selection of beautiful cheerleaders!
> Dress up your cheerleader in the most adorable clothing! 
> Follow routines and make your way through challenging and fun tryout levels! 
> Make your own amazing routines - get creative with your moves!  
> Save routines in your cheer playbook to remember each routine!
> Earn ADORABLE cheer outfits so you can look your very best!
> Collect points to unlock awesome new cheerleading moves!
> Uncover mystery uniforms with the mystery pack!

ABOUT Sunstorm
Sunstorm is the pioneer of the popular ""Maker"" and ""Sunnyville"" series of games. Founded in 2009, Sunstorm provides creative and fun experiences for kids and parents to enjoy together. Sunstorm is a subsidiary of TabTale, a leading, global creator of innovative games, interactive books and educational apps.
Visit us: http://www.tabtale.com/ 
Like us: http://www.facebook.com/TabTale
Follow us:@Tabtale
Watch us: http://www.youtube.com/iTabtale

CONTACT US 
Let us know what you think! Questions? Suggestions? Technical Support? Contact us 24/7 at WeCare@TabTale.com.

FOR PARENTS
The app is free to play but certain in-game items may require payment. The app includes:
-  advertising for TabTale and some third parties that redirect users to our sites, apps or third-party sites
-  social networks links to connect with others while playing
-  the option to accept push notifications to inform of exciting news (e.g. updates) 
- an age-gate to prevent access to some features to protect children (e.g. restrict behavioral ads or information sharing).
Privacy is important to us. The app may enable data collection for legal purposes (e.g. respond to support queries; enable, analyze and improve the app’s features and services; personalize content including targeted ads). For more information refer to our Privacy Policy: http://tabtale.com/privacy-policy/. Note that referred third parties are subject to their own policies. Use of the app is subject to our Terms of Use: http://tabtale.com/terms-of-use/.","[[], [], [], ['points', 'creativity'], ['links'], ['win', 'tryouts'], ['games'], ['redirect', 'users'], ['third-party', 'apps', 'sites'], ['features'], ['analyze'], ['subject'], ['news', 'e'], ['e', 'g'], ['collection'], ['look', 'best'], ['adorable'], ['routines'], ['moves'], ['fun', 'challenging'], ['kids', 'experiences'], ['fun', 'creative']]","[['mystery', 'unlock', 'uniforms', 'awesome', 'points'], ['information', 'Privacy', 'varsity', 'way', 'team', 'refer'], ['ads', 'get', 'skills', 'targeted', 'points', 'including'], ['performance', 'get', 'services', 'personalize', 'content'], ['social', 'networks', 'connect', 'others'], ['cheerleaders', 'spot', 'spot', 'high', 'school'], ['books', 'creator', 'interactive', 'innovative', 'leading', 'global', 'creator'], ['sites', 'parties'], ['books', 'educational', 'apps'], ['access', 'prevent', 'protect', 'children'], ['app', 'enable', 'improve', 'queries', 'respond', 'support', 'queries'], ['app', 'Terms', 'policies', 'parties', 'app', 'free', 'play'], ['exciting', 'g'], ['respond', 'children', 'purposes', 'e', 'g'], ['enable', 'data', 'purposes', 'legal'], ['>', 'outfits'], ['cheer', 'outfits', 'clothing', 'cheerleader'], ['make', 'creative', 'way', 'get', 'routines', 'cheer', 'playbook'], ['make', 'creative', 'YOU', 'get', 'new', 'cheerleading', 'moves'], ['way', 'tryout', 'fun', 'tryout', 'levels'], ['fun', 'parents'], ['experiences', 'provides']]"
