Run Ball - Jump On Helix Road,"Exciting adventure trip of climbing helix tower!
Tap to jump, make your ball jump over the pits and obstacles, earn diamonds and unlock new interesting balls.

Easy one-tap controls, rich visual effects and addictive gameplay.
Beat your high score and compete with others to hit the best score in the world!","[['hit', 'best'], ['jump', 'make', 'ball'], ['diamonds'], ['climbing', 'helix']]","[['score', 'others', 'score', 'compete', 'others'], ['ball', 'jump', 'pits'], ['new', 'earn', 'obstacles', 'unlock'], ['tower', 'trip', 'effects', 'addictive', 'gameplay']]"
Frozen Pop,"On this New Year, enjoy bubble popping fun with penguins and reindeer in Frozen Pop snow !

Bring on your warm clothes and get ready to shiver in a land filled with snow and colorful bubbles – Frozen Pop is the next ultimate bubble shooting saga!

From the makers of Gummy Pop and Bubble Farmer, here comes chilling bubble shooter - Frozen Pop. It’s time for an adventure in snow! Pack your bags, the bus to Frozen Land will leave soon! Match three or more bubbles and pop them in bubble bursting madness. Join Bender the dog and his friends along with their teachers on a school trip and stop the evil Yeti’s devilish plan to ruin the picnic using your bubble shooting skills!

Connect to Facebook and discover thrilling destinations with your friends like the Snow Forest, Rocky Snow Mountains, Winter Carnival and many more. With more than 2000 (and more added every month) bubble bursting levels in the game, we’ll make sure your journey doesn’t end too soon!

Frozen Pop features:

- Burst colorful bubbles by simply matching any 3 of them
- Rescue cute little penguins from the evil Yeti and his partner Howler the Wolf
- Travel frozen places filled with adventure like Valley of Frozen Flowers, Snow Lake & more
- Play as over 6 unique cute characters from Husky to a Reindeer
- Compare your progress with your Facebook friends
- Use amazing powerups like the bomb, lightning ball, & more to clear those challenging levels
- Lots of free rewards to be won daily
- Find different birds and animals in your journey
- Over 2000 free levels with more added every month


Available in English, français, Deutsche, italiano, Español, Português, русский, Tiếng Việt, bahasa Indonesia,  عربى, ไทย, čeština, 简体中文, 中國傳統的, 한국어, 日本語, Türk, Nederlands, dansk, svenska, norsk, Suomalainen.


--------------------------------------------------
Frozen Pop - http://frozenpop.madovergames.com
MadOverGames - http://madovergames.com
Facebook - https://www.facebook.com/madovergames
Twitter - https://twitter.com/madovergames
Youtube - https://www.youtube.com/user/MadovergamesWoW
Google+ - https://google.com/+MadovergamesWoW","[['trip'], ['filled'], ['added', 'every', 'month'], ['clear', 'challenging'], ['levels', 'bursting'], ['bubble', 'pop'], ['shooting', 'bubble'], ['fun', 'popping'], ['cute', 'unique'], [], [], ['thrilling', 'destinations'], ['ready', 'get']]","[['school', 'stop', 'teachers', 'evil'], ['land', 'adventure', 'places', 'snow', ""'s"", 'time', 'adventure'], ['month', 'bubble', 'bursting'], ['ball', 'levels', 'bomb', 'lightning', 'ball'], ['game', 'bubble'], ['bubbles', 'bursting'], ['skills', 'saga', 'chilling', 'bubble', 'shooter'], ['penguins', 'bubble'], ['characters', '6', 'cute', 'little', 'penguins'], ['different', 'animals', 'Use', 'amazing', 'powerups', 'birds'], ['sure', 'picnic', 'ruin', 'journey', 'plan', 'make'], ['friends', 'discover'], ['shiver', 'clothes']]"
Shoot Bubble Land,"Shoot Bubble Classic is an Addictive Game. And our Bubble Shooter is not just that. It is more Simple and Amazing! It is a Single-player Game and No Network Required. Once you start, you will not stop playing. Just have a try, you will find Endless Fun! 

Features:
- Tricky & interesting levels! Hundreds of challenging bubble shooting levels
- Unlimited lives, play whenever you want
- Aim and tap where you want to shoot on the screen
- Match at least 3 bubbles of the same to create blasts
- Everlasting bubble shooting gameplay. Get addicted from first shoot!
- Easy and fun to play, hard to fully master
-Beat difficult levels with the help of powerful bubble boosters","[['shooting', 'bubble'], ['-Beat'], [], ['shoot', 'want']]","[['levels', 'challenging', 'bubble', 'shooting', 'gameplay'], ['fully', 'levels', 'master', 'difficult', 'levels', 'help', 'powerful'], ['create', 'blasts', 'try', 'bubbles', 'find', 'Endless'], ['screen', 'tap', 'start', 'stop', 'playing']]"
Shoot Bottle Lite,"Tapping the screen to shoot as many bottles as you can. You need to avoid shooting the bombs. Gear up for this exciting and addictive game that allows you to experience the pure fun of breaking and shooting. 

Features: 
-15 colorful bottles
-Survival mode
-Time mode
-Fun splash effects
-High quality sound effects
-Game Center leaderboards

http://www.youtube.com/miaosoft 
http://www.facebook.com/Miaosoft 
http://www.twitter.com/miaosoft","[['sound', 'quality'], ['allows', 'experience'], ['-15', 'colorful'], ['mode']]","[['-High', 'effects', 'effects', '-High', 'quality'], ['game', 'pure', 'experience', 'pure', 'fun'], ['bottles', 'Features'], ['-Survival', 'bottles', '-Time']]"
Cube Bubble Shoot Land,"Cube Bubble Shoot Land is an addictive bubble pop game with 130+ puzzles, more levels will be added regularly!
What is more, this bubble shooting game for free!
Features: 
+ easy operation but lots of fun.
+ Gorgeous special effects and beautiful images.
+ Different roles dress
+ Many interesting props to help you pass game quickly
+ A combination of multiple bubbles","[['game'], ['operation', 'easy'], []]","[['shooting', 'bubble', 'Features', 'free'], ['lots', 'Features', 'lots', 'fun', 'Gorgeous'], ['beautiful', 'multiple', 'combination', 'effects', 'images', 'bubbles', 'dress', 'Many', 'interesting']]"
Circle Shoot Lite,"Super addictive time passing arcade game that never ends, stay and easy, tap to the anywhere of screen and shoot. You need to make the dot (player) out of the rotating obstacles, yes this game not an easy to play you need to more concentrate for clear the levels. Every time you will get different types of levels and obstacles. In every successful shoot you get point. let's see how far you can reach?How many points you can get?

919cfb8b5a","[['passing', 'arcade'], ['player'], ['levels', 'types'], ['shoot']]","[['game', 'time', 'time', 'get', 'different'], ['rotating', 'make', 'obstacles', 'dot'], ['different', 'obstacles', 'get', 'different', 'types'], ['successful', 'point', 'every', 'get', 'get', 'point', 'let']]"
Color Shoot Lite,"Color Shoot a very fun and addictive game with hours of entertainment!

Lots of challenging levels to play and see how far can you reach!
Play with online friends!",[],[]
City Mafia Fight Shoot,"City Mafia Fight Shoot!!!
Be ready to fight with mafia gangsters & deadly criminals in full action bursting 3D shooting driving crime simulator fps shooting free game. Shooting sniper free to play open world game breakout battle will let you experience the critical strike of mafia gangster criminal city. 
Features:
- Full action paced fast racing environment
- Multiple quad cars, bikes, buses & trucks
- Awesome view of city
- Advance & realistic graphics
- Great thief cars protagonist action class","[['bikes', 'buses'], ['criminals'], [], ['critical', 'experience'], ['play']]","[['cars', 'trucks'], ['action', 'gangsters', 'full', 'deadly', 'cars', 'protagonist', 'action'], ['driving', 'simulator', 'fast', 'crime', 'environment', 'racing'], ['strike', 'let'], ['world', 'open', 'free', 'sniper', 'shooting', 'free', 'game']]"
Zombie Faction - Survival Land,"Are you ready to survive the zombie apocalypse?

You knew the day would come, and you have been getting ready for this moment. Remember what you have learnt about surviving a zombie disaster and guide your people in this post-apocalyptic adventure.

The world as we know it no longer exists; now it is time to create a new one. It won’t be easy! The zombies are a true plague. They’re not very smart, but they’re everywhere, and they are legion.

Build your own shelter and make it safe. Find survivors and convince them to join you. Together you will be able to improve the shelter and create a new home. Those will be the first steps towards building a new civilization, a new zombie-free world for humans.

But the road to survival is filled with danger. There are no governments, no authorities: anarchy reigns over the world. Survival not only depends on staying away from the zombies, you must also defend your shelter from bandits and thieves. Other survivors have built shelters too, and they see you as a threat. In this post-apocalyptic world, every new settlement that is discovered is considered a threat and treated like a dangerous enemy. Trust is no longer the order of the day – it is an exception.

DEFEAT THE PLAGUE
Lead your squad against the zombie hordes and defeat the undead. Attack their gathering points and collect resources to help your people. Victory in the war against the undead lies in your hands.


FIGHT FOR SURVIVAL
Attack other settlements to survive. Study their defenses, prepare your team, and develop the right strategy to get inside other shelters to steal their resources.

DEFEND WHAT IS YOURS
Train your team to defend your base and configure a defensive system to protect it from the zombies. But do not underestimate survivors! Humans from other settlements will try to plunder your shelter.

RECRUIT SURVIVORS
Find isolated people, and together build a safe place to live, far from zombies and bandits. Assign them roles in the shelter and ask for their help while you leave to collect resources. Turn survivors into heroes in the war against zombies.

NEGOTIATE WITH OTHER SETTLEMENTS
Everyone is an enemy, but it doesn’t have to be that way forever. Contact other refugees and create alliances with them. Building a new world is a tough proposition: you’ll need to negotiate with other shelters to succeed.

BUILD THE BEST SHELTER
The world has come to an end, but that doesn’t mean survivors should live badly. Manage your shelter, improve it to make space for more survivors, add entertainment zones and farming areas. Grow crops, recycle materials, and establish a self-sufficient community.

TAKE THE SURVIVORS INTO THE REAL WORLD

Use the Augmented Reality feature to bring the survivors into the real world. See how they look in the street or in your home, and take a photo with them.


KEY FEATURES:
- Build your shelter from scratch and defend it from zombies and other survivors
- Attack other shelters to get more resources
- Player Vs. Player modes
- Recruit survivors and create a powerful anti-zombie squad
- Chat with other players
- All game modes can be played for free
- Sign in to your Game Center account to save your progress
- Optimized for iPhone 8, iPhone 8 Plus, and iPhone 
- The Augmented Reality feature is exclusive for iOS devices. Compatible with iPhone 7, iPhone 7 Plus, iPhone 8, iPhone 8 Plus, iPad Air (2017), and iPad Pro.

ZOMBIES is a free online game. However, some game items can also be purchased for real money. If you don't want to use this feature, please disable in-app purchases in your device's settings.

IMPORTANT NOTES: 
- This app requires an iPad 4 (or newer), or iPhone 6 (or newer),
- An Internet connection is required to play.
_____________________________________________

Visit our official site at http://codigames.com","[[], [], ['steps', 'first'], ['building', 'new'], ['establish', 'self-sufficient'], ['disaster'], ['right', 'develop'], ['reigns', 'anarchy'], ['world'], ['exclusive', 'iOS'], ['use', 'feature'], ['add', 'entertainment'], ['try', 'plunder'], ['new', 'create'], ['home'], ['shelters', 'resources'], ['collect', 'resources'], ['help'], ['safe'], ['thieves', 'Other'], ['shelter', 'improve'], ['make', 'space'], ['base', 'configure'], ['shelter', 'defend'], ['heroes', 'war'], ['zombies'], [], [], [], []]","[['undead', 'getting', 'lies', 'moment', 'hands', 'ready'], ['danger', 'survival', 'iPhone', 'newer', 'filled', '4'], ['towards', 'Those'], ['civilization', 'towards'], ['materials', 'community', 'crops', 'recycle', 'materials'], ['zombie', 'guide', 'surviving', 'people'], ['strategy', 'team', 'defenses', 'prepare', 'team'], ['authorities', 'world'], ['survivors', 'real', 'know', 'longer', 'zombie-free', 'world', 'humans'], ['feature', 'devices'], ['please', 'want', 'feature', 'bring', 'survivors'], ['zones', 'survivors', 'zones', 'farming', 'areas'], ['shelter', 'settlements'], ['shelter', 'home', 'time', 'create', 'new'], ['photo', 'street', 'look', 'take'], ['steal', 'get', 'resources', 'Turn', 'survivors'], ['leave', 'points', 'help', 'leave', 'collect'], ['ask', 'shelter', 'resources', 'people'], ['shelter', 'make', 'place', 'build'], ['survivors', 'bandits'], ['make', 'able'], ['survivors', 'improve'], ['defend', 'defensive', 'configure', 'defensive', 'system'], ['also', 'bandits', 'shelter', 'scratch', 'defend'], ['survivors', 'zombies', 'Turn', 'survivors', 'heroes'], ['protect', 'The', 'easy', 'system', 'zombies', 'true', 'plague'], ['exception', 'legion', 'day', ""'re"", 'everywhere', 'order'], ['longer', 'exists', 'every', 'know', 'new', 'settlement'], ['play', 'modes', 'played', 'required', 'free', 'connection'], ['account', 'use', ""n't"", 'want', 'progress', 'save']]"
Shoot Matryoshka Lite,"Looking through these images, Do you remember your childhood?
Game Shoot Matryoshka will once again take you back to the memories of those Russian dolls lovely day.
With this type of game shot favorite things, Shoot matryoshka will experience the best in each game screen, The dolls are arranged in a very special location on the screen, requires you to have accurate shooting skills, You have to be very clever to shoot baby dolls to great dolls to complete the game.
Let's explore and have fun together with your day, Be revived feelings in the morning and your foolish with Shoot Matryoshka. What are you waiting for to conquer the most amazing dolls!!! Thank You!","[['accurate'], ['game'], ['arranged', 'special'], ['great', 'dolls']]","[['skills', 'screen', 'shooting', 'requires', 'revived', 'feelings', 'morning'], ['complete', 'experience', 'best', 'dolls'], ['location', 'dolls'], ['baby', 'clever', 'shoot', 'baby']]"
