Jetpack Joyride,"Bullet-powered jetpacks! Giant mechanical dragons! Birds that poop money! Suit up with a selection of the coolest jetpacks ever made and test your skills as legendary action hero Barry Steakfries. Over 500 million players can’t be wrong. Download FREE and start your adventure today!

FEATURES:

* Fly the coolest jetpacks in gaming history
* Dodge lasers, zappers, and guided missiles
* Storm the lab in crazy vehicles and giant mechs
* Earn achievements and battle it out against friends
* Customise your look with ridiculous outfits
* Equip high-tech gadgets and vehicle upgrades
* Complete daring missions to boost your rank
* Test your reflexes with simple one-touch controls

***

This game contains optional in-app purchases. You can disable this feature in the settings menu of your device.
View our privacy policy at http://halfbrick.com/pp
View our terms of service at http://halfbrick.com/tos","[['test', 'made'], [], [], [], ['vehicles'], ['Birds'], ['jetpacks']]","[['skills', 'ever', 'skills', 'legendary', 'action'], ['settings', 'menu', 'contains', 'game', 'device', 'optional'], ['look', 'simple', 'controls', 'outfits', 'ridiculous', 'one-touch'], ['achievements', 'missiles', 'guided', 'zappers', 'battle', 'friends'], ['crazy', 'mechs', 'giant', 'lab', 'start', 'adventure', 'today'], ['money', 'poop', 'dragons', 'mechanical'], ['gaming', 'selection', 'coolest', 'history']]"
My Story: Choose Your Own Path,"Welcome to MY STORY, a game where you choose your own adventure and write your life! Be careful what you choose, though: one choice can change the course of the entire story, so choose wisely!

DECIDE WHAT HAPPENS
Whatever you choose will determine how well you get along with your friends, how popular you are, and who you fall in love with!

CREATE YOUR LOOK
Personalize your character, choose your clothes and hairstyle. Dress to express yourself!

LIVE DIFFERENT LIVES
Experience college drama, be an aspiring movie star, a rich heiress, or a New York socialite! Anything is possible!

Dozens of interesting stories are waiting for you! What's your favorite genre? Romance, comedy, drama, MY STORY has it all!

UNLIMITED TICKETS SUBSCRIPTION
• You can subscribe for unlimited tickets, allowing you to play as many chapters as you like during your subscription period.
• Subscriptions are $2.99 weekly and $7.99 monthly*.
• Payment will be charged to your iTunes account at confirmation of purchase
• Subscription automatically renews unless auto-renew is turned off for at least 24-hours before the end of the current period.
• Account will be charged for renewal within 24-hours prior to the end of the current period, and identify the cost of renewal
• Subscriptions may be managed by the user and auto-renewal may be turned off by going to the user’s Account Settings after purchase.
• You can read our privacy policy and terms of use at http://support.nanobitsoftware.com/privacy.htm
• Purchased subscriptions continue for the duration of the subscription period.
• Any unused portion of a free trial period, if offered, will be forfeited when the user purchases a subscription to that publication, where applicable.
* Prices shown in $USD. Prices may vary by region in accordance with the App Store Pricing Matrix","[['user'], ['cost', 'identify'], ['duration', 'subscription'], ['publication'], [], [], ['movie', 'aspiring'], ['account', 'confirmation'], ['policy', 'privacy'], ['course'], ['adventure']]","[['purchases', 'forfeited', 'managed', 'auto-renewal'], ['period', 'renewal', 'end', 'current', 'period'], ['continue', 'period', 'subscriptions', 'continue', 'duration'], ['Prices', 'purchases', 'applicable', 'subscription'], ['tickets', 'accordance', 'vary', 'region', 'unlimited', 'subscribe'], ['love', 'free', 'trial', 'portion', 'fall', 'popular'], ['drama', 'star', 'play', 'many', 'chapters'], ['iTunes', 'purchase'], ['read', 'terms'], ['entire', 'story', 'change', 'choice'], ['write', 'life', 'game', 'choose', 'character', 'choose', 'clothes']]"
Texas Holdem Offline Poker,"Offline Poker at its best!

* Offline Play - play anytime, anywhere
* Beginner friendly - fun and easy, with advice on the earlier levels of play
* Advanced AI - advanced computer opponents if you are up for it
* Gorgeous HD graphics and slick, fast gameplay
* 5 different levels of play (higher difficulty tables have higher stakes)
* Realistic sounds, and smooth animations

*** Note about the AIs (Artificial Intelligences) ***
Please note that the cards are drawn completely randomly and nothing is done to give the AIs any unfair advantage.

That said, the AIs are pretty good.  To test the AIs I had them play online on real money multiplayer tables and they could hold their own.","[['levels'], ['difficulty', 'higher'], [], ['sounds']]","[['play', '5', 'different', 'higher'], ['tables', 'play', 'money', 'multiplayer', 'tables'], ['give', 'advice', 'fun', 'done', 'easy', 'nothing'], ['Realistic', 'stakes', 'smooth', 'animations', 'advanced', 'computer', 'opponents']]"
Parking Frenzy 2.0: Drive&park,"Parking Frenzy brings the ultimate drive ‘n’ park experience! 

Get ready for hours of gameplay with 200+ levels, backed with 4 different weather situations: Autumn, Winter, Rain and Fog! Crazy huh? We’re not done just yet! 
Parking Frenzy 2.0 offers driving in 50 different, gorgeously designed cars, around two of the most beautiful cities in the world - New York City and London!

Are you skilled enough to master the parking process? Will you be able to control your ride through realistic driving physics, and navigate it smoothly and precisely into the tiny parking spots?

Let’s see what you’ve got! Download Parking Frenzy 2.0 now and start playing!

FEATURES
- 200+ levels 
- Real life driving experience
- Two types of controls – Tilt or Steering wheel
- 50 gorgeous car designs
- Customize your car!
- Daily bonus spin wheel
- Absolutely FREE

ABOUT US
Games2win is a multi million installs company which has gained over 140+ million users.
We believe that apps are for everyone. Our company has launched over 800 games, available both on PC and mobile. Some of our smash hits are Parking Frenzy, Driving Academy 2018 Simulator, Fashion Diva, Power Cricket T20 and High School Car Driving Test. 

VISIT US: http://games2win.com
LIKE US: http://facebook.com/Games2win
FOLLOW US: http://twitter.com/Games2win

We care about your opinion! If you have any for any problem with Parking Frenzy please contact us at mobile@games2win.com 

Privacy Policy: http://www.games2win.com/corporate/privacy-policy.asp","[['car', 'gorgeous'], ['different', 'weather'], ['realistic', 'ride'], [], [], []]","[['designs', '50'], ['situations', '4'], ['control', 'driving', 'realistic', 'driving', 'physics'], ['available', 'smash', 'hits', 'Some', 'PC', 'games'], ['gorgeously', 'beautiful', 'cars', 'two', 'designed', 'cities'], ['process', 'brings', 'drive', 'master', 'ultimate', 'parking']]"
Redline Rush,"From the creators of Offroad Legends, the next generation of endless racers is here! 

""Imagine Burnout and Temple Run had a baby, and you’ll have a good idea of what this game is all about."" -Supergamedroid

""It's a big heap of brainless, petrol-laced fun"" - PocketGamer.co.uk

Jump into a super sports car and test your driving skills in this high speed driving game where you have to weave through traffic to escape the police. Avoid crashes, take down traffic cars, pick up power-ups and walk to the top of the leaderboard! This game will challenge even the most skilled arcade racing fans.


Features:
- Breathtaking visuals
- 10+10 sports cars
- 3 amazing tracks
- Epic crashes
- Challenge your friends
- GameCenter integration


Join the Chase! Welcome to Redline Rush!","[['cars'], ['walk'], ['test', 'car'], ['speed'], ['game', 'weave'], ['traffic', 'escape']]","[['power-ups', 'traffic', 'take', 'pick'], ['top', 'power-ups', 'leaderboard', 'pick'], ['driving', 'sports', 'super', 'sports', 'car'], ['high', 'skills', 'game', 'driving', 'test', 'driving', 'skills'], ['traffic', 'driving'], ['police', 'weave']]"
Multi Level 5 Airport Driver,"Drive around a big, open environment near a realistic Airport! Discover a race track, an off-road area, a runway perfect for drifting and more! Now updated with new cars and levels!

Game features:
- Realistic airport environment
- Lots of surprises to discover
- 20 awesome cars
- 100 exciting missions
- Realistic traffic

Multi Level 5 Airport Driver is a game for every true car & racing enthusiast out there!

Drifting an airport bus on a runway? That’s only one of the exciting things awaiting you here! Dive into a huge location with lots of cool stuff to do, discover a race track, an off-road area and more!

During your time with the game you will drive amazing Sports Sars, SUVs, Luxury Limousines, Supercars, 4x4s and Airport Busses! Push them to their limits and see what you can squeeze out of them!

The huge Airport location is filled with details and exciting areas to find. There are loads of car parks and hotels in close vicinity. If you venture a little bit further, you will discover an international Race Track with an off-road area for the craziest exploits.

Want to drive safely and responsibly? Sure, that’s one of the ways to tackle the task. But you can also go wild, showing your inner automobile maniac, doing things not possible in the real world.

It’s all up to you!","[['new', 'cars'], ['car', 'parks'], ['exploits'], ['track'], ['exciting'], ['stuff', 'cool'], ['location'], [], []]","[['updated', 'levels', '20', 'awesome', 'cars'], ['loads', 'hotels', 'every', 'true', 'car'], ['drive', 'craziest', 'Want', 'area', 'time', 'game', 'drive'], ['off-road', 'race', 'discover', 'area'], ['things', 'one', 'details', 'areas', '100', 'exciting', 'missions'], ['lots', 'discover'], ['lots', 'huge', 'details', 'filled'], ['little', 'maniac', 'things', 'venture', 'automobile', 'bit'], ['task', 'ways', 'bus', 'runway', 'airport', 'tackle']]"
Highway Hei$t – high speed crime rider,"100% pure racing action – Smash and hijack the money truck at high speed! 
Stunning graphics, high speed racing, and awesome game-play all packed into one thrilling game experience!

RACING & CRIME
A lifestyle of crime meets high speed racing! Strap on your belt and supercharge your nitro racing car and hit the highway for some hard core racing action.

ONE TOUCH
A game that combined realistic feel with simple one touch controls suitable for mobile & tablet style game-play.

CARS
Choose from multiple cars including cool armor and spoiler upgrades to improve the success of your next big heist.

ARMOUR
Mix the need for speed with the need for strength by upgrading your cars armour. Having a well armoured car will help you take down the money truck quicker and more effective.

REAL TRAFFIC
Maneuver your car through the realistic daily traffic as your prepare to take down the money truck and complete your highway heist.

AWESOME GRAPHICS
Smooth detailed 3D graphics optimized for mobile phones and tablets will stun you and give you the sensation true speed.","[['realistic', 'combined'], ['car', 'armoured'], ['money', 'truck'], ['money', 'take'], ['awesome', 'racing'], ['action', 'racing'], ['upgrades'], ['including', 'cool'], ['strength'], ['meets'], ['stun', 'give'], ['speed', 'graphics'], ['mobile', 'optimized'], []]","[['feel', 'game', 'thrilling', 'game', 'experience'], ['well', 'help'], ['hijack', 'take', 'truck', 'high', 'speed'], ['help', 'prepare'], ['game-play', 'speed'], ['core', 'pure'], ['armor', 'spoiler', 'success', 'improve'], ['armor', 'cars'], ['need', 'cars', 'upgrading', 'speed'], ['high', 'speed', 'lifestyle', 'crime'], ['tablets', 'sensation', 'sensation', 'true', 'speed'], ['high', 'Stunning'], ['phones', 'graphics', 'mobile', 'phones', 'tablets'], ['game-play', 'style', 'tablet', 'controls', 'touch', 'suitable']]"
Monster Truck Go-Racing Games,"Monster Truck Go-Racing Games is one of the most fun and challenging race free games. It is easy to control for family kids adults teens boys and girls. 

Use power-ups, hit jumps and speed through shortcuts as you jostle for position with the cast of moto racing Featuring multiplayer racing, incredible visuals and amazing tracks from across the world, monster racing brings console quality arcade racing to your iPhone, iPad or iPod! 

Key Features 
> Simple controls & Realistic bike physics. 
> Race with the shadow racers. 
> RETINA DISPLAY support for iPad and iPhone! 
> Earn stars to unlock new bike. 
> 4 addictive worlds. 
> 48 challenging tracks. 
> Touch to accelerate, tilt to lean the moto & bike. 
> Upgradeable vehicles. 
> Cool graphics and smooth physics simulation.","[['Touch', '>'], ['jumps', 'hit'], ['shortcuts', 'jostle'], ['moto'], ['iPad', 'iPhone'], ['racing', 'incredible'], ['brings'], ['boys', 'teens'], ['kids', 'adults'], ['race'], ['Realistic', 'bike'], ['smooth', 'physics']]","[['tracks', 'accelerate', 'visuals', 'amazing', 'tracks'], ['power-ups', 'speed'], ['position', 'speed'], ['cast', 'Featuring', 'racing', 'position'], ['support', 'racing', 'iPhone', 'iPad', 'iPod'], ['visuals', 'multiplayer'], ['quality', 'racing', 'console', 'monster'], ['girls', 'adults'], ['teens', 'family', 'control', 'family', 'kids'], ['fun', 'games', 'challenging', 'free'], ['physics', 'controls'], ['simulation', 'graphics']]"
Bitcoin Free,"This is a simple free game which gives you real, free bitcoin every hour!
this is the highest paying free bitcoin app available.

It's really simple to use - just enter your bitcoin wallet address and press a button and we'll give you your first free bitcoins :) ..

.. not only that but you can claim more from us EVERY HOUR!

Then every week we pay out all users with a registered bitcoin wallet address and a balance of at least 20,000 satoshi.

There is no gambling in this app, as there is nothing to spend money on. It's just a free game, that gives away free bitcoin.
Apple is not a sponsor and is not involved in any way with our rewards and give-aways.
We reserve the right to deny payouts to any users suspected of fraudulent activity.","[['rewards', 'way'], ['press', 'address'], ['wallet', 'address'], ['bitcoin', 'enter'], ['registered', 'bitcoin'], ['game'], ['deny', 'payouts'], ['suspected', 'fraudulent'], ['nothing']]","[['involved', 'give-aways', 'sponsor', 'involved', 'way'], ['wallet', 'button'], ['balance', 'bitcoin'], ['wallet', 'use'], ['wallet', 'users'], ['real', ""'s"", 'free', 'gives', 'paying', 'free', 'bitcoin'], ['right', 'users', 'reserve', 'right', 'deny'], ['users', 'activity', 'week', 'pay', 'users'], ['money', 'app', 'spend', 'gambling']]"
Texas Holdem Offline Poker - Multiplayer,"Offline Poker at its best!

* Offline Play - play anytime, anywhere
* Fast Fold - fold your cards and jump right to the next hand
* 114 Unique Offline Opponents
* Advanced AI - advanced computer opponents at higher levels
* Gorgeous HD graphics and slick, fast gameplay
* 5 Different Arenas of Play (higher difficulty tables have higher stakes and more difficult opponents)
* Realistic sounds, and smooth animations

*** Note about the AIs (Artificial Intelligences) ***
Please note that the cards are drawn completely randomly and nothing is done to give the AIs any unfair advantage.

That said, the AIs are pretty good.  To test the AIs I had them play online on real money multiplayer tables and they could hold their own.","[['tables'], ['sounds'], ['opponents'], []]","[['difficulty', 'multiplayer', 'higher', 'money'], ['Realistic', 'opponents', 'smooth', 'animations'], ['levels', 'stakes', 'difficult', 'higher', 'advanced', 'computer', 'opponents'], ['nothing', 'give', 'jump', 'fold', 'done', 'cards']]"
