Jetpack Joyride,"Bullet-powered jetpacks! Giant mechanical dragons! Birds that poop money! Suit up with a selection of the coolest jetpacks ever made and test your skills as legendary action hero Barry Steakfries. Over 500 million players can’t be wrong. Download FREE and start your adventure today!

FEATURES:

* Fly the coolest jetpacks in gaming history
* Dodge lasers, zappers, and guided missiles
* Storm the lab in crazy vehicles and giant mechs
* Earn achievements and battle it out against friends
* Customise your look with ridiculous outfits
* Equip high-tech gadgets and vehicle upgrades
* Complete daring missions to boost your rank
* Test your reflexes with simple one-touch controls

***

This game contains optional in-app purchases. You can disable this feature in the settings menu of your device.
View our privacy policy at http://halfbrick.com/pp
View our terms of service at http://halfbrick.com/tos","[['test', 'made'], [], [], [], ['vehicles'], ['Birds'], ['jetpacks']]","[['skills', 'ever', 'skills', 'legendary', 'action'], ['simple', 'controls', 'one-touch', 'start', 'adventure', 'today'], ['missiles', 'look', 'guided', 'outfits', 'zappers', 'ridiculous'], ['achievements', 'settings', 'menu', 'battle', 'device', 'friends'], ['giant', 'mechs', 'crazy', 'lab', 'game', 'contains', 'optional'], ['money', 'poop', 'dragons', 'mechanical'], ['gaming', 'selection', 'coolest', 'history']]"
My Story: Choose Your Own Path,"Welcome to MY STORY, a game where you choose your own adventure and write your life! Be careful what you choose, though: one choice can change the course of the entire story, so choose wisely!

DECIDE WHAT HAPPENS
Whatever you choose will determine how well you get along with your friends, how popular you are, and who you fall in love with!

CREATE YOUR LOOK
Personalize your character, choose your clothes and hairstyle. Dress to express yourself!

LIVE DIFFERENT LIVES
Experience college drama, be an aspiring movie star, a rich heiress, or a New York socialite! Anything is possible!

Dozens of interesting stories are waiting for you! What's your favorite genre? Romance, comedy, drama, MY STORY has it all!

UNLIMITED TICKETS SUBSCRIPTION
• You can subscribe for unlimited tickets, allowing you to play as many chapters as you like during your subscription period.
• Subscriptions are $2.99 weekly and $7.99 monthly*.
• Payment will be charged to your iTunes account at confirmation of purchase
• Subscription automatically renews unless auto-renew is turned off for at least 24-hours before the end of the current period.
• Account will be charged for renewal within 24-hours prior to the end of the current period, and identify the cost of renewal
• Subscriptions may be managed by the user and auto-renewal may be turned off by going to the user’s Account Settings after purchase.
• You can read our privacy policy and terms of use at http://support.nanobitsoftware.com/privacy.htm
• Purchased subscriptions continue for the duration of the subscription period.
• Any unused portion of a free trial period, if offered, will be forfeited when the user purchases a subscription to that publication, where applicable.
* Prices shown in $USD. Prices may vary by region in accordance with the App Store Pricing Matrix","[['user'], ['cost', 'identify'], ['duration', 'subscription'], ['publication'], [], [], ['account', 'confirmation'], ['policy', 'privacy'], ['movie', 'aspiring'], ['course'], ['choose']]","[['purchases', 'forfeited', 'managed', 'auto-renewal'], ['period', 'renewal', 'end', 'current', 'period'], ['continue', 'period', 'subscriptions', 'continue', 'duration'], ['Prices', 'purchases', 'applicable', 'subscription'], ['tickets', 'subscribe', 'unlimited', 'free', 'trial', 'portion'], ['love', 'accordance', 'region', 'vary', 'fall', 'popular'], ['iTunes', 'purchase', 'play', 'many', 'chapters'], ['read', 'terms'], ['drama', 'star'], ['entire', 'story', 'change', 'choice'], ['game', 'character', 'adventure', 'clothes', 'adventure', 'write', 'life']]"
Texas Holdem Offline Poker,"Offline Poker at its best!

* Offline Play - play anytime, anywhere
* Beginner friendly - fun and easy, with advice on the earlier levels of play
* Advanced AI - advanced computer opponents if you are up for it
* Gorgeous HD graphics and slick, fast gameplay
* 5 different levels of play (higher difficulty tables have higher stakes)
* Realistic sounds, and smooth animations

*** Note about the AIs (Artificial Intelligences) ***
Please note that the cards are drawn completely randomly and nothing is done to give the AIs any unfair advantage.

That said, the AIs are pretty good.  To test the AIs I had them play online on real money multiplayer tables and they could hold their own.","[['levels'], ['difficulty', 'higher'], [], ['sounds']]","[['play', '5', 'different', 'higher'], ['tables', 'play', 'money', 'multiplayer', 'tables'], ['give', 'computer', 'done', 'nothing', 'advanced', 'opponents'], ['Realistic', 'stakes', 'smooth', 'animations', 'fun', 'easy', 'advice']]"
Motor Authority,"""Easily one of the best sources out there for car news...""
""Weeks ahead of the popular automotive magazines...""
""Love this app. I'm a huge car guy and this is perfect…""

PRESS QUOTES:
""Car enthusiasts should be pleased at the amount of information included in the app."" - PC Magazine

Motor Authority’s sleek car news app for both iPad and iPhone delivers up-to-the-minute luxury and performance car news, exclusive first drive reports and automotive analysis from a team of editors and contributors from around the world, around the clock.

Car enthusiasts writing for car enthusiasts.  The best car news source on the planet.

FEATURES:
- Get the very latest stories at a glance with our infinitely scrolling and photo-rich home screen. 
- Tap your way through breaking news, road tests, photo galleries and features of all your favorite cars. 
- Browse sections--from First Drives and Spy Shots to Concept Cars, Racing and Auto Show coverage--with the touch of your fingertips.
- Bookmark stories you like and return to them later -- then easily share your favorites on Facebook, Twitter or by email.
- Search for topics you care about using our app search and save those searches as your own personal 'sections' you can check daily. 
- Take in beautiful hi-res car photos, behind-the-wheel video first drives, and live on-site reporting from some of the world’s most exclusive automotive events.

CONNECT WITH US TODAY:
◆ Email us: feedback@highgearmedia.com
◆ Facebook: http://www.facebook.com/MotorAuthority
◆ Twitter: http://twitter.com/motorauthority
◆ Google Plus: https://plus.google.com/+Motorauthority1/
◆ Get our daily email newsletter:  http://eepurl.com/bawRg","[['favorite', 'features'], ['amount', 'pleased'], ['delivers', 'up-to-the-minute'], ['iPad', 'app'], ['news', 'breaking'], ['tests'], ['sources'], ['photos'], ['source', 'news'], ['performance', 'car'], ['car'], [], ['searches'], ['reports']]","[['cars', 'galleries'], ['information', 'enthusiasts'], ['iPhone', 'luxury'], ['news', 'iPhone', 'information', 'included', 'app'], ['road', 'way'], ['news', 'galleries', 'road', 'photo'], ['car', 'one', 'best', 'news'], ['behind-the-wheel', 'car', 'hi-res', 'video'], ['planet', 'car'], ['news', 'luxury'], ['news', 'app', 'The', 'best'], ['beautiful', 'hi-res', 'Take', 'home', 'scrolling', 'photo-rich'], ['personal', 'search', 'save', ""'sections""], ['automotive', 'drive', 'analysis', 'first', 'analysis', 'team', 'editors']]"
High Roller Slot Machines,"Win tons of coins and become a high roller with High Roller Slot Machines!

High Roller Slot Machines is a new Vegas style casino app where you can play amazing video slots anytime anywhere! 

This game brings Las Vegas excitement into the palm of your hand!

You'll have a blast playing for big payouts!

Download this awesome slot machine game right now!","[['machine', 'game'], ['amazing', 'video'], []]","[['slot', 'right'], ['slots', 'play', 'casino', 'app', 'play'], ['payouts', 'big', 'coins', 'tons', 'become', 'playing']]"
Parking Frenzy 2.0: Drive&park,"Parking Frenzy brings the ultimate drive ‘n’ park experience! 

Get ready for hours of gameplay with 200+ levels, backed with 4 different weather situations: Autumn, Winter, Rain and Fog! Crazy huh? We’re not done just yet! 
Parking Frenzy 2.0 offers driving in 50 different, gorgeously designed cars, around two of the most beautiful cities in the world - New York City and London!

Are you skilled enough to master the parking process? Will you be able to control your ride through realistic driving physics, and navigate it smoothly and precisely into the tiny parking spots?

Let’s see what you’ve got! Download Parking Frenzy 2.0 now and start playing!

FEATURES
- 200+ levels 
- Real life driving experience
- Two types of controls – Tilt or Steering wheel
- 50 gorgeous car designs
- Customize your car!
- Daily bonus spin wheel
- Absolutely FREE

ABOUT US
Games2win is a multi million installs company which has gained over 140+ million users.
We believe that apps are for everyone. Our company has launched over 800 games, available both on PC and mobile. Some of our smash hits are Parking Frenzy, Driving Academy 2018 Simulator, Fashion Diva, Power Cricket T20 and High School Car Driving Test. 

VISIT US: http://games2win.com
LIKE US: http://facebook.com/Games2win
FOLLOW US: http://twitter.com/Games2win

We care about your opinion! If you have any for any problem with Parking Frenzy please contact us at mobile@games2win.com 

Privacy Policy: http://www.games2win.com/corporate/privacy-policy.asp","[['car', 'gorgeous'], ['different', 'weather'], ['realistic', 'ride'], [], [], []]","[['designs', '50'], ['situations', '4'], ['control', 'driving', 'realistic', 'driving', 'physics'], ['available', 'beautiful', 'two', 'PC', 'games', 'cities'], ['gorgeously', 'brings', 'drive', 'ultimate', 'cars', 'designed'], ['smash', 'hits', 'process', 'Some', 'master', 'parking']]"
High Jump Platform,Addictive and simple arcade game that challenges your reflexes.,[],[]
Monster Truck Go-Racing Games,"Monster Truck Go-Racing Games is one of the most fun and challenging race free games. It is easy to control for family kids adults teens boys and girls. 

Use power-ups, hit jumps and speed through shortcuts as you jostle for position with the cast of moto racing Featuring multiplayer racing, incredible visuals and amazing tracks from across the world, monster racing brings console quality arcade racing to your iPhone, iPad or iPod! 

Key Features 
> Simple controls & Realistic bike physics. 
> Race with the shadow racers. 
> RETINA DISPLAY support for iPad and iPhone! 
> Earn stars to unlock new bike. 
> 4 addictive worlds. 
> 48 challenging tracks. 
> Touch to accelerate, tilt to lean the moto & bike. 
> Upgradeable vehicles. 
> Cool graphics and smooth physics simulation.","[['Touch', '>'], ['jumps', 'hit'], ['shortcuts', 'jostle'], ['moto'], ['iPad', 'iPhone'], ['racing', 'incredible'], ['brings'], ['kids', 'family'], ['teens', 'adults'], ['race'], ['Realistic', 'bike'], ['smooth', 'physics']]","[['tracks', 'accelerate', 'visuals', 'amazing', 'tracks'], ['power-ups', 'speed'], ['position', 'speed'], ['cast', 'Featuring', 'racing', 'position'], ['support', 'racing', 'iPhone', 'iPad', 'iPod'], ['visuals', 'multiplayer'], ['quality', 'racing', 'console', 'monster'], ['control', 'adults'], ['boys', 'kids', 'teens', 'boys', 'girls'], ['fun', 'games', 'challenging', 'free'], ['physics', 'controls'], ['simulation', 'graphics']]"
Jr. First Time Plane Flight : The Biplane Sky High Adventure - Premium,"In this Premium Edition:
- NO ADS EVER

CHANTIER FAMILY love flying planes except the JUNIOR but after a few months of training he is also ready to fly with his family today.

IT'S SO SIMPLE...

- Avoid crashing with other planes
- Tap on gas to go up

DOWNLOAD Jr. First Time Plane Flight PREMIUM EDITION!

100% COMPLETE GAME - YOU WILL NEVER HAVE TO PAY AGAIN, EVEN WHEN UPDATED

Join The Chantier Family at: family@craquespotes.com",[],[]
Texas Holdem Offline Poker - Multiplayer,"Offline Poker at its best!

* Offline Play - play anytime, anywhere
* Fast Fold - fold your cards and jump right to the next hand
* 114 Unique Offline Opponents
* Advanced AI - advanced computer opponents at higher levels
* Gorgeous HD graphics and slick, fast gameplay
* 5 Different Arenas of Play (higher difficulty tables have higher stakes and more difficult opponents)
* Realistic sounds, and smooth animations

*** Note about the AIs (Artificial Intelligences) ***
Please note that the cards are drawn completely randomly and nothing is done to give the AIs any unfair advantage.

That said, the AIs are pretty good.  To test the AIs I had them play online on real money multiplayer tables and they could hold their own.","[['tables'], ['sounds'], ['opponents'], []]","[['difficulty', 'multiplayer', 'higher', 'money'], ['Realistic', 'opponents', 'smooth', 'animations'], ['levels', 'stakes', 'difficult', 'higher', 'advanced', 'computer', 'opponents'], ['nothing', 'give', 'jump', 'fold', 'done', 'cards']]"
