schoolGO,"schoolGO is a full-featured mobile app for a teacher, school, or school district. The district, school and each teacher have complete control over all content, links and features. Parents and students can connect to any teacher, school or district personnel and receive notifications, eMail and messages. Have your child's school at your fingertips with schoolGO!

Some of schoolGO's Features:

- Customized Content
- Ease of Use
- File Library
- Push Messaging
- Teacher Websites
- Parent Sign Ups
- Multi-Lingual
- Affordable
- App Pass
- And Much, Much More!

If your school's teacher is not using schoolGO and you would like to see what schoolGO looks like, tap the ""Open Sample District"" button at startup. Please contact us for information about using schoolGO at your school!

If you are a classroom teacher, get your schoolGO Free account at schoolgoapp.com. Just sign up and you'll be connected to your students' parents like never before!","[['messages'], ['using', 'schoolGO'], ['schoolGO'], ['school', 'district'], ['connect', 'teacher'], ['Parents', 'features']]","[['notifications', 'eMail', 'Have', 'child', 'personnel', 'receive', 'notifications'], ['school', 'teacher'], ['Some', 'teacher', 'get'], ['personnel'], ['students', 'school', 'app', 'teacher', 'school'], ['students', 'links', 'control', 'content', 'links']]"
School Go,"SchoolGo helps both schools and parents track the safety of the students during their school bus trip. We aim to provide the best service that will help the bus driver to be in contact with the school and parents at all times ensuring the children’s safety.


Our mission is to provide safe trips for all the children in schools worldwide.

For Parents

•	You will get notification 15 minutes before bus arrival.
•	You can track the bus movement knowing exactly when it will reach the desired destination.
•	Get notification when the kids reaches the school
•	At the end of the school day, you will get a notification when the children are boarded on the bus for the return trip.
•	You can inform the school about the student absence","[['notification', 'get'], ['school', 'student'], ['times'], ['trips', 'children'], ['school', 'contact'], ['students', 'safety'], ['bus', 'trip'], ['bus', 'boarded']]","[['day', 'children', 'exactly', 'reach', 'desired'], ['inform', 'absence'], ['school', 'ensuring', 'parents', 'children'], ['schools', 'safe', 'helps', 'schools', 'parents'], ['driver', 'parents', 'help', 'bus', 'driver'], ['track', 'school', 'students', 'school', 'bus'], ['school', 'return'], ['return', 'children']]"
英语-Go to school②,由拓天教育开发，基于拓天教育魔方情景英语课程而研发的配套课后练习与延伸内容。当前内容适用于对应单元的第四课时完成后，一部分是与纸质幼儿用书一致的游戏，另一部分为话题相关拓展内容。,[],[]
Late to go to school 2,"Oops, it's late for school again!
Wake up in the morning, found that school is late, you rushed to school, saw the teacher standing in the door, you have to find ways to avoid the teacher into school, come on!

Climb in from the dog hole? Turned in from the wall? Or go directly to open the door.
All you have to do is try your best to get into school and avoid being discovered by your teacher.","[['door'], ['school', 'rushed'], ['school'], ['avoid', 'teacher']]","[['standing', 'ways', 'find', 'teacher', 'hole', 'Turned', 'wall'], ['late', 'saw'], ['saw', 'teacher', 'best', 'get'], ['ways', 'school', 'get', 'school', 'avoid']]"
英语-Go to school①,由拓天教育开发，基于拓天教育魔方情景英语课程而研发的配套课后练习与延伸内容。当前内容适用于对应单元的第二课时完成后，一部分是与纸质幼儿用书一致的游戏，另一部分为话题相关拓展内容。,[],[]
Baby Twins go School －Kids Care,"It's hard work caring!Take care of the cutest baby twins to go shcool!
Today they mother can not take care of the two twins baby at the same time.so you can help her.
Help them prepare everything for school.
You'll get to wake them up, wash them, feed them and many more things.
It needs your special love and patience!then choose from many different outfits, such as dresses, hats, and prepare their school bag.
Wait for the school bus,don't miss it!","[[], ['feed'], ['baby', 'cutest'], ['dresses', 'outfits'], ['school', 'prepare']]","[['hard', ""'s"", 'many', 'work', 'patience', 'choose'], ['wash', 'many', 'wake', 'things', 'needs', 'special', 'love'], ['twins', 'care', 'twins', 'baby', 'time'], ['different', 'hats'], ['everything', 'hats', 'prepare', 'school', 'bag']]"
Bible App for Kids,"The Bible App for Kids is the newest member of the YouVersion family of apps. Available now for iPhone, iPad, and iPod touch, the Bible App for Kids is always completely free!

Through interactive adventures and beautiful animations, kids explore the big stories of the Bible. The Bible App for Kids is a delight-filled experience designed to encourage kids to return again and again. It’s the beginning of a lifelong love of God’s Word.

• Easy, kid-friendly navigation
• Colorful illustrations
• Touch-activated animations
• Engaging, interactive content that brings the Bible to life
• Fun facts and activities designed to help kids remember what they learn
• Special challenges that let kids earn rewards

LifeChurch.tv Web Site: https://www.bible.com
Bible Support: http://support.youversion.com

From YouVersion in partnership with OneHope.

CONNECT WITH YOUVERSION
• Like us on Facebook: http://facebook.com/youversion
• Follow us on Twitter: http://twitter.com/youversion
• Catch up on the latest on our blog: http://blog.youversion.com
• Use YouVersion online: http://bible.com","[['iPad', 'iPod'], ['beautiful', 'animations'], ['encourage', 'designed'], ['designed', 'help'], ['kids'], []]","[['touch', 'iPhone'], ['kids', 'adventures', 'illustrations', 'Touch-activated', 'animations'], ['kids', 'experience'], ['activities', 'kids'], ['challenges', 'earn', 'rewards', 'let', 'kids', 'remember', 'learn'], ['life', 'Bible', 'love', 'beginning', 'brings', 'lifelong']]"
GO SCHOOL,"Thank you for downloading our mobile application! App users will receive exclusive messages and timely notifications regarding emergencies, schedule changes, early release, testing dates, sporting events, theater performances, fundraisers and more! Easily access our generous group of sponsors or become a sponsor and support our school. Easily access campus information, events calendar, social media, campus map, image galleries and more. Students can request a counseling office pass and view their class grades directly from their mobile device. Parents can access tax credit info,  lunch accounts,  student grades and much more!   Please share our app!","[['receive', 'exclusive'], ['emergencies', 'schedule'], ['notifications'], ['class', 'view'], ['office', 'pass'], ['information', 'campus'], ['map', 'image'], ['calendar', 'social'], ['sporting', 'events'], ['generous', 'group'], ['accounts', 'student'], ['credit', 'tax'], ['info', 'lunch']]","[['messages', 'users'], ['regarding', 'changes'], ['emergencies', 'timely', 'regarding', 'messages'], ['grades', 'pass'], ['counseling', 'view'], ['access', 'events'], ['galleries', 'campus'], ['media', 'events'], ['dates', 'theater', 'release', 'testing', 'dates'], ['access', 'sponsors', 'sponsors', 'become', 'sponsor'], ['lunch', 'grades'], ['info', 'access'], ['credit', 'accounts']]"
Sharon Community School,"The official app for the Sharon Community School allows users direct access to the most recent news, announcements and event calendars. Customize the app to display information relevant to a specific campus and to receive important notifications from the district. Users may also access the directory of district faculty and staff, view dining menus, find the location of district events, contact campuses and departments, follow athletic scores and updates, and much more.","[['information', 'display'], ['contact', 'campuses'], ['athletic', 'follow'], ['news', 'recent'], ['announcements', 'event'], [], ['faculty', 'staff'], ['location', 'district']]","[['app', 'relevant', 'The', 'official', 'app'], ['events', 'departments'], ['departments', 'scores'], ['access', 'announcements'], ['news', 'calendars'], ['users', 'district', 'direct', 'access', 'notifications', 'Users', 'access', 'directory', 'district'], ['district', 'view'], ['find', 'events', 'menus', 'find', 'location']]"
PhilGo!,"O Mobile App PhilGo! é a ferramenta que a Phil Young’s English School oferece para você expandir o seu aprendizado e prática da língua inglesa.
O app é projetado para atender às suas necessidades em tempo real, de forma dinâmica e versátil.

Junte-se à nossa comunidade de estudantes e descubra como o PhilGo! muda a maneira de aprender Inglês. 
Você trabalha com clientes que falam inglês? Vai fazer o TOEFL? Vai viajar? 
PhilGo! funciona no seu computador, tablet e smartphone. O progresso será sincronizado e atualizado em todos esses dispositivos.

Como funciona 

Esta é uma alternativa para estudar com conteúdos sempre atualizados: entrevistas, notícias sobre entretenimento, negócios, política, esportes, matérias sobre finanças, entre muitos outros temas e conversas, além de vídeos reais que refletem as atividades diárias que os nossos alunos vivienciam todos os dias.

O aplicativo PhilGo! oferece aos estudantes acesso ilimitado 24/7, além de monitorar o progresso em tempo real.

Mais informações:

Acesse: philgo.philyoung.com.br
Ou escreva para o email: philgo@philyoung.com","[['estudantes'], ['conte', 'dos'], ['atualizados', 'sempre'], ['atender', 'suas'], ['projetado', 'para'], ['email', 'para'], ['philyoung', 'com'], ['com', 'estudar'], ['tica', 'pol'], ['pr', 'tica'], ['em', 'atualizado'], ['seu', 'computador'], ['expandir', 'voc'], ['seu', 'aprendizado'], ['e', 'mica'], ['outros', 'temas'], ['vivienciam', 'todos'], ['atividades', 'di'], ['rias', 'mat'], ['que'], ['entre', 'finan'], ['cias', 'sobre']]","[['oferece', 'acesso', 'aos', 'ilimitado'], ['sempre', 'com'], ['dos', 'entrevistas'], ['necessidades', 'para'], ['atender', 'app'], ['escreva', 'philgo'], ['br', 'philgo'], ['conte', 'para', 'alternativa', 'para', 'estudar'], ['cios', 'esportes'], ['e', 'da', 'tica', 'da', 'l'], ['e', 'todos', 'sincronizado', 'e', 'atualizado'], ['funciona', 'tablet'], ['seu', 'para'], ['expandir', 'e', 'aprendizado', 'e', 'pr'], ['din', 'vers'], ['muitos', 'e', 'temas', 'e', 'conversas'], ['alunos', 'os', 'os', 'nossos', 'alunos'], ['refletem', 'rias'], ['esportes', 'sobre'], ['com', 'rias', 'os', 'clientes'], ['muitos', 'sobre'], ['entretenimento', 'entrevistas', 'entretenimento', 'neg', 'cios']]"
