take truck tmrw water non-perishable least can,Y
fascinante vid o en dun r sident qui fuit hier soir,N
in case need heart melt hard time,N
run just run never make back house didnt grab anything,N
airport moment ago,N
happy learn person r safe sound now pray wildlife pet catle left behind,N
cant even imagine grab can carry leave home know wed come back,N
when exploit mother earth,N
a link airport webcam,Y
ill charity livestream tomorrow proceed will go directly red cross support,Y
military enroute,N
the silent auction proceed tomorrow game go help mcmurry thank st loui,Y
modis fire detection map show general burn area direction red newer,Y
asst comm marlin degrand rcmp bc sk mb help effort still police home biz,Y
cell phone ship telus st responder,Y
take moment help affect txt redcross donate now,Y
provincial official arent sure cause yet investigate whether human cause vs lightning strike,N
we just talk woman house right sh devastate say just house,N
break cabinet officially declare provincial state emergency due,N
ok basement claim still spare room pet welcome im,Y
fire crew fight save may lose large portion town,N
cunny,N
watch live larivee say upwards person affect mandatory evacuation order fort mcmurray,N
corrected area -need- gluten free food come st well help,Y
add connacher list producer shut production continue rage great divide k bpd,N
wow fort mac go voluntary evacuation neighbourhood full mandatory evacuation city hrs,N
look family stay prefer home bedroom available house sherwood park,Y
weather help situation increase wind km h possible late tonight thur,Y
watch live morrison say cause fort mcmurray fire still unknown,Y
state emergency officially declare fort mcmurray,Y
do texting work usa,Y
can imagine fort mac feeling time pray friend family person look safety,N
i believe store accept donation will match,Y
watch live long say fire encroach water treatment plant far theyre aware,N
watch live larivee say multiple first nation accommodate evacuee,Y
pls watch video explain money donation best,N
traffic highway southbound closed city,N
halt facility focus,Y
my house burnt forest fire younger scary month ago hope everyone safe,N
it fantastic response far anyone see price gouge please post,N
long shot anyone can pass along great cant imagine scary,N
best way help devast resident donate,Y
fuel update lac la biche shell fuelesso l regular l diesel petro fuel,Y
left clothe back youngest didn t even shoe evacuee miranda sneddon,Y
if evacuee urgent medication question need can speak directly edmonton pharmacist -,Y
our friend need help respond text redcross,Y
full buss arrive guess another person arrive,Y
oilsand production hit fort mcmurray fire company focus employee evacuee,N
tom moffat try climate change rhetoric used,N
give mom best mother day present ever donation red cross name,N
baby intensive care unit evacuate fort mcmurray hospital fire,N
nova scotian collecting donation fort mcmurray,Y
know single biggest evacuation weve see fire history province,N
my parent room house southgate need place contact will put touch,Y
help us much flood donation matter make difference,Y
say govt will take get home alberta stand fort mcmurray,N
feel incredibly guilty upset leave pet behind woman,Y
man make climate change mother nature,N
shout first responder medical staff medium person volunteer help stay safe everyone,N
the worst yet happen pray everyone get safe,N
watch live latest fort mcmurray wildfire global news noon,N
near northalta selling gas litre till go besides fire fuel hot topic,Y
anyone housing evacuee willing talk can reach -,N
a need bug bag era fort mc fire teach lesson via,N
premier travel today meet local official survey affect area logistic allow,N
please follow check list various business r help evacuee frm free meal eyewear,Y
canadian gvmt say theyre matching donation red cross donate now double money youre send help,Y
vet clinic offering service evacs,Y
so great see region help evacuee,N
our thought prayer go everyone affect stay safe,N
about board flight get aerial will tweet much possible,N
mayor melissa blake greatest thank today go citizen manage get safety without loss life,N
province say edge thickwood timberlea community threat today wind shift,N
for pet owner,Y
come radio canada-wide call fm,N
head towards airport brother evacuate mandatory evac order yet airport saprae creek,N
spooky drive morning one around fire alarm go,N
for evacuee seek assistance,Y
our thought prayer affect,N
this just breaks heart hope many reunion come,N
roadside gas fill offer sporadically tanker emergency vehicle need along highway,Y
thank help make sure pet stay safe,Y
our thought fort mcmurray community firefighter first responder battle,N
what help many crisis happen lethbridge,N
so many incredible person huge thank lady co-op boyle still work hard help evacuee,N
alberta premier rachel notley say expect fly fort mcmurray morning tour area,N
serious loss structure abasand waterway downtown ft mac remain undamaged,N
prayer fort mcmurray,N
military now wait direction official what need,N
larger list,Y
ready willing help,N
watch live alberta premier provide update wildfire,N
say province receive tremendous support community across alberta,N
our thought everyone affect include brother sister stay safe,N
fire chief say will rotation fire crew help,N
video one take fought night non stop,N
if use either slam ndp oil industry youre just shitty ashamed,N
the climate change factor lurk behind fort mcmurray wildfire,N
im pray wind stay light today fire continue move away,N
our heart open leery fake ft mcmurray donation site go valid website know ie,Y
this thinking kind solution public transportation play help person evacuate short time frame,Y
accept donation via text support affect,Y
hey guy love see touch massive fire take fort mcmurray alberta canada today can,Y
its especially friend involved safe all,N
well do give free mobile call text folk affect,Y
i make donation canadian red cross can also text redcross,Y
think everyone fort mcmurray today,N
just make donation careful make donation disaster like scammer appear,Y
hope corporation like global make sizeable donation well,Y
didnt use oil product tweet seem like care none environment albertan,N
i just donate help need lose everything anyone can donate,Y
need place stay need home cook meal victoria family pet friendly,Y
respect everyone go,N
pray fort mac,N
how big fort mcmurray wildfire size compare london nyc toronto,Y
its turn syrian refugee help alberta fire victim,N
notley cabinet authorized government prov financial assistance displace per adult per dependent,N
albertan ask avoid go alberta forest weekend fire hazard high,N
councillor mark missal release follow photo,N
all evacuee register red cross online redcross ca call -,Y
after difficult day story among many other make proud albertan,N
new temp fuel station set km north hwy evacuation convoy south limited quantity,Y
highway condition safety information call tweet visit,Y
reg membership w promo code ymmfire w well donate,Y
agree isnt time political posturing la elizabeth may,N
fort mcmurray wildfire rcmp convoy shuttle trap evacuee south fire grow hectare,N
join morning pancake breakfast churchill sq,N
donation option group incredible job,Y
edmonton pancake breakfast fort mcmurray evacuee raise k,Y
a longer explanation video commitment support victim,N
be donate cash in-kind donation go red cross text word fire,Y
cabinet authorized m emergency financing resident per adult per dependent,N
plz share impoant fuel update fuel north right now,Y
thought prayer affected treaty thank opened door lend hand time,Y
shocking video destruction,N
see piece condition lead fire,N
still think move concert outside nice day sun let evacuee free,Y
love,N
very useful link news happen via,Y
at pancake breakfast w student amazing support affect tragic,Y
thx ask anyone outside canada want donate,Y
all area booster juice location will provide free meal evacuee displace,Y
this morning pancake breakfast fed person raise evacuee,Y
please call information fort mcmurray wildfire complaint line - safety concern,Y
this hectare fire look like space,N
hold car wash today parking lot raise fund,N
we need rain even get rain will fight thing week week,N
when start complain today just think home food necessity life donate red cross,Y
cabinet authorize govt give immediate relief per adult per dependent wednesday cost million,N
calgary open nd reception ctr ambrose college chief tom sampson say expect couple thousand evacuee,Y
i compete awe make proud canadian,N
ready provide assistance need animal displace find resource,Y
rd truckload donation way thank,Y
no oiler now today will continue coverage stay safe weekend,N
don t fucking bitch nothing do help have do sit ass bitch,N
slave lake wind-driven fuel-driven result long-term dry weather last month,N
the support incredible just half hour left drop,Y
on last day back stable ground feel confident,N
this want birthday,N
please share bbq fundraiser,Y
all major infrastructure downtown intact water treatment plant run,N
brig general wayne eyre charge military response,N
news editorial fort mcmurray will bounce back historic tragedy,N
fort mcmurray resident share security camera footage determine whether home still stand,Y
offer apartment one can hold pet one farm can hold person horse many pet ottawa,Y
fort mac customer stay safe connected re waive additional call text charge may,Y
source say rcmp allow car time small convoy escort edmonton,N
heartbreaking video shot erica decker family fled beacon hill last night,N
the city may call upon open reception centre,N
let make welcome mat little bit bigger,N
outstanding support morning,N
waterway,N
urban dog spaw fort sask offer free grooming fort mac evacuee call -,Y
go buy alberta donut profit go,Y
convoy evacuation north expect take day condition permit will diversion city,Y
les cole du cscn pr te accueillir les l ve de comment faire,N
surreal resident describe return day evac,N
accept donation help affect work help affect,Y
we accept donation location easy way help,N
keyano theatre art centre show event postponed notice thx everyone send well wish,N
my sat morning bfast haunt may need arrive earlier usual,N
great article,N
so ftmac ground best can muster flyover,N
rex murphy nail,N
diaper pet food donation still roll lac la biche evac centre,Y
thank go one else will editorial first responder,N
the smoke plume visible satellite morning,N
thank help peter will reach will together,N
syrian refugee canada step help fort mcmurray wildfire evacuee,N
want support evacuee attend bkfst tomorrow churchill square w donation,Y
follow future development,N
thank help relief effort can pitch well,N
simply amaze quick response apparent seamless coordination theyre writing book disaster management,N
if displace look accommodation another resource bit hectic public list used submitted list,N
weve partner homesafe launch animal rescue recovery program displace,N
im usually super opinionated social medium different please mindful action,N
you can also donate immediately texting redcross,Y
be ask hold tight non-monetary donation assess needs displace,Y
wildfire force foreign temporary worker canada,N
start cook smell wonderful square,N
breaking chopper-le rcmp-escorted convoy now move work camp north head south safety,N
pancake breakfast victim today churchill square min donation red cross,Y
alberta work yeg give adult child ft mac id,Y
few break shut-eye firefighter battle fort mcmurray blaze,N
tim horton donate fort mcmurray wildfire relief effort,N
the raptor donate k fort mcmurray match fan donation another k,N
satellite view today show massive wildfire,N
mayor say expect evacuee show city,N
the red star show location fundraiser tomorrow stop am- pm show support,Y
fort mcmurray get back,N
shell staff continue respond provide support person loved one other area,N
[ ] consistent expect human-caused climate change affect fire regime,N
look way help fort mac evacuee,Y
any new update scared town,N
watch live scott long alberta emergency management say dnd provide planning expertise,N
hope feel bern anti-biotic-resistant gonorrhea piece worthless dogshit,N
good scope size fort mcmurray fire,N
thank god social medium without lose know,Y
icymi,N
to donate via fundraiser visit,N
all evacuee please email wildfire name location confirmation safety other can find u,Y
strong will keep job fire chief darby allen fort mcmurray,N
entire province now fire ban,N
really want guy working you hire,N
inside lac la biche evacuation center person find hope people generosity,N
just tired fire chief darby allen,N
yes can donate visit thank ask,N
frightening future fort mcmurray resident don t know will ever go back,N
i know alberta fort mcmurray back maybe can tooshy,N
rcmp say pilot convair water-tanker plane suffer medical episode landing man ab p m today,N
as morning canalta reward member donate close millionrewards point red cross,N
pride,N
donate here-,N
alberta declare province-wide fire ban urge restrict recreational activity via,N
information fort mcmurray wildfire evacuee will post will update regularly,N
socrates restaurant feeding evacuee free just bring id pls,Y
hell also delaying mortgage payment evacuee,Y
official say offer open school help evacuee,Y
i speak passenger last flight contribution coverage,N
we deeply saddened continue devastation reached client offer support service,N
come pm chat allow enter fort mcmurray tonight help get radio station back air,N
news release-acsta stand solidarity world catholic education day affect,N
cope seem bring best person,N
assist donate pick w proof address,Y
locksmith come cat rescue evacuation,Y
premier confirm air tanker slide runway man pilot assess,N
labatt produce can water assist firefighter evacuee,N
edmonton great need bedding evacuee can spare amazing pillow,Y
we understand theyre feel refugee calgary step help evacuee,N
best way help affect donate directly,Y
wtg accurate,N
look dn nose yet problem sell pvc fetish gear make u guess oil,N
when youve lose everything cab driver still charge,Y
be match employee donation can click donate,Y
fire grow hectare size yesterday number,N
when allow grow time larger size within hrs wind shift dont exclude ignorance,N
nbc win fortmcmurray access via,N
resident evacuee fort mac need register benefit,Y
we shop dr mukhi bring food along medical supply tonight,Y
really good hear teacher least still get paid tough time,N
video smoke billow area km,N
unbelievablemay picture satellite,N
our heart thought fort mac stay safe stay strong,N
dont worry ms notley person care one another dont expect job right,N
watch fight back tear talk get hug,N
gregoire lake look north southeast toward anzac evacuate,N
video capture mother comforting kid flee fort mcmurray wildfire,N
the society help get strand pet danger donate,N
the sheer scale fire leave loss word weather network jaclyn whittal,N
hms fire smoke analysis may show smoke smoke prescribe burn s canada us,N
