santa+school.csv,[]
shooting+ar-.csv,"[['follow', 'recorded'], ['battle'], ['play'], ['practice', 'target'], ['reaction', 'practice']]"
snope+shooting+ar-.csv,"[['stunning', 'console'], ['weapons'], ['controls']]"
school+officer.csv,"[['practice', 'best'], ['annual', 'spent'], ['network'], ['running', 'alongside'], ['include', 'latest'], ['plenary', 'sessions'], ['successful', 'writing'], ['workshops'], ['development', 'professional'], ['wider', 'encouraging'], ['meeting', 'aimed'], [], [], ['including', 'power'], ['attend', 'formal'], ['staff'], ['Workshop', 'options']]"
la+sandy.csv,"[['battery', 'decrease'], ['hacer', 'tu'], []]"
vegas+sandy.csv,"[['dining', 'shopping'], [], ['casual', 'ranging'], ['hotel', 'world-class']]"
snope+ar-.csv,"[[], [], [], [], [], ['speeds'], ['food', 'landscapes'], ['perfect', 'selfies'], ['stylish', 'analog'], ['filters']]"
officer+family.csv,"[['platforms'], ['cars', 'milk'], ['sirens'], ['mobile', 'apps'], ['law', 'families'], ['training', 'police', 'officer'], ['family']]"
vegas+la.csv,"[['audience', 'mature'], ['real', 'win'], ['real', 'money'], [], ['bring', 'thunder'], ['complete'], ['journey', 'jolt'], ['experience']]"
snope+shooting.csv,"[['closer', 'kill'], ['gaining', 'victory'], ['sake', 'protection'], ['country'], ['put', 'lives'], ['soldiers'], ['military', 'witness'], ['vigilant', 'requires'], ['shoot', 'hunt'], ['attack', 'killer', 'shot'], ['killer', 'prepare'], ['reach', 'next'], ['war'], ['ready', 'get'], ['assassination'], ['attacking'], ['game', 'shooting'], ['player', 'shooter'], ['weapons', 'shooting'], ['shooting', 'guns'], ['shotgun', 'sniper'], ['shooting', 'target'], ['begin', 'target'], ['bring', 'conquer'], ['stay'], ['enemy', 'hiding'], ['strike', 'shooting'], ['enemy', 'destroy'], ['terrorist', 'fight'], ['terrorist', 'run'], ['win', 'game'], ['enemy', 'play'], ['survival'], ['mission']]"
santa+fe.csv,"[['filter', 'get'], ['restaurants'], ['arts', 'music'], ['platform', 'events']]"
school+family.csv,"[[], ['display'], ['spelling'], ['dad', 'mom'], ['perfect', 'introduction'], ['giving', 'perfect'], ['life', 'school'], [], []]"
school+shooting.csv,"[['kill'], ['mountain', 'jungle'], ['real', 'time'], ['reload', 'rifle'], ['variety'], ['environment'], ['Realistic', 'controls'], ['experience'], ['loaded', 'full'], ['shooting'], ['popular'], ['game', 'Animals'], []]"
fe+school+shooting.csv,"[['activity'], ['fire', 'something'], ['fun', 'summer']]"
school+ar-.csv,"[['conjunction', 'computer'], ['day']]"
school+snope.csv,"[['avoid', 'uncle'], ['beautiful', 'game']]"
search queery,['features']
fe+school.csv,"[[], ['set', 'forth'], ['experiences', 'compliments'], ['school', 'issues']]"
