rt also expect hit thickwood fire hectare will worse burning day,N
watch time lapse haunting heart everyone affect,N
one hurt one pass away right now we strong,N
latest fort mcmurray,N
latest update hectare expect challenge day,N
happy safe thank much leadership strength,N
provide return flight cgy will provide accommodation transportation bed condo se bc,N
four person fort mac move long s house,N
look easy way help thank support alberta,N
can keep politic shouldn t concerned destruction,N
those resource focuse downtown airport sprinkler kit etc,N
pray everyone fort mac,N
fire chief darby allen say devastating day yesterday prepare another tough one today,N
scott long aema speaking now,N
today expect worst fire day yesterday,N
cp newsalert premier rachel notley say wildfire rage around fort mcmurray destroy roughly structure,N
will head,N
writer help writer do--and time crisis exception,N
hospital still stand,N
ahs head say understand fort mac hospital still stand notley will travel area today,N
resisted form suppression schmitte say re used every tool smoke limit chopper plane,N
issue now term response gvt go need focused intentional imp get get clear sense s go,N
as now hospital still stand,N
pray rain strength friend fort mcmurray battle terrifying force nature,N
re hospital ahs- understanding s still stand,N
premier say expect leave m head fort mac,N
that outstanding excellent news proud hard work safe,N
challenge cdn tv industry come together jointly host telethon fort mac,N
rt roughly structure damage,N
she willbe get tour area get idea extent damage,N
just good pr s right thing,N
ahs room re-serve edmonton patient evacuate hospital,N
ahs re-assure person work,N
