donation volunteer need new towel pillow shoe underwear ave yeg intl,Y
in news collect food donation fort mcmurray evacuee,Y
rt also expect hit thickwood fire hectare will worse burning day,N
well do need stand unite support friend family fellow canadian,Y
q deem act god insurance cover cost rebuild,Y
watch time lapse haunting heart everyone affect,N
traffic control make sure evacuee head south fuel food,Y
text redcross donate help -please rt,Y
one hurt one pass away right now we strong,N
latest fort mcmurray,N
latest update hectare expect challenge day,N
happy safe thank much leadership strength,N
provide return flight cgy will provide accommodation transportation bed condo se bc,N
four person fort mac move long s house,N
look easy way help thank support alberta,N
can keep politic shouldn t concerned destruction,N
ab emergency mgmt agency boyle lac la biche edmonton first nation opened door need help,Y
those resource focuse downtown airport sprinkler kit etc,N
air tanker fighting fort mcmurray fire second air base set near conklin,Y
pray everyone fort mac,N
fire chief darby allen say devastating day yesterday prepare another tough one today,N
scott long aema speaking now,N
today expect worst fire day yesterday,N
cp newsalert premier rachel notley say wildfire rage around fort mcmurray destroy roughly structure,N
will head,N
writer help writer do--and time crisis exception,N
hospital still stand,N
paradise pet st albert offering ft mac resident proof address need,Y
ahs head say understand fort mac hospital still stand notley will travel area today,N
resisted form suppression schmitte say re used every tool smoke limit chopper plane,N
tweet last mins,Y
help deaf person,Y
issue now term response gvt go need focused intentional imp get get clear sense s go,N
as now hospital still stand,N
i just text redcros donate help fellow canadian will,Y
pray rain strength friend fort mcmurray battle terrifying force nature,N
ahs say room set aside patient evacuate,Y
re hospital ahs- understanding s still stand,N
premier say expect leave m head fort mac,N
that outstanding excellent news proud hard work safe,N
challenge cdn tv industry come together jointly host telethon fort mac,N
rt roughly structure damage,N
she willbe get tour area get idea extent damage,N
just good pr s right thing,N
ahs room re-serve edmonton patient evacuate hospital,N
ahs re-assure person work,N
