Name,Package Name,Description,Rating,Rating Count
Block Fit - Fill Hexa Puzzle,com.freeartgaming.blockfit,"This is a free block puzzle game. The unique hexagon puzzle board is a fun challenge even for the advanced puzzler. The rules are very simple: everything must fit! Drag and drop hexa blocks to fill the given shapes and unlock more levels. There are hundreds of free levels, all categorized according to their size, their complexity and the number of blocks on the board.

How to play: 
Move blocks of a given shape into an empty space. Fill the block with no spaces to complete the stage. Use hints when you are in trouble!

Features:
- Addictive gameplay
- Hexagonal puzzles to stimulate your brain
- Quick & easy to learn
- No time pressure
- Hints to help you pass levels
- Nice music and sound effect
- Compatibility with phones and tablets",,
Carpet Bombing - Bomber Attack,com.StaffanEkvall.CarpetBombing,"Fun bomber game! Fly an aircraft and engage enemies!

VARIED GAMEPLAY
Several types of enemies to combat: soldiers, tanks, helicopters, airplanes and more!

UPGRADES AND POWER-UPS
Collect power-ups to boost your aircraft in game. Upgrade the aircraft between each level to increase its awesomeness!

ENDLESS FUN
Randomly generated maps tests your skill in more and more challenging levels

INTUITIVE TOUCH CONTROL
Simply touch screen where to go. A joystick mode of control is available in the settings.

DESTRUCTABLE TERRAIN
Like worms and scorched earth. Boom!

GOOD QUALITY
Check the reviews, most users give the game 5 stars

NO INTERUPTING ADS
No ads will block your view or disturb your gameplay.

NO INTERNET CONNECTION REQUIRED
Play whenever, wherever you like!",4.5,24
Bombing Bastards: Touch!,com.sanukgames.bombingbastards.touch,"Have a blast! Bomb oodles of nasty critters in a series of 30 wicked mazes! Defeat hellish bosses in heroic fights!  Embark on a hilarious journey with the witty Dr. Wallow to conquer the galaxy in this explosively fun arcade game! 

Features 
•	5 picturesque worlds with 30 wicked mazes. 
•	A large bestiary of critters to blast. 
•	A multitude of items and power ups to collect.
•	5 hellish boss levels whose punishing difficulty will only be matched by the satisfaction you’ll get once you beat them.

This version of the game offers single player, touchscreen-based gameplay. It is totally free, supported with ads. You won't be pressured with in-app purchase offers!",5.0,7
Dragon City Bombing Free,com.newnine54.dragoncitybombingFree,A fairy tale is true the people of a city destroyed the dragon's nest and now the dragon is back to seek revenge... the dragon has captured a large stock of bombs made my the people which they used to destroy his nest.. now its his time to use there weapon against them... bomb the city and help the furious mighty dragon in his revenge.. destroy all the buildings before the dragon lands on the ground... just drop bombs and destroy the city.. let the ruthless people face the dragon rage.,,
Planet Bomber!,com.paulaugustel.bomber,"Explore the galaxy and destroy planets.
Upgrade your abilities and defeat the bosses!",4.0,1713
F16 Jet Air Battle Dogfight,com.toucangames.actiongames.f16.precision.airattack,"F16 Precision bombing is very addictive action adventure air fight war games, for the people who love action games, airplane games and f16 jet fighter jet games world. Becoming a pilot of F16 aircraft is everyone's dream, now you can fly it from Aircraft Carrier in Pacific Sea. Take off your F16 Jet from the Aircraft Carrier, and do combat missions with F16 Aircraft & then successful F16 Aircraft Landing on Aircraft Carrier Simulator. You can be able to experience the air battle just on your phone after you download this flight simulator 3d game.
F16 Jet fighter Game is an adventurous game in which you can fly F16 fighter aircraft over daunting waves of Pacific Ocean for an extreme war action combat locate and shoot mission. With F16 Jet fighter game accept the challenge where you will be the only F16 strike fighter controlling F16 fighter aircraft, F16 air missile and enjoy your F16 air strike over the enemies . With the usage of your striking F16 flight simulation tricks you will feel yourself in the place of military high ranked F16 flight fighter pilot in this F16 jet fighter game .

The enemies have attacked your base with high force Tanks with aggressive fire power, missiles and bombing to lead the war. Your Air Force is waiting for your victory at every level! so be the pilot of an F-16 jet fighter, come and play the extraordinary flight simulation 3d game. The world war has begun; get on your F16 jet fighter to save the world in this flight simulator game.

The game consists of campaign dog fight mode. Make a career in air force and complete the whole jet fight campaign. Defend your base against air and navy attacks. Complete the series of air missions and save your country’s pride. Do dogfight if you want to test your jet fight survival skills. End up as the survivor to claim yourself as the top fighter jet pilot. Get the taste of flying the most amazing fighter jet planes like F-16. Fly high in the skies like a pro air force fighter jet pilot in this f16 games.

Show your skills as a pro fighter jet pilot to battle the sky war. Enemy has surrounded your base from all sides, take them out and return to your air base safely. Get aware of the enemy bases and get into jet dogfights. Destroy enemy navy and carrier ships to combat against their air force strike. Become a pro jet flight driver and fly high in this air force flight simulator.

Play F16 Jet fighter game and destroy all the enemies .Fight with your enemy by your excellent F16 air strike shoots at them! Avoid enemy Airplanes, Air Fighters, Aircrafts, Air Navy Fighters, gun strikes and obstacles in this f16 games . Take off towards the enemy upholding area with a limited ammo supply attached to your F16 fighter aircraft . Use F16 air missile, gun shells and bombs to locate and shoot anti-aircraft targeted missile to avoid the hit. Stop attack and strike back in the spirit of complete air naval action combat. With F16 jet fighter game spot the missile launcher guns and destroy them before they hit other missile. Stick to the rule of locate and shoot in the air for your ultimate survival in this f16 games flight simultor. Relay on your guts to trace out an anti-aircraft ship carrier. Sink down Larger ship carrier holding heavy weapons and assault gunner machines. F16 jet fighter game destruction with F16 air strikes and F16 air missile is your ultimate goal in this f16 jet fighters jet games.

FEATURE OF F16 GAMES:

•	Missions: Gameplay Engine with four different fighting missions
•	Jet Fighters module encounter physical engine war
•	Realistic controls with smooth gesture movement
•	Intensified blend on flight simulation and air combat
•	Warcraft technology with target lock and radar visibility
•	Dozens Of modern weapons from the enemy, such as aircraft fighter, tank and aircraft carrier.",,
Zombie Gunship: Gun Down Zombies,com.limbic.ac130,"Zombie Gunship® puts you in the gunner seat of a heavily-armed AC-130 ground attack aircraft.  Strategically fire your powerful guns to slay endless waves of zombies and protect the remaining survivors of the zombie apocalypse! 

""Meet the real angry bird: the ultimate anti-zombie weapon."" - Forbes

IGN Editors' Choice (9/10) ""Amazing"" 
_______________________________________

• Macworld App Gem (4.5/5)
• Best App Ever Awards - Voted Best Simulation and Best Action Game  

3D NIGHT VISION DISPLAY
Toggle between white and black hot modes.  Use your radar to quickly detect and eliminate the zombie threat. 

AUTHENTIC WEAPONS
• 25mm Gatling gun
• 40mm Bofors auto-cannon
• 105mm Howitzer cannon

COMPLETE OBJECTIVES, EARN RANKS, and beat other gunners on the Game Center Leaderboard! 

COLLECT a BOUNTY for each ZOMBIE KILL
Use coins to upgrade your armaments and increase your zombie killing efficiency.

AIRPLAY
Play Zombie Gunship on your TV! (Supported on iPhone 4S, iPad 2nd generation or newer.  Apple TV required).

Zombie Gunship is iCloud enabled.  Save your game progress and restore it to any of your iCloud enabled devices! 

Check out our other award-winning games: TowerMadness and Nuts!

Stay connected with us! 
facebook.com/ZombieGunship 
twitter.com/ZombieGunship",4.5,103071
Bombing Planes World War One Lite – The sky fighter become Hero – Free Version,com.eliointernational.bombingplanes,"Control this biplane aircraft of the World War 1 and defeat the opponent !
Shoot down all the enemy buildings by dropping bombs over it. But watch out, you have to choose the moment when you release the bombs or you won’t have enough on each way !
Aim carefully to destroy this buildings before your plane is too low and the enemy’s  got you !
You can also use special weapons : Missiles, Building Buster, Cluster Bombs and A-Bomb !!

Win this war !",4.0,27
PiggyBombing SeaMonster,com.han.BombingSeaMonster,"This is a simple and interesting physical game, a fierce goosefish variation, turned into a terrible monster, don't stop killing a large number of fish, the harm to the ecological balance. While it's resting, let the little pig destroy it. Reasonable operation, so that the bomb rolling, hit it after the explosion can cross the border, the use of page bombs hit the stars to collect the stars, get more, the higher the rating, we challenge together!
Piglet is a brave warrior, and now he is going to wipe out the big monsters on the sea floor.
Finger control.",,
Zombie Gunship Survival,com.flaregames.zombiegunship,"Survive a zombie apocalypse and protect the human race from the gunner seat of an AC-130 gunship! Engage in tactical operations and lead groups of military survivors on scavenging missions. Loot precious resources, bring them back to base and build your defenses to repel zombie assaults.   

Blow up the undead in this new instalment in the #1 top-grossing Zombie Gunship franchise.

● Experience high-definition visuals and intense scenarios
● Collect realistic weaponry and increase your zombie shooting efficiency
● Provide air support and lead groups of military survivors
● Build up your remote airfield as a base for operations 
● Defend your base against zombie assaults
● Survive in a hostile environment and unleash hellfire from your gunner seat!

Terms of Service:
By accessing or using a flaregames product, you're agreeing to our Terms of Service (www.flaregames.com/terms-service/).

Parental Guide:
Zombie Gunship Survival is free to download and play, however some game items can also be purchased for real money. If you don’t want to use these features, please disable in-app purchases in your device settings. According to our Terms of Service, Zombie Gunship Survival is allowed for download and play only for persons 13 years or more of age, or with explicit parental consent. You can read more here:
http://www.flaregames.com/parents-guide/",4.5,20759
