B.A.A. Marathon,"The B.A.A. Marathon mobile app is the most complete app for the ultimate event experience. It features live tracking of all participants (without using their phones), social media integration, interactive course maps, selfies and all information you need to know about the B.A.A. Marathon.

This app is powered by MYLAPS.
This app may use your location even when it isn't open, which can decrease device battery life.","[['selfies', 'information'], ['course', 'maps'], [], ['device', 'decrease'], ['app']]","[['need', 'maps'], ['selfies', 'interactive', 'integration', 'interactive', 'course'], ['tracking', 'media', 'participants', 'live', 'social', 'phones'], ['battery', 'open', 'device', 'battery', 'life'], ['ultimate', 'event', 'complete']]"
Boston Marathon Hams,"This application can only be used by amateur radio operators who have been approved to use it. If you were not instructed to use this by your segment coordinator, then you won't be able to log in.

This app allows ham operators on the buses to electronically scan runner bibs. The information gets logged with net control so NCO's can find a missing runner if they are on a bus.

This app was written by volunteers on the marathon amateur radio team. We may expand the functionality if it works well in 2018.  We will be looking for feedback on the app during the after action survey.","[['gets', 'logged'], ['amateur', 'radio'], ['allows', 'ham'], ['use', 'segment']]","[['information', 'net', 'bibs', 'The', 'information'], ['operators', 'used', 'marathon', 'amateur', 'radio'], ['operators', 'app', 'app', 'written', 'volunteers'], ['coordinator', 'instructed', 'find', 'missing', 'runner']]"
Marathon Toolkit for Boston,"This App provides Race related media as follws: 
Map 
Weather 
Twitter 
Facebook 
YouTube 
Police Twitter
MEMA Twitter

About Map data.  Map data is approximate.  Route is subject to change.  

Disclosure regarding auto-renewing subscription, if purchased, is as follows:  

- Title of publication or service is as follows: ""Donate $0.99 USD to App Developer monthly.""
- Length of subscription (time period) is one month.  
- Price of subscription is as follows: $ 0.99.  
- Payment will be charged to iTunes Account at confirmation of purchase.  
- Subscription automatically renews unless auto-renew is turned off at least 24-hours before the end of the current period.  
- Account will be charged for renewal within 24-hours prior to the end of the current period, and the cost of the renewal will be $ 0.99.  
- Subscriptions may be managed by the user and auto-renewal may be turned off by going to the user's Account Settings after purchase.  
- No cancellation of the current subscription is allowed during active subscription period.  
- Link to Privacy Policy is as follows:  http://privacy-policy-sta.tumblr.com
- Link to Terms of Use is as follows:  http://terms-of-service-sta.tumblr.com
- Any unused portion of a free trial period, if offered, will be forfeited when the user purchases a subscription to that publication.","[['portion'], ['user'], ['renewal'], ['active', 'subscription', 'allowed'], ['current']]","[['unused', 'trial', 'Any', 'free'], ['purchases', 'forfeited', 'managed', 'auto-renewal', 'purchases', 'subscription', 'publication'], ['Account', 'cost', 'period', 'charged', 'Payment', 'charged', 'iTunes'], ['regarding', 'auto-renewing', 'subscription'], ['cancellation', 'end', 'period', 'subscription', 'subscription', 'time', 'period']]"
Boston Market,"Boston Market features delicious homestyle meals, including its famous rotisserie chicken and a variety of gourmet sides.","[['gourmet', 'variety'], ['rotisserie']]","[['chicken', 'sides', 'meals', 'including', 'famous'], ['famous', 'chicken', 'including', 'variety']]"
"Food Coupons, Restaurants App","Coupons for your Favorite Restaurants plus Money Saving food deals for Nearby Restaurants.

We donate and volunteer at our local food bank.

""This app, BuyVia, is phenomenal!""  - The Today Show
As seen in NY Times, Washington Post, CNN, Forbes, TechCrunch, and USA Today.

SAVE ON RESTAURANTS ANYWHERE

We have the best savings for your favorite restaurants including AppleBees's, BJ's Restaurant & Bar, Denny's, Long John Silver, Olive Garden, Outback Steakhouse, Subway, Starbucks, and many others.

Find great food nearby plus save money too. Deals for 50,000+ local restaurants nationwide.

Food Coupons uses your location to find you the best coupons in your area for both well known Chains as well as local restaurants.

Get access to deals on Groupon, LivingSocial, Restaurant.com, and more, all in one convenient app.

Read restaurant reviews and see mouth watering pictures from our Foodnut.com food blog.

FEATURES:

•Find local coupons, printable coupons and special deals for nearby restaurants
•Share deals via Twitter, email, and text
•iPad version optimized for larger screen
•Supports iPhone 5, 5c, 5s, 6, 6+,6S,6S+,7, 8, X and iOS 9, 10, 11; and on the web at BuyVia.com

We value feedback! If you have an issue with the app, do not leave a review, immediately contact us at:
www.BuyVia.com
@buyvia 
Facebook.com/BuyVia","[[], ['food'], ['mouth'], ['version'], ['coupons'], ['access', 'Get'], ['deals', 'restaurants']]","[['great', 'find', 'location', 'others', 'Find', 'best'], ['blog', 'great', 'com', 'Find'], ['reviews', 'pictures', 'see', 'watering'], ['iPad', 'text', 'optimized', 'larger'], ['printable', 'find', 'best', 'coupons', 'special', 'deals'], ['deals', 'restaurants'], ['Share', 'nearby']]"
Twenty62,"Interested in running the Boston Marathon?   The training plan in this app has been used by many runners to help them in their Boston qualification.

Twenty6.2 is a multi-week training plan that can be used to prepare you for your next race.    Twenty6.2 captures your workout directly from the iPhone GPS. Alternatively, you can enter your workout statistics into the app.    Routes, splits and other statistics can be recalled for each workout or group of workouts to tune your performance.  Some aspects of the plan are configurable.

As a race observer you can tracks a runner's progress by the app track function to retrieve pace and progress.

Note: Continued use of GPS running in the background can dramatically decrease battery life.

This app integrates with the Health app by reading the user profile data.","[['battery', 'decrease'], ['plan'], ['workout', 'recalled'], ['reading', 'user'], ['pace', 'retrieve'], ['track', 'app'], [], ['workouts', 'tune']]","[['life', 'dramatically'], ['used', 'aspects', 'prepare', 'configurable'], ['statistics', 'group', 'Routes', 'splits', 'statistics'], ['profile', 'app', 'user', 'profile', 'data'], ['function', 'progress'], ['function', 'progress'], ['used', 'observer', 'runner', 'many', 'tracks', 'runners'], ['performance', 'group', '2', 'multi-week', 'training']]"
ShareMyRun - Live Run Tracking,"Trusted by runners on 6 continents!  Fun, easy to use, and highly addictive for both runners and their supporters!

ShareMyRun lets you broadcast live updates of your workouts to family and friends on a map in real-time so they can accurately follow your progress from start to finish.  It's perfect for races, training runs, bike rides, triathlons, or any long distance event where spectators want the peace of mind to know how you are doing along the way.

ShareMyRun not only gives your followers a live map view of your workout progress but it also stores a history of all your previous workouts so you can keep track of where you’ve been and how you did... and much more!  This app was designed by runners for active people of all fitness levels.

BENEFITS AND FEATURES OUR USERS LOVE:

•  Alert notifications sent to selected friends when you start or stop a workout.
•  Selected friends receive periodic updates of your workout including, for example, current location, time, distance, average pace, and last update.
•  Enter a planned distance before starting your workout so spectators can receive estimated finish times.
•  Keep track of Calories burned during your workouts.
•  No annoying ads!
•  Control exactly which friends (or none) will receive updates for a given workout.
•  Customizable map interface showing the exact path followed by your friend during his or her workout.
•  Actual distance between runner and spectator is continually updated so a photo opportunity or cheer is never missed!
•  Personalize your workouts with custom names.
•  Saved history of previous workouts easily accessible.
•  Optimized for all iOS device sizes.
•  Easily toggle between miles and kilometers.
•  Share immediate results of your workouts with family and friends on Facebook and Twitter.
•  Workout data is securely stored on Apple’s iCloud.
•  Access to great fitness-related eBooks within the app to help with training or just for some inspiration.
•  Real-world rewards (coupons, free items) offered periodically within the app!

PREMIUM FEATURES:

Check out these additional premium features to give your workouts an adrenaline boost:

•  Audio cues during workouts to hear progress updates.
•  Current battery level updates from your device so supporters know if you have enough power to keep broadcasting updates.
•  Current pace (in addition to average pace) so spectators can see if you’re slowing down or speeding up.
•  Current temperature so supporters know what kind of conditions you are experiencing.
•  Workout splits for supporters, including estimated arrival times at split milestones not yet reached.

CONNECT WITH US:

Join our growing community of fitness enthusiasts!

Twitter - https://twitter.com/sharemyrunapp
Facebook - https://www.facebook.com/sharemyrunapp
Web - http://www.sharemyrunapp.com

SUPPORT:

Need to get in touch?  Drop us a line at support@sharemyrunapp.com.  We're always available to help and answer your questions!

Get started today, and let ShareMyRun give you and your supporters the peace of mind you deserve during your endurance workouts!

""The one app for runners AND the people supporting them every step of the way.""

Find our complete terms and privacy policy at http://www.sharemyrunapp.com/terms/ and http://www.sharemyrunapp.com/privacy/ respectively.

Note: Continued use of GPS running in the background can dramatically decrease battery life.","[['training'], ['followed', 'friend'], ['showing', 'exact'], ['community', 'fitness'], ['runners', 'people'], ['location'], ['pace', 'average'], ['workout', 'starting'], ['battery', 'decrease'], ['peace', 'mind'], ['device', 'updates'], ['Current', 'temperature'], ['supporters', 'know'], ['power'], ['receive', 'periodic'], ['friends'], ['features'], ['progress', 'hear'], ['workouts', 'friends', 'family'], [], [], [], ['toggle', 'miles'], ['estimated', 'times']]","[['runs', 'races', 'help', 'inspiration', 'help', 'answer', 'questions'], ['path', 'workout'], ['interface', 'path'], ['growing', 'enthusiasts'], ['AND', 'active', 'people', 'fitness', 'levels'], ['current', 'distance', 'example', 'time'], ['distance', 'spectators', 'addition', 'average', 'pace'], ['distance', 'spectators', 'distance', 'event', 'spectators'], ['life', 'dramatically', 'updates', 'Current', 'battery'], ['supporters', 'want', 'peace', 'mind', 'deserve'], ['supporters', 'level', 'iOS', 'device', 'sizes'], ['supporters', 'speeding'], ['enough', 'kind', 'addictive', 'runners', 'supporters'], ['enough', 'broadcasting', 'know', 'keep', 'keep', 'broadcasting', 'updates'], ['friends', 'updates', 'friends', 'none', 'receive'], ['map', 'none', 'exactly', 'real-time'], ['workouts', 'premium', 'additional', 'give'], ['workouts', 'updates', 'cues', 'workouts', 'hear'], ['updates', 'workouts', 'family'], ['kind', 'photo', 'cheer', 'know', 'conditions', 'opportunity'], ['terms', 'privacy', 'CONNECT', 'policy', 'reached', 'yet'], ['supporting', 'items', 'free', 'step', 'every', 'coupons'], ['Easily', 'kilometers'], ['arrival', 'finish', 'times', 'split', 'milestones']]"
RunBetter App,"Run actual marathon or triathlon courses — Boston, NYC, L.A., Chicago, etc. — on any treadmill, including at least one course for free. Practice challenging hills and segments, experience what the course is really like, and elevate your training with professional coaching through an optional 18-week program.

Watch your phone while running for
-Incline alerts
-Running tips
-Distance covered along your selected course

Use any treadmill and run marathon courses including: Berlin, Big Sur, Boston, Chicago, Kona, London, Los Angeles, New York, Osaka, Paris, Queenstown, Rotterdam, Tokyo, Tucson and Twin Cities.

Course Builder Subscription
- You can subscribe monthly or yearly.
- Course Builder subscribers have access to build a run for all courses in the app.  This includes the ability to customize your run for any course available in the app and receive incline alerts and running tips during your.  
- Subscriptions begin with a free 2-week trial period.  
- At the end of your free 2-week trial period, your iTunes account will be charged the subscription cost of your choice. 
- If you cancel during the free 2-week trial period, you will not be charged. 
- If you do not cancel during the free 2-week trial period, your subscription automatically renews unless you turn off auto-renew at least 24 hours before the end of the current period. 
- To turn off auto-renew, visit the Account Settings in your iTunes account and follow the instructions. 
- You can read our privacy policy at https://runbetterapp.com/legal/privacy
- You can read our terms of use at https://runbetterapp.com/legal/terms
- Any unused portion of a free trial period, if offered, will be forfeited when the user purchases a subscription to that publication.","[[], ['tips', 'alerts'], ['treadmill'], ['segments', 'experience'], ['customize'], ['portion'], ['trial', 'period'], ['current', 'end'], ['cost', 'subscription'], ['purchases'], []]","[['training', 'account', 'coaching', 'follow', 'professional', 'instructions'], ['running', '-Running', 'running', '-Incline', 'alerts'], ['including', 'run', 'marathon', 'least', 'run', 'marathon', 'courses'], ['course', 'hills', 'challenging', 'hills', 'segments'], ['course', 'run', 'ability', 'includes', 'along', 'selected', 'course'], ['unused', 'trial', 'Any', 'free', 'Subscriptions', 'begin', 'free'], ['iTunes', 'subscription'], ['hours', 'period'], ['charged', 'choice'], ['publication', 'forfeited', 'user', 'subscription'], ['privacy', 'read', 'visit', 'turn', 'policy', 'auto-renew']]"
Snicker’s Marathon,"Albany is proud to make available this free mobile app for iPad, iPhone and iPod Touch. Albany Welcome to SNICKERS® Marathon and Half Marathon. We pride ourselves on giving our runners an extraordinary experience with a weekend full of fun events. The marathon and half marathon are open to runners and walkers of all ages and skills. Albany, Georgia offers a flat, spectator-friendly course.

This app will provide the user with:
A schedule of the pre-race, race, and post-race events
A list of sponsors
Race Contact Information
Map of the course
Results
Message feed","[['marathon'], ['runners', 'walkers'], ['post-race', 'race'], ['fun', 'full'], ['iPad', 'app']]","[['open', 'runners', 'half'], ['open', 'ages', 'walkers', 'ages', 'skills'], ['pre-race', 'events', 'schedule', 'pre-race', 'race'], ['weekend', 'events'], ['mobile', 'iPhone', 'iPad', 'iPhone', 'iPod']]"
Miles for Miracles,"Do your fundraising on the go with your Miles for Miracles application. Update your page, send emails, and check your progress – all from the palm of your hand. Miles for Miracles application is a great tool to track your fundraising progress, and to keep current on all Miles for Miracles news! 

Please note: The Miles for Miracles App is only available to current registrants.","[['track', 'fundraising']]","[['progress', 'tool', 'application', 'great', 'tool']]"
