Half Marathon Trainer - Run/Walk/Run Beginner and Advanced Training Plans with Jeff Galloway,"Complete your first half marathon, or improve your half marathon race time, with legendary Olympian Jeff Galloway. Jeff's unique Run-Walk-Run training method builds speed and endurance for runners of all levels, focusing on injury-free training and, above all, the pure enjoyment of running.

Jeff's unique Run-Walk-Run training method uses the principles of High Intensity Interval Training (HIIT) to quickly, and safely improve your endurance. Studies have shown that 27 minutes of HIIT 3 times a week promotes the same cardio improvements as running continuously for 60 minutes, 5 times a week. Why beat up your body with inefficient training when you can get fit fast with the Galloway Method.

• Includes periodic Magic Mile Tests to measure your progress and dial in your pace.
• The time goal program includes Cadence Drills, Acceleration Gliders, and Speed Interval Training sessions to improve your form as you condition your body.
• Half point indicator to let you know when to turn around.
• Includes GPS tracking. 
• Works outside or an a treadmill. 
• Completely interactive. Change your workout at anytime and your coach Jeff Galloway — and your music — will respond! 
• Sync your workouts to the Health app.

Bonus Content: Download 15 tracks of high-energy fitness music for FREE.

EXPERT INSTRUCTION
 Jeff Galloway is truly a running legend. He ran with Steve Prefontaine, Bill Rodgers, Frank Shorter, and Amby Burfoot when the United States was a leading power in marathoning. He ran in over 130 marathons and continues to average about 7 marathons a year. Jeff is also a legendary running coach, with over 30 years of expertise safely progressing runners of all levels to the finish line with a smile on their faces. Jeff's running books have sold over a million copies, and he writes a monthly column in Runner's World. If you're looking for an expert coach, why not have one of the best in the world?

  BEAT-SYNC 
Easy Half Marathon dynamically changes the beat of YOUR music to perfectly match your pace. Research shows that music distracts the brain during exercise and faster music causes people to accept and even prefer a greater degree of effort. This means you will work harder without trying (or without even feeling the difference), you will get better results from the increased effort, and most importantly, the time will fly by. You can also download 15 tracks of high-energy fitness music for FREE to really get your playlist pumping.  

DESIGNED AROUND YOU 
Whether you're looking to complete your first race or you want to improve your half marathon time, Easy Half Marathon has the perfect program for you. Your pace and Run-Walk-Run ratio of each workout is customized to your ability, plus Easy Half Marathon gives you complete control as you move through your workout. Turn the intensity down a bit when you're struggling or crank it up when you're ready for more, and Easy Half Marathon adjusts your workout — and your music — on the fly.  

GPS TRACKING
 Easy Half Marathon includes GPS tracking* so you can see your pace and the distance covered during your workouts. GPS works best outside with a clear view of the sky. When you want to work indoors on a track or on a treadmill, use your beat-synced music to set your pace, and Easy Half Marathon will track your results.  

Works with Health
- Completed workouts sync to the Health app, including distance, calories burned and duration.

*Continued use of GPS running in the background can dramatically decrease battery life.","[['results'], ['indoors'], ['running'], ['control'], ['beat'], ['distracts', 'music'], ['progress'], ['distance'], ['method'], ['focusing', 'injury-free'], ['training'], ['progressing', 'runners'], ['endurance', 'speed'], ['form', 'condition'], ['improve', 'marathon', 'half'], ['race', 'marathon'], [], [], [], [], ['difference'], ['battery', 'decrease'], ['monthly', 'writes'], ['cardio', 'promotes']]","[['better', 'effort', 'increased', 'get'], ['track', 'work', 'want', 'treadmill'], ['coach', 'legend', 'legendary', 'truly', 'looking', 'expert', 'coach'], ['workout', 'move', 'complete', 'gives', 'workout', 'customized', 'ability'], ['changes', 'dynamically', 'music', 'YOUR'], ['brain', 'shows', 'distracts', 'brain', 'exercise'], ['pace', 'Tests', 'dial', 'measure'], ['pace', 'see', 'including', 'calories', 'app', 'including', 'distance'], ['training', 'uses', 'builds', 'principles'], ['training', 'levels'], ['enjoyment', 'inefficient', 'pure', 'get'], ['levels', 'safely'], ['builds', 'runners', 'endurance', 'runners', 'levels'], ['body', 'improve', 'sessions', 'improve', 'form'], [], ['half', 'time', 'half', 'marathon', 'time'], ['marathoning', 'indicator', 'power', 'point', 'leading', 'let'], ['average', 'continues', 'marathons', ""'re"", 'crank', 'ready'], ['means', 'work', 'harder', 'one', 'world', 'best'], ['playlist', 'get', 'pumping', 'high-energy', 'tracks', 'fitness'], ['even', 'better', 'feeling', 'get'], ['life', 'dramatically'], ['column', 'copies'], ['week', 'improvements']]"
Weight Loss Running,"SLIM DOWN IN 8 WEEKS. 
The first running app on the App Store designed specially for weight loss.
Make your running serve your goals!

COMPLEX APPROACH
The key to effective and resistant weight loss lies in the right combination of an exercise and healthy eating. With our app you’ll get a plan of short interval running workouts and meal plans with yummy healthy recipes to achieve your weight loss goals.

TRAINING PLANS
Burn maximum of calories with unique interval plans of running, walking and sprint intervals.
- Choose the best suitable plan based on your goals, level and physical condition;
- Have workouts 3 times per week only and get fit fast;
- Make your workouts shorter and get results faster thanks to smart interval training plans;
- Enjoy the variety of unlimited plans to lose weight, maintain results, keep fit and active;
- Free run feature allows to run and keep tracking your results without sticking to any training plan.

NUTRITION 
Get specially tailored meal-and-training plans to lose weight fast.
- Enjoy hundreds of yummy recipes with step-by-step instructions;
- Learn what to eat on breakfast, lunch, dinner and between them to make healthy and tasty choices;
- Follow a healthy, nutritionally-balanced meal plan sufficient in vitamins and microelements;
- Use our water tracker with reminders to stay hydrated;
- Meal plan is featured with the shopping list.

MUSIC
Listen to cool workout mixes to increase motivation and improve your results.
- Music tempo adjusts to your workout pace – music speeds up as you run faster;
- 1000+ newest music mixes from various DJs;
- New mixes are added every day.

CONVENIENT TRAINING
All you need is to do your best during a workout, the app will do the rest.
- Choose your personal trainer, from sweet and encouraging to tough and military-style;
- Enjoy detailed audio instructions for every training;
- Get voice encouragements and stats updates during your runs;
- Adjust the amount of audio feedback;
- Keep record of every workout and track your overall progress;
- Mark your mood, weather and take notes about your workout;
- Take pictures during your runs right from the app;
- Synchronize with Apple Health, Fitbit, Runkeeper and MapMyRun.

USEFUL TIPS
Learn hundreds of useful healthy eating, workout and clothing tips, which are regularly updated.

INFO ABOUT USING THE APP AND REGARDING THE SUBSCRIPTION TERMS OF USE AND SUBSCRIPTION DETAILS
The download and usage of Running for Weight Loss app is free of charge. The upgrade to Premium provides access to the variety of training plans and audio coaches, meal plans, running playlists and turns the advertisements off.

Should you choose to upgrade to a Premium Membership, payment will be charged to your iTunes account at confirmation of purchase. Your monthly subscription is $9.99 per month, while the yearly subscription is $39.99 per year (price may vary by location.) Your subscription renews automatically unless cancelled at least 24 hours prior to the end of the current period. Cancellation of the current active subscription period is not allowed.
Auto-renewal may be turned off in your Account Settings in iTunes after purchase. You can also manage your subscriptions in Account Settings after purchase. Any unused portion of a free trial period will be forfeited when the user purchases a subscription to that publication.

Featured in Washington Post, AppleInsider and Huffington Post. Featured by Apple in “Best Apps for Runners,” “Get in Shape,” “Hit the Ground Running in 2016.” 

Privacy Policy: http://redrockapps.com/privacy-policy
Terms of Use: http://redrockapps.com/terms-and-conditions-of-use
Note: Continued use of GPS running in the background can dramatically decrease battery life.
This app is developed for informational purposes only. You must always consult your physician or doctor before starting any fitness program.


Follow us!
Facebook: https://www.facebook.com/RedRockApps
Twitter: @RedRockApps
Instagram: @RedRockApps","[[], ['battery', 'decrease'], ['weather'], ['account', 'confirmation'], ['starting', 'fitness'], ['forfeited', 'user'], ['developed', 'informational'], ['free'], ['motivation'], ['results'], ['workout'], ['newest', 'music'], ['featured', 'shopping'], ['playlists'], ['meal', 'plans'], ['training', 'variety'], ['goals'], ['interval'], ['lies', 'right'], ['plans', 'weight', 'lose'], ['achieve', 'weight'], ['lunch', 'breakfast'], ['healthy', 'yummy'], ['healthy', 'tasty'], [], [], []]","[['subscriptions', 'track', 'manage', 'overall', 'also', 'progress'], ['life', 'dramatically'], ['mood', 'notes', 'take', 'Mark'], ['iTunes', 'purchase', 'payment', 'charged', 'iTunes'], ['program', 'doctor', 'consult', 'physician', 'doctor'], ['purchases', 'period', 'end', 'current', 'period'], ['app', 'purposes'], ['trial', 'charge', 'portion', 'app'], ['increase', 'mixes', 'results', 'improve'], ['shorter', 'keep', 'tracking', 'get', 'results', 'keep', 'fit'], ['need', 'mixes', 'best', 'cool'], ['mixes', '1000', 'pace', 'music', 'speeds'], ['list', 'plan'], ['turns', 'running', 'advertisements', 'plans'], ['coaches', 'workouts', 'plans', 'audio', 'coaches'], ['access', 'plans', 'provides', 'access', 'variety'], ['serve', 'running', 'based', 'plan'], ['training', 'running', 'workouts', 'plans', 'plan', 'short', 'interval'], ['loss', 'combination'], [], ['loss', 'recipes', 'weight', 'loss', 'goals'], ['dinner', 'eat'], ['recipes', 'plans', 'hundreds', 'yummy', 'recipes'], ['make', 'choices', 'dinner', 'make', 'healthy'], ['runs', 'right', 'stats', 'pictures', 'encouragements', 'updates'], ['walking', 'reminders', 'water', 'intervals', 'tracker', 'sprint'], ['added', 'vitamins', 'microelements', 'day', 'every', 'sufficient']]"
Half Marathon Training - 21k / 13.1 Mile,"Use the Vandersoft Half Marathon app to improve your stamina, endurance, and health to help you run a Half Marathon! Your body's strength will gradually increase over time with interval training.

Over the next 20 weeks your running will be steadily improved. You will start with 1 minute jogging intervals in-between 1.5 minute walks. As you complete runs your body will be strengthened and the program will slowly become more challenging.

Take your device with you on your runs! Listen to your favorite music and get prompted over your headphones to run or walk. Your entire run will be directed through your headphones or speakers.

Glancing at the app while on your run will show you:
- How long you have been running
- How much time you have left on your run
- how much time you have left on your current interval

Need to stop and tie your shoe? Pause the run! Or, press Back/Next to go to different intervals.

Features:

- Use outside or on a treadmill
- Play your music while running - the coach will chime in over your music
- Use with any music app
- Running plan overview - look ahead and see future runs
- Run interval controls
- Apple Health Support! Sync your runs to the Health app and get a better view of your overall fitness.","[['endurance'], ['running', 'coach'], ['app', 'Glancing'], ['directed', 'headphones'], [], ['view'], ['different', 'intervals'], ['time']]","[['stamina', 'health', 'help', 'improve'], ['chime', 'music', 'coach', 'chime', 'music'], ['speakers', 'run', 'app', 'get', 'better'], ['speakers', 'run', 'get', 'prompted', 'headphones'], ['body', 'strengthened', 'stop', 'program', 'shoe', 'tie'], ['better', 'get', 'overall', 'fitness', 'see', 'future', 'runs'], ['go', 'Features', 'minute', 'jogging', 'intervals'], ['current', 'training', 'interval', 'left']]"
Half Marathon Trainer: 21K Run,"The Ultimate 1/2 Marathon training app, from the makers of the award winning apps 5K & 10K Runner

Our running apps were featured CNN, Fox, USA Today, Times, Fitness Channel, AppAdvice, AppCraver, Best10Apps, Appolicious, AppOfTheDay,  Apple's ""New & Noteworthy"" MakeUseOf, the iPhone App Review, Remix Your Health, AppShopper, Daily Motion, and so many others…

====================================
IMPORTANT: This app is for you only if you are already able to run a 10K
====================================


21K Runner is the easiest and most successful program in training 10K runners to train for their first 21K.  If you can do 10K, with this app you will get to 21K.

21K improves your fitness with an awesome training program. You start with a 10K fitness level, and the running gradually increases to a full 21K. Just plug in your headphones, play your favorites music, and the app will guide you.

Motivation is the key factor in long distance running, and 21K Runner keeps you motivated - it's the true magic of this app, and it's built into every screen.  The running plan is achievable and enjoyable, the app keeps a log of your runs & achievements and awards you with badges, and you can also share your progress with your friends on Facebook, Twitter, or by mail. It even includes the motivational quotes to keep your spirit in tune with your body.

This app keeps people running. Built by pros and with proven success, this is the ULTIMATE half marathon training app. 


----- FEATURE LIST -----

12 WEEK RUNNING PROGRAM
● from 10K to 21K
● alternating walks and runs
● starts easy and slowly increases the runs
● audio coach tells you when to walk / run
● works with the screen locked (dark)
● repeat workouts whenever you want
● audio Coach can be voice, beeps, or both
● continue 21K running forever

MUSIC / INDOOR-OUTDOOR
● listen to your music during exercises
● audio coach gently blends in when needed
● on-screen controls for Apple music app
● great with all music apps
● works outdoors / indoors / treadmill

GPS & APPLE HEALTH
● Built in GPS & Distance Tracking, also when app is in background
● Integrated with Apple Health for Calorie calculation & saving workouts

NOTE: Continued use of GPS running in the background can dramatically decrease battery life.

WINS / ACHIEVEMENTS
● each completed run is a Win
● receive Badges for your progress
● app tracks & logs each time you do a new run
● wins screen shows your history & Badges
● share Wins / Badges with your friends on Facebook, Twitter, email

AND THERE'S MORE
● guidance & information for beginners.
● extensive answers to all common questions.
● links to stretching & warmup videos.
● works outdoors / indoors / treadmill
● works perfectly even if your device is locked
● works perfectly also in background
● male & female audio coaches
● flips upside down to fit any armband
● and there is more...


Supported Devices:
● iPhone & iPod touch
● iPad - use on a treadmill


====== NEWS COVERAGE & REVIEWS ======

5K / 10K Runner apps have been featured on
CNN, Fox, USA Today, Times, Fitness Channel, AppAdvice, AppCraver, Best10Apps, Appolicious, AppOfTheDay,  Apple's ""New & Noteworthy"" MakeUseOf, the iPhone App Review, Remix Your Health, AppShopper, Daily Motion, and so many others…

""If you thought that you could never run - get ready for a BIG surprise. With this app - you will run""

""Its a great App, I was hooked by the second run, and it kept me running""

""If you want to start running and to keep running - this app will do it for you""

""One of the best iPhone running apps I’ve tested."" 

""This application is a must-have fitness trainer for anyone trying to catch the running bug or getting ready for a major running event""

● Privacy Policy: 
http://www.fitness22.com/privacy-policy


----- CONTACT US -----

Dear customers, we are here for you!  
support@fitness22.com","[['beginners'], ['common', 'questions'], ['running', 'event'], ['catch'], ['works', 'outdoors'], ['iPhone'], ['touch', 'iPad'], ['run'], ['wins', 'screen'], ['tracks'], ['play', 'favorites'], ['training', 'marathon'], ['app', 'music', 'great'], ['exercises', 'audio'], ['coach', 'audio'], ['coaches'], ['achievements', 'awards'], ['runs'], [], ['battery', 'decrease'], ['application'], ['fitness'], ['spirit', 'tune'], ['dark', 'repeat']]","[['information', 'guidance', 'extensive', 'answers'], ['answers', 'links', 'links', 'stretching', 'warmup'], ['major', 'Privacy'], ['anyone', 'running', 'trying', 'bug', 'bug', 'getting', 'ready'], ['indoors', 'apps'], ['running', 'apps', 'best', 'One'], ['use', 'iPod', 'iPhone', 'iPod', 'touch'], ['new', 'get', 'never', 'time', 'hooked', 'second', 'run'], ['run', 'shows', 'built', 'every', 'screen'], ['progress', 'app', 'logs', 'time', 'share', 'progress', 'friends'], ['headphones', 'music'], ['app', 'half', 'training', 'app', 'makers'], ['favorites', 'music', 'app'], ['coach', 'music'], ['runs', 'tells'], ['audio', 'upside', 'flips', 'female'], ['runs', 'badges'], ['starts', 'increases', 'slowly', 'walks'], ['distance', 'customers', 'support', 'long', 'factor', 'Dear'], ['life', 'dramatically'], ['This', 'tested', 'must-have', 'fitness'], ['trainer', '10K', 'anyone', 'level'], ['body', 'keep', 'quotes', 'keep', 'spirit'], ['workouts', 'locked', 'device', 'locked', 'works']]"
Half Marathon - For beginners and advanced Runners,"Train to run a half marathon in less than 2h 20m - no matter whether you're a beginner or already an advanced runner.
The personalized and scientifically developed training plan allows you to achieve the goal of running a half marathon with just little training!
So start improving your fitness effectively instead of wasting more time for the same results!

Features of this app:

- Motivating and challenging training sessions
- Perfect fitness preparation for the half marathon
- No annoying in-app purchases for additional content
- Select a custom date at which you want to be able to run the half marathon, so this app can create the perfect training schedule exactly for your needs
- Gorgeous modern design
- Reminding and motivating Push-Notifications
- Special tips for effective training from athletes as well as scientists

This app was created in collaboration with professional athletes and scientists to offer you the best possible training.

Note: The deadlines in this app are just for motivating purpose, following them is suggested but not obligatory","[['results', 'time'], ['purchases'], ['able', 'want'], ['run', 'marathon', 'half'], ['professional', 'athletes'], ['create'], ['training', 'effective']]","[['wasting', 'Features', 'instead', 'wasting', 'time'], ['content', 'in-app', 'annoying', 'additional'], ['date', 'run'], ['Train', 'run', 'half'], ['collaboration', 'scientists', 'scientists', 'offer', 'best'], ['perfect', 'training', 'app', 'marathon', 'app', 'created', 'collaboration'], ['tips', 'athletes', 'challenging', 'training', 'sessions']]"
Chevron Houston Marathon,"The Houston Marathon mobile app is the most complete app for the ultimate event experience. It features live tracking of all participants (without using their phones), social media integration, interactive course maps, selfies and all information you need to know about the Houston Marathon.

This app is powered by MYLAPS.

Continued use of GPS running in the background can dramatically decrease battery life.","[['course', 'interactive'], ['selfies', 'maps'], [], ['battery', 'decrease'], ['app']]","[['maps', 'integration'], ['course', 'information'], ['tracking', 'phones', 'social', 'participants', 'live', 'media'], ['life', 'dramatically'], ['event', 'ultimate', 'complete']]"
Lucca Marathon,"The Lucca Marathon mobile app is the most complete app for the ultimate event experience. It features live tracking of all participants (without using their phones), social media integration, interactive course maps, selfies and all information you need to know about the Lucca Marathon.

Continued use of GPS running in the background can dramatically decrease battery life.","[['selfies', 'maps'], ['course', 'interactive'], [], ['battery', 'decrease'], ['app']]","[['course', 'information'], ['maps', 'integration'], ['tracking', 'media', 'participants', 'live', 'social', 'phones'], ['life', 'dramatically'], ['ultimate', 'event', 'complete']]"
Buffalo Marathon,"Official app for Buffalo Marathon on 5-27-2018 in Buffalo.

This app contains all important event information and allows you to track the position of participants in real time during the event.

This app is powered by MYLAPS.
This app may use your location even when it isn't open, which can decrease device battery life.","[['device', 'decrease'], ['contains', 'important']]","[['battery', 'open', 'device', 'battery', 'life'], ['app', 'event', 'participants', 'real', 'time']]"
KYIV EURO MARATHON,"The KYIV EURO MARATHON mobile app is the most complete app for the ultimate event experience. It features live tracking of all participants (without using their phones), social media integration, interactive course maps, selfies and all information you need to know about the KYIV EURO MARATHON.

Мобильное приложение KYIV EURO MARATHON является наиболее полное приложение для мероприятия. В нем есть live tracking для всех участников, без использования своих телефонов. Так же в приложение интегрировано использование социальных сетей, интерактивных карт, селфи и все что может понадобиться вам для подготовки и участия в KYIV EURO MARATHON.


This app is powered by MYLAPS.
This app may use your location even when it isn't open, which can decrease device battery life.","[['selfies', 'maps'], ['course', 'interactive'], [], ['device', 'decrease'], ['app']]","[['course', 'information'], ['maps', 'integration'], ['tracking', 'media', 'participants', 'live', 'social', 'phones'], ['battery', 'open', 'device', 'battery', 'life'], ['ultimate', 'event', 'complete']]"
Love Run Half Marathon,"The Love Run Half Marathon will be held on April 8, 2018. Get access to important event details, runner tracking, live results, social media and more.","[['important', 'event']]","[['access', 'details', 'tracking', 'live', 'results']]"
