Name,Package Name,Description,Rating,Rating Count
Flood:American Red Cross,com.americanredcross.flood,"Get your family and home ready for a flood. The American Red Cross Flood app is the complete solution you need to understand and prepare for flooding and all that comes with it. With interactive quizzes and simple step-by-step advice it’s never been easier to be ready!

• Free and available in English and Spanish 
• Simple step-by-step instructions to help you know what-to-do even if the cell towers and TVs are down.  Prioritized actions for before, during, and after requires no mobile connectivity.
• Help distant friends and family in areas prone to flooding with the ability to receive flood and flash flood watches and warning alerts based on their location from the National Oceanic and Atmospheric Administration.
• Customizable alerting and push notification options.
• Easy to view alert feed with the ability to remove alerts once you read them.
• Map with open Red Cross shelters and other weather-related layers.
• Be ready should a flood hit by learning how to assemble an emergency kit for your family in the event of power outage or evacuation.
• Reduce your household’s stress and anxiety should a flood hit by learning to make and practice an emergency plan.
• Preloaded content means you have instant access to all safety information at anytime, even without reception or an Internet connection.
• Know the difference between a watch and warning.
• Interactive quizzes allow you to earn badges that you can share with your friends and show off your flood knowledge
Learn how to deal with food and water impacted by floods and power outages.
• Simply let friends know you’re safe with customizable “I’m Safe” notification sharable thru social media, text and email.
• Let others know where you are with the Toolkit’s strobe light, flashlight and audible alert functions",4.0,43
Storzzz,com.mane.storzzz,"The free Storzzz Mobile App allows you to swipe through retail products easily and effortlessly.  Vendors can offer their product directly to retail stores with the swipe of their finger,  retail stores can decide what products they are interested in purchasing for their store, and consumers can view great products to buy.

The free monthly subscription allows vendors to offer their product to the retail stores across the United States, when the store likes the product… it’s a Match!

Retail stores can easily be offered new products from vendors or swipe through hundreds of new products for free!

Consumers have the latest most innovative products at their fingertips to swipe through. They can purchase those products directly from the vendor with no fees or commissions.  

View new retail products in all types of categories:  Speciality Food & Drink, Apparel, Sporting Goods, Golf, Outdoor Adventure, Hunting, Fishing, Boating, Marinas, Camping/RV, Kids, Toys, Travel, Automotive, Farm, Fitness, Recreation, Medical, Nutrition & Health, Electronics, Housewares, Furniture, Jewelry, Grocery, and General Merchandise, Hardware

Terms of Use - https://www.storzzz.com/terms-and-conditions
Privacy Policy - https://www.storzzz.com/privacy-policy",,
PM Breeze,ca.superiorrestoration.pmbreeze,PM Breeze allows property managers to easily report building damages and incidents and request for emergency services.,,
King County Flood Warning,gov.kingcounty.dnrp.FloodWarning,"The King County Flood Warning app helps safeguard people and property by providing real-time flooding info for the Skykomish, Snoqualmie, Tolt, Raging, Cedar, Green and White rivers, and Issaquah Creek. If you live, work, go to school or regularly travel in or through these areas of King County download this app to track flood conditions. The app shows current river flows, flood stage data and forecasts plus real-time flood phases. Hydrographs make it easy to see several days of river data and forecasts. This app uses data from U.S. Geological Survey and National Weather Service and Northwest River Forecast Center downloaded every 10 minutes (source data update timing varies). Developed by King County and funded by the King County Flood Control District.",,
Emergency Helpers,com.pablo23.emergency,"This app was quickly put together in an effort to help locate people in need, during the devastating floods in Texas.

This app is a resource to connect victims and helpers during an emergency to share valuable information to save people.

If you are in an emergency and need help, find a helper through this app.

If you want to help others during an emergency, find them through this app.  

During emergencies, natural disasters, or other events, there are often people who want to help but don't know where the victims are.  The victims often don't know where the helpers are.  Helpers and victims can connect and chat to share valuable information through this app.

This app was created in response to Hurricane Harvey in Texas.

The app is for public use.  It is meant for people in emergency situations such as Hurricane Harvey.  The helpers are volunteers who would like to help using their resources, such as cars, boats, or rafts.  It is not for internal use.  The target audience is people who are near a disaster area.  The target country is USA as there is a hurricane in Texas right now.  Users get a username/password by creating a profile.",,
Broward Home Damage Assessment,org.broward.damageassessment,"In the aftermath of a hurricane or other natural disaster in Broward County, residents and property owners can enter their address and describe the damage to their property. The application also allows you to categorize the damage level and upload up to four (4) images. All reported information is collected and processed by the Broward County Emergency Operation Center (EOC). 
Resident reports will provide a critical early indication of where major damage has occurred. These reports do not constitute a request for individual assistance and do not replace the normal grid-by-grid assessments performed by County assessment teams.",,
"Emergency Survival Kit - Tornado, Hurricane, Earthquake Aid",com.matthewleonard.emergency,"BE PREPARED FOR ANY EMERGENCY!
*Instant access to your iPhone's built in light
*Send your location to a friend (SMS or Email)
*Play loud alarm to help people find you
*Call 911 with the tap of a button
*Update Twitter with one tap
*Update Facebook and attach your location

Use these features when you are lost, stranded, your power goes out or any other situation. Don't get stranded without the ultimate Emergency Survival Kit.

Parents, get this for your kids and have them send you their location when they arrive at a friend's house or you need directions.

Every person should have this app! You never know when there will be an emergency so be prepared in advance. Download it now!",,
Jet Ski Flood Relief:Emergency Rescue,com.msts.jet.ski.flood.relief.emergency,"jet rescue is basically about saving life of many people that have been
stuck in the water and trying to save their life from extreme water.
So you have a ship or you can say that you have boat and you have to rescue the
children,women,old man.There has been a storm in the city and all the buildings
has been destroyed in this case.This game has many missions and in every level 
you have to act like a jet ski and show your swimming skills here.
They are trying to raise their voices and calling you.This is very emergency case
and please help all the people.You have rescue boat and jet ski for emergency
rescue operation services.it will be exciting and extreme adventurous simulation
game.you are a lifeguard swimmer and also you have to keep away the people from
danger.people are finding flood shelter place.

Features:
Realistic simulation game and have experience of 3d adventurous fun .
pick up the people from flood and reach them to a safe place
Stunning hd graphics with awesome environments.",,
"Warren County, VA Resources",com.squidstore.Warren-County-Resources,"Community resources for the County of Warren, VA",,
Hurricane: American Red Cross,com.americanredcross.hurricane,"**One of the top 6 hurricane tracking apps - CNN**
**Readers’ Pick: Most innovative and useful hurricane app – FastCompany**
**One of 5 apps to get you through a natural disaster – Fox News**
**Top Apps of the Week (11/3/12) – ABC News**
**Top Apps of the Week (10/29/12) - MediaBistro**
**Top App of the week (9/2/12) - Appolicious**

Be ready for severe weather with Hurricane by American Red Cross. Monitor conditions in your area or throughout the storm track, prepare your family and home, find help and let others know you are safe – a must have for anyone who lives in an area where a hurricane may strike or has loved ones who do.

Ahora disponible en español.

Features:
• Free and available in English and Spanish.
• Step-by-step instructions let you know what to do even before/during/after the storm, even if no data connectivity.
• Track the path of a hurricane with our interactive storm tracker displaying where the app has been and where it’s predicted to go.
• Monitor, hurricane, flood & tornado-related weather conditions in your area or those of loved-ones with various map layers and location-based notifications for the U.S. and its territories.
• Customizable alerting and push notification options.
• Easy to view alert feed with the ability to remove alerts.
• Let friends know you are okay with the customizable “I’m Safe” alert for Facebook, Twitter, email and text.
• Find open Red Cross shelters in your area when you need help.
• Stay safe when the lights are out with the Hurricane Toolkit, including a strobe light, flashlight and audible alert functions.
• Prepare for the worst by learning how to assemble an emergency kit for your family in the event of power outage or evacuation.
• Empower your family to stay safe and remain calm in an emergency by learning how to make and practice an emergency plan.
• Earn badges that you can share with your friends and show off your hurricane knowledge with interactive quizzes.
• See an illustrated history of hurricanes in your area.
• Learn the difference between a hurricane warning and watch.
• Know how to what to do about food and drinking water when your area has been impacted by floods and power outages.",4.0,1228
