Name,Package Name,Description,Rating,Rating Count
Dunkin' Donuts,com.dunkinbrands.otgo,"Getting your daily dose of Dunkin’ just got a whole lot easier. The new Dunkin’ Donuts app has DD Perks with rewards & loyalty offers, gift cards, On-the-Go Ordering with mobile pay, menus & nutritional facts & store locators.
 
The smart menu & store locator to keep you running throughout the day
Your favorite breakfast donuts are only a tap away. Satisfy your cravings and find where to pick them up with our store locator. Browse our smart menu and nutrition tab on the app, with details about every Dunkin’ latte, vanilla donut, or Dunkin’ bagel you can imagine.
 
Get more Dunkin’ love with DDPerks and Rewards
Make every sip rewarding. Join the DDPerks Rewards Program for free and become a loyalty member. Receive a free beverage when you enroll, when you refer a friend, for every 200 points earned and on your birthday!
- On-the-Go Ordering
- Reward member benefits and loyalty offers
- Earn 5 points for every dollar you spend
- View your points balance and manage your rewards from your phone
 
On-the-Go Ordering with our Rewards Program
Place your Dunkin’ coffee order 24 hours in advance and we’ll make sure it’s freshly brewed when you come pick it up. Dunkin’ On-the-Go lets you pay for your morning donut and bagel before you're out the door. It’s a great way to start your day and a perfect solution for a midday pick-menu.
- It’s even convenient for night owls.
- Tap to order and pay on the way
- Save your favorites for easy and fast ordering
- Skip the line in store to pick up
- Go enjoy all that time saved
 
Customize your Dunkin’ favorites
There are over 15,000 different ways to order your coffee at Dunkin’. Browse our Dunkin’ coffee menu to add a touch of French Vanilla, Hazelnut, Toasted Almond, Blueberry, Raspberry or Coconut. Don’t be shy and let us know if you want extra whipped cream in your latte. Simply tap the app to make your selection and we’ll package it for you.
 
Say it with donuts
Send a virtual Dunkin’ Donut gift card to any Dunkin’ lover, via text, email or iMessage. Or be a hero and grab a Box O’ Joe or munchkins to share with family and friends.
 
*Location and Notifications may be required to receive promotional offers.",5.0,365300
My Bakery Empire,com.cocoplay.sweetbakery,"~~> Help Lizzie open up world-famous bakeries and take specific orders from her demanding customers!
~~> Learn how to bake delicious, mouth-watering desserts!
~~> With your assistance, Lizzie will become the most talented pastry chef ever!

It's been Lizzie's lifelong dream to someday open up a bakery of her own. Now that day has finally arrived! She's graduating from college, and she's more than ready to get baking. But she needs your help! Have fun opening up lots of yummy bakeries, baking with Lizzie and becoming a true baking professional who’s famous for beautiful, tasty delights!

Features:
> Help Lizzie open up a bakery… and then another… and another! There’s no such thing as too many bake shops!
> Take specific orders from your customers, and serve them with a smile! Make sure they get exactly what they asked for!
> Learn how to bake tons of desserts from so many yummy recipes!
> Make your cakes extra fancy with colorful cake decorations!
> Dress up Lizzie like the true baker she is! Give her a pretty chef’s hat and a pretty apron!
> Show off your baker skills and win first prize in baking contests and cake fairs!
> Get ready to bake the tastiest desserts ever, from apple yogurt smoothies to princess birthday cakes!
> Build up your reputation and become the most famous baker in the world!
> Earn money if your customers are satisfied with your service, and use it to open new bakeries. 

ABOUT Coco Play
Coco Play is China-based developer of creative and unique apps for kids and the whole family. Founded in 2013, Coco Play provides rich 3D simulation-based games for the whole family. Coco Play is a subsidiary of TabTale, a leading, global creator of innovative games, interactive books and educational apps.
Visit us: http://www.tabtale.com/ 
Like us: http://www.facebook.com/TabTale
Follow us:@TabTale
Watch us: http://www.youtube.com/Tabtale


CONTACT US 
Let us know what you think! Questions? Suggestions? Technical Support? Contact us 24/7 at WeCare@TabTale.com


FOR PARENTS 
The app is free to play but certain in-game items may require payment. You may restrict in-app purchases by disabling them on this device. The app may include advertising for TabTale and certain third parties which will redirect users to our sites, apps or third-party sites.
Your privacy matters. The app may enable collection of limited user data by TabTale or its carefully selected providers (e.g. ad networks and analytics) for limited purposes described in our Privacy Policy (e.g. respond to support queries; enable, analyze and improve the app’s features and services; serve contextual ads and measure their performance). The app includes certain features only accessible behind an age-gate to protect children (e.g. restrict behavioral ads; social networks links to connect with others while playing; option to accept push notifications to inform of exciting news e.g. updates). For more information (notably on the providers), please read our Privacy Policy: https://tabtale.com/privacy-policy/. By downloading, updating or using the app you consent (in your personal capacity and for other users of your device) to this collection and use of limited device information for ad display and reporting purposes, and to our Terms of Use: https://tabtale.com/terms-of-use/.",4.5,28130
Krispy Kreme ®,com.krispykreme.hotlight,"The Krispy Kreme® app is filled with tons of delightful surprises! Download now to experience the joy of Krispy Kreme and all the exciting new features below:

Hot Light™

• Find out exactly when hot, fresh doughnuts are coming off the line
• Locate the nearest Krispy Kreme shop, wherever you are
• Invite friends through text messaging to join you at your favorite Krispy Kreme shop
• Get push notifications to know when the Hot Light is on (optional)

Krispy Kreme Rewards™
The following features are only available in participating cities. If you access the app outside of these areas, you will only be able to use the Hot Light function.

• Receive a FREE DOUGHNUT just for signing up
• Earn sweet rewards that get sweeter the more you visit
• Learn about limited-time doughnuts and drinks
• See fun, new surprises when you open the app",4.5,27484
Donuts Maker - Cooking Games!,com.blackbeltclown.donutsmaker,"Here comes the best Donut Party! Tie on your apron and come fry up some warm, delicious donuts! Our friends are coming, Let's hurry up. Mix and bake your favorite flavor of donut, from chocolate to vanilla, strawberry and more. Wow~ Twist donut is available to make. Let's play.
Product Features:
- A super fun food theme cooking game
- Learn how to cook donuts in this entertaining cooking game
- Make kinds of donuts step by step.
- Chose from various frostings, candies and glazes
- Be the best chef and food designer.
- Hold & enjoy the best Donut Party
How to play:
- Start the game from choose donut type. Pick normal donut or twist donut as you want.
- Add & mix all the ingredients preparing the donut dough.
- Roll & cut the donut dough to fry. Do not let it burn~
- Decorate your donuts any way you like with candies, sprinkles, syrup, frosting and many more.
- Eat & serve to the friends. It will be the best donut party ever.
- Take a photo to show off your creations to your friends and family.
- You'll be the best donut baker ever! 

For more cooking games, visit our official site at http://www.makerlabs.net
Any new idea or suggestions to our game? Please follow us on Twitter at https://twitter.com/The_MAKER_LAB",4.5,4936
Fair Food Maker FREE Cooking Game for Girls & Kids,com.ffainc.fairfoodmaker,"Over 10,000,000 MILLION people love playing our apps, download Fair Food Maker right now and see why.

Make tons of different fair foods, play a bunch of fun party games, and win awesome prizes... all in one free download!

*NEW* More yummy games are coming soon, download now and get all of the updates for FREE!

•MYSTERY Games... It is a surprise!
•Super Kettle Corn Machine
•Delicious Milk Shakes
•Hot Dogs Gone CRAZY!
•SMASH Mouse
•Spooky Haunted House
•Never Ending Plinko!
•Super Fun Water Gun Blast
•Balloon Pop with Prizes!

Pick from tons of toppings, sweet candy, silly decorations, and GROSS stuff. Can you make the coolest milkshake? The funniest hotdog? The best and craziest kettle corn popcorn? What is your favorite game? Play them all!

If you enjoy our game, please write an awesome review, and we'll keep adding more fun games!

About Us
Crazy Fair Food Maker is brought to you by Fat Free Apps Inc., the inventors of several food MAKER games, Fair Food Maker, Milkshake Maker, Cookie Maker, and Cake Pop Maker to name just a few.

Crazy Fair Food Maker is free to play but in-app purchases are available in the game.

Protecting privacy is especially important to us at Fat Free Apps Inc.. 

For more details, please read our privacy policy located at http://www.fatfreeapps.com/privacy_policy.html",4.5,4694
Eat N Give,com.portal.eatngive,Every order placed through the Eat ’ N ‘ Give website is free of charge to the customer & the restaurant you order from will automatically donate 2.5% of the total ordered to the food bank. Restaurants listed on this website not only care about providing you with exceptional quality and service but they also care about our community. When ordering your food from online directories please consider ordering from from Eat ’N’ Give as you are helping to feed others in your community rather than lining the pockets of a large corporation. Together we are making a great difference. Thank you again for your support!!,,
Fill the Bowl,com.qafoodbank,"A hunger-free community. That's our goal. At Queen Anne Food Bank, our mission is to provide healthy food assistance to low-income and homeless people living in Seattle. We serve every person who comes to our door in need, without discrimination, and with respect and dignity.
In service of that mission, we distribute over 280,000 pounds of food to our hungriest neighbors every year, with more than 35,000 pounds of that food coming from individual donors and through company, school and other organized food drives. However, nearly 50% of all food donated through food drives is received between the months of October and December even though the need remains high throughout the year and especially in the summer months.
In these busy times, it can be difficult to know what to shop for or donate (needs change week by week) and, for those of us living and working in an urban environment, transporting that food donation to a collection bin or to the food bank can be logistically challenging. 
Fill The Bowl provides a way for you to stay up to date on the most urgent food and toiletry items needed by the food bank at any given time and includes an option to easily shop online and have your donation delivered directly to the food bank. Online purchases are a great way to ensure sufficient quantities of most needed items are quickly made available to our hungriest neighbors. Direct bulk deliveries also translate into reduced labor hours and more efficient use of space in the storage of donated food.
Your food donations make a difference.",,
Cooking Food Maker Games for Kids (Girls & Boys),com.food.icecreamprincess,"Can you make & decorate delicious food?

Play a super fun new Cooking Food Maker Games for Kids (Girls & Boys) today for free!

Many Awesome Cooking Levels:
- Make a yummy Ice Cream Sunday for dessert!
- How about baking a delicious & beautiful cake?
- Make and decorate a delightful hamburger for lunch!
- And many many more fun food maker levels!

Enjoy playing an awesome Kids Cooking Casual Game today!!",4.0,3514
Breakfast Food Maker Kids Games (Girls & Boys),com.maker.breakfastfood,"Can you make Breakfast?  Egg Sandwiches, Omelets, Pancakes, French Toast, and more!!

Play a super fun new Breakfast Food Maker game for Kids today!!

Have soo much fun!!  Enjoy!!",4.0,11070
Sushi Food Maker Cooking Kids Games (Girls & Boys),com.maker.suckerslushy,"Can you make & decorate delicious food?

Play a fun new Kids Food Cooking game today for Free!

Sooo many Cooking Levels to play:
- Make your own Sushi rolls!
- How about serving up some delicious french fries!
- Make delightful sweet dessert suckers & cookies!

Enjoy playing an awesome kids cooking casual game today!!",4.0,851
Fair Food Donut Maker - Games for Kids Free,com.fairfood.maker,"Make and decorate fair food at the carnival!!

Fried dough, donuts, cotton candy, and more!!

Have a blast playing this fun food maker game!",4.0,15994
Fair Food Maker Game,com.sunstorm.ff,"Play the BIGGEST and BEST Fair Food Maker chef game! Make 18 delicious fair foods and 8 fair games in one download!

*NEW* Just added! Chicken Nuggets Maker - Cook your own delicious crispy nuggets! 
Our latest  new mystery food is there for you too. Have you made a Donut Ice Cream Sandwich yet? Yum!! 

Visit the Midway to get started – it’s easy and fun. Check out your favorite yummy treats! 


• MYSTERY Maker! It is a surprise!
• Fried Ice-Cream Maker
• Super Soda Machine
• Cotton Candy
• Chocolate Covered Bananas
• Snow Cones
• Milk Shakes
• French Fries
• Lemon Shake Ups 
• Candy Apples
• Corn Dogs
• ICE Pops 
• Kettle Corn 
• Funnel Cakes
• Bubble gum
• Yummi gummi
• Donut ice cream sandwiches
• Chicken Nugget Maker


Pick from tons of flavors, sweet candy toppings, and decorations. Can you make the coolest snow cone? The funniest corndog? The best donut ice cream sandwich? Make them all! 

The Midway is full of carnival fair games too! What will your fortune be? Win and collect awesome prize!  

• Mystery game - it's a surprise!
• Fortune Teller - what does YOUR future hold?
• Smack Sammy 
• Bottle Toss 
• Balloon Pop with Darts
• Frog Flip
• Fish Bowl Toss
• Water Gun Fun with clowns

Share your fair foods and your prizes with your friends. If you enjoy our game, please write an awesome review!


ABOUT Sunstorm
Sunstorm is the pioneer of the popular ""Maker"" and ""Sunnyville"" series of games. Founded in 2009, Sunstorm provides creative and fun experiences for kids and parents to enjoy together. Sunstorm is a subsidiary of TabTale, a leading, global creator of innovative games, interactive books and educational apps.
Visit us: http://www.tabtale.com/ 
Like us: http://www.facebook.com/TabTale
Follow us:@Tabtale
Watch us: http://www.youtube.com/iTabtale

CONTACT US 
Let us know what you think! Questions? Suggestions? Technical Support? Contact us 24/7 at WeCare@TabTale.com.

FOR PARENTS
The app is free to play but certain in-game items may require payment. You may restrict in-app purchases by disabling them on this device. The app may include advertising for TabTale and certain third parties which will redirect users to our sites, apps or third-party sites.
Your privacy matters. The app may enable collection of limited user data by TabTale or its carefully selected providers (e.g. ad networks and analytics) for limited purposes described in our Privacy Policy (e.g. respond to support queries; enable, analyze and improve the app’s features and services; serve contextual ads and measure their performance). For more information (notably on the providers), please read our Privacy Policy: https://tabtale.com/privacy-policy/ . By downloading, updating or using the app you consent (in your personal capacity and for other users of your device) to this collection and use of limited device information for ad display and reporting purposes and you accept our Terms of Use: https://tabtale.com/terms-of-use/.",4.0,12416
ShareTheMeal,org.sharethemeal.app,"TOGETHER WE CAN END HUNGER!

ShareTheMeal is the charity app by the World Food Programme that allows you to feed a child in need with one tap on your phone. Every year, hunger kills more people than malaria, HIV and tuberculosis combined. But it costs only $0.50 to feed a child for one day. There are 20 times as many smartphone users as hungry children. If every one of us gives just a little, we can make this world a better place!

+ 1 million people are already fighting hunger with ShareTheMeal
+ 22 million meals have been shared 
+ ShareTheMeal is part of the United Nations World Food Programme

Use ShareTheMeal to:
+ Share your meal with hungry children: wherever you are, whenever you want
+ See exactly where your donation goes and who you are helping
+ Create a team and fight hunger together with your friends
+ Learn more about how we can build a world without hunger

You should fight hunger with ShareTheMeal because: 
+ Hunger is the world’s greatest solvable problem
+ The World Food Programme provides the food and monitors the impact
+ It’s proven that helping others makes you a happier person too
+ Recommended by The New York Times, CNN, Wired, Buzzfeed, and many more.

**Please say hello**
We love to hear from you! Send your feedback and suggestions to support@sharethemeal.org

**Please join ShareTheMeal**
Website https://sharethemeal.org
Facebook https://www.facebook.com/sharethemeal
Twitter https://twitter.com/sharethemealorg 
Instagram https://instagram.com/sharethemeal/",5.0,1914
Cooking Food Making Kids Games (Girl Boy),com.maker.fastfood,"Can you make & decorate delicious food?

Play a super fun new Food Maker Game for Kids (Girls & Boys) for free!

Many Awesome Cooking Levels:
- Make yummy pancakes for breakfast!
- Make a delicious hamburger with tons of toppings!
- Can you someone say Nachos, please?
- And many more fun food maker levels!

Enjoy playing an awesome casual kids game today!! Have sooo much fun!",4.0,454
Burrito Maker Food Cooking Fun,com.appmania.burritofoodcookinggames,"Ready to make some Burritos?

Play a super fun new barbecue and outdoor cooking game.  Soooo many levels to enjoy:

* Cook the tastiest dishes!
* Make a delicious burger!
* Serve grilled squid for lunch!
* Decorate your food and much much more

Have lots of fun playing the coolest Cooking Game today!!",4.5,377
Strawberry Shortcake Food Fair,com.budgestudios.StrawberryShortcakeFoodFair,"Budge Studios™ presents Strawberry Shortcake Food Fair! Strawberry Shortcake is at the Berry Bitty City Food Fair serving up berrylicious treats, and her friends are giving out prizes to the Best in Show. Use their favorite ingredients and you could earn spectacular decorations for your food booth. So let’s get cookin’! 

FEATURES
• Choose from different Food Fair recipes
• Mix, stir and grill --- gameplay mechanics mimic real-life cooking
• Customize your treats with different fruits, flavors, glazes, and much more!
• Win Blue Ribbons in food competitions
• Earn decorations to make your Food Fair booths country cute 
• Save your customized recipes and make them at home
• Easy and fun step-by-step instructions

RECIPES
Make your favorite Food Fair treats!
• Itty Bitty Fruit Pies
• Frosty Rainbow Slush
• Very Berry Doughnuts
• French Toast Surprise
• Kickin’ it Kabobs 

COPPA COMPLIANT
Budge Studios takes children's privacy seriously and ensures that its apps are compliant with privacy laws, including the Child Online Privacy Protection Act (COPPA), a privacy legislation in the United States of America.   If you would like to learn more on what information we collect and how we use it, please visit our privacy policy at: https://budgestudios.com/legal/privacy-policy/ . If  you have any questions, email our Privacy Officer at : privacy@budgestudios.ca

ABOUT BUDGE STUDIOS
Budge Studios leads the industry by providing entertaining apps for kids through innovation and creativity. The company develops and publishes apps for smartphones and tablets played by millions of children worldwide featuring high profile properties such as Barbie, Caillou, Strawberry Shortcake, Thomas & Friends, The Smurfs, Crayola & Hello Kitty.

Visit us: www.budgestudios.com 
Like us: facebook.com/budgestudios 
Follow us: @budgestudios 
Watch our app trailers: youtube.com/budgestudios 

HAVE QUESTIONS? 
We always welcome your questions, suggestions and comments. Contact us 24/7 at support@budgestudios.ca 

Before you download this game, please note that this app is free to play, but additional content may be available via in-app purchases. It also may contain advertising from Budge Studios Inc. regarding other apps we publish, and social media links that are only accessible behind a parental gate. 

BUDGE STUDIOS is a trademark of Budge Studios Inc.",4.0,604
My Donut Shop - Donut Maker Free,com.tapblaze.mydonutshop,"My Donut Shop is the newest cooking game app from TapBlaze. Grab your apron and get ready to start rolling out your donut dough. With the new donut maker cooking game, you get to choose the type of donut you want to make, mix the dough, roll out the dough, fry the donuts, decorate and serve the donut to a customer!

With My Donut Shop you will feel as if were running your very own donut shop!

Privacy Policy: 
http://www.tapblaze.com/about/privacy-policy/

Terms of Service: 
http://www.tapblaze.com/about/terms-conditions/",4.5,984
Dishlist,com.dishlist.org,"Get a list of the best places to get tacos, avo toast, donuts, margherita pizza, and any other dish. Create your own lists and share them with your friends.",,
