Name,Package Name,Description,Rating,Rating Count
Find Help - New York,org.catholiccharitiesny,"The Finding Help app offers users access to Catholic Charities’ vast network, including contact information and maps for all resources. If there is not an appropriate Catholic Charities program or site available, the app will direct users to other resources that can help address their needs. Highlighting four key service areas, Catholic Charities’ app includes the following features:

Housing – Avoiding eviction, finding an emergency shelter, and accessing affordable housing. 
Food – Locating soup kitchens, food pantries, and accessing ongoing supplemental food benefits (SNAP). 
Substance Abuse & Recovery – Finding treatment and prevention centers. 
Immigration – Contacting the New Americans Hotline, accessing legal help, reporting exploitation & fraud, finding English and citizenship classes, resettling and reuniting refugees, asylees and minors, and supporting immigrant workers. 
 
Users will also be able to directly connect to the Catholic Charities Help Line for assistance with other issues not covered under the four service areas.",5.0,10
New York Times Crossword,com.magmic.NYTCrosswords09,"The best crossword in the world is better than ever! Enjoy the same puzzles printed in the daily newspaper in the crossword app built by The New York Times.

Start playing with unlimited access to the daily puzzles for seven days. After that, subscribe for full access to The Crossword on iOS and at NYTimes.com.

PLAY ANYWHERE
The Crossword subscription gives you access to The Crossword in the app and on NYTimes.com. Just connect or create an account and play anywhere. Your puzzles will be available in the app and on the web.

DAILY PUZZLE
This is the same puzzle that’s printed every day in The New York Times newspaper. Each daily puzzle is available the evening before at 10 p.m. E.T. (6 p.m. E.T. on weekends); enjoy Tuesday’s puzzle on Monday at 10 p.m. Practice and learn how to solve the puzzle on Monday or Tuesday, or challenge yourself with even more challenging puzzles later in the week.

MINI PUZZLE
Mini Puzzles are short, sweet and available every day without a subscription! Get a quick crossword fix when you don't have time for a daily puzzle.

PUZZLE PACKS
Download these themed puzzles and add them to your collection. The first puzzle in each pack is free to try. Check back for new packs!

PAST PUZZLES
Subscribers can also play over 20 years of classic puzzles from our archives.

MODERN PUZZLE FEATURES
Solve puzzles with tricks like rebuses, related clues, checking, revealing and more!

Subscription options include an annual subscription at $39.99 per year and a monthly subscription at $6.99 per month. This amount will be charged to your iTunes account if purchased within the app. Your subscription will automatically renew at the end of its term unless you cancel it at least 24 hours before expiration. You can turn off auto-renew at any time from your iTunes account settings.

Questions? Suggestions? Issues? Please contact us at NYTCrossword@NYTimes.com or from within the app itself. Your feedback is important to us and we’ll do our best to assist you.

Please note: A subscription to The New York Times Crossword does not include access to any other New York Times products, including but not limited to NYTimes.com or mobile news content, e-reader additions, Times Premier, NYT Now, or other apps on non-iOS devices. No cancellations are allowed during active subscription period.",4.0,80399
BPPV Self Help,uk.co.todaysnewidea.bvvp-exercises,"The BPPV exercise app is a mobile app developed by Today’s New Idea to assist sufferers of Benign Paroxysmal Positional Vertigo (BPPV) undertake a programme of Brandt-Daroff exercises that may have been prescribed as a self help/home treatment regime by their physician.

The Brandt-Daroff exercises are a highly successful treatment for sufferers of BPPV and are very easy to do at home. Unfortunately the exercise regime is quite long, typically two weeks, and the exercises themselves is a little convoluted and very repetitive.

The BPPV Self Help app has been design to help suffers of BPPV to assume the correct positions throughout the exercise while also helping track the users progress over the course of the exercise programme.

The app provides the following features:
* Motion detection to ensure you are in the correct position and orientation
* Timer functionality to ensure you hold the position for the required amount of time
* Visual and optional audio feedback telling you when to change position
* Notification reminders for missed exercise sessions
* Simple to understand graphs showing your progress to date
* Total privacy - your information never leaves your phone

We developed this app to help one of our colleagues who suffered from BPPV and we hope you find it helpful too!

Please note: While this app will run on the 12.9 inch version of the iPad we do not recommend you use this for this exercise treatment due to it's large size and weight. The 9.7 inch iPad is quite manageable though you will probably require two hands to hold it.

Today’s New Idea is a “not for profit” business which means all proceeds from the sale of this app go toward the development of this app and other apps we hope users will find educational or beneficial.",,
NJ Courts Help,com.judiciary.NJCourtsHelp,"Welcome to the New Jersey Courts Help App.  This mobile app allows court users, especially self-represented litigants, to find helpful information quickly and easily.  Locate a specific courthouse, find forms and brochures, and contact a court ombudsman for procedural help in navigating the court system, all at the touch of a button.  This app is designed to provide key information and make your experience in the New Jersey court system simple and convenient.

Features include:
- Links to each county courthouse, as well as tax, appellate, and supreme courts
- Directions, parking information, and main phone numbers
- Links to New Jersey laws and court rules
- Search for forms, brochures, and other helpful information
- Reach out to a court ombudsman for help with procedural questions",,
New Day New You,com.hachettebookgroup.ios.newdaynewyou,"Joyce Meyer stresses the importance of spending even just a few minutes every morning with God. Beginning each day this way is an opportunity to get off on the right foot and to set the tone for the day. 

This daily app has daily devotionals, a devotion search feature, customized daily push notifications, and the ability to combine your favorite passages with images into beautiful shareable 'Quotos'!

ABOUT THE AUTHOR
Joyce Meyer is one of the world's leading practical Bible teachers. A #1 New York Times bestselling author, her books have helped millions of people find hope and restoration. She teaches on a number of topics with a particular focus on the mind, mouth, moods and attitudes. Her candid communication style allows her to share openly and practically about her experiences so others can apply what she has learned to their lives.

Joyce has authored nearly 100 books, which have been translated into 100 languages. More than 30 million copies of her books have been sold.

ABOUT HACHETTE BOOK GROUP
Hachette Book Group (HBG) is a leading trade publisher based in New York and a division of Hachette Livre, the second-largest publisher in the world. HBG publishes under the divisions of Little, Brown and Company, Little, Brown Books for Young Readers, Grand Central Publishing, FaithWords, Center Street, Orbit, and Hachette Digital.",5.0,18
Cupcake Bakery Pro Match 3,com.avecreation.cupcakebakerypro,"Cupcake Bakery Pro - an exciting game of the Match 3 genre, in which you are waiting for a variety of puzzles, colorful graphics and addictive gameplay.

Our bakery received a large order for cupcakes. The chef needs your help. Help him match 3 cakes, to prepare delicious cupcakes, pack them and deliver them to the festive event. Special candies will help you pass the levels faster, in cases where you will have difficulties with matching 3 cakes.

In the game are available daily rewards. Enter the game every day to get more and more coins.

The wheel of fortune will allow you to win coins, additional moves in the game, as well as special bonuses to simplify the game process. Every day you get one free spin of the wheel of fortune.

Features of Cupcake Bakery Pro Match 3:
- No ADs;
- 200 bonus coins;
- Simple and addictive gameplay in the genre of ""three in a row"";
- Unique levels with interesting tasks and puzzles;
- Various boosters, to accelerate the passage of levels;
- Cloud Synchronization of game progress;
- Share your score with your friends and challenge them;
- Unlock new levels and keep having fun.",,
Drippler: Discover Apps & Tips,com.Drippler.Drippler,"Discover something new for your iPhone or iPad every day!
Get personalized tips of the latest iOS updates, apps, cool new tricks, and features.

* Must Have Apps *
Join millions who are getting the best apps for their iPhone - ranging from productivity and travel apps to the newest games and utilities.

* iOS Updates, Tricks, and Tips*
Discover cool tricks, tips, and useful info for your iPhone or iPad. Get the latest tech news and stay up to speed with the most recent iOS updates.

* Featured in the News *
“Turn your phone into the best damn phone it can be"" - Gizmodo
“iOS users, meet Drippler, a personalized how-to manual for your iPhone"" - Gigaom
“A useful way to stay current on the rapidly changing mobile landscape"" - TechCrunch",4.5,4975
The Mindmate - Relax & Sleep,co.springtech.mindmate,"Do you often have difficulty relaxing and 'letting-go', or lack of emotional stability? Do you cannot sleep when you are tired? Are you traveling on a plane and need a quick power nap? The Mindmate is designed to help you to address these concerns. Use it before the day starts, at your office, before meetings, while commuting… even in airports or during flights, or for brief, peaceful interludes throughout your busy day, including the final unwind before bed.

*SLEEP BETTER*

More and more people have suffered from incredibly severe insomnia. How to get quality sleep? Counting sheep, valerian and nightcaps don't help? 
Now with The Mindmate, you can reconnect with your natural ability to sleep. It includes popular and effective relaxing sounds for sound sleep:
- White noise: Mixed with music can leads to hypnosis and relaxation
- Light music: Good for Enlightment, Meditation and Sleep
- Nature sounds: Reduce body’s natural fight-or-flight instinct to stress relief
- Alpha wave music: Helpful for Brain Power, Focus, Concentration, Deep Sleep

*RELAX*

Use The Mindmate for daily relaxation, stress reduction and breath training. It helps you to de-stress and re-focus your mind to maximize your productivity, to develop your self-confidence and will power. With The Mindmate, you can step out of stressful days, get a chance to de-stress and calm down.

*SURPRISING BENEFITS OF THE MINDMATE*

- Relieves sleeping disorder by blocking distractions
- Relaxes and reduces stress
- Pacifies fussy and crying babies
- Improves efficiency of work and study
- Increases focus and concentration
- Soothes headache, migraine, vertigo and ear ringing 
- Extracts the greater benefits of meditation
- Shows encouraging results for ADHD
- Maintains privacy by masking other sounds

*FEATURES*

- High quality and naturally recorded sounds
- Full screen breath visualization
- Simple gesture-based design, swipe between sounds
- Plays in the background and when your iPhone is locked
- Bluetooth enabled
- Simple sharing


Download The Mindmate and finally clear your mind in order to drift off in peace. Relax both body and mind to take a break.",4.5,321
Dinosaur World 2018,com.xinxin.dino1,"Dinosaur World

*** Applicable to multilingual applications for preschool children over 2 years old.
*** Two fun dinosaur games to help children learn new vocabulary.
*** Each dinosaur includes English and Chinese sounds and cute pictures.


Introduction:
* Promote hand-eye coordination
* Use different games to learn
* Immersive education through games

Learning goal:
* Identify the color
* Visual identification
* Audible recognition
* Coordinated action

Features:
* Interactive learning game (bilingual function for English and Chinese learning)
* The next version will add more languages

About us:
In the Xin Xin lab, we are trying to provide children with interesting and educational applications.",,
Remente - Self Improvement,com.remente.app,"Reach any goal and improve your life with our holistic app for your wellbeing.

Remente is a system of tools and insights to help you lead a richer, happier and healthier life, based on how the brain works and performs. Maintain focus and direction while managing stress and work-life balance, all in one app.

Find out how your life is balancing and use our suggested goal plans and set smart goals to reach your dreams while keeping track of your daily to-dos. Tasks, routines, goals and habits in one place. 

Reflect on how you are doing continuously to learn, adapt and thrive with our mood journal. Enroll in courses full of exercises to manage stress, sleep, relationships, increase productivity and be more mindful. 

# The app contains the following tools to help you on your journey: 
A goal setting system to turn your dreams into tangible objectives
A day planner combining your daily to-do’s with long term goals and habits. 
A life assessment tool, visualizing what’s important in your life and how it’s balancing
A mood journal that helps you realise what affects your mood and wellbeing 
A growing library of courses and exercises from experts and scientists on topics such as:

Self Appreciation
Time Management
Productivity and Efficiency
Sleep Optimization
Memory Training
Friends & Social Interactions
Relationships, Dating & Sex
Diet and Health
Stress Management
Anxiety Relief
Addiction Management
Mindfulness
Motivation and Goal Setting
Personal Finance
Communication
Leadership
Making Decisions
Managing Emotions
Depression

# Remente is loved by the press: 

""Remente provides a variety of self-development tools for everyone ready to embrace change, live healthier and more meaningfully"" - Forbes

“Remente is a feature-rich life coaching app that’ll help you get your crap together” - The Next Web

“Remente helps you ensure that you continue to give yourself some self-care and love, while also keeping track of your most important objectives.” - Mashable

“Remente stands out from the crowd because it’s backed by the best psychologists in the business“ - Lifehacker 


# Information About Remente Premium
If you want to get the most out of Remente, we recommend that you purchase Remente Premium, unlocking all the features we offer.

There are three versions of Remente Premium:
1 month for $9.99
12 months for $48.99
Lifetime for $249.99

The purchase is handled by your iTunes-account. You can always cancel or change your subscription directly in iTunes by going to settings after your purchase.

The subscription will be automatically renewed 24 hours before it expires with a subscription identical to the one you last purchased. It is not possible to cancel the subscription during the time it is active.

# Remente For Business: 
We also help businesses and employees grow. To find out more, get in touch with us at remente.com/business

# Terms of Use & Privacy Policy
https://member.remente.com/terms-of-usage",4.5,905
