Name,Package Name,Description,Rating,Rating Count
Flappy Ball 3D,com.cp01.FlappyBall,"Tap left and right Avoid the pipes!

When left near the left click on the left again, there will be unexpected results, the right is the case!

In Flappy Ball, you get to play from the perspective of the bird, earning points by passing through the pipes! 
Earn as high of a position as you can in the global leaderboards to settle who the true Flappy Ball champion is! 
The new perspective as well as graphics are visually appealing and fresh, rebirthing the initial excitement of Flappy Bird. 
Ultimately, If you enjoyed the classic hit Flappy, you will love Flappy Ball.",,
Bowmasters - Multiplayer Game,com.playgendary.bowmasters,"A brand new version of the world-famous multiplayer game with bowmen  — a hotsy-totsy aim and shoot game Bowmasters has in store for you:

• 60+ INSANE CHARACTERS from all dimensions absolutely for free! 
• ONLINE MULTIPLAYER!
• 60+ DIFFERENT WEAPONS for total mayhem, awesome fatalities with rag-doll physics! 
• EPIC DUELS WITH YOUR FRIENDS. Grab your mates and and show them what you’re worth! 
• MULTIPLE GAME MODES. Shoоt birds or fruits down, defeat the enemies in duels and get money for that! 
• ENDLESS REWARDS FOR YOUR SKILLS!

Don’t miss out on the fun! Be the first to grab it!

SUBSCRIPTION PRICING AND TERMS

Subscription options

In our game we have the following subscription length:

1. Weekly Diamond Membership offers $7.99 weekly subscription after 3-day free trial for unlocking 16 characters and removing all ads. Also the subscription will provide 1,000 Coins and 100 Gems on a daily basis.

2. Monthly Diamond Membership offers $19.99 monthly subscription for unlocking 16 characters and removing all ads. Also the subscription will provide 1,000 Coins and 100 Gems on a daily basis.

3. Yearly Diamond Membership offers $99.99 yearly subscription for unlocking 16 characters and removing all ads. Also the subscription will provide 1,000 Coins and 100 Gems on a daily basis.

End of trial and subscription renewal

This price is for United States customers. Pricing in other countries may vary and actual charges may be converted to your local currency depending on the country of residence.

Payment will be charged to iTunes Account at confirmation of purchase.

Subscription automatically renews unless auto-renew is turned off at least 24-hours before the end of the current period.

Account will be charged for renewal within 24-hours prior to the end of the current period, and identify the cost of the renewal.

Subscriptions may be managed by the user and auto-renewal may be turned off by going to the user’s Account Settings after purchase.

Any unused portion of a free trial period, if offered, will be forfeited when the user purchases a subscription to that publication, where applicable.

Canceling trial or subscription

You can turn off the auto-renew for the subscription whenever you want to through iTunes. Check https://support.apple.com/HT202039. When your current trial/subscription period expires, you will be unsubscribed. The current active subscription period can not be canceled. After your subscription expires, you will no longer be able to use sticker packs marked as Premium.

If you have any questions or comments, feel free to contact us at support@playgendary.com

Privacy Policy: http://www.playgendary.com/privacy-policy/
Terms of Use: http://www.playgendary.com/terms-of-use/",4.5,1436878
Sky Rusher,com.dubocf.skyrusher,"Welcome aboard to your spaceship!
Avoid obstacles and go as far as you can in this highspeed tunnel.

Are you Ready ?",4.5,21117
Mr Gun,com.ketchapp.mrgun,"Are you a good shot? Let's find out!

Rulebook of MR GUN:
Rule 1: Tap to shoot.
Rule 2: Score headshots for double score.
Rule 3: Score headshots for extra coins.
Rule 4: Score headshots for fun.

Note: Don't forget to upgrade your arsenal. Get new guns in gun store and by completing the boss blacklists!


Subscription Terms

Elite Equipment Access offers a weekly ubscription, you will have a 3-days FREE trial period, after this period you will be charged $5.99. After buying this subscription, you will unlock a body armor, an elite gun and removes ads. This is an Auto-renewable subscription. The payment is charged to your account after confirmation. The subscription is renewed unless you turn it off 24 hours before the period ends. Your account will be charged for renewal as well. 

The prices are established for United States customers. Pricing in other countries may change and actual charges may be converted to your local currency.

End of trial and subscription renewal: 
• The payment is charged to your account after a confirmation of purchase.
• The subscription is renewed unless you turn it off 24 hour before the end of the current period.
• The account will be charged for renewal within 24 hours before the end of the current period at the cost of the weekly subscription. 
• The user may manage the subscription and auto-renewal have to be turned off by going to the user’s account settings after purchase in the Store.
• No cancellation of the current subscription is allowed during the active subscription period.

Canceling a trial or a subscription: 
• If you want to cancel a subscription during its free trial, you have to cancel it through your account in the Store. This must be done at least 24 hours before the end of the free trial period to avoid being charged.
For more information, please visit https://support.apple.com/HT207865 for more informations

If you have any questions, feel free to contact us at contact@ketchappgames.com",5.0,34606
Go Fish!,com.kwalee.gofish,"Cast your line, reach the depths and catch as many fish as you can on your way up! Upgrade your gear to catch more fish and to dive deeper, make rare finds and discover new species!

Go Fish! features:

- Simple and addictive gameplay: Tap, cast down and catch as many fish as you can!
- Upgrade your net to grab more fish and to reach deeper depths!
- The old fisherman will continue to earn money for you when you’re away!

Can you discover the mysteries that lie in the ocean? Go Fish!",4.5,12
ParkWhiz - Find Parking Nearby,com.parkwhiz.ParkWhiz,"Take the hassle out of parking with the ParkWhiz app. Find parking in any major city, compare prices, plus save up to 50% when you book in advance.

Free yourself from parking hassles by choosing the way you’d like to book with plenty of choices, parking times to suit everyone, close-by locations, on the go on mobile.  

You’ll get paperless passes that travel with you, for convenient parking anytime--with savings of up to 50% off drive-up.

BOOK easier than ever with our all-in-one homescreen.
PARK with your mobile pass, just pull in.
DO YOUR THING with all the time and money you've saved.

- All in one homescreen for the way you like to book.
- New larger date & time selection for better ease and accuracy.
- Control it all, make your own choices. Choose fast, book easy.
- Instant-load map, simple selections, speedy booking.
- Up to 50% off drive-up rate for pain-free city parking.

All the parking you need.

Business? Check. Commuting? Yep. Going to a museum or a concert? Got it. Need airport parking? Even there. Book with ParkWhiz for all of your parking needs.

We’re the leading NYC app, sparing New Yorkers from alternate side of the street parking. From the most congested place in the nation, to Chicago, San Francisco, Boston, Los Angeles, and all points in between, ParkWhiz gets drivers parking for less. 

Better yet, you book in advance, so your space is waiting. There's no more circling blocks, worrying about full lots or frayed nerves from not knowing where to park.

HOW IT WORKS

We contract with garages and lots across America for insider pricing we pass along to you. But booking couldn't be easier. Here's how it goes:

- The first screen lets you search by destination by address, map 
or past pass.
- Pick the pin on the map with the nearby location's price you like.
- Set date and times.
- Confirm booking.
- Get your virtual pass in your phone.
- Pull in, park, then do your thing.

WAITING TO HELP

We've got real people just dying to help you out. Have a question, need a hand? Our ace customer service folks will answer your call or text and get you on your way. 

Call 888-472-7594
Email info@parkwhiz.com
Follow us on Twitter @ParkWhiz
Like us on Facebook at http://facebook.com/parkwhiz
Learn more at www.parkwhiz.com

ParkWhiz Delivers

“Dead simple to use, just enter your destination and time then it shows nearby spots. Always reasonably priced with clear descriptions. Highly recommend to take stress out of parking.” -- PW customer, April 2017

“Customer service is beyond! Love this app. I live 10 miles from NYC so I’m there often. I’m always able to get discounted parking, no matter the area.” -- PW customer, April 2017

“ParkWhiz helps drivers get where they want to be for less.” -- American Airlines Magazine
“Check out apps like ParkWhiz that will save you money and a spot.” -- ABC News",5.0,12746
Arvest Go Mobile Banking,com.arvest.arvestgo,"Go for Convenience and Control with Arvest Go

Arvest Go, the new mobile banking app from Arvest Bank, makes managing your personal accounts convenient, while providing a modern and individualized user experience! Arvest Go provides fast and easy control over your finances in a few quick taps. 

Arvest Go features include:

•	Log in quickly and securely using Touch ID, Face ID® or a four-digit passcode 
•	Set up Quick View to see account balances without having to log in
•	Customize your app by adding an optional profile photo or designating favorite accounts
•	Schedule and pay bills, deposit checks and transfer funds
•	Easily find Arvest ATMs and branches
•	Send secure messages directly to Arvest Bank
•	View and print e.Statements
•	Search through your account transactions

Getting started is simple! Download the app, log in using your Arvest online banking login ID and password and you’ll be all set. 

Not enrolled in online banking? Visit your local Arvest branch or call (866) 952-9523 to get your credentials. 

*********

https://www.arvest.com/ 

Member FDIC

Notes: 

Check back often! We will regularly enhance Arvest Go with new features and functionality.",4.5,572
World Series of Poker - WSOP,com.playtika.wsop,"Play the world’s #1 POKER APP!
Join millions of players in the official World Series of Poker app!

The most prestigious poker brand raises the stakes with THE authentic poker experience on your iPhone or iPad. Compete to win the ultimate prize in poker; your very own WSOP Bracelet! Do you have what it takes to become a champion? 

Key Features: 
● FREE CHIPS EVERY 4 HOURS – Only at the World Series of Poker!
● WSOP BRACELETS – Fill up your Collectors’ Chip collections & win the most prestigious prize in poker; the WSOP Bracelet.
● TEXAS HOLD’EM TOURNAMENTS – Win multi-level Texas Hold’em tournaments to earn WSOP rings and climb the leaderboard! What’s more fun than being #1? 
● EXCLUSIVE EVENTS – Return daily to experience new game modes, free chip events and more, for FREE!  
● WSOP CLUBS - Test your skills to earn your place in exclusive clubs and get elite benefits. Will you become a part of poker royalty?
● POKER RECALL – Challenge your memory and poker skills in our mini-game to win huge jackpots!
● POKER STATISTICS – Improve your game with the most extensive stats’ tracking in any poker app!
● TEXAS HOLD’EM OR OMAHA – Your choice! 
● MISSIONS – Stay on top of your game with daily and weekly missions!
● PLAY LIVE WITH FRIENDS – Invite your friends to play and make it a poker night anytime, anywhere. 
● CONTINUOUS PLAY – Start playing poker on your iPhone or iPad and continue on PlayWSOP.com or Facebook with the same bankroll. 
● GUEST MODE – Rock the tables and play Texas Hold’em or Omaha anonymously. Don’t be afraid to bluff!
● FACEBOOK CONNECT BONUS – Pad your bankroll with $250,000 additional chips when you connect your account to Facebook. Start your journey to become a World Series of Poker VIP!
● SLOTS MINI-GAME – Spin and win chips in between hands with the slot machine.

WE’D LOVE YOUR FEEDBACK!
Connect with us on Facebook (http://bit.ly/WSOP_Fanpage) and on Twitter (http://bit.ly/TwitterWSOP).

Practice or success at social casino gaming does not imply future success at real money gambling.",4.5,93347
Pocket: Save Stories for Later,com.ideashower.ReadItLaterPro,"Pocket is your place to quickly save, discover, and recommend the stories that interest you.
 
--
 
SAVE FOR LATER:
The next time you find an article, video or link you want to read or watch later, just save it to Pocket. It’ll sync across your phone, tablet, and computer so you can come back to it whenever and wherever you’d like, even when you’re offline.
 
You can save to Pocket from pretty much anywhere, including your computer, Safari, email, and your favorite apps like Facebook, Twitter, Flipboard, and Feedly.
 
BEAUTIFUL READING EXPERIENCE:
Read and watch everything in Pocket in a clean, easy-to-view layout that’s free of distractions. You can customize Pocket to match your reading style.
 
DISCOVER STORIES YOU’LL LOVE:
Quickly discover new stories you’ll love with personalized recommendations hand-picked by Pocket and the people you follow.
 
RECOMMEND THE BEST OF YOUR POCKET:
Recommend the most interesting stories you’re reading and watching in Pocket to your friends and followers.
 
PLUS:
• Unlimited storage
• Tags to quickly get organized
• Listen to your articles with Text-to-Speech
• Save with one click using Pocket’s desktop browser extensions for Safari, Chrome, and Firefox
 
--
 
“Stop emailing yourself links and just install Pocket.” - The Verge
 
“Pocket makes subway reading possible. No longer do your lingering Safari pages refresh mid-commute, leaving you staring at a blank, hopeless screen that cannot connect to the Internet.” - Slate
 
---
 
Upgrade to Pocket Premium for a more powerful Pocket experience ($4.99 monthly, $44.99 annually):
 
• Permanent Library to keep a personal backup of what you save
• Full-Text searching to find anything in your list
• Suggested Tags to get organized fast.
 
Price may vary by location. Subscriptions will be charged to your credit card through your iTunes account. Your subscription will automatically renew unless canceled at least 24 hours before the end of the current period. To end a subscription, disable auto-renewal and allow the current period to end. It will not be possible to immediately cancel a subscription. Refunds are not available for unused portions of a subscription.
 
Pocket Privacy Policy: http://getpocket.com/privacy
Pocket Terms of Service: http://getpocket.com/tos",4.5,25070
New Technology GoAPPuntamenti,com.newtec.GoAPPuntamenti,Grazie alla nostra app potrai prenotare comodamente da casa tua,,
