Name,Package Name,Description,Rating,Rating Count
Flappy Ball 3D,com.cp01.FlappyBall,"Tap left and right Avoid the pipes!

When left near the left click on the left again, there will be unexpected results, the right is the case!

In Flappy Ball, you get to play from the perspective of the bird, earning points by passing through the pipes! 
Earn as high of a position as you can in the global leaderboards to settle who the true Flappy Ball champion is! 
The new perspective as well as graphics are visually appealing and fresh, rebirthing the initial excitement of Flappy Bird. 
Ultimately, If you enjoyed the classic hit Flappy, you will love Flappy Ball.",,
Crossy Road,com.hipsterwhale.crossy,"Over 150,000,000 downloads! Apple Design Award Winner 2015!
Why did the Chicken cross the road?
Why did the Pigeon leave THAT there?
Why did Unihorse eat all that candy?
Crossy Road® is the #1 viral smash hit you’ll never stop playing.",4.5,768298
Sweet Road – Cookie Rescue,com.cookapps.sr,"""Help! I need rescue!"" 
- George the Gingerbread Man. 

Hey, you there!
Are you ready to rescue Gingerbread George in the SWEETEST way possible? Get your sweet tooth ready, bring a taste for new challenge, and prepare for the exciting arsenal of sweet dessert: lollipop, candies, chocolate, gummy jelly, cookies... you name it!
Come rescue gingerbread cookies in Sweet Road, the deliciously exciting and tasty puzzle match game!

SWEET ROAD GAME FEATURES:
● Tasty puzzle match game filled with CANDY & DESSERT
- Swap and match sweet candies to solve the puzzle game!

● New exciting and challenging LEVELS
- Enjoy new tasty levels in the game each week!

● Variety of different puzzle MODES
- Rescue gingerbread cookies in various exciting tasty game modes!

● Variety of tasty & sweet ITEMS
- Create powerful Special Candies by matching 4 or more sweet candies! Use different items to help your tasty adventure in Sweet Road!

● Supports airplane mode / OFFLINE PLAY
- No need to worry about wifi or data, so you can focus on the cookie rescue anywhere, anytime! 

● Beautiful GRAPHICS
- High quality graphics so you can enjoy high quality lollipop and cookies while playing the tasty puzzle game!

● George the Gingerbread Cookie who needs RESCUE!
- The best looking gingerbread cookie of all time needs your help! Come to his rescue, and perhaps you will get a new tasty lollipop as a token of appreciation? ( Gingerbread George is a famous lollipop maker! )

● Oh, and did we mention DESSERT?
- The world famous lollipop made by Gingerbread George is far from the only tasty dessert in Sweet Road! Jump in and enjoy the delectable world filled with candy and the best sweet dessert in existence! But we do hope you like Gingerbread George's lollipop! ( ...and candy, chocolate, jelly, cookie, and last but not least, gingerbread! )

● Sweet Road iMessage STICKERS!
- Download now to get more than 10 special animated stickers and send sweet messages to your friends!

TASTY ADDITIONAL INFO:
• "" Sweet Road - Cookie Rescue "" is a free to play puzzle match game with in-app purchases available
• "" Sweet Road - Cookie Rescue "" may contain ads for another new exciting game

SWEET LINKS:
• Like us on Facebook to see new updates and free tasty rewards: http://www.facebook.com/sweetroadgame
• Visit our Help Center for some sweet assistance: https://sweetroad.zendesk.com/hc/en-us",4.5,5362
Emoji Quiz - Word Puzzle Games,co.mediaflex.emojiquiz,"Play the most enjoyable and challenging emoji guessing game yet with Emoji Quiz by Mediaflex Games! Fun for all of the family, test your reasoning and logic skills by guessing what the emoji puzzles are describing! Can you guess them all?

- Numerous level packs to keep you busy with hundreds of different emoji puzzles
- A range of hints to help you out when you get stuck
- All emoji provided free by http://emojione.com


ABOUT MEDIAFLEX GAMES
With over 20 million downloads and growing, Mediaflex Games has established itself as leading a creator of puzzle and trivia games for kids and adults.

Visit us: http://www.mediaflex.co
Like us: http://www.facebook.com/MediaflexGames


CONTACT US
Let us know what you think! Questions? Suggestions? Technical Support? Contact us at: apps@mediaflex.co


IMPORTANT MESSAGE FOR PARENTS

Our games are free to play but certain in-game items may be purchased for real money. You may restrict in-app purchases by disabling them on your device.

PLAY FOR FREE NOW!",4.5,12707
Monster Truck Go-Racing Games,com.tapjoy.AngryMonsterTruckRivals,"Monster Truck Go-Racing Games is one of the most fun and challenging race free games. It is easy to control for family kids adults teens boys and girls. 

Use power-ups, hit jumps and speed through shortcuts as you jostle for position with the cast of moto racing Featuring multiplayer racing, incredible visuals and amazing tracks from across the world, monster racing brings console quality arcade racing to your iPhone, iPad or iPod! 

Key Features 
> Simple controls & Realistic bike physics. 
> Race with the shadow racers. 
> RETINA DISPLAY support for iPad and iPhone! 
> Earn stars to unlock new bike. 
> 4 addictive worlds. 
> 48 challenging tracks. 
> Touch to accelerate, tilt to lean the moto & bike. 
> Upgradeable vehicles. 
> Cool graphics and smooth physics simulation.",4.5,680
FANDOM for: Saints Row,com.wikia.app.swa.saintsrow,"Fandom's app for Saints Row - created by fans, for fans. Saints Row app always features highly-accurate, real-time information from Fandom's passionate community of fans. You can expect to see hundreds of pages of content created by fans just like you. Find articles on Characters, DLC, Gameplay, Missions, Activities, Vehicles, Weapons, Unlockables, Cheats, Customizations, Radiostations, and much more. No other app offers this combination of companion features that allow you to:

- Browse: Discover Saints Row articles created by fans from the community.
- Connect: Join the Saints Row community to discuss with fans or suggest changes to content.
- Explore: Search for other Fandom community apps like Saints Row and related content.

NOTE:
The app icon, screenshots and all content inside this app are Creative Commons licensed (CC-BY-SA) and the license details for all of these assets can be found on Fandom's licensing page: http://www.wikia.com/Licensing. As an official Fandom app, this app fully complies with the CC-BY-SA terms set forth on that page.

All Fandom content and the contents of this app were uploaded by users and are governed by Fandom's Terms of Use (http://www.wikia.com/Terms_of_Use). We have a team dedicated to enforce Fandom's Terms of Use, including responding to DMCA takedown notices. For more information please see our DMCA takedown policy:http://community.wikia.com/wiki/Help:DMCA_takedown_notice",5.0,11
Oddworld: New 'n' Tasty,com.oddworld.NNTIOS,"TouchArcade 4.5 out of 5 stars ""a ridiculously easy title to recommend""

** PLEASE NOTE: Requires 3.6GB free space to install. Runs at variable resolutions based on device capabilities. Performance settings available in app.

A mudokon chosen by the fickle finger of fate, Abe was a first class Floor-Waxer for RuptureFarms who was catapulted into a life of adventure.

Late one night he overheard plans from his boss, Molluck the Glukkon, to turn Abe and his fellow Mudokons into Tasty Treats as a final effort to rescue Molluck's failing meatpacking empire!

Can Abe change the fate of thousands and rescue the Mudokons? Can he escape the dark recesses of RuptureFarms and the desolate, uninviting, and downright terrifying surrounding environment?

Lead our unlikely hero on his mission because if he doesn’t make it… Abe’s back on the menu!

Additionally:
* Supports MFi gamepads (extended profile only).
* Supports Cloud Save via iCloud’s CloudKit; sync your saves across multiple devices.
* Supports Leaderboards and Achievements via GameCenter.",4.5,374
iExit Interstate Exit Guide,com.metrocket.iexit,"iExit helps you decide where to take pitstops when traveling US interstates. It uses your device's location to determine where you are on the highway, and then displays upcoming exits in real time.

The default mode shows you a summary of each exit ahead, but you can also search among upcoming exits. Search upcoming exits for businesses (like Starbucks, Cracker Barrel, or KOA Campgrounds), amenities (like WiFi, Playground, or Truck Parking), rest stops, hotel deals, and much much more.

Your GPS will tell you how to get there. iExit will tell you where to stop along the way.

Don't believe iExit will change the way you travel? Ask The New York Times, USA Today, Consumer Reports, CNET, MacWorld, The Today Show, ABC News, and many more. Here's what CNN had to say about iExit:

""Do you have enough gas to wait until the next town? Is there a bathroom coming up any time soon? Need to buy a tent at Wal-Mart? The iExit app will tell you exactly what lies ahead.""
- CNN.com

Don't take another road trip without iExit!

** Important Notes **
● Your device must have GPS hardware or a connection to the internet for iExit to display results based on your location.
● iExit is compatible with iOS 7.0 and later.
● iExit only works in the United States on major exit-based highways.

If you have a question or complaint about iExit, please reach out to us first at info@iexitapp.com before leaving a bad review here. We work incredibly hard to build you the best highway guide app in the App Store, and we value your feedback and will reply immediately. Thanks for using iExit!",4.5,2014
Kings Row,com.ChowNow.KingsRow,"With the Kings Row app, ordering your favorite food to-go has never been easier. Simply open the app, browse the menu, select your items, and voila! Special features include: restaurant info, full menu access, order ahead, special instructions, tipping, and saving your account info as well as Apple Pay for easy checkout. Download. Order. Eat. Repeat.",,
New Road PS (HX6 1DY),com.webanywhere.schooljotter.newroad4366,"SchoolJotter is a simple yet comprehensive way to keep up to date with your child’s school on your mobile phone.

View the latest news, alerts, calendars, galleries, and more, all updated regularly and available at your fingertips.",,
