Name,Package Name,Description,Rating,Rating Count
Live Wallpapers for Me,com.apalonapps.livewallpapersfree,"IMPORTANT: ONLY WORKS ON iPhone X, iPhone 8 & iPhone 8 Plus, iPhone 7 & 7 Plus, iPhone 6s & 6s Plus! Amazing moving wallpapers. Make your iPhone look awesome!

Ready to take a step up in customizing your device? Animate your screen with spectacular time-lapse sceneries, cute pets bringing a ​smile to your face, or hypnotic abstract dynamic patterns, carrying your thoughts away. You can even witness a powerful cosmic explosion right on your Lock Screen! 

We add new great animations and dynamic themes weekly, on the fly, so you’ll always have something new for your screen at hand.

Here’s how to WOW everyone with the new look of your device:

- Choose from impressive live wallpapers and press Save
- Set the Live background you selected as your Lock Screen wallpaper
- Press your Lock Screen to let the magic happen!

Get high-quality animations for your screen and make your device draw admiring glances!

For complete access to all Live Wallpapers for Me features, you will need to allow access to the following: 

*Photos - to import backgrounds you like and set them to your Lock Screen;
*Notifications to keep you informed when new live wallpapers are added to the app.

Get Live Wallpapers for Me Premium
Upgrade to the Premium version and unlock all premium wallpapers, get regular content updates and remove ads!
* Choose from different subscription options. Our standard subscription options are:
1-week Subscription with 3-day free trial
1-month Subscription
1-year Subscription

* Subscription payments will be charged to your iTunes account at confirmation of your purchase and upon commencement of each renewal term. Subscription with a free trial period will automatically renew to a paid subscription. You can cancel your subscription or free trial in the iTunes settings at least 24-hours before the end of the free trial period. The cancellation will take effect the day after the last day of the current subscription period and you will be downgraded to the free service. 
* Please note: any unused portion of a free trial period (if offered) will be forfeited when you purchase a premium subscription during the free trial period.
* Please note that you can’t set Live wallpapers if you’re using the Low Power Mode.

Privacy Policy: http://apalon.com/privacy_policy.html
EULA: http://www.apalon.com/terms_of_use.html
AdChoices: http://www.apalon.com/privacy_policy.html#4",4.5,48550
Hill Climb Racing 2,com.fingersoft.hillclimbracing2,"Play Hill Climb Racing 2! It's Bigger, It's Better And It's Much Much Funner!?

Features: 
•  Vehicles - Unlock vehicles and choose the best one for your playstyle
•  Upgrade - Improve the engine, suspension, tires & 4WD of your vehicles
•  Tune - 14+ Unique and upgradeable Tuning Parts 
•  Customize - Style your vehicles and character
•  Explore - Various environments with achievements
•  Great Graphics - Optimized for high and low resolution devices
•  Social - Challenge your friends in daily and weekly competitions
•  Compete - Climb the leaderboards, win challenges and become #1

Vehicles: Motocross, Jeep, Formula and 9 more!

Hill Climb Racing 2 is free to play but there are optional in-app purchases available.

Remember that we're always reading your feedback and are hard at work creating new vehicles, cups, features and of course fixing any issues you may find. So we'd really appreciate if you'd report what you like or dislike and any issues you may have with the game to support@fingersoft.net, please include your device make and model.

Follow Us:
* Facebook: https://www.facebook.com/Fingersoft
* Twitter: @fingersoft
* Web: https://www.fingersoft.net
* Instagram: https://www.instagram.com/hillclimbracing_official

Monthly VIP Subscription: 
Subscription payment will be charged to iTunes Account at confirmation of purchase. Subscriptions automatically renew unless auto-renew is turned off at least 24-hours before the end of the current period. Account will be charged monthly for renewal within 24-hours prior to the end of the current period.  Subscription may be managed by the user and auto-renewal may be turned off by going to the user's Account Settings on the device.

Terms of Use: http://fingersoft.net/eula
Privacy Policy: http://fingersoft.net/privacy

Hill Climb Racing is a registered trademark of Fingersoft Ltd. All rights reserved.",4.5,54578
PolyColor - Color by Polygon,com.entertainment.polygonart,"Get ready for Unique Polygon △ R T experience! This is a hot NEW coloring trend you just can’t get behind! Create your own mosaic masterpiece made out of tiny triangles! Images turned into techy geometric artworks! 

Think you really can’t create those out-of-this-world pictures? Think again! No special set of skills needed! Choose a pic, get in touch with your inner artist and color it your way with an awesome set of palettes & oh-so-cool color combos! From bright, energetic, fun, to dark & dramatic! Give it a fancy, futuristic or just true-to-you color vibe! 

Use Poly Cam to take a picture, or choose any image you like and turn it into geometric art coloring page!

If you're looking for a relaxing and fun way for your creativity to flow, you've found it! Simple geometric shapes placed side-by-side! Let go of your worries, ease your mind and get into artistic mood with PolyColor! Far more easily than you thought!

FEATURES:

• Polygon art! New-gen mega awesome way of coloring! 
• Make-your-jaw-drop Low-Poly images! 
• Power of perfect color match! Edgy palette for any & all pictures!  
• Huge collection of angular-pattern pics! Regular updates coming up! 
• Use Polygon Camera to snap an awesome pic and transform it into polygon art!
• Super-duper-easy stress buster! Not stressed? Just let your creative beast out! 
• Fun for the whole family! For both adults & kids!
• Record the creation process with timelapse vids!
• Amaze your friends & share your masterpieces!
• Simple, clean, minimalist look & feel!

Feel free to drop us a line: support@exosmart.uk.com

Get PolyColor Premium

Subscribe to Premium to get the unlimited access to the full collection of polygon images. Immerse yourself into the world of modern futuristic art, without any limits! 

-3 subscription options: weekly ($7.99 USD, 3-day free trial), monthly ($7.99 USD), annual ($39.99 USD). 
-By subscribing you get unlimited access to all the app’s functionality for the whole duration of your subscription period. 
-Payment will be charged to iTunes Account at confirmation of purchase. 
-Subscription automatically renews unless auto-renew is turned off at least 24-hours before the end of the current period. 
-Account will be charged for renewal within 24-hours prior to the end of the current period. “Free trial” > $7.99/week, or renewal equals to the initial subscription chosen and its current price unless a special price is offered.
-You can cancel a free trial, manage your subscription and turn off the auto-renewal anytime through your Account Settings. This must be done 24 hours before the end of a free trial or subscription period to avoid being charged. 
-Privacy Policy: http://exosmart.uk.com/index.php/privacy-policy/
-Terms of Use: http://exosmart.uk.com/index.php/terms-of-use/
-As soon as you purchase a subscription, any unused part or time-span of a free trial period will be forfeited.",4.5,1128
Candy Girl - Fun match 3 games,com.rankone.candygirlsodacrush,"Candy Girl is a match 3 puzzle game where you can switch, swap, and collect candies with everyone's favorite candy girls on their yummy planet ! You will love this candy collecting adventure and watch them weave their magic!

▶ Match 3 or more bubbles, gems, charm or candy

▶Tons of puzzle levels for you to master. Line up pieces for wonderful power-ups to help you get through even the hardest levels! 

▶Blast and clear many fun obstacles like gummy treats , fluffy cake , and sugar balls ! 

▶ Match your way to the candy fort through like ice blocks , diamond rocks and jewel orbs

▶Are you the best on the planet? Check the tournament leader board to see how far you can get compared to all the other bold players out there!

▶Mix and match power-ups to create even more powerful double helix combos. Watch the Candy Girls dance and jump along as the most amazing and exciting combos fall and bounce ! Dunk all the sweet treats !

▶Complete levels to collect keys to dozens of different magical chests in the tower .  Unlock for free items like moves, magic paint balls and even more power-ups! 

▶Miraculous backgrounds and cool songs will have you dancing around this game forever !

This is one of the longest and most entertaining puzzles around! Great for time management and keep your brain sharp!  With over 5000 levels to play and many more being added, you can stay with this toon style candy game a very long time ! Buy more combos to help you save time but not necessary to win.",4.5,994
Happy New Year Awesome Stickers,com.raghav.newyearsticker,"Send your New Year Stickers  in a new and fun way. Send them alone or stick them on top of word bubbles. Simply touch and hold the sticker you want to use, then drag it into place. You can even resize the sticker with two fingers.


To start using Happy New Year Stickers Pack in iMessage:
- Open a message with a friend and tap "">"" button to the left to the text box
- Tap the app button that appears (it looks like an ""A"") and then tap the button the button in the lower left (looks like four circles). This opens up the iMessage app drawer.
-Tap New Year Stickers icon to start sending stickers

Tips & tricks in sending stickers:
-Tap to send sticker 
- Touch and hold to 'peel off' the sticker. Then, move it around to stick them on top of speech bubbles, other stickers or photos.",,
New Year Christmas Quotes,X8.Quote3,"Christmas is a time of meaning and traditions and Christmas is a time to open our hearts. 
It's the best time for wishing your near and dear ones, and your wishes will be much better if you use Christmas Quotes. 
We have collected tons of quotes and sayings about Christmas(Xmas). Some quotes are from famous people and another from anonymous. And every quote includes nice warm words. You can use app to create a beautiful and poetic compliments or use it as idea generator.

Features

- Huge Number of Christmas Quotes
- User friendly interface
- Quick way to share quotes

Use lovely Christmas Quotes and don't forget forget wishing your near and dear ones.",,
Cirko - Meet Awesome People,-9950207.Jiabo.Feng.Hi5Technologies.Hi5-,"Cirko's mission is to inspire and empower everyone to make new friends. 

Cirko allows you to scan QRcode to add a new friend and automatically saves their name, phone number, email address and profile pic to your phone. You can also see their Facebook, Instagram, Snapchat, Twitter accounts all in the app. And of course, you can chat with them in the app. Secret power moves are available to surprise your friends with lots of love and caring. 

Features available: 
 - browse through people nearby
 - scan ANY standard QR code
 - save contact to contacts app on iPhone
 - chat with other users in the app
 - send photos and videos to other users
 - request to access a friend's social media usernames
 - send powerful emojis to other users

Note: Cirko does not save your chat messages history. All messages that have been read by both parties are instantly destroyed on the server. Cirko values your privacy and would never share your contact information with anyone without your permission.",5.0,14
Fur Balls,com.avneetsandhu.Fur-Balls,"Buy once get new stickers for life . Includes Animated stickers . Very colour full stickers that will ad some warmth and fun to your plain conversations . If you like sending cute animated stickers these stickers are for you . Buy Now 

Happy texting !",,
Dance-Off,com.avneetsandhu.Dance-it-off,"The Dance man is here to dance off with you . Just copy the dance man and add a little fun to your conversations , do a dance off with your friends . 

The dance man was created by our team to make you laugh and shake your stress away . The dance moves are especially choreographed to lighten your mood . So have a little fun . 

When you move your body your stress goes away and what better way to do it than with your friends . 

Happy texting !",,
Tiny Boxer - Play Free Action Runner Games,com.egglabs.tinyboxer,"Tiny Boxer is out on a rampage to destroy the pipes and he is mad...

Game Features:

- 8-bit art style and retro look
- Play with just a tap
- Very fast game play
- Not easy and challenging, but hardly impossible
- Game Center integrated for more fun
- Great for everyone: if you’d like to get some stress out, or just love old school and mini games, or you’re just a kid – Tiny Boxer will be great for you
- The best of all, it’s FREE: no hidden in-app purchases, everything unlocked at no price

You may think it’s just another running, flying, jumping, or endless race game. But this nice tiny indie game is a bit different…",4.5,9066
