Name,Package Name,Description,Rating,Rating Count
Talking Tom Jetski 2,com.outfit7.tomsjetski2,"Get ready to race jetskis with Talking Tom and Friends! Explore the tropical islands as you race your rivals. Dodge obstacles and collect all the coins! Go super fast on your very own jetski and build the perfect beach house. What are you waiting for? Let's go! RACING IS FUN!

***ENJOY THE RUSH OF TALKING TOM JETSKI 2***

- CHOOSE FROM FIVE FREE RIDERS: Talking Tom, Talking Angela, Talking Hank, Talking Ben and Talking Ginger. The whole gang’s here and ready to race!
- COLLECT 25 UNIQUE JETSKIS: Ranging from the fast ‘n’ fierce Tiger Rider to the fabulously pink Sparkle, the unicorn jetski! Choose your very own and be the best rider!
- BOOSTER UPGRADES: Customize your jetski with special parts to compete against opponents who’ll do anything to win.
- RACE IN FIVE DIFFERENT WORLDS: See the spectacular sights by racing in Angela’s Beach Resort, Ben’s Science Lab, Ginger’s Sandcastle, Hank’s Surf Shack, and Tom’s Treasure Island.
- WIN CHESTS: Every victory earns you a chest packed with mystery items. Will you get the prize you want?
- BUILD YOUR OWN BEACH RESORT: Spend your race money on building a unique luxury beach house for each character.
- ANYONE CAN PLAY: The simple control system lets players of all skill levels enjoy the thrill of being a jetski racer.

Talking Tom Jetski 2 is a brand new free game. It’s the sequel to the smash hit racing game, Talking Tom Jetski!

This game gives you more of the jetski action you love, but with better graphics, upgradable jetskis, and exciting rewards to win with every victory. So download it for FREE now!

JUMP ON YOUR JETSKI AND LET’S RACE!

This app contains:
- Promotion of Outfit7's products and third-party advertising
- Links that direct users to other apps and Outfit7's websites
- Personalization of content to entice users to play the app again
- The option to make in-app purchases
- Items are available for different prices in virtual currency, depending on the current level reached by the player
- Alternative options to access all functionalities of the app without making any in-app purchase using real money (level progress, games, in-game functionalities, ads)

Terms of use: http://outfit7.com/eula/
Privacy policy: http://outfit7.com/privacy-policy/
Customer Support: support@outfit7.com",4.5,16814
Max Save Water Flow Twist,com.Max.Save.Water.Flow.Twist,"Another key one is to fix some problems[Feature]
The graphics are clean and colorful
Smooth user interface.+ Music and sound+ Play for all ages
Great sound and graphicsGames 
Free No purchase necessary
Perfect for kids and you",,
Little Fish Water Getaway - new fast racing,com.BazingaApps.LittleFishFree,"**** ACCELERATING AND THRILLING ADVENTURE ****

If you love adrenaline and thrill, this is the perfect game for you. Navigate through multiple floors using your mind and wits, make sure you have lots of it.

================
FEATURES
================

- Easy controls
- Endless gameplay",,
Turbo Duck Water Racer - New speed water racing game,com.QuantumApps.turboduckracerFree,"*** Hey! Time to tap your screen and win the Turbo Duck Water Racer! ***

Play all day and enjoy the thrilling yet very simple game of Turbo Duck Water Racer! Tap your screen and help the duck win the water race!

How to play:
This game is simple. Just tap your screens to help the duck go through the finish line. Tapping will make the duck jump and glide fast through the finish line!

Features: 
- Endless gameplay for nonstop playing action
- Simple game control > just tap the screen
- 20+ levels to accomplish
- more power ups and speed boosts
- Game Center Leaderboard for to compete with your friends.

Download Turbo Duck Water Racer today! Warning: this game is totally addicting!",,
Flippy water bottle new extreme challenge 2k17 2,com.appsky.flipbottlev3,"You've seen the challenge, you've flipped the water bottle, now take it on the go.
Collect all bottles.Try to Download and play Now!!!",,
Flip that water bottle new extreme challenge 2k17,com.appsky.flipwaterbottle,"You've seen the challenge, you've flipped the water bottle, now take it on the go.
Flip the water bottle go up to collect water for unlock more bottles type . Try to Download and play Now!!!",,
Flip water bottle new extreme challenge 2k17,com.appsky.flipwaterbottlev2,"You've seen the challenge, you've flipped the water bottle, now take it on the go.
Collect all bottles.Try to Download and play Now!!!",,
Dizzy Bubble,com.141.dizzy,Float Dizzy Bubble through the danger in this Two touch control arcade game,,
"Las Vegas Stickers: The Strip, Bus, Venues, Limo",com.powerdreamer.LasVegasStickerPack,"Viva Las Vegas! One of the most best places in the world where you can do just about anything! Share your favorite locations, sights and experiences that Las Vegas has to offer with these wonderful stickers! Planning a trip with friends or just thinking about the unforgettable time you once had in Las Vegas, use these stickers to spruce up your iMessages!  Keep the excitement right with your family and friends by adding digital stickers to all of your messages!  This app gives you all the stickers you need to share all the things you love the most about Las Vegas!
Dozens of colorful stickers!
Send a message to your friends!
Greet your friends and family with these fun stickers!
Las Vegas stickers pack!
Share the excitement of Las Vegas with your friends and family!",,
"One Fish, Two Fish, HANGED! - A hangman classic",com.illusiastudio.fishswipe,"Do you love old school classic board games but with a modern day era feel to them? If so, then One Fish, Two Fish, Hanged! Is a must download game for you!

Play the classic hang man wordgame but without using a single word or any vocabulary. 

The object of the game is to swipe your screen in the direction that the green fish is facing or in the opposite directing that the red fish is facing. 

The fish are hanging off of a fishing pole above the ocean water. If you swipe the arrow in the wrong direction you will start to hang your scuba diver. If you do not learn from your mistakes, your scuba diver will turn blue in the face and be completely hanged. 

If you get a great score you can share your game replay with your friends and family on Facebook, Twitter or Instagram with the click of one button.

This free new puzzle game has a Dr. Suess feel to it that kids will love but adults will surely get addicted as well. 

Remember sitting by the lake camp fire when you were a kid playing a boardgame under the moonlight? Now you can get that same enjoyment in the palm of your hand, playing on your living room sofa.

Download this game now for hours of fun!",4.0,14
Bumper Boat Kids 2 Free,com.141.bbksr,The Bumper kids are back this time in the slime river. Spike the bumper bully has been slimed and he is madder than ever. Bounce off your friends and avoid the bumper bully in the slime river.,,
Dizzy Bubble Free,com.141.dizzyfree,Float Dizzy Bubble through the danger in this Two touch control arcade game,,
Water Bottle Flip Challenge Extreme 2K16,com.sg.waterbottleflipchallenge2k16,"You have seen the Flip Bottle Challenge, Now it’s your turn to take on the Water Bottle Flip Challenge on your phone. Can you Flip the bottle and make the perfect landing ?

HOW TO PLAY:

- Tap to flip water bottle
- Collect Coins to unlock new cool bottles
- Brag your score by sharing it with friends",4.0,5
Flying Dino Simulator | The Ultimate Funny Dinosaur Game For Free,com.ws.flying.dino.simulator.free,"DINO LEGEND: HELICOPTER VS. DINOSAUR
A flight simulation game with helicopter and dinosaurs very funny!

Download now the best combat flight simulator game in which helicopters will try to attack our dino in this exciting war in the air.

Our flying dinosaur tries to return home after hunting, but ... an air force army pursues him!
Fight them in order to escape and get out of danger in this game of legend.

Help our flying dinosaur to win the flight fight, in a very funny game for kids.

This is the war! So fight with all your strength to win the helicopters in a battle of legend.

Download now the best air battle simulation game air battle between our dinosaur and aircraft and not let to be hunted.

Twitter: @WildSimulator
Facebook: www.facebook.com/WildSimulatorGames",4.0,5
Flip Bottle AR,com.game.ar.flipbottle,"Flip Bottle AR
is the new upcoming Augmented Reality arcade game! In this game, you're supposed to hit the flipping bottle with your finger and split it perfectly in half! Just find a correct spot for Augmented Reality level and start slicing! Try to get highest score! 

Features:
- Real, markerless Augmented Reality system based on NEW IOS 11 AR KIT!
- Play with friends!
- Play inside your room!
- Play outside your house!
- Play in your school!
- Play anywhere you want!
- Extra 'bullet time' game mode for fast and precise cuttings!

With the new Augmented Reality (AR) Technology, everything is possible! 

This game is using Advanced Procedural Cutting algorithm, which ensures that each and every of your splits is realistic and unique!
Immerse into the new procedural, augmented reality-powered 3D experience and challenge your friends in endless flying bottles hunt!",,
Ankylosaurus Simulator,com.lnwJuTi.AnkylosaurusSimulatorPro,"The most exciting battle of the Ankylosaurus has begun in a faraway island full with dangerous from fierce and frightening dinosaurs in many species. Only the strongest one will survive and become the ultimate dinosaur. To play this game is just to control Ankylosaurus to fight or attack via joystick. This is realistic simulator game of dinosaur battle for survival has begun!!!
In this dangerous island is full of fierce and frightening dinosaurs such as Tyrannosaurus have sharp teeth for biting and tearing flesh, Stegosaurus with spikes on its tail for defence, Velociraptor is clever and nimble, Spinosaurus has a high spines like sails and many more living in this island. The strongest one will survive in this land. It is necessary to hunt and kill the enemy as much as you can to become the ultimate dinosaur and also have to eliminate the giant boss in each zone. 
Ankylosaurus is a genus of armored dinosaur with a large club-like protrusion at the end of its tail. The name means is ""fused lizard"" in Greek. Its entire top side is heavily protected from carnivores with thick, oval plates fused in its leathery skin. It is the main character in this game .

◆◆◆ HOW TO PLAY ◆◆◆
- Control the character by joystick to kill of enemies
- Upgrade the ability
- Fight boss in each zone.

◆◆◆ GAME FEATURES ◆◆◆
- Smooth realistic character control 
- Missions and upgrade abilities system
- The ultimate character
- Three beautiful world scene 
- Enthusiastic music , noises and sounds
- Beautiful UI , button , animation and effect",,
Plumber Puzzle Crack The Code,com.biggooseegg.plumberpuzzle,"Can you crack the code?

Help the plumber connect the pipes in the right order. But don't cross the streams.

The puzzle gets more and more challenging the more you solve.

Fun pipe puzzle for all ages from Big Goose Egg.

INSTALL NOW - IT'S FREE",,
Alien Venom Lite,com.gpimports.AlienVenomLite,"You are now in a Martian station! You must be ready to the event of alien invasion.
This is an amazing physics-particles game.


Important: Double tap on the military tank to start shooting neon. Tap once to stop.

Adjust/Move pipes to redirect neon according to your needs (Tap on them)
We are working in 35 new levels.


Your final mission is to fill the ufo and alien with alien venom (it will kill them) within the area.

Shoot at the aliens to energize them and earn extra points
Tanks can be moved with the drag of you finger


With amazing graphics and challenging levels, this game will have you hooked from the beginning!
Are you up for the challenge?


Get ready to encounter all sorts of obstacles along the way.
With amazing graphics and a clever theme; you will not find a similar app out there!

We though of every detail that makes this game a fun and challenging one with amazing sounds and effects!


enjoy!",,
