Name,Package Name,Description,Rating,Rating Count
Rowan McPaddles,com.monstronauts.rowanmcpaddles,"Gear up for a crazy ride! In Rowan McPaddles, you play as bold daredevils trying to outrun Jawsh, an over-sized mega shark.

JUST KEEP ROWING
The angry shark Jawsh is the least of your worries! Keep your eyes open for hippos, crocodiles, and other insane obstacles you have to avoid and hop over while maneuvering across the Bad Bad River.

STRIKE THAT POSE
Survival isn’t enough; it's important that you make it out alive IN STYLE! Perform stunts, take pictures, and upload them to Rivr —  the fictional social media app.

WHO ARE YOU GONNA CALL?
From a man on a kayak with an amazing mustache, to a guy riding a narwhal, the choices are absurd! You have a wide variety of characters to choose from, with even more added every update.

BE NUMBER ONE!
Get the highest score, and show your friends that you are THE VERY BEST. (Like no one ever was).

Features:
• An endless chase across the rapids with randomly generated stages
• Dash and speed across the water through a series of insane obstacles
• Test your skill with the game’s unique and challenging control scheme
• Get the highest score by performing jaw-dropping stunts
• Farm gold coins to unlock characters and skins through the in-game gacha system
• Upgrade your in-game social media page to earn more followers and gold coins
• Fun and accessible for the whole family

Like us on Facebook and follow us on Twitter and Instagram for the latest news.
Facebook: https://facebook.com/monstronauts
Instagram: @Monstronauts
Twitter: @MonstronautsInc

NOTES:
• This game is free to play, but features advertisements and optional in-app purchases. You can disable in-app purchasing by adjusting your device settings.
• Video advertisements are optional, while full-screen advertisements, though seldom appear, can be disabled thru any in-app purchase.",,
Rain Rain Sleep Sounds,com.timgostony.rainrain,"Trouble sleeping? Rain Rain™ helps you fall asleep fast! Let over 100 high-quality endless sounds lull you to sleep in no time, with more sounds added all the time. Mix and match any combination of sounds and save your favorite combinations. Download the app that over five million people have used to fall asleep today!

Here are the top sounds being listened to this week:
Rain Rain Original, Thunderstorm, Rain on a Tent, Rain Rain 3D, Ocean Waves, Summer Rain, Forest Rain, City Rain, Thunder Cracks, Rain Downpour, Crackling Fire, Slow Stream, Desert Wind, Blizzard Wind, White Noise, Airliner, Car in the Rain, Windy Storm, Rain Dripping, Gentle Stream, Cat Purring and Shih Tzu Snoring.

Rain Rain includes unlimited free access to 35 super-high-quality endless sounds, with more added all the time.

MIXER: Combine any sounds you like and control the volume of each. Want to hear a campfire in the rain? How about a washing machine and a dryer? It's all possible with the Mixer. You can also save your favorite sound combinations for easy recall later. Your custom mixes are synchronized automatically between all of your iOS devices with iCloud.

FADE-OUT TIMER: Set Rain Rain to gently fade out and then turn off after a specified duration so that you can get to sleep without leaving your phone on all night. The Fade-out Timer learns your preferences and automatically starts the next time you use Rain Rain.

BEDTIME REMINDER: The first step to a better night's sleep is a healthy sleep schedule. Achieve your bedtime goals with Rain Rain's integrated Bedtime Reminder by setting what time and days you would like to go to sleep. Rain Rain sends you a gentle, encouraging reminder when it is time to go to bed so that you can get the rest you deserve.

OSCILLATOR: Further customize your experience with the Oscillator, which slowly fades a sound in and out, allowing you to create dynamic, varying soundscapes. Oscillator works especially great when combined with the Mixer. When you save a Mix to your Favorites, your Oscillator settings are saved as well, allowing you to save and recall any number of custom soundscapes.


Over a hundred thousand people use Rain Rain every night to help them sleep, relax, meditate, study, work, and focus.

SUBSCRIPTION DETAILS
Rain Rain Unlimited is a subscription offering to get access to every Rain Rain Premium Sound Pack at a low monthly price. There is no need to subscribe to use Rain Rain, but doing so allows you access to a wider variety of sounds to choose from as well as an ad-free experience. Rain Rain Unlimited includes a free 7-day trial.

The price of Rain Rain Unlimited in the United States is $3.99 USD/month, with slight variations in other locations due to currency adjustments.
At confirmation of purchase, or following the completion of a free-trial period, payment will be charged to your iTunes account.
Your subscription will automatically renew unless auto-renew is turned off at least 24 hours before the end of the current subscription period.
Your account will be charged for renewal within 24 hours prior to the end of the current subscription period. Automatic renewals will cost the same price you were originally charged for the subscription.
You can manage your subscriptions and turn off auto-renewal by going to your Account Settings on the App Store after purchase.
Any unused portion of a free trial period, if offered, will be forfeited when you purchase a subscription.
If you cancel your subscription within the free trial period, you will not be charged.
Read our terms of use and privacy policy for more information:
Terms of Use: https://rainrainapp.com/tou
Privacy Policy: https://rainrainapp.com/privacy

Download Rain Rain today and get a better night's sleep tonight!",5.0,28562
My Water Balance: Daily Drink Tracker & Reminder,com.victorSharov.water,"""My Water"" helps you drink water regularly. Calculate your daily water intake and get notifications!

Water is essential for life on our planet. Roughly 70 percent of the body is made of water. We require water for almost every function within our bodies, from flushing out toxins to digestion. Water is essential to good health, yet needs vary between individuals. This app can help ensure you drink enough fluids.

Application features:
* Water requirement calculator
* Reminders
* Units (Metric and fl oz)
* Statistics in graphs
* Motivational awards
* Useful tips about water

You may need to modify your total fluid intake depending on how active you are, the climate you live in, your health status, etc., the calculation is only recommendation.

The application supports Apple Watch and is integrated with Apple Health.

This is one of the first applications with support Apple Watch! Application integrated with Apple Health to get information about your body measurement to calculate your water intake.",4.5,2858
Rain Sounds HQ: sleep aid,com.phase4mobile.rainsoundshq,"Can’t sleep? Fall asleep fast to over 75 high-quality full-stereo recordings from around the world. Sleep deeply every night, and wake up feeling fresh and energized.

Create your own personalized mixes for sleep, relaxation, travel, study, naps or mediation, blending up to 6 sounds at a time. Set a timer to gently fade out after you’ve fallen asleep.

Join over one million people who have downloaded Rain Sounds HQ to sleep deeply every night.

Explore your own beautiful library of high-resolution natural sounds, individually selected for their quality.

Fall asleep to gentle showers and rolling thunderstorms in the world’s forests, countryside, and cities. Relax to the quiet drumming of rain on tents, umbrellas, roofs, temples, skylights and more. Add a gentle stream or soothing waterfall and drift off to deep sleep.

Choose from over 75 high-quality full-stereo sounds, including:

• Rainstorms in Amsterdam, Bali, California, England, Finland, Germany, Italy, North Carolina, Oregon, Paris, Scotland, Spain, Sweden, Toronto, Wales, Washington... and more!

• Thunderstorms in Australia, Arizona, Chicago, Cologne, Finland, Italy, Germany, Missouri, the Netherlands, New England, Germany, Oregon, Toronto, Wales… and more!

• Streams, Rivers and Waterfalls from Mt. St. Helens, Scotland, Swiss glaciers, Sydney… and more!

• Rain falling on tents, umbrellas, roofs, skylights, windshields, greenhouses, temples... and more!

• Heavy rainstorms, Blizzards, Hailstorms… and more!

• Monthly Bonus Sounds added each month, such as North Sea in Denmark, Small Stream in Grand Canyon, Rhode Island Crickets, Rustling English Beech Hedge... and more!

With over 75 soothing sounds to choose from, you’ll fall asleep fast and wake up feeling refreshed and rejuvenated.

Improve your sleep, your health, and your sense of well-being starting tonight.

Rain Sounds HQ Features:
• Over 75 natural sounds recorded on location around the world
• Long high-quality 100% stereo recordings
• Easy-to-create blended mixes of any 6 sounds
• Sleep timer with slow audio fade-out, settable with a simple tap
• Monthly bonus sounds added each month
• Beautiful high-definition images from around the globe
• Modern easy-to-use interface, tailored for nighttime use
• Runs in background while using other apps or when the screen is locked
• Mixes with other sound apps such as Music or Audiobooks

Download Rain Sounds HQ now to start sleeping better tonight.


Image credits: http://www.rainsoundsapp.com/image-credits/",5.0,4180
Pipeline Water Connect,com.plumber.pipe.connect,"A little farm needs water to survive. Construct a pipeline and bring water to save the farm. Reveal your Plumber skills in this free puzzle game.

Simply turn the different pipe pieces by touching them and connect all of them to make a complete pipe make the water reach the farm!

With Pipe Connect, you have to show adaptability by developing effective tactics to become an undisputed plumber! 

FEATURES
- 450 levels and more.
- Intuitive gameplay
- Hint system
- HD graphics
- New land on each world.

HOW TO PLAY
• Use all pipe on the board to connect them.
• Touch to move.

What are you waiting for? Download Plumber Pipe Connect now!",4.0,321
White Noise Deep Sleep Sounds,com.kitefaster.MagicBabySleeperFree,"Say goodbye to sleepless nights and fussy babies. White Noise and Deep Sleep Sounds will lull you or your child to sleep with calming and relaxing sounds. Download the app today and sleep like a baby tonight!

White Noise and Deep Sleep Sounds helps ADULTS sleep by:
 -  Blocking out unwanted noises
 -  Forming a sleep association that cues you to fall asleep
 -  Helping you feel calm, relaxed and soothed.

White Noise and Deep Sleep Sounds helps BABIES sleep by:
 -   Providing “whooshy” noises that simulate the environment of the womb
 -   Forming a sleep association that cues your baby to fall asleep
 -   Engaging your baby’s calming reflex allowing baby to sleep longer
 -   Blocking outside noises that may wake your baby
 -   Creating a familiar routine that will help baby feel safe even in new surroundings.

White Noise and Deep Sleep Sounds help you STUDY and FOCUS by:
 -  Improving your focus and boosting your creativity by preventing outside distractions while forming a cocoon of concentration.
 -  Create a pleasant and zen like environment for meditation.

Try the “magic” app that has people saying goodbye to that third cup of coffee and hello to sweet dreams! With over 26 soothing sounds and customizable effects, ""White Noise and Deep Sleep Sounds"" is better than an actual sound machine. Our sounds are professionally recorded to add the perfect background noise or ambience to your bedroom or nursery. Don't bother lugging an actual sound machine when all you need is an iPhone or iPad.

White Noise and Deep Sleep Sounds include the following sounds for free:

 Air Conditioner
 Air Filter
 Fan
 Shush (Shhh)
 Clothes Dryer
 Hairdryer
 Vacuum Cleaner
 Airplane Cabin
 Driving in the Rain
 Fog Horns
 Heartbeat
 Womb
 Birds and Chimes
 Crickets
 Croaking Frogs
 Light Rain
 Medium Rain
 Rain on Tent
 Distant Thunder
 Rolling Thunder
 Ocean Waves
 Winter Wind
 Roaring Fire
 Brown Noise
 Pink Noise
 White Noise

Go beyond standard white noise with the Nature Sounds Pack In-App Purchase which includes 23 sounds of animals and nature.  The first eight sounds are binaural recordings which create an enhanced 3D stereo sound.

 Forest at Dusk
 Forest Creek
 Frogs Chorus
 Ocean Windstorm
 Waves Crashing on Rocks
 Rain on Umbrella
 Light Backyard Rain
 Heavy Backyard Rain
 Forest Birds
 Birds
 Lapping Lake Waves
 Heavy Ocean Waves
 Seagulls at the Beach
 Thunder Close
 Babbling Brook
 Gentle Stream
 Flowing Creek
 River
 Distant Waterfall
 Close Waterfall
 City Wind
 Campfire
 Crackling Fire

 Features:
 - Use 3D touch or just launch the app to immediately start playing your favorite sound
 - Most recently played sounds shown on Today Widget
 - Seamlessly looped
 - Crossfade between tracks
 - Plays in the background
 - Choose from 24 color themes
 - AirPlay support
 - No ads

 The free version will play sounds for up to one hour.  In-App purchase required for continuous play.",5.0,13698
Sleep Timer & Nature Sounds,com.dteam.sleeptimerfree,"Having trouble falling asleep? Insomnia? Snoring partner?
 
NO PROBLEM!
Play our carefully selected soothing sounds and you will sleep like a baby. Enjoy the largest collection of high quality sleep sounds.
 
Highlights:
• Sleep great with relaxing sounds
• Immerse into calming videos
• Drift away to our handpicked themes
• Create your own amazing sleep sounds mixes
• Set up sleep timer
• Improve your sleeping schedule with Bedtime Reminder
 
Ideal for sleeping, meditation and concentration. Clear your mind, remove the stress and find your inner peace.
 
Enjoy 16 customizable sound themes:
• Cozy Home
• Forest
• Ocean
• Beach
• Waterfall
• Busy Street
• Mountains
• Night River
• White Noise
• Space
• Earth
• Winter
• Liquid Plate
• Dive
• Marine life
• Subway
 
You can adjust the volume of each sound individually to find the ideal combination and so encourage a deep relaxation.
 
You can keep the app in the background in conjunction with other apps (for reading, playing games or browsing the internet).
 
You can also set a timer. When time runs out, sound will fade gently and the app will close by itself, so you do not have to worry about closing it when you fall asleep.

SUBSCRIPTION PRICING AND TERMS

Subscription options:
Weekly Premium Membership offers $7.99 weekly subscription after 3-day free trial for unlocking all content, features and removing ads.

End of trial and subscription renewal:
This price is for United States customers. Pricing in other countries may vary and actual charges may be converted to your local currency depending on the country of residence.
Payment will be charged to iTunes Account at confirmation of purchase.
Subscription automatically renews unless auto-renew is turned off at least 24-hours before the end of the current period.
Account will be charged for renewal within 24-hours prior to the end of the current period, and identify the cost of the renewal.
Subscriptions may be managed by the user and auto-renewal may be turned off by going to the user’s Account Settings after purchase.
Any unused portion of a free trial period, if offered, will be forfeited when the user purchases a subscription to that publication, where applicable.

Privacy Policy: http://www.AppsYouLove.com/PrivacyPolicy.pdf
Terms of Use: http://www.AppsYouLove.com/TermsOfUse.pdf",4.5,18101
Watergurus,com.waterguru.guru,"Upload and share images or videos of your water saving ideas to help others live sustainably.
The Wateguru calculator is a fun tool for the whole family to determine their daily water usage.
Decide how much water you want to use daily and how that water can be used.
Challenge your friends and family to calculate their water usage.",,
White Noise Lite,com.tmsoft.WhiteNoiseLite,"Do you have trouble going to sleep? Are you traveling on a plane and need a quick power nap? Does your newborn baby wake up in the middle of the night? There are numerous benefits to using White Noise: 

• Helps you sleep by blocking distractions 
• Relaxes and reduces stress 
• Pacifies fussy and crying babies 
• Increases focus while enhancing privacy 
• Soothes headaches and migraines 
• Masks tinnitus (ringing of the ears) 

Even when you’re asleep, your brain is constantly scanning and listening for sounds. If it’s too quiet, unwanted noises such as faucet drips or police sirens can interrupt your sleep. White Noise generates sounds over a wide range of frequencies, masking those noise interruptions, so you can not only fall asleep, but stay asleep. 

SOUND CATALOG

Air Conditioner, Airplane Travel, Amazon Jungle, Beach Waves Crashing, Blowing Wind, Blue Noise, Boat Swaying in Water, Brown Noise, Camp Fire, Cars Driving, Cat Purring, Chimes Chiming, City Streets, Clothes Dryer, Crickets Chirping, Crowded Room, Dishwasher Rinsing, Extreme Rain Pouring, Frogs at Night, Grandfather Clock, Hair Dryer Blowing, Heartbeat, Heavy Rain Pouring, Light Rain Pouring, Ocean Waves Crashing, Oscillating Fan, Pink Noise, Rain on Car Roof, Rain Storm, Running Shower, Running Water, Stream Water Flowing, Thunder Storm, Tibetan Singing Bowl, Train Ride, Vacuum Cleaner, Violet Noise, Water Dripping, Water Sprinkler, White Noise

APPLICATION FEATURES 

• 40+ perfectly looped sounds with additional free sound downloads from the White Noise Market app or website: https://whitenoisemarket.com/
• Record and professionally loop sounds without being an audio engineer!
• Revolutionary Mix Pad editor for creating new soundscapes like a DJ with support for adjusting sound position, sound variance, volume, and pitch of each individual sound in the mix
• Upload and Share your recordings and mixes with the White Noise Market app
• Full screen digital clock with multiple colors and brightness controls makes it the perfect companion for any nightstand
• All screen resolutions supported including iPhone X, iPhone 5-8+, and iPad
• Portrait and Landscape orientations supported.
• Advanced alarm and timer system that slowly fades audio in and out so you awake naturally feeling more refreshed
• On-screen media player and volume controls with swipe gesture support for navigating sound collection
• Heart favorite sounds and mixes in the sound catalog for quick access using the Favorites view
• Set Music alarms that slowly fade in so you wake refreshed 
• AirPlay sounds to Bluetooth devices or Apple TV
• Remote media controls on lock screen and headphones
• Advanced controls for volume, balance, pitch, mixing with iPod music, looping the playlist, custom alarm snooze times, and more
• Upgrade to the full version to have audio play in the background and to remove advertising.

PRESS REVIEWS 

White Noise has been featured by popular TV shows (Today Show, Dr. Oz Show, FOX&Friends, Late Night with Jimmy Fallon), major media outlets (NBC News Today, Health Magazine, The Washington Post, NY Times, CNET, Esquire, PC Magazine), and raved about by millions of satisfied customers.  Visit our website at https://www.tmsoft.com/ for more details.

UPGRADE

White Noise was created for the original iPhone in 2008 by TMSOFT and has been continuously updated with new features.  Download the full version of White Noise for background audio, additional alarms, Apple watch integration, and no ads.  Just tap the + button and upgrade to learn more.

MORE INFO

Download new sounds at https://whitenoisemarket.com/

Like us on Facebook at https://www.facebook.com/WhiteNoiseApp

Follow us on twitter at https://twitter.com/whitenoiseapp

Support and FAQ info at https://www.tmsoft.com/white-noise/support/",4.0,158201
YourWater!,com.adroit.YourWater,Revolutionary and user-friendly mobile application for ordering water cans from local providers on a one time or recurring basis. Also supports feature to remind suppliers during delays.,,
