need help emergency line set pls call -,Y
major risk flood calgary follow direction stay tune please widely,Y
resident ab ask evacuate immediately severe rapid flooding occur,Y
first emergency shelter will southland leisure centre,Y
need help emergency line set please call -,Y
sign okotok remind walking dead zombie apocalypse stuff,Y
person evacuate flooding alberta can just use taylor hall forehead life raft get safety,Y
water now flowing pathway prince island park,Y
due flooding closure two eastbound lane memorial dr st centre st nw plan,Y
evac order affected area entire neighborhood eg mission ave map,Y
rainfall warning end calgary flooding potential still exist,Y
update erlton victoria park cliff bungalow inglewood add evacuation order flooding,Y
insane photo flood parkade discovery ridge via,Y
bridge edworthy park edworthy park,Y
shakespeare park,Y
map sunnyside bowness evacuation can find,Y
pray person hometown tonight water rise high school st marys flood zone,Y
bowness park much left,Y
please keep us update volunteer will need id love help way can,Y
tornado warn flood,Y
man swim cat momo,Y
many community power gas cut-off may see ll utility either please ev,Y
this guy tell it hilarious careful calgary severe thunderstorm watch via,Y
now there bad flooding oh think western neighbour tonight,Y
check see area montgomery must evacuate,Y
to everyone southern stay safe dry insane anyone affected area,Y
go folk look bad one time around hope evacuee get safe,Y
lower bridge deck bridge,Y
please note cancel k ppl affected need ppl stay safe please,Y
map evacuate area city calgary,Y
please note cancel k ppl affected need ppl stay safe p,Y
peace bridge look southwest,Y
city red deer declare state emergency,Y
watch live stream bow river,Y
accord official flood expect reach ave familiar calgary that roughly km inlan,Y
please stay clear downtown tomorrow can will number road closure,Y
thank send troop help us,Y
expect service disruption tomorrow,Y
langevin bridge pm,Y
canmore flood force home canada epoch time,Y
yep think haha stay safe errbody,Y
please safe tonight please work home friday due road closure w,Y
good news okotok sheep river appear peaked water recede,Y
lol alberta flood,Y
expect touring high river area tomorrow,Y
hot chick need lodging can bed ill sleep floor tonight,Y
todays tweet topic twitter calgarys flood instagrams video north west,Y
thank make fun us google,Y
shouldice bridge close av nw bearspaw dam rd nw close,Y
feel strange evacuate rd floor trust water get screw,Y
happen animal zoo,Y
please stay safe everyone calgary sun reporter will staff city flood briefing morning tweeting,Y
albea flooding canmore bragg creek high river flood calgary fl via,Y
alberta gas leak continue extreme flooding prevent shutdown,Y
pmo working furiously tonight reveal truth justin trudeaus connection southern alberta flooding,Y
canada flood force home many person force fle,Y
clarify rumour zoo animal shelter court,Y
