canmore alta declare state emergency due flooding resident moved community centre,N
update latest surround area,N
gallery incredible photo flood around southern alberta inc canmore bragg creek chain lake,N
volunteer now strand inside high river general hospital water recede,N
lot update liveblog,N
move high ground rapid flooding force evacuation high river,N
due widespread flooding part calgary evacuate ppl ask find shelter prepared t,N
calgary now local state emergency lot evacuation road closure stay safe,N
update part calgary evacuate heavy rain flood southern alberta,N
town declared state local emergency due flooding along red deer river,N
motorist contend cascade water highway crowsnest lake,N
southern alberta hwys close evecuation ongoing rain continue http,N
city calgary expect person will force home flood,N
at risk drown today heavy rain night thank goodness live high hill safe yall,N
emergency alert just come radio tv bowness sunnyside on overland flooding alert,N
wow ive never see river high,N
the picture flood calgary southern alberta just heartbreaking,N
due rise water level lower deck centre street bridge close careful,N
build evacuation zone staff leave now still reporter shooter across sab,N
city pm update road downtown core close memorial drive close,N
ahs release boil water advisory calgary zone,N
weve open residence evacuate due need lodging visit response centre fir,N
city calgary boil water order,N
hard believe week ago calgary beautiful hope evryone keep safe,N
city calgary newsroom also good source latest release,N
wow,N
mandatory evacuation order calgary flooding person may affect,N
just cant believe stay safe everyone,N
live feed bow river th street bridge kensington via,N
bow crescent flooding view silver spring hill,N
please evacuate following area please,N
now will devote effort keep person up-to-date flooding alberta sad hope everyone safe,N
picture worth risk person emergency responder avoid river,N
follow take tweeting since weve reach twitter limit main,N
take tweeting since reach twitter limit main account,N
exceed tweet limit follow update,N
big thank team work fortify network load sandbag will monitor,N
update calgary drop-in centre evacuate due flooding concern,N
stay safe alberta,N
please avoid downtown can tomorrow will number road closure,N
river now get dark headin higher ground now everyone stay safe,N
among odd detail let s remember night go twitter jail,N
heart go flood victim alberta pray rain stop,N
also evacuate area bowness,N
two two calgary zoo actually move animal higher ground now,N
hope yyc fire department em request larger twitter traffic limit future emrgnc,N
former host russel bower join show give us eyewitness account flooding,N
head take tweeting reach twitter limit main ac,N
reminder cbe catholic school board school close please let child know,N
feel like nobody realize first day summer calgary,N
road closure many part elbow drive flood watch close stay away use alternate route,N
pray alberta,N
front page lead story yike,N
flyover downtown memorial close downtown hit bad,N
mandatory evacuations community alberta flooding evacuate calgary,N
avoid everything non-essential tomorrow dont go anywhere dont,N
a tribute,N
yyc youre good hand one best mayor,N
flood alberta miami heat win nba final also baby name north west,N
drive kensington power weird scene flooding yet,N
thank kind compliment evening will help us go night,N
havent hear much homeless glad look tonight,N
this gonna bore weekend cant go downtown drink,N
as many person forced home heavy flooding western canada water level peak today noon,N
flooding may force west canada home,N
close look centre street bridge flow lower deck courtesy alex halat,N
