canmore alta declare state emergency due flooding resident moved community centre,N
need help emergency line set pls call -,Y
update latest surround area,N
gallery incredible photo flood around southern alberta inc canmore bragg creek chain lake,N
major risk flood calgary follow direction stay tune please widely,Y
resident ab ask evacuate immediately severe rapid flooding occur,Y
volunteer now strand inside high river general hospital water recede,N
lot update liveblog,N
first emergency shelter will southland leisure centre,Y
move high ground rapid flooding force evacuation high river,N
due widespread flooding part calgary evacuate ppl ask find shelter prepared t,N
need help emergency line set please call -,Y
calgary now local state emergency lot evacuation road closure stay safe,N
update part calgary evacuate heavy rain flood southern alberta,N
sign okotok remind walking dead zombie apocalypse stuff,Y
person evacuate flooding alberta can just use taylor hall forehead life raft get safety,Y
town declared state local emergency due flooding along red deer river,N
water now flowing pathway prince island park,Y
due flooding closure two eastbound lane memorial dr st centre st nw plan,Y
motorist contend cascade water highway crowsnest lake,N
evac order affected area entire neighborhood eg mission ave map,Y
rainfall warning end calgary flooding potential still exist,Y
southern alberta hwys close evecuation ongoing rain continue http,N
update erlton victoria park cliff bungalow inglewood add evacuation order flooding,Y
city calgary expect person will force home flood,N
at risk drown today heavy rain night thank goodness live high hill safe yall,N
emergency alert just come radio tv bowness sunnyside on overland flooding alert,N
insane photo flood parkade discovery ridge via,Y
bridge edworthy park edworthy park,Y
wow ive never see river high,N
shakespeare park,Y
map sunnyside bowness evacuation can find,Y
the picture flood calgary southern alberta just heartbreaking,N
pray person hometown tonight water rise high school st marys flood zone,Y
due rise water level lower deck centre street bridge close careful,N
bowness park much left,Y
build evacuation zone staff leave now still reporter shooter across sab,N
please keep us update volunteer will need id love help way can,Y
city pm update road downtown core close memorial drive close,N
ahs release boil water advisory calgary zone,N
weve open residence evacuate due need lodging visit response centre fir,N
city calgary boil water order,N
tornado warn flood,Y
man swim cat momo,Y
hard believe week ago calgary beautiful hope evryone keep safe,N
city calgary newsroom also good source latest release,N
many community power gas cut-off may see ll utility either please ev,Y
this guy tell it hilarious careful calgary severe thunderstorm watch via,Y
now there bad flooding oh think western neighbour tonight,Y
check see area montgomery must evacuate,Y
wow,N
to everyone southern stay safe dry insane anyone affected area,Y
mandatory evacuation order calgary flooding person may affect,N
just cant believe stay safe everyone,N
live feed bow river th street bridge kensington via,N
go folk look bad one time around hope evacuee get safe,Y
bow crescent flooding view silver spring hill,N
lower bridge deck bridge,Y
please note cancel k ppl affected need ppl stay safe please,Y
please evacuate following area please,N
map evacuate area city calgary,Y
please note cancel k ppl affected need ppl stay safe p,Y
peace bridge look southwest,Y
city red deer declare state emergency,Y
now will devote effort keep person up-to-date flooding alberta sad hope everyone safe,N
picture worth risk person emergency responder avoid river,N
