Beach Please,"Beach Please,

are you still frantically waving for attention while you're supposed to be relaxing on the beach?  Well maybe it's time to chill a little.

Beach Please is here to let you order food and drink directly from your phone, or maybe just to get the attention of your waiter without the overhead exercise.

Currently only available at West 14th, Oceana beach Dubai.","[['attention', 'get']]","[['waiter', 'maybe', 'frantically', 'waving', 'attention']]"
Ice Cream Please,"Want ice cream?  Bring the ice cream truck to you, for free, with the Ice Cream Please app. Tap to request ice cream now or let us alert you when an ice cream vendor is nearby.  You can even schedule the ice cream truck for a party or event.  It's finally that easy to catch the ice cream man!    

Just open up the app, tap the ICE CREAM PLEASE button, and we will alert the nearby ice cream vendors for you. Hang on tight and watch on the map as the truck comes to your street.


Own an ice cream truck or cart?
Login to the app as a vendor and let people know you are selling. No need to miss any more customers while driving your route. Know exactly where your customers are on the map and go to them.  Start a free 30-day trial today and grow your business while you bring joy to everyone's day.  If you like what the app brings to you, continue the subscription to keep the orders coming.

Vendor Subscription:
– Ice cream vendors can subscribe to our service for 30 days free trial. This subscription auto-renews monthly at $0.99 US per month or equivalent in your local currency.
– This subscription provides vendors, access to active customers' location. Vendors will receive local and remote notifications for customer wanting ice cream. Also invitations from customers looking to arrange for event/party will be delivered to you during your active subscription.
– Subscription automatically renews unless auto-renew is turned off at least 24-hours before the end of the current period.
– Account will be charged for monthly renewal within 24-hours prior to the end of the current period, the cost of the monthly renewal is $0.99 US or equivalent in your local currency.
– Payment will be charged to your iTunes Account at confirmation of purchase.
– You may manage the subscription and auto-renewal may be turned off by going to the user's Account Settings after purchase.
– Any unused portion of a free trial period will be forfeited when you purchase the vendor subscription.
– Our Privacy Policy is available at http://www.icecreamplease.com/privacy and Terms of Use may be read at http://www.icecreamplease.com/terms 


Note: Continued use of GPS running in the background can dramatically decrease battery life.","[['looking', 'arrange'], ['customers'], ['receive', 'local'], ['notifications', 'remote'], ['map', 'watch'], ['party', 'truck'], ['ice', 'alert'], ['ice', 'cream'], ['active', 'delivered'], ['vendors', 'provides'], ['subscription'], ['purchase', 'forfeited'], ['vendor', 'let'], ['battery', 'decrease'], ['trial', 'free'], ['bring', 'joy'], ['grow', 'business']]","[['customers', 'event'], ['need', 'Also', 'miss', 'invitations', 'customers', 'driving', 'route'], ['Vendors', 'remote'], ['customer', 'local'], ['tight', 'truck'], ['event', 'cream'], ['cream', 'nearby'], ['wanting', 'man', 'ice', 'cream', 'vendors'], ['party', 'subscription', 'access', 'active', 'customers'], ['access', 'subscription', 'vendors', 'subscribe', 'service'], ['monthly', 'auto-renews', 'orders', 'keep', 'manage', 'subscription', 'auto-renewal'], ['vendor', 'period', 'purchase', 'vendor', 'subscription'], ['app', 'people'], ['life', 'dramatically', 'selling', 'No', 'need'], ['portion', 'days'], ['everyone', 'business'], ['bring', 'today']]"
Water Please: Siem Reap,"We proudly present to you the first and only drinking water delivery app of Siem Reap! 

Water is life and therefore the most essential thing we have in our homes. But we all know how tough OR physically challenging it can be to bring those heavy water bottles to our homes, whether it is by tuk tuk, making it more costly, or on your own motorbike, which can be time-consuming and risky​.​ Therefore​,​ our new ""Water Please"" app​ will make your life easier and will help you to save precious time).

Wouldn't it be amazing to to have your fresh drinking water delivered to your home by just one click​? And you will not only save time but also money!

Water Please is working together with the two biggest drinking water brands in Cambodia, Eurotech and Jasmine, so that you can be confident about always getting healthy, high quality drinking water.

Start your easy life now!","[['precious', 'save'], ['water', 'delivery'], ['drinking'], ['water', 'bottles']]","[['help', 'time', 'life', 'easier', 'help'], ['drinking', 'app'], ['biggest', 'two', 'present', 'first', 'quality', 'drinking', 'water'], ['heavy', 'homes', 'bring', 'heavy', 'water']]"
Coffee Please!,"Desperate for a cup of coffee?! Coffee Please App will help you find nearby cafes. 
Use the Camera button inside the app to turn on the New Augmented Reality Feature!",[],[]
Pint Please Enjoy beer better,"Experience beer like you never did before.
Are you a true pint nerd or a newbie to the world of craft beer?
Our app is all you’ll ever need to enjoy beer in the best possible way.

Search for new beers, learn about new brewing styles, track and recall your favourites pints.

Share your beer experiences and connect you with the beer community locally and globally.
• Never forget a great pint

Create your personalised beer catalogue. Whether it’s the rarest type of ale, lager, stout or malt,
or just the one that you’d love to drink again and again.
Store your favourite brands and styles in your own catalogue.
• Search faster, gulp more

Find all the info and reviews you want within seconds - use our state of art barcode code
scanner.
• Connect with other hopheads and breweries

Become a part of the biggest beer lovers community out there. Exchange ideas, reviews, tastes,
and opinions with your new hop buddies.

Already bitten by a beer bug?
• Become a beer guru !!!

Win badges, points and titles for being an active and passionate Pint Please! network member.
Share your wisdom and knowledge. Gain well deserved respect and admiration.
• Explore hidden alleys of the beer world!

Use GPS to search the map for the beer community recommended bars and menus.
Make the best out of your beer tasting journeys!

Found a great pub in your neighbourhood? Discovered the one that is difficult to spot? Please,
share it with us.
• Add venues that you like to our beer map and never again forget where you had that “best
in your life” pint.

Make it easy and fun to discover & enjoy the best beers in the best places and in the best
company - tailored just for you.

Made for beer lovers by beer lovers.

Wanna drop us a line? See what we’re up to?
http://pintplease.com/en
https://www.facebook.com/pintpleaseuk
https://twitter.com/pintpleaseapp?lang=en","[['titles'], ['barcode', 'art'], ['beers', 'best'], ['need', 'enjoy'], ['recall'], ['new', 'brewing'], ['recommended', 'bars'], ['world', 'beer'], ['bitten', 'beer'], ['map', 'beer'], ['beer', 'connect'], ['biggest', 'beer'], ['beer', 'lovers'], [], ['reviews', 'tastes'], ['lager', 'stout'], ['forget']]","[['active', 'passionate', 'points', 'badges'], ['state', 'code', 'use', 'state', 'art'], ['enjoy', 'places', 'beers', 'learn', 'new'], ['beer', 'ever', 'fun', 'discover', 'enjoy'], ['styles', 'track', 'favourites', 'pints'], ['styles', 'learn', 'favourite', 'brands', 'styles'], ['menus', 'community', 'menus', 'Make', 'best'], ['craft', 'alleys', 'nerd', 'newbie', 'world'], ['Already', 'bug'], ['search', 'community'], ['experiences', 'community'], ['part', 'lovers'], ['beer', 'lovers', 'community'], ['use', 'seconds', 'spot', 'one', 'state', 'difficult'], ['opinions', 'ideas', 'deserved', 'respect', 'admiration'], ['malt', 'ale', 'type', 'ale', 'lager'], ['great', 'life', 'best', 'pint']]"
Tip Calculator % Free - Fast Tips and Split Bills,"This free tip calculator features fast bill entry and splitting, ideal for those dining out, on a date, or having drinks with friends.

• Splits bill with ease!
• Save $$$ by tipping an exact amount
• Rounding feature!

What our users are saying...

 ""Simple.  To the point.  Beautiful.""

 ""Especially love the split function""

 ""Perfect and easy""

 ""Easy to read""

This app is supported by advertising.","[['app'], ['tip'], ['date', 'dining'], ['bill', 'fast'], []]","[['This', 'read', 'supported', 'advertising'], ['This', 'calculator', 'features', 'free'], ['ideal', 'drinks'], ['entry', 'features', 'entry', 'splitting', 'ideal'], ['function', 'love', 'exact', 'amount', 'split', 'tipping']]"
This-Please,This-Please let you find menus of any restaurant in your native language!,[],[]
Check Please - Tip & Check Split Calculator,Check Please lets you calculate restaurant tips and split checks on your iPhone and iPod touch.,"[['calculate', 'restaurant'], ['iPod', 'iPhone']]","[['lets', 'tips', 'tips', 'split', 'checks'], ['touch', 'checks']]"
Please Be Good To Me stickers for iMessage,"Please Be Good To Me

This sticker pack is delivered to you by Pantsuit vs combover and MojiLaLa.

Please Be Good To Me stickers are designed by Pantsuit vs combover in United States and powered by MojiLaLa.

Package description from Pantsuit vs combover:

Be Kind And Love Someone.

================================================================
MojiLaLa is an artsy sticker marketplace for every messaging conversation made from designers from all over the world. MojiLaLa gives you access to some of the most high-quality, unique and creative emojis developed to enhance your messaging and allow you to freely express yourself through every kind of expression and emotion. New original designs from your favorite artists are always being added, as well as local and trending topics in your community.","[[], ['topics', 'trending'], ['sticker'], ['designers', 'made'], []]","[['designs', 'high-quality', 'favorite', 'access', 'artists', 'gives'], ['local', 'community'], ['Me', 'This', 'marketplace', 'artsy'], ['conversation', 'world'], ['emotion', 'kind', 'developed', 'enhance', 'emojis', 'expression']]"
Please Have Some Fruit stickers by wenpei,"Please Have Some Fruit

This sticker pack is delivered to you by wenpei and MojiLaLa.

Please Have Some Fruit stickers are designed by wenpei in Singapore and powered by MojiLaLa.

Package description from wenpei:

fruits so sweet

================================================================
MojiLaLa is an artsy sticker marketplace for every messaging conversation made from designers from all over the world. MojiLaLa gives you access to some of the most high-quality, unique and creative emojis developed to enhance your messaging and allow you to freely express yourself through every kind of expression and emotion. New original designs from your favorite artists are always being added, as well as local and trending topics in your community.","[['topics', 'trending'], ['designers', 'made'], ['wenpei'], [], []]","[['local', 'community', 'kind', 'expression', 'emotion'], ['conversation', 'world'], ['sweet', 'stickers', 'designed', 'fruits', 'pack', 'delivered', 'wenpei'], ['designs', 'developed', 'favorite', 'artists', 'enhance', 'emojis'], ['marketplace', 'high-quality', 'sticker', 'artsy', 'access', 'gives']]"
Timer+,"Set multiple timers and stopwatches at once! Time by the second, minute or hour. Runs in the background so you’re free to use other apps. Includes a Today extension and iPad multitasking support. “One of the most useful apps.” – Pocketable

Downloaded over 5 million times! Get the humble little app that’s repeatedly rated 5-stars by users.

Create, label and reuse timers for anything – yoga stretches, timed quizzes, cooking rice, napping, therapeutic treatments or remembering to take your pills.

Perfect for busy people, multi-taskers and forgetful folks.

Loved by parents, chefs, teachers and students…

==========

No fuss
""This app is yet more proof of a great app that does what it advertises without cramming in other useless functions. It rocks."" -Cloudox

""It's one of the most useful apps I have on my iPad."" -Pocketables.com Review

Simple and efficient
""Does exactly what it says and does it well."" -Rajat Arya

==========

Timer+ has a sleek, streamlined design that stays out of your way and simplifies daily timed tasks.

One tap starts it. One tap pauses or stops it. Simple.

Download Timer+ to get ahead of your many activities today:
+ Run multiple timers and stopwatches simultaneously
+ Easily add time to a running timer
+ Repeat timers up to 64 times
+ Check running timers in Timer+'s Today widget
+ Works great with iPad's slide over and split views
+ Extremely easy to use
+ Beautiful, clean interface
+ One-tap functionality
+ Voiceover feature for the visually impaired
+ Runs in the background
+ Times by the second
+ Just 46 MBs – won’t take up a lot of space on your device

Use our preset timers, or create your own for any number of timed events.

Here’s how people are using Timer+ every single day:
+ Teachers use it for quizzes, breaks, recess, group work and nap time.
+ Students use it for practice LSAT exams, science experiments and laundry. (Never find your clothes in a wet pile on the washing machine again.)
+ Parents use it for everything! Cooking, baking, boiling eggs, steeping tea, pressing coffee. Chore time, playtime, reading time, bath time, time outs. Piano practice, laundry, working out, picking up the kids, meditating and watering the plants.
+ Bakers save dough rise times separately – for perfectly leavened loaves.
+ Chefs use it for marinating, basting, broiling, straining – all on time, all at the same time. Great for luncheons, cookoffs and other portable carts!
+ Athletes time their planks and sets. Beat their best times. And apply ice or heat to pains without overdoing it.
+ Seniors use Timer+ to remember to take their pills. Mark halfway points during exercise walks. And time the grandkids so they take turns fairly.
+ Freelancers are now spending only as much time as they quoted on projects!
+ Developers use Timer+ to remember to look away from the screen every 30 minutes and stretch every hour.
+ Hairstylists use it to time perms and hair coloring. Aestheticians use it for mani-pedis.

Gentle alarms keep kids calm and keep YOU in your Zen state. Or choose funny alarms to make kids laugh. Includes 20 alarms.

==========

SUPPORT NOTE: To hear the alarm if you have timers running when you aren't inside Timer+ or when your device is locked, make sure that your mute switch is set to OFF. This is a limitation of iOS local notifications.","[[], [], [], [], ['useful', 'apps'], [""'re"", 'free'], ['iOS', 'local'], ['cookoffs', 'portable'], ['heat', 'ice'], ['people'], ['multiple', 'stopwatches', 'timers'], ['timers', 'reuse'], ['way', 'stays'], ['eggs'], ['lot', 'space'], ['breaks', 'recess'], ['timed', 'quizzes'], ['rise', 'dough'], ['watering', 'meditating'], ['alarms', 'kids'], ['chefs', 'teachers'], [], ['nap', 'time'], ['playtime', 'reading', 'time'], ['bath', 'time'], ['remember'], [], ['napping', 'therapeutic'], ['remembering', 'take'], [], [], []]","[['use', 'Aestheticians', 'points', 'walks', 'exercise', 'mani-pedis'], ['great', 'functions', 'useless', 'yet', 'cramming', 'proof'], ['tap', 'pauses', 'views', 'stops', 'slide', 'split'], ['iPad', 'science', 'support', 'experiments', 'exams', 'multitasking'], ['one', 'One'], ['use', 'background'], ['notifications', 'limitation'], ['carts', 'luncheons'], ['apply', 'pains'], ['multi-taskers', 'busy', ""'s"", 'Here'], [], ['anything', 'label', 'timers', 'create', 'number'], ['simplifies', 'design', 'sleek', 'streamlined', 'design'], ['tea', 'boiling', 'baking', 'steeping', 'tea', 'pressing', 'coffee'], ['device', 'take', ""n't"", 'take', 'lot'], ['quizzes', 'group', 'recess', 'group', 'work'], ['stretches', 'cooking', 'number', 'timed', 'events'], ['save', 'times', 'Bakers', 'save', 'dough'], ['plants', 'kids', 'watering', 'plants', 'Bakers'], ['make', 'keep', 'make', 'kids', 'laugh'], ['students', 'parents'], ['Loved', 'use', 'everything', 'Parents', 'folks', 'parents', 'washing', 'machine', 'Parents'], ['Students', 'work'], [], ['reading', 'time', 'bath'], ['use', 'pills', 'Timer', 'take'], ['Seniors', 'use', 'Timer', 'running', 'timer', 'time'], ['rice', 'treatments'], ['treatments', 'pills'], ['loaves', 'leavened', 'single', 'every', 'perfectly', 'day'], ['advertises', 'grandkids', 'great', 'turns', 'app', 'take'], ['rated', 'users', 'hour', 'stretch', '5-stars', 'every']]"
