Flood aid,"แอพพลิเคชั่นที่รวบรวมข้อมูลเกี่ยวกับสถาณการณ์น้ำท่วม ผู้ใช้สามารถสำรวจบริเวณที่เกิดน้ำท่วม และระดับน้ำในปัจจุบัน อีกทั้งยังสามารถติดตามสถาณการณ์น้ำท่วมทุกวินาทีจากข้อมูลที่นำมาจากเครือข่าย Twitter รวมไปถึงสายด่วนที่เกี่ยวข้อง เพื่อนำไปสู่การเตรียมตัวรับมือและรวมไปถึงการให้ความช่วยเหลือในด้านต่างๆ 

คุณสมบัติของโปรแกรม
1. แสดงบริเวณทีี่เกิดอุทกภัย
    -จังหวัดที่ได้รับผลกระทบจากน้ำท่วม 
    -พื้นที่ประภัยที่ต้องการความช่วยเหลืออย่างเร่งด่วน
    -ศูนย์อพยพและศูนย์พักพิงสำหรับผู้ประสบทุทกภัย
    -จุดจอดรถในช่วงน้ำท่วม ฯลฯ
2. แสดงระดับน้ำในคลองและเขื่อนต่างๆ
3. แสดงข่าวล่าสุดจากเครือข่าย Twitter
4. แสดงเบอร์โทรศัพท์ที่เกี่ยวข้อง พร้อมทั้งมามารถโทรออกได้ทันที",[],[]
Blood Finder Pro,"Help is now just touch away!
With this app you can save your family, friends, colleagues etc blood types with names and phone numbers to your phone. 
You can check in the app, that you to whom can give blood.
You can check in the app, the blood frequencies in the world.

Blood Finder features: 
-Add new name possibility to Blood Book
-Blood Table
-Blood Frequencie
-No Ads!","[['etc', 'blood'], ['friends', 'family'], ['app', 'blood']]","[['colleagues', 'types', 'phone', 'numbers', 'phone'], ['colleagues', 'save', 'app', 'save', 'family'], ['frequencies', 'give', 'blood', 'frequencies', 'world']]"
Blood Pressure Tester Prank,"Blood Pressure Tester Prank is for entertainment purposes only. It does not calculates you blood pressure. Calculating Blood Pressure is not possible with your device's screen and camera. The displayed results are random numbers. It is the best application for fooling your friends.
Prank with your friends and family members
An amazing prank application ""Blood Pressure Tester Prank. If you are a prankster you would definitely love this application. Fingerprint Blood Pressure is actually a prank application which calculates your blood pressure and is made for the people who just want to play pranks on others and want to show off the power of their latest iOS device. It is a must have prank application still in its initial stages. It is designed in such a way that one who is not aware of iOS can never get whether it is a prank application or real. People would think as if it is a real Blood Pressure Calculating application.
FEATURES
* A prank application to collect cheers moment with your friends
* HD graphics and beautiful use of scanner animation
* Too much user friendly and easy to use 
* FREE fun for all
* Blood Pressure Tester Prank does not require internet connection.
* Blood Pressure Tester Prank FREE fun for all.
* Blood Pressure Tester Prank is completely free download.
HOW TO USE:
Step 1: Select your gender and tap on next,
Step 2: Now place your finger gently on the fingerprint scanning pad and wait for the analysis.
Result: Your Fake blood pressure will be shown automatically after calculation. Blood Pressure Tester provides best and high definition image qualities","[['results'], ['power'], ['play', 'pranks'], ['people'], ['cheers', 'collect'], ['friends'], ['application', 'prank'], ['pressure', 'calculates', 'blood'], [], ['use'], []]","[['The', 'random', 'displayed', 'numbers'], ['latest', 'iOS', 'want', 'show', 'one', 'aware', 'iOS'], ['want', 'others'], ['pressure', 'play', 'made', 'want', 'application', 'real', 'People'], ['application', 'moment', 'cheers', 'moment', 'friends'], ['application', 'fooling', 'family', 'members'], ['collect', 'calculates', 'actually', 'prank', 'application'], ['application', 'calculates', 'blood'], ['scanning', 'require', 'connection', 'pad', 'internet', 'wait'], ['beautiful', 'animation', 'scanner', 'graphics'], ['definition', 'want', 'show', 'image', 'qualities', 'others']]"
ReferAFlood,"Refer A Flood is referral app for anyone who runs into water damage. Whether it’s a pipe break, sewer backup, mold or any other type of water damage issue The Flood Team is here to help your customers 24/7.
Our app is designed to make referring quick and easy and insures you are compensated for your efforts. Once you sign-up you can start referring and start to receive the benefits of helping customers while making money. Make money, help customer, it’s that simple!","[['customers'], ['water', 'runs'], ['type', 'mold']]","[['helping', 'money', 'benefits', 'making', 'money', 'help', 'customer'], ['anyone', 'damage', 'water', 'damage', 'issue'], ['water', 'backup', 'break', 'sewer', 'backup']]"
City Rescue 2017,"This game is for anyone who wants to be a hero. Hurricane season is no joke--rescue desperate civilians who are trapped and scared!

Are you ready to fight this natural disaster? This suburban town didn’t see what was coming. The merciless Hurricane Irma has ripped through town! The effects are devastating. People’s homes and cars have been wrecked. Arrive with your rescue team and get to work! Save lives by running through the city and searching for survivors. Invade houses and perform emergency CPR. Search for survivors. Get to checkpoints on time to progress to the next level. Each mission gets gradually harder! Can you outrun the tornado?! Run at the speed of light!

Drive a cool truck and rescue cars. Operate a sci-fi hover car! Put out raging fires and stop water leaks. This game is about being a brave soldier and sacrificing your all! Raise your reputation and rewards with the more people you rescue. Play the role of police officer, firefighter, and paramedic all at once!


Hurricane Rescue Team 2017 Features:

•Different challenging adrenaline filled rescue missions
•Massive 3D city environment
•Realistic physics based smooth control
•Impressive sounds & and visuals
•Addictive hero gameplay
•Realistic hurricane animations in emergency situations

About Tap2Play
Tap2Play, LLC is a wholly owned subsidiary of Tapinator, Inc.
Tapinator (Ticker: TAPM) develops and publishes games on mobile platforms. The Company’s portfolio includes over 300 mobile gaming titles that, collectively, have achieved over 400 million player downloads. Tapinator is headquartered in New York. For more info, visit Tapinator.com.","[['police', 'officer'], ['water', 'stop'], ['smooth', 'based'], ['coming'], ['emergency', 'animations'], ['rescue', 'filled'], ['checkpoints', 'time'], [], [], [], []]","[['firefighter', 'role', 'This', 'suburban', 'town'], ['leaks', 'fires'], ['control', 'physics'], [""n't"", 'see', 'The', 'merciless'], ['situations', 'hurricane', 'houses', 'perform', 'emergency'], ['adrenaline', 'missions', 'truck', 'rescue', 'cars'], ['progress', 'Get', 'survivors', 'Get', 'checkpoints'], ['wants', 'brave', 'hero', 'anyone', 'soldier', 'game'], ['rewards', 'sci-fi', 'people', 'car', 'hover', 'reputation'], ['publishes', 'owned', 'wholly', 'develops', 'games', 'subsidiary'], ['gaming', 'get', 'mobile', 'work', 'titles', 'team']]"
FANDOM for: Camp Half Blood,"Fandom's app for Camp Half Blood - created by fans, for fans. The Camp Half Blood app always features highly-accurate, real-time information from Fandom's passionate community of fans. You can expect to see hundreds of pages of content created by fans just like you. Find articles on Rick Riordan's popular novels about Percy Jackson, Camp Half-Blood, subsequent movie adaptions, spinoffs for Camp Half-Blood, Percy Jackson characters, locations, objects, and all other canon information. No other app offers this combination of companion features that allow you to: 

- Browse: Discover Camp Half Blood articles created by fans from the community.
- Connect: Join the Camp Half Blood community to discuss with fans or suggest changes to content.
- Explore: Search for other Fandom community apps like Camp Half Blood and related content.

NOTE:
The app icon, screenshots and all content inside this app are Creative Commons licensed (CC-BY-SA) and the license details for all of these assets can be found on Fandom's licensing page: http://www.wikia.com/Licensing. As an official Fandom app, this app fully complies with the CC-BY-SA terms set forth on that page.

All Fandom content and the contents of this app were uploaded by users and are governed by Fandom's Terms of Use (http://www.wikia.com/Terms_of_Use). We have a team dedicated to enforce Fandom's Terms of Use, including responding to DMCA takedown notices. For more information please see our DMCA takedown policy:http://community.wikia.com/wiki/Help:DMCA_takedown_notice","[['objects'], ['set', 'forth'], ['fans', 'created'], ['fans', 'community'], ['offers', 'combination'], ['uploaded', 'app'], []]","[['information', 'canon', 'locations', 'characters', 'subsequent', 'movie', 'adaptions'], ['terms', 'page', 'complies', 'CC-BY-SA', 'terms'], ['community', 'articles', 'created', 'fans'], ['passionate', 'discuss'], ['app', 'companion', 'combination', 'companion', 'features'], ['users', 'contents', 'app', 'icon', 'screenshots'], ['assets', 'license', 'hundreds', 'see', 'details', 'pages']]"
Blood Drop POP - POP for the CURE,"You found this app now use it to help find a CURE! By matching 3 in this transfusion/ blood donation themed game, Blood Drop POP - POP for a CURE!

Developed by a actual DBA warrior who is fighting for a cause and looking to change the way you look at donating and awareness campaigns by developing games like Blood Drop Pop I aim to make games for a cure!

I believe through games, I can gain awareness and fund research projects for different causes. All well providing a unique and fun user experience! 

I am DBA Strong and this is DBA Games.

If you want to learn more about DBA Strong games, please visit my website, Facebook or Twitter!

Gameplay features:
-""Bubbles"" come from donor on left which correspond with different blood types.

-Goal is to match 3 blood types and free the blood drops which when freed fall and are ""transfused"" to blood recipient on right.

-O- can donate to anyone so in game it is the universal ""bubble"" which can match with any.

-Dead cell bubbles act as blocks which need to be irradiated.
-In app purchase that will help fund a cure!

-Background characters inspired by true to life DBA warriors who live off these life saving blood donations every few weeks. 

DBA Characters Include
  - Levels 1-9 Journey Dickson
  - Levels 10-19 Hunter Kuzik
  - Levels 20-29 Audrey Nethery
  - Levels 30-39 Journey Mulholland
  - Levels 40-50 Ashlynn Truse

-Blood donation awareness facts through fun and addicting gameplay.

-Real Calgary, Alberta, Canada landmarks (My home town!) with more to come...

-Easy to learn, challenging to master.

-A blood drop ninja - need I say more!

-50 levels with more levels + endless mode coming in the near future.

-Social sharing

What are you waiting for, if you have not hit download already do it NOW, help me find a CURE and have fun while doing it!","[['levels', '-50'], ['come', '-Easy'], ['looking', 'change'], ['cell', '-Dead'], ['bubbles', 'act'], ['fund', 'help'], ['projects'], ['donation'], ['donating', 'awareness'], ['correspond'], ['saving', 'blood'], ['blood', 'types'], ['transfused', 'blood'], ['inspired', 'true'], []]","[['say', 'drop', 'ninja', 'need'], ['town', 'learn', 'learn', 'challenging', 'master'], ['cause', 'way', 'warrior', 'fighting', 'cause'], ['bubbles', 'match'], ['cell', 'blocks'], ['purchase', 'cure'], ['fund', 'different', 'causes', 'research'], ['facts', 'transfusion', 'blood', 'awareness', 'donation', 'themed', 'game'], ['campaigns', 'look', 'gain', 'awareness', 'fund'], ['donor', 'different', 'blood', 'left'], ['life', 'donations'], ['different', 'free', 'free', 'blood', 'drops'], ['recipient', 'fall', 'drops', 'freed', 'fall'], ['life', 'characters', 'warriors', 'live', 'life'], ['hit', 'waiting', 'mode', 'coming', 'download', 'endless']]"
Period Survival Kit Stickers,"If you're struggling with periods, then you would really like this sticker pack! There are so many situations and emotions that come with this part of life, and I designed this sticker pack to help females everywhere to express themselves, and also to break the taboo on this topic. 

This pack has 30 stickers that talk about the different situations that come with having periods. Let's have a bit of fun since we can't help what happens when the floodgates open ;)

The stickers talk about the following:
- When your period is late/ on time/ early/ missing
- The different types of menstrual struggles
- Your underwear situation (so real)
- Motivational stuff
- Funny and practical signs to warn others

***

Don't experience periods yourself? 

Then gift this sticker pack to someone who does, your sister, mom, girlfriend, colleagues... They will love you for it :)

Love this sticker pack? Then leave a 5-star rating or review! Thank you <3

***The period survival kit is an original artwork by me :) ***","[[], ['types'], ['period'], ['sister', 'someone'], ['sticker', 'gift'], ['sticker', 'pack'], ['stickers'], [""n't""], ['emotions'], ['situations'], []]","[['leave', '5-star', 'rating', 'others', 'warn', 'signs'], ['menstrual', 'different', 'The', 'struggles'], ['late', 'survival', 'kit', 'time', 'kit', 'original', 'artwork'], ['mom', 'pack', 'mom', 'girlfriend', 'colleagues'], ['Then', 'pack'], ['someone', 'like', 'really', 'like', 'sticker'], ['different', 'open', 'The', 'talk'], ['happens', 'periods', 'experience', 'help'], ['situations', 'part', 'come', 'many'], ['different', 'come', 'periods', 'talk'], ['topic', 'life', 'break', 'part', 'taboo', 'come']]"
ARISE | Get Help Now,"The 1930's brought tough times to the United States. During this time the Government created programs to help the less fortunate. Over the years many programs have been added to help families get food, find work, and help the most vulnerable within our society. The intent behind the programs are noble; however, the methods supporting them are antiquated. Since the inception of these programs we have gone to the moon, invented the internet and the personal computer yet the social safety net has largely gone unchanged.

ARISE is changing the way people view the social safety net.  We are connecting people in need with those who can help through our mobile technology by making communities more responsive to social emergencies, natural disasters, and everyday needs that we all face. We call it crowd-service. 

Crowd-Service is when neighbors unite to help each other organically. Just like crowd-funding, small amounts of service will add up to large efforts by communities. When a social emergency hits neighbors and non-profits can respond much faster than current social safety net and response structures in place today. 

Users can request help, provide assistance to each other, and read about success within their community. Calls for help can be as simple as raking the leaves, moving a sofa, grabbing a bag of groceries for a single mother, or donating clothes. This solution will: 
* Draw attention to local causes 
* Battle the growing addiction epidemic by building authentic community involvement  
* Empower 'Start-Up' cause organizations by providing free technology  
* Pivot quickly to address the issues of the day – not waiting for a vote or budget cycle  
* Show the world what individuals, cause organizations, churches, and businesses are doing to make an impact.

As a Nation we witnessed the success of crowd-service after Hurricane Harvey devastated the Gulf Coast of Texas. The need was so intense that the 911 system went down. Individuals would call out for help on Facebook, Twitter, and other channels. Neighbors, volunteers, and cause organizations spontaneously coordinated relief efforts and helped each other. ARISE is a platform specifically designed with tools and features to handle this activity at scale.","[['structures', 'place'], ['food', 'find'], ['neighbors', 'hits'], ['view', 'social'], ['programs'], ['help'], ['success', 'witnessed'], ['provide', 'assistance'], [], [], ['building'], ['needs', 'everyday'], ['vote', 'waiting'], ['tools', 'designed'], ['handle', 'activity'], ['leaves'], ['grabbing', 'bag'], ['mother'], ['providing', 'free'], ['communities'], ['coordinated', 'relief'], ['large', 'add'], ['businesses'], ['organizations', 'cause']]","[['response', 'today', 'safety', 'net', 'response'], ['work', 'get', 'families', 'get', 'food'], ['non-profits', 'emergency', 'social', 'emergency', 'hits'], ['safety', 'people', 'faster', 'current', 'social'], ['many', 'years', 'help', 'less', 'programs', 'added', 'help'], ['work', 'added', 'families', 'find', 'neighbors', 'unite', 'help'], ['crowd-service', 'Nation'], ['read', 'help', 'assistance', 'read', 'success'], ['crowd-funding', 'personal', 'amounts', 'computer', 'internet', 'small'], ['tough', 'attention', 'times', 'brought', 'local', 'causes'], ['addiction', 'authentic', 'epidemic', 'community'], ['disasters', 'face', 'emergencies', 'natural', 'disasters'], ['budget', 'day', 'vote', 'budget', 'cycle'], ['features', 'specifically'], ['scale', 'features'], ['simple', 'raking', 'moving', 'sofa'], ['sofa', 'groceries'], ['donating', 'single', 'groceries', 'clothes'], ['organizations', 'technology'], ['large', 'making', 'efforts', 'technology'], ['efforts', 'spontaneously'], ['efforts', 'service'], ['impact', 'organizations', 'make', 'churches'], ['individuals', 'volunteers', 'system', 'went', 'Individuals']]"
TRAVEL Knight - EOS Risk,"Travel Knight is a professional service that requires an enterprise subscription. 

Travel Knight keeps business travelers safe, wherever and whenever traveling or living abroad, and connects corporate security teams directly with business travelers in real-time. 

Travel Knight is a personal safety and early travel warning solution that provides real-time status on warnings, alerts, security information and travel plans. It integrates two security tools: the Travel Knight app and the Travel Knight Instant Security Overview (ISO) system. 

Business travelers gain security, safety and travel status updates as well as access to local area SOS emergency response services, family or colleagues with one click on any mobile device. 

Central and local corporate security teams have a 24/7 instant security support platform to access information as well as locate, share information and interact with business travelers. 

Travel Knight means:

• Business travelers avoid safety threats, travel delays, fires, extreme weather, natural disasters, social and political conflicts, terrorism
• Gaining professional tools to plan and support safe and efficient employee travels
• Minimising losses due to unforeseen events and threats 
• Extending the degree of personal safety and care provided to employees traveling abroad
• Country specific safety advice and information always at hand in every location
Key features:
• Direct push notifications: of real-time warnings, alerts and information about safety, security and travel plans  
• Worldwide detection of local SOS emergency numbers with one click: all countries listed, police, ambulance, fire squad
• GPS location and movements: share exact position to assistance teams, company security management and colleagues 
• Maps and GIS map tools: overview of all employees and colleagues
• Auto translate functionality for all information
• Automated SMS-function: for direct and emergency communication
• Emergency button connecting directly to the companies security manager or security partner for Worldwide Emergency Assistance

Battery disclaimer:
Travel Knight relies on continued use of GPS running in the background which can dramatically decrease battery life. However due to smart throttling of the GPS the impact is reduced to a minimum.","[['battery', 'decrease'], ['travels'], ['threats'], ['platform', 'support'], ['provides', 'real-time'], ['travelers', 'business'], ['share'], ['alerts', 'warnings'], ['information', 'alerts'], ['real-time', 'warnings'], ['security', 'gain'], ['avoid', 'safety'], ['travel', 'delays'], ['security', 'safety', 'travel'], ['information', 'security'], ['security', 'manager'], ['security', 'management'], ['company', 'teams'], ['security', 'corporate'], ['services', 'family'], ['Gaining', 'professional'], ['overview', 'employees'], [], [], ['requires', 'enterprise']]","[['life', 'dramatically'], ['employee', 'efficient', 'losses', 'Minimising'], ['unforeseen', 'Extending', 'events', 'degree'], ['access', 'security', 'platform', 'access', 'information'], ['status', 'solution', 'travel', 'warning', 'solution'], ['interact', 'keeps', 'information', 'interact', 'business'], ['position', 'exact', 'location', 'movements'], ['security', 'real-time', 'warnings', 'alerts', 'information'], ['security', 'safety'], ['status', 'notifications'], ['travelers', 'safety'], ['travelers', 'threats'], ['fires', 'threats'], ['safety', 'early', 'travel'], ['travel', 'safety'], ['companies', 'manager', 'security', 'partner'], ['colleagues', 'company'], ['security', 'assistance', 'position', 'assistance', 'teams'], ['connects', 'teams'], ['colleagues', 'response', 'emergency', 'response', 'services'], ['terrorism', 'tools'], ['colleagues', 'tools', 'care', 'provided', 'employees'], ['police', 'countries', 'However', 'due', 'listed', 'smart'], ['relies', 'use', 'mobile', 'device', 'continued', 'click'], ['service', 'subscription', 'impact', 'reduced', 'minimum']]"
Australian Disaster & Emergency Kit,"Australia is a vast country with a wonderful climate and lifestyle.

However, natural hazards such as bushfire, storm, cyclone and flood are an inevitable part of the australian landscape.

Natural hazards can be swift and unpredictable often impacting the community with devastating consequences.

Having an emergency kit is an important step to prepare and protect your household for unforeseen events.

An emergency kit is essential for short term survival providing vital items for you, your family or household.

FEATURES :

*Instant access to your iPhone's built in light
*Send your location to a friend (SMS or Email)
*Play loud alarm to help people find you
*Call 000 with the tap of a button
*Update Twitter with one tap
*Update Facebook and attach your location","[['people'], ['cyclone', 'storm'], ['community'], ['Having', 'emergency'], ['providing', 'vital'], ['household'], []]","[['alarm', 'Call', 'help', 'find', 'part', 'australian', 'landscape'], ['flood', 'bushfire', 'hazards', 'bushfire', 'storm'], ['impacting', 'often', 'consequences', 'devastating'], ['consequences', 'kit', 'kit', 'important', 'step'], ['items', 'survival'], ['unforeseen', 'items', 'events', 'family', 'prepare', 'protect', 'household'], ['climate', 'tap', 'country', 'button', '000', 'wonderful']]"
