DIGICHEM Plus,"The DIGICHEM Plus+ app allows users of www.digichemplus.com to access various information available online, including alarm notifications.","[['alarm', 'including'], ['information']]","[['notifications', 'online', 'app', 'allows', 'users'], ['access', 'available', 'various', 'online']]"
Talking Tom Jetski 2,"Get ready to race jetskis with Talking Tom and Friends! Explore the tropical islands as you race your rivals. Dodge obstacles and collect all the coins! Go super fast on your very own jetski and build the perfect beach house. What are you waiting for? Let's go! RACING IS FUN!

***ENJOY THE RUSH OF TALKING TOM JETSKI 2***

- CHOOSE FROM FIVE FREE RIDERS: Talking Tom, Talking Angela, Talking Hank, Talking Ben and Talking Ginger. The whole gang’s here and ready to race!
- COLLECT 25 UNIQUE JETSKIS: Ranging from the fast ‘n’ fierce Tiger Rider to the fabulously pink Sparkle, the unicorn jetski! Choose your very own and be the best rider!
- BOOSTER UPGRADES: Customize your jetski with special parts to compete against opponents who’ll do anything to win.
- RACE IN FIVE DIFFERENT WORLDS: See the spectacular sights by racing in Angela’s Beach Resort, Ben’s Science Lab, Ginger’s Sandcastle, Hank’s Surf Shack, and Tom’s Treasure Island.
- WIN CHESTS: Every victory earns you a chest packed with mystery items. Will you get the prize you want?
- BUILD YOUR OWN BEACH RESORT: Spend your race money on building a unique luxury beach house for each character.
- ANYONE CAN PLAY: The simple control system lets players of all skill levels enjoy the thrill of being a jetski racer.

Talking Tom Jetski 2 is a brand new free game. It’s the sequel to the smash hit racing game, Talking Tom Jetski!

This game gives you more of the jetski action you love, but with better graphics, upgradable jetskis, and exciting rewards to win with every victory. So download it for FREE now!

JUMP ON YOUR JETSKI AND LET’S RACE!

This app contains:
- Promotion of Outfit7's products and third-party advertising
- Links that direct users to other apps and Outfit7's websites
- Personalization of content to entice users to play the app again
- The option to make in-app purchases
- Items are available for different prices in virtual currency, depending on the current level reached by the player
- Alternative options to access all functionalities of the app without making any in-app purchase using real money (level progress, games, in-game functionalities, ads)

Terms of use: http://outfit7.com/eula/
Privacy policy: http://outfit7.com/privacy-policy/
Customer Support: support@outfit7.com","[[], [], ['players', 'skill'], ['victory'], ['content', 'entice'], ['hit', 'racing'], ['action'], ['jetski'], ['graphics'], ['progress', 'level'], ['current', 'depending'], ['use', 'Privacy'], ['access', 'options'], ['ads', 'functionalities'], ['real', 'using'], ['building', 'unique'], ['house', 'beach'], [], ['The']]","[['third-party', 'parts', 'products', 'advertising', 'compete', 'opponents'], ['mystery', 'items', 'rivals', 'race', 'islands', 'packed'], ['lets', 'levels', 'system', 'lets', 'players'], ['every', 'chest', 'earns', 'win'], ['users', 'Personalization', 'Links', 'direct', 'users'], ['smash', 'game', ""'s"", 'sequel', 'smash'], ['better', 'jetski', 'love', 'gives'], ['game', 'parts', 'special', 'gives'], ['better', 'upgradable', 'love', 'jetskis', 'jetskis', 'exciting', 'rewards'], ['money', 'games', 'level', 'reached', 'player'], ['currency', 'level', 'prices', 'virtual', 'currency'], ['policy', 'Terms'], ['Alternative', 'functionalities'], ['in-game', 'Terms', 'games', 'in-game', 'functionalities'], ['purchase', 'money', 'making', 'in-app', 'purchase'], ['money', 'luxury'], ['character', 'luxury', 'build', 'perfect', 'beach'], ['obstacles', 'option', 'in-app', 'make', 'coins', 'collect'], ['control', 'simple', 'whole', 'gang']]"
Stone Skimming,"Throw stones and make them skip as far as you can!

Drag your finger Left and Right to avoid obstacles!

Stone Skimming, is the best and 
most fun stone skipping challenge,
where you make money each time
you throw!

How to play? Easy:
Tap to throw, then drag your
finger left and right to 
avoid obstacles!

Upgrade your skills and skip stones
at incredible distances!

Make the perfect throw, and find
out what's further ahead with the
power bonus!

Earn money while you're idle offline,
and come back for more upgrades.

Reach the goals and unlock new
stones and crazy items for free!

Compete with your friends and
be on top of the leaderboard!

Get it now free and have FUN!","[['challenge'], ['money'], ['new', 'unlock'], ['stones', 'skip'], ['right', 'left'], ['perfect', 'Make']]","[['skipping', 'stone', 'make', 'money'], ['idle', ""'re"", 'make', 'time'], ['stones', 'goals'], ['skills', 'make', 'stones', 'crazy', 'items'], ['avoid', 'finger', 'right', 'avoid', 'obstacles'], ['distances', 'throw', 'stones', 'incredible', 'distances']]"
New Mexico Water Service,"This app lets customers of New Mexico Water Service Company manage their water use, securely pay their water bill and more.

Use your iPhone to: 

- View and pay your current water bill

- Compare your water use to that of similar homes

- View scheduled payments and your transaction history

- Set up Paperless Billing, Auto Pay, and more.","[['transaction', 'payments'], ['water'], []]","[['scheduled', 'history'], ['current', 'pay', 'use', 'manage'], ['homes', 'use', 'app', 'customers', 'lets', 'similar']]"
Talking Tom Camp,"Join the BEST WATER FIGHT of your life! Pack your water balloons. Grab your water guns. Get ready for the mission and get your opponents soaking wet! Plan a sneaky attack and collect the other team’s Coins and Energy. Use them to BUILD AN UNBEATABLE CAMP! And upgrade your Camp as fast as you can to get cool water weapons before your enemies! 

Play this brand new, cool water fighting battle builder game – it’s amazing fun!

HOW TO BE THE BEST

BUILD YOUR CAMP
Construct an unbeatable Camp. Be quick and set it up before the other teams see you. Set up your Troop Shop, Hero Hall, Tower, Coin Factory, Energy Generator, and more. Level up your Minivan and the buildings in your Camp to get the best weapons and the most Energy to beat the other teams.

DEFEND & PLAN ATTACKS
Set up defenses like the Sprinkler, Tower, Puddle, Catapult, Cannon, and more. Protect your Troops, your Camp, and your Gold while you plan a unique water fight strategy! Build up your Troops and lead them to glory! Make the invaders run away!

WIN THE WATER FIGHT!
Grab your Water Gun, Slingshooter, Wingsuits, and other weapons. Use the right tactics and head straight into the action! Test your skills and train yourself to perfection in the SINGLE PLAYER Campaign episodes. Attack your enemies and fight in the mega MULTIPLAYER online battles. Progress through the levels and join your Troops with those of other players. That way you can play in even bigger battles! These serious fights are serious fun! 

COLLECT GOLD & ENERGY
Win the most exciting water battle of the summer and level up! Collect Gold and Energy from other online players and use them to upgrade your Camp. Get your opponents' resources before they get yours or… Sneak behind enemy lines and steal them!


Hurry up! Join kids and adults all over the world and WIN THE WATER FIGHT in this amazing battle builder game with incredible design!

Talking Tom Camp is a free game with the option to purchase items to help you progress through the levels faster. 

This app contains:
- Promotion of Outfit7's products and third party advertising
- Links that direct users to other apps and Outfit7's websites
- Personalization of content to entice users to play the app again
- The possibility to use and connect with friends via social networks and to use in-app chat
- The option to make in-app purchases
- Items are available for different prices in virtual currency, depending on the current level reached by the player
- Alternative options to access all functionalities of the app without making any in-app purchase using real money (level progress, games, in-game functionalities, ads)

Terms of use: http://outfit7.com/eula/ 
Privacy policy: http://outfit7.com/privacy-policy/
Customer Support: support@outfit7.com","[[], [], [], [], ['serious', 'fights'], ['head', 'straight'], ['content', 'entice'], ['use', 'Privacy'], ['access', 'options'], ['ads', 'functionalities'], ['mission'], ['soaking', 'wet'], ['attack'], ['battle', 'summer'], ['battle', 'fighting'], ['battle', 'builder'], ['water', 'cool'], ['weapons'], ['fight'], ['current', 'depending'], ['progress', 'help'], ['progress', 'level'], ['real', 'using'], ['purchase', 'option']]","[['use', 'kids', 'adults', 'players', 'upgrade', 'world'], ['purchases', 'skills', 'in-app', 'make', 'train', 'perfection'], ['use', 'third', 'in-app', 'products', 'party', 'networks'], ['use', 'set', 'teams', 'connect', 'quick', 'friends'], ['fun', 'These'], ['action', 'tactics'], ['users', 'Personalization', 'Links', 'direct', 'users'], ['policy', 'Terms'], ['Alternative', 'functionalities'], ['in-game', 'Terms', 'games', 'in-game', 'functionalities'], ['ready', 'opponents', 'get', 'Get', 'guns', 'Get', 'ready'], ['Plan', 'opponents'], ['collect', 'sneaky', 'Plan', 'team', 'plan', 'unique', 'water'], ['water', 'level'], ['water', 'builder'], ['amazing', 'game'], ['weapons', 'get'], ['water', 'enemies', 'best', 'get'], ['water', 'enemies', 'mega', 'strategy'], ['currency', 'level', 'prices', 'virtual', 'currency'], ['items', 'levels'], ['money', 'games'], ['purchase', 'money'], ['items', 'game', 'option', 'make', 'in-app']]"
Water Slide Sim Games 2018,"Welcome to the water slide games or water amusement park games with mega ramp water slider tracks. In this mega ramp water slider 2018 join water slider racing on the vertical mega ramp and join your friends in water slider adventure 3D in water slider game.  Mark full stop on the other rest of roller coaster rides, amusement park of impossible tracks and water slider rush and join fantasy fun land adventure games of water slide on mega ramp tracks. Mega ramp water slider 2018 or water amusement rush is the best waterslide 3D simulator game. Experience all the thrills & entertainment of 3D aqua water adventure in the water park and feel the real water slider downhill adventure on your mobile without leaving the comfort of your home. Water Park racing game, Water slider adventure is the best 3D water slide simulator game where you can enjoy dozens of loops, incredible speeds and exhilarating drops whether you're on a water boat, or your bare skin on mega ramp water slide games. 

Prepare yourself for a Mega Ramp Water Slide Games or water splashing season of water par racing games.  Add some real water slider fun with mega ramp slider track games and enter to the new word of water slider adventure. Experience a lot of fun and feel a crazy water slide entertainment urge in this water slide pool games or best water sliding adventure game. Have slide in Water Park or water slide extreme adventure stunt as long as you can perform crazy water stunts on beautiful 3d water slides and run through your way in sliding paths of this amazing water slide games. Experience endless fun of sliding racing adventure and do impossible water stunts in the water park. Feel the rush of sliding in your blood as your race is started, with fun and high scores. 

Just play best water park games or water slider downhill adventure to have the amazing time in the water park. Get on the water park slide on the simulated water to experience the unseen fun as water slide ride 3d is full of fun and happiness all you want. The free water park slide 2018 or impossible water slide or mega ramp water slider is among free water fun games where you witness real water slide race all at one place. The water park game is packed with free sliding fun, which has all the flavors of best simulation games. Don’t miss the chance of becoming the water park stuntman by winning this water slide ride in pool. 


Features:
-	Super water sliding adventure environment
-	Extreme water slide racing stunt adventures
-	Challenging and amazing mega ramp track slides
-	Best water slider downhill adventure
-	High quality graphics with super sound effects

Download Fun For Free!","[['coaster', 'roller'], ['water', 'boat'], ['water', 'becoming'], ['best', 'simulation'], ['new', 'enter'], ['water', 'simulated'], ['water', 'entertainment'], ['racing', 'vertical'], ['stunt', 'racing'], ['water', 'season', 'splashing'], ['par'], ['feel', 'real'], ['feel', 'crazy'], ['water', 'stunts'], ['water', 'winning'], ['free'], ['water', 'slider', 'tracks'], ['friends', 'join'], ['fantasy', 'join'], ['slider', 'rush'], ['track', 'slider'], ['ramp', 'mega'], ['park', 'amusement'], ['water', 'slide', 'games'], ['water', 'park', 'games'], ['slide', 'pool'], ['slide', 'ride'], ['time'], ['land', 'adventure'], ['water', 'fun'], ['slider', 'downhill'], ['sliding', 'adventure'], ['water', 'adventure'], [], ['water', 'game'], ['slide', 'simulator'], ['paths'], ['sliding', 'blood'], [], ['speeds'], ['sound', 'super']]","[['rides', 'rest', 'stop', 'rest', 'roller'], [""'re"", 'bare'], ['chance', 'park', ""n't"", 'miss', 'chance'], ['flavors', 'games'], ['word', 'games', 'word', 'water', 'slider'], ['slide', 'experience'], ['urge', 'slide'], ['slider', 'mega'], ['slide', 'adventures'], [], ['water', 'season', 'racing', 'games'], ['water', 'park'], ['water', 'fun'], ['park', 'crazy', 'water', 'stunts'], ['stuntman', 'slide', 'water', 'park', 'stuntman'], ['water', 'fun', 'The', 'sliding', 'game', 'packed', 'free'], ['park', 'impossible', 'tracks'], ['water', 'ramp', 'friends', 'water', 'slider'], ['fun', 'rush'], ['water', 'join', 'join', 'water', 'slider'], ['ramp', 'games'], ['water', 'slide', 'fun', 'mega', 'ramp'], ['water', 'games', 'games', 'water', 'amusement'], ['water', 'slide', 'games'], ['water', 'park', 'slide'], ['water', 'games'], ['water', 'pool'], ['water', 'amazing', 'park', 'adventure'], ['fun', 'games', 'fantasy', 'fun', 'land'], ['slider', 'games', 'sliding', 'fun', 'flavors'], ['water', 'adventure', 'downhill', 'adventure', 'mobile'], ['water', 'game', 'sliding', 'adventure', 'environment'], ['slider', 'adventure', 'games', 'water'], ['full', 'aqua', 'water', 'fun', '3D', '3d'], ['slider', 'park'], ['water', 'game', '3D', 'simulator', 'game'], ['water', 'amazing', 'sliding', 'way'], ['rush', 'race', 'water', 'slide', 'race'], ['run', 'comfort', 'leaving', 'slides', 'way', 'home'], ['loops', 'exhilarating', 'drops', 'incredible'], ['effects', 'graphics', 'High', 'quality', 'graphics']]"
Truth or Dare Dirty.Houseparty,"Truth or Dare is a Dirty party game for 18+ adults players. Truth and Dare app is now multiplayer & free party game for teens to enjoy specially in Friday / Saturday night.

Spin the Bottle Feature:
Shake and stop the phone to randomly point a player. So teens get ready to have the fun with this Truth or Dare + Free party game in a houseparty.

Other Features:
• Spin the bottle and truth or dare dirty - 2 in 1 game to play in houseparty for teens!
• Latest Truth and Dare questions.
• Spin the bottle online for kids, teens & 18+ adults.
• Just get flash cards or use Truth and Dare app dirty online.
• 8 languages available 
• Multiplayer teen game: Join upto 30 players for the dirty game!
• Shake and Stop feature like Spin the Bottle, to easily point players.
• 8 levels of Truth or Dare: Easy, Hard, Crazy, Dirty, Soft, Sexy, Sloppy & Extreme.
• 700+ unique Truth and lie detector challenges in every level!
• New Custom level to add new Truth or Dare cards.
• Suitable for all Age-groups (Special category for kids & couples)
• Truth or Dare games real dares for girls and boys.
• Truth or Dare game for girls too!

Easy to Use?? Yes – here’s how:
• Open Truth and Dare game app and choose a language.
• Select a level of party game from the ‘8’ levels. Or open the custom level to add new Truth and Dare cards. 
• Here you can use the game to just display the cards of Truth or dare or can play the complete game by assigning upto 30 boys & girls internally.
• Join all the boys & girls.
• Shake the phone to randomly stop to a player. And then provide a Truth or Dare to that player.
• Each Game level provides more than 700+ of Truth and Dare questions as per the category.
• Enjoy the game.

Here in the game you can play the following 8 levels: 

• Easy: Truth and Dare for kids.
• Hard: Tough level for teens
• Crazy: Truth or Dare app funny challenges for the teen to enjoy and make the atmosphere crazy. 
• Dirty: 18+ Adults get filthy. We have truth and dare for adult cards available in this level.
• Soft: Some easy challenges for kids.
• Sexy: Turn the atmosphere hot with some seductive dares of this level
• Sloppy: Bring the x-factor out with the casual truth and dare of this level
• Extreme: Reach the limits of sensuous nature by playing the extreme level. 

Enjoy the WILD and CRAZY Night Party!

About Subscription Plans:
• Auto-renewal (weekly $9.99) begins after 3 days FREE TRIAL. (New Truth or Dare questions update monthly.)

• Payment will be charged to iTunes Account at confirmation of purchase
• Subscription automatically renews unless auto-renew is turned off at least 24-hours before the end of the current period. You can turn of the auto-renew subscription from iPhone setting
• Account will be charged for renewal within 24-hours prior to the end of the current period, and identify the cost of the renewal
• Subscriptions may be managed by the user and auto-renewal may be turned off by going to the user's Account Settings after purchase
• Any unused portion of a free trial period, if offered, will be forfeited when the user purchases a subscription to that publication, where applicable Truth or Dare adds the great features above and are available through an auto-renewing subscription. Subscriptions will be charged to your credit card through your iTunes account. Your subscription will automatically renew unless cancelled at least 24 hours before the end of your current subscription, and you can cancel a subscription during the active period. You can manage your subscription at any time, either by viewing your account in iTunes from your Mac or PC, or Account Settings on your device after purchase.

• Privacy Policy: https://102031pei.wordpress.com/privacy/
• Terms of use: https://102031pei.wordpress.com/terms-of-use/
• Contact us at: https://102031pei.wordpress.com/contact/","[['credit', 'card'], ['playing', 'extreme'], ['dares'], ['game', 'play'], ['party', 'game'], ['game', 'display'], ['adult', 'dare'], ['truth', 'dare'], ['cards'], ['challenges', 'easy'], ['kids'], ['user'], ['cost', 'identify'], ['current', 'end'], ['subscription'], [], [], []]","[['iTunes', 'charged', 'viewing', 'account', 'iTunes'], ['nature', 'level', 'limits', 'sensuous', 'nature'], ['boys', 'Sloppy', 'girls', 'level', 'games', 'real', 'dares'], ['houseparty', 'complete'], ['houseparty', 'level'], ['cards', 'use', 'Here', 'use', 'game'], ['cards', 'truth'], ['bottle', 'level'], ['available', 'flash', 'get', 'level'], ['kids', 'Some', 'challenges', 'every', 'level'], ['category', 'couples', 'bottle', 'online'], ['purchases', 'forfeited', 'managed', 'auto-renewal'], ['period', 'renewal'], ['hours', 'period'], ['cancel', 'turn', 'auto-renew', 'end', 'current', 'subscription'], ['great', 'adds', 'features', 'stop', 'randomly', 'player'], ['atmosphere', 'hot', 'free', 'trial', 'portion', 'seductive'], ['get', 'monthly', 'update', 'ready', 'questions', 'fun']]"
WaterExpo 2018,"WaterExpo 2018 is the Exhibition and Conference app. By using this app the user can get all the Exhibitors,Sponcers,Speakers and Delegate details. The user also can add a feed and post into the wall. By using this app the users can also chat with the delegates directly in the app.","[['feed'], []]","[['wall', 'also', 'add', 'post', 'user', 'get', 'Exhibitors'], ['users', 'app', 'delegates', 'also', 'chat', 'using']]"
Water Drop Photo Frame,"This amazing “water Drop Photo Frame” is here to help you turn your everyday images into fantastic water photos with great image effects.

Most romantic picture frames with water drops in all colors and shapes.

Water Drop Photo Frame through you give your screen to totally natural look.

Water Drop Photo Frame is user interface and user use to very graceful. This photo to set as wallpaper provides high quality of your screen.

These fantasy photo backgrounds are perfect to frame your memories and make them unforgettable.

Water Drop Photo Frame Features :
- Lots of Variety of Water Drop Photo Frame with some amazing designs.
- Choose from 25+ best Water Drop Photo frames with beautiful backgrounds.
- Select photos from Gallery album. Select Best Water Drop Photo Frame that suitable your photos.
- Single tap to Adjust Photos, pic size, rotate, zoom etc.
- Add a text to your photo, and decorate the New Water Drop Photo Frame with some amazing stickers.
- Easy to delete, add, rotate, zoom in, zoom out and flip to any text and stickers.
- You can share them on any social media like Facebook, whatsapp, Instagram etc.

With this app you can share your beautiful creations and greetings in a different, beautiful and stylish way.

Send this amazing Water Drop Photo Frame by writing name with photo of your friends, family, relatives & lover.","[[], ['great', 'image'], ['use', 'user'], ['text', 'flip'], ['rotate', 'size'], ['zoom'], ['fantasy', 'photo'], ['photo', 'name'], ['frames', 'picture'], ['beautiful', 'creations'], ['turn', 'everyday'], ['colors', 'drops']]","[['memories', 'make', 'high', 'provides', 'quality', 'unforgettable'], ['photos', 'effects'], ['interface', 'graceful'], ['stickers', 'zoom'], ['pic', 'zoom'], ['rotate', 'flip', 'add', 'rotate', 'zoom'], ['These', 'backgrounds'], ['friends', 'writing', 'photo', 'friends', 'family'], ['water', 'romantic', 'frames', 'beautiful', 'backgrounds'], ['share', 'greetings', 'share', 'social', 'media'], ['images', 'help', 'images', 'fantastic', 'water'], ['shapes', 'water', 'This', 'amazing', 'water']]"
Stuntman Run Simulator 3D 2018,"You have played many Stunt games, water games but this is very different from other water stunt simulation games. This stunt super master game is one of the best water stunt games. This is the ultimate stunt running game in the mountains, water area and in amazon jungle. Get an amazing thrill and excitement with this amazing adventure stunt simulator game. This crazy runner man 2017 is about water stunts, water challenge free game. This stuntman waterpark stunt hero game is different from the other boring type of water stunt, obstacle course training games. This stunt new simulator 2017 mode gives you a chance to play something else then the other regular water stunt 3d games. Complete all the missions and become a new water stuntman. This new simulator game is one of the best grand stunt games of 2017.
Get into water challenge free in this water stuntman game with extreme water slide stunts man run, when different obstacles are in the way. Enjoy the best realistic stunts and clear the levels. In this obstacle course hard running game you have three different modes which you have to play. You will face many hurdles like moving balls, rotating rings and moving platform which make this stuntman or stunt girl water run game more entertaining and exciting. Your task is to reach on finish point by avoiding all these hurdles and by performing stunts. Accuracy is much important to play stunt man games on water pool because your little mistake may cause damage you or you will fail the mission of your stunt mania.  Extreme obstacle course stuntman game, the most accurate stuntman simulator game among water run games 3d of 2018. This water park 3d game is all about strange courses in each mission. 
Get ready for new stuntman game with best graphics and amazing gameplay. Play as a stunt Master in an obstacle course made for water run stunt lovers and water run adventure lovers. This water run is a stunt water run game full of theme water park action and adventure run 3d. Can you perform maximum stunts without getting knocked out? There are different challenging hurdles stand out in your way; avoid these hurdles over pool of water, dodge spinning balls, jump over hurdles tackle moving platforms slide under huge moving water balls, and much more! Run as fast as you can to complete the mission under minimum time.
In this Stunt man water run game 2017 there are many challenging missions with three different and unique modes. Early missions are slow and easy but when you move up you will feel the real thrill and difficulty. Balance yourself carefully on moving balancing platforms and be aware of boxing punches otherwise you will be smashed badly. Select Stunt man of your choice and complete all water park stunt levels and prove yourself as sports and stunt champion.

Features: 
- Three Different modes to play (Water, Jungle and PRO)
- More than 25 Challenging Missions.
- Different Characters to choose
- Smooth controls
- Amazing colorful 3D environment and graphics
- Amazing water run and stunt animation
- Original 3D visual and ultimate sound effects
- Responsive, excellent and Realistic Game play.
- Free to play","[['chance', 'play'], ['mission'], ['amazon', 'area'], ['ultimate'], ['hurdles'], ['modes'], ['challenging'], ['missions'], ['water', 'moving'], ['jump', 'balls'], ['graphics'], ['prove', 'sports'], ['boring', 'type'], ['water', 'challenge', 'free'], ['stunt', 'obstacle'], ['course', 'training'], ['water', 'mountains'], ['running', 'game'], ['new', 'simulator'], ['stunt', 'hero'], ['platform'], ['stuntman', 'game'], ['theme'], ['action', 'park'], ['stunt', 'park'], ['water'], ['stunts', 'slide'], ['stunt', 'lovers'], ['water', 'stunt', 'run'], ['water', 'pool'], ['stunt', 'simulation'], ['water', 'games'], ['stunt', 'games'], [], ['finish', 'reach']]","[['something', 'gives', 'play', 'stunt', 'man'], ['stunt', 'mania', 'minimum', 'time', 'damage', 'fail', 'mission'], ['water', 'jungle'], ['sound', 'This', 'effects', 'stunt'], ['avoiding', 'face', 'many', 'point', 'way', 'avoid', 'hurdles'], ['Early', 'different', 'three', 'missions'], ['many', 'hurdles', 'different', 'missions'], ['new', 'games', 'Complete', 'become'], ['huge', 'balls', 'carefully', 'moving', 'balancing'], ['spinning', 'hurdles', 'dodge', 'spinning', 'balls'], ['amazing', 'gameplay', 'game', 'best', 'excitement', 'amazing', 'adventure'], ['stunt', 'levels', 'sports', 'stunt', 'champion'], ['water', 'different', 'type', 'water', 'stunt'], ['challenge', 'free', 'game'], ['water', 'course'], ['obstacle', 'games', 'course', 'made', 'water'], ['game', 'area'], ['mountains', 'stunt'], ['This', 'stunt', 'stunt', 'simulator', 'game'], ['waterpark', 'game'], ['stuntman', 'rings', 'make', 'moving'], ['water', 'course', 'make', 'stuntman', 'stunt'], ['water', 'game', 'full', 'park'], ['water', 'adventure'], ['water', 'levels'], ['new', 'one', 'best', 'become', 'water', 'stunts', 'water'], ['water', 'man', 'stunts', 'clear', 'levels'], ['water', 'run', 'run', 'adventure', 'lovers'], ['man', 'run', 'different'], ['hurdles', 'games', 'pool', 'water', 'dodge'], ['water', 'games'], ['different', 'man', 'games', 'water', 'games'], ['water', 'man'], ['crazy', 'punches', 'runner', 'boxing', 'aware', 'This'], ['task', 'point', 'feel', 'real', 'thrill']]"
