affected+centre+calgary+afternoon+re-open+bring+client,
ale+drive+via+careful+close+bridge+calf,
business+back+today+biz+call+ready+woodstock,
calgary+flood+flooding+now+river+high+get,
calgary+flood+need+please+poor+emergency+red,"floods cyclones, flood flows, help, emergency Coordinating, calls emergency, emergency people, floods support, request emergency, Having emergency, emergency, carry alert, track keeping, supplies family emergency, food non, updated real-time, track keeps, case emergency, disaster response, friends family, providing real-time, shelter information, flood associated, food cleaning, safety signs, county emergency, food allergies, emergency extreme, assigned emergency, help responders, impacted floods, emergency alert, message emergency, practice emergency, information safety, designed help, including cautionary signs, feed alert, customised emergency, food allergy, shelter capacity, flood flash, family kit, help aims, app responds, please help, floods hurricanes, family people, shelter flood, track used, track app, flood tornado-related, help emergency, rescue alert, track search, call emergency, prepare family, balls time, world beer, calculate restaurant, adjusted weight, biggest beer, delivery restaurant, water delivery, mismatch order, beer connect, edited order, time bath, track weight, beer lovers, map beer, express restaurant, playtime reading time, nap time, Pulling weight, cook time, exercise weight, favourite order, group restaurant, track delivery help, included one-time, order, bitten beer, time, delivery restaurants, information fees, power defeat, information copy, information contact, customize power, city life, iPad power, town city, tripwolf travel, bars restaurants, city, mobile travel, attractions restaurants hotels, power hands, available travel, city tasks, mobile app, need active, provide information, popular travel"
flood+alberta+calgary+stampede+victim+please+donate,"tasty dishes, decorate ice, american restaurant, sweet candy, games girls, food donated, flavors candy, cream chocolate, candy, cooking casual, chef restaurant, customer restaurant, games fair, ice cream, food fair, donuts decorate, theme cooking, desired ice, cooking games, serve something, win awesome, fun experience, ready get, food online, food tasty, sweeter get, fun games, get tacos, choose get, burgers serve, fun playing, fun, fun creative, serve contextual, food maker, make ice candy, win cooking, food transporting, popsicle candy, game cooking, cookies restaurant, whipped cream, tasty cream, food organized, serve decorate, balls time, world beer, calculate restaurant, adjusted weight, delivery restaurant, water delivery, mismatch order, edited order, beer connect, time bath, track weight, beer lovers, map beer, express restaurant, playtime reading time, nap time, biggest beer, Pulling weight, cook time, exercise weight, favourite order, group restaurant, track delivery help, included one-time, order, bitten beer, time"
flood+alberta+donate+water+person+high+st,"tasty dishes, decorate ice, american restaurant, sweet candy, games girls, food donated, flavors candy, cream chocolate, candy, cooking casual, chef restaurant, customer restaurant, games fair, ice cream, food fair, donuts decorate, theme cooking, desired ice, cooking games, serve something, win awesome, fun experience, ready get, food online, food tasty, sweeter get, fun games, get tacos, choose get, burgers serve, fun playing, fun, fun creative, serve contextual, food maker, make ice candy, win cooking, food transporting, popsicle candy, game cooking, cookies restaurant, whipped cream, tasty cream, food organized, serve decorate"
flood+alberta+park+calgary+basement+toronto+warning,
flood+alberta+relief+flooding+evacuate+pic+tonight,
flood+alberta+river+vv+watch+park+boutique,
flood+calgary+donate+alberta+via+redcross+easier,"tasty dishes, decorate ice, american restaurant, sweet candy, games girls, food donated, flavors candy, cream chocolate, candy, cooking casual, chef restaurant, customer restaurant, games fair, popsicle candy, ice cream, food fair, donuts decorate, theme cooking, desired ice, cooking games, serve something, win awesome, fun experience, ready get, food online, food tasty, sweeter get, fun games, get tacos, choose get, burgers serve, fun playing, fun, fun creative, serve contextual, food maker, make ice candy, win cooking, food transporting, game cooking, cookies restaurant, whipped cream, tasty cream, food organized, serve decorate"
flood+calgary+everyone+please+city+alberta+safe,"balls time, world beer, calculate restaurant, bath time, adjusted weight, biggest beer, delivery restaurant, water delivery, mismatch order, beer connect, edited order, track weight, beer lovers, map beer, express restaurant, playtime reading time, nap time, Pulling weight, cook time, exercise weight, favourite order, group restaurant, track delivery help, included one-time, order, bitten beer, time"
flood+calgary+home+help+alberta+force+affect,
flood+calgary+relief+alberta+fund+need+canadian,
flood+calgary+victim+red+donate+cross+call,"tasty dishes, decorate ice, american restaurant, sweet candy, games girls, food donated, flavors candy, cream chocolate, candy, cooking casual, chef restaurant, customer restaurant, games fair, ice cream, food fair, donuts decorate, theme cooking, desired ice, cooking games, serve something, win awesome, fun experience, ready get, food online, food tasty, sweeter get, fun games, get tacos, choose get, burgers serve, fun playing, fun, fun creative, serve contextual, food maker, make ice candy, win cooking, food transporting, popsicle candy, game cooking, cookies restaurant, whipped cream, tasty cream, food organized, serve decorate"
flood+make+donation+local+anyone+know+evacuee,
