Name,Package Name,Description,Rating,Rating Count
Call of Mini: Beyond Infinity,com.trinitigame.callofminibeyondinfinity,"This is the sequel to Call of Mini Infinity (30 million+ downloads). The War of Infinity rages on! With the arrival of new advanced mech forces, the flames of war burn ever stronger. The mechs and their pilots are ready to fulfill their destiny as the new heroes of the saga.

Game Features:
• 11 unique mechs – specialized towards particular roles and play styles: tank for your team with a heavy mech, slice through opponents with a melee attack mech or deploy shields with a support mech
• Fluid mobility and firing – versatile controls let you aim and fire at targets while moving your legs independently
• Mech skills and refined tactics – on top of regular abilities like planting land mines, turrets and dummies, you must master the use of your Ultimate Skills for maximum effectiveness, dealing massive damage
• Simplified shooting – assisted aiming makes for smooth firing
• Multiple game modes – various modes provide unique gaming experiences
• Voice chat – communicate with your teammates to co-ordinate gameplay
• Friends teams - invite friends to join the fierce battles. Advance and retreat together to seize the win!

We will continue to add new mechs and game modes to make the game more and more awesome!

► ► ► ► ► 

http://twitter.com/TRINITIgames
http://facebook.com/TRINITIgames",,
Fortnite,com.chairentertainment.Fortnite,"The #1 Battle Royale game has come to mobile! Squad up and compete to be the last one standing in 100-player PvP. Build cover. Battle your opponents. Survive the longest. Earn your Victory. 

Requires an internet connection and iOS 11.
Works with: iPhone SE, 6S, 7, 8, X; iPad Mini 4, Air 2, 2017, Pro.
Fortnite DOES NOT support: iPhone 5S, 6, 6 Plus; iPad Air, Mini 2, Mini 3, iPod Touch 

On mobile, Fortnite is the same 100-player PvP game you know from PlayStation 4, Xbox One, PC, and Mac. Same map, same gameplay, same weekly updates. Build your fort as you battle to be the last one standing. Jump in and squad up with friends around the world or in the same room!

Powered by Unreal Engine 4.

BUILD & DESTROY -  Shape the battlefield by building your own cover. Opponent hiding behind a wall? Take out their cover to get the edge.

GEAR UP - Board the battle bus and drop in on your favorite zone. Gather resources, collect gear, and battle your opponents! Last one standing wins.

SQUAD UP WITH FRIENDS  - Team up with your friends around the world or in the same room!

EPIC UPDATES & EVENTS - Weekly updates constantly fuel the fun. New gameplay modes, serious and insane new looks for your avatar, new weapons and items….Fortnite is always expanding.

CONSOLE GAMING ON THE GO - Play the full game anytime, anywhere. Complete quests on the go, progress your Battle Pass, and more.",4.5,1709547
Pixel Gun 3D,zombiegun3d,"In Pixel Gun 3D you have a perfect chance to battle with your friends, classmates and colleagues or anyone else all around the world! You can create and customize your character using a special skins maker and then show off on the battlefield!  
  
*** MULTIPLAYER ***  
MAIN FEATURES OF THE MULTIPLAYER:  
• WORLDWIDE and LOCAL connection types.  
• More than 35 unique maps of various shapes and sizes.  
• Varied weaponry with upgrades: Sniper rifles, rocket launchers, energy weapons, magic weapons and many others. More than 100 kinds!  
• Up to 10 players in one game.  
• Chat is available! Talk with friends right in the battle. 
• Several online modes: Classic Deathmatch, Deadly Games, Team Battle, Flag Capture, Coop Survival and Point Capture.  
 
*** CAMPAIGN ***  
Pixel Man has found himself in an awful situation ... In the middle of the night tonnes of frightening zombies come to attack his farm unexpectedly! Later on, he figures out that the zombies don't just wander through his village, they are everywhere! Will he be able to survive and figure out the reason for the Zombie Apocalypse? Stay with him until the end and solve the whole mystery of the world of Pixel Gun 3D!  
 
MAIN FEATURES OF STORY MODE:  
• Completely different worlds with tonnes of different locations.   
• Many different kinds of enemies.   
• Unique types of weapons.   
• Colorful comic book plot which tells us the story behind Pixel Gun. 
 
*** SURVIVAL ARENA ***  
A separate set of conditions that allow you to check your survival skills. How far are you willing to go? How many waves of monster attacks can you overcome?  
  
SURVIVAL MODE FEATURES:  
• Endless gameplay.  
• Unexpected combinations of different kinds of monsters.  
• Awards for getting through to the next stage.  
• Get the best results you can and compare them to your friends!   
 
*** FRIENDS AND CLANS SYSTEM ***  
If you made friends with someone while chatting in the battlefield, then all you both have to do is press the [ + ] button in the game table and you will become friends! And then you can quickly find and team up with your friends for new matches, look at their accomplishments, how their characters are made up and so much more!  
Also, you can create your own CLAN made up only of the best players. Be the strongest Pixel warriors in the world.  
 
*** SKINS AND CAPES MAKER *** 
Now you can make your OWN SKIN and USE IT IN THE MULTIPLAYER GAME!  
You can also turn on a function for a custom cape. Design it yourself using whatever patterns you want!  
 
Thank you for all the comments and advice, we really appreciate it. In this version, we tried to fulfill your wishes. Wait for the coming updates with cool new features!  
 
Pixel Gun 3D is the most popular multiplayer game in many countries!  
 
Pixel Gun 3D is:  
• Millions of players all around the world;
• More than 100 kinds of weapons;  
• More than 35 maps and locations;  
• Lots of communication among players from from all around the world;   
• Great HD graphics;  
• Exciting sound effects;  
 
Join the exciting world of Pixel Gun 3D!  
—————————————————————————————————  
This is not an official Mojang app. Pixel Gun 3D & Cubic Games are not associated or connected with Mojang AB. Minecraft is a trademark of Mojang AB and it is not endorsed by or affiliated with the creator of this game or its licensers.",4.5,649562
Bullet Force: FPS Multiplayer,com.blayzegames.iosfps,"Bullet Force is a fast-paced modern action FPS. The best multiplayer First Person Shooter of 2017. This top action FPS has 4 exciting multiplayer game modes, including Free for All, Team Deathmatch, Gun Game, and Conquest (Capture flags).

Customize your loadout with skins, primary, secondary, and throwable weapons. Unlock and equip perks to give your class an extra edge. Amazing gun and player skins show off your unique style. Take out your enemies using a variety of primary weapons including snipers, sub-machine guns, and assault rifles. Switch to a handgun or butterfly knife to finish them off.  

Customize your Player name and clan tag. In game chat to cheer each other on. 7 incredible maps provide a ton a FPS variety from game to game. Yielded by many as the best First Person Shooter multiplayer experience. 

Create your own password protected lobby for friendly or clan battles, or join an existing lobby through Quick Play mode. Unique player names and custom clan tags let players know who you are and who you represent on the battlefield.",4.5,42399
Cops N Robbers (FPS): 3D Pixel,com.joydo.minestrike,"The most popular pixel style gun shooter game with pocket edition is online. Custom skins, weapons, maps, armors, block style graphics...Bring you epic FPS game experience.

Cops N Robbers (FPS): 3D Pixel is one of 3D multiplayer shooting games developed by JoyDo Entertainment. If you are fond of multiplayer games, if you wanna download free games, if you want to have extraordinary jail break experience through FPS games and battle games…That's it!

Warfare is ubiquitous! Pick up your gun to shoot and strike enemies and try best to survive! Download it and battle now! Fighting with friends all around the world now!

***Features*** 
1. Multiplayer support.
2. Sky & Environment effect setting.
3. Detail effects: bullet holes & spark effect…
4. Chat System in game: team chat or all players chat. (With words filter)
5. Weapon System (50+ weapons): AK47, M4, M87T, RPG, AWP, G36K, MP5KA5, UZI, M249, Desert Eagle, M67…with great 3D pixel models & pixel textures! You also can customize your dream weapon by yourself!
6. Skin System (40 + skins), especially a skin editor is provided... draw your customized skin in game, now you look epic.
7. Armor System: classic cops and robbers style armors, also customizing personalized armors is available. 
8. Maps (20 + system maps & endless custom maps created by players.)
9. Game Mode: Stronghold Mode & Team Mode & Death Match Mode & Peace Mode & Ghost Mode & Hide And Seek Mode.

*** SANDBOX SYSTEM ***
1. Custom weapons: You can battle with some unique guns designed by yourself.	
2. Custom maps: Customize an awesome map to play with your friends.
3. Custom Armors: Customizing your cool armors, make you more competitive in battle field!

*** SINGLEPLAYER - STORY MODE ***
1. Three difficulty setting: Easy, Normal, Hard.
2. Unlock next Difficulty choice with 4 levels.

***MULTIPLAYER - WORLDWIDE***
1. Support up to 12 players worldwide.
2. 5 regions (US, EU, AS, JP, CN)

*** DESIGN ***
1. Pixel & Block-based Scene, Character, Props, Weapons.
2. Awesome cops & funny robbers, the high quality models design.
3. Jail Break & Jungle Battle & Fighting N Shooting. Play with your friends!!!

*** MORE ***
Language localizations: English, Chinese, Japanese, Russian, French, German, Korean.
Anti-Cheating process: keep fairness.

“Weapon Master Subscription” auto-renewable subscription info:

-Cops N Robbers now comes with the weapon editor feature. It allows you to create your own weapons.

There are currently two subscription options to choose: 9.99 USD/Month - Monthly Subscription, 99.99 USD/Year - Yearly Subscription.

Any unused portion of a free trial period, if offered, will be forfeited when the user purchases a subscription.

The payment will be charged to your iTunes account at confirmation of purchase and the subscription automatically renews unless auto-renew is turned off at least 24-hours before the end of the current period. Your account will be charged for renewal within 24-hours prior to the end of the current period, at the subscription price option you have previously selected.

Your subscription can be managed by the user and auto-renewal may be turned off by going to the user's Account Settings after purchase.  No cancellation of the current subscription is allowed during active subscription period. If you cancel after your subscription has activated, you won't be refunded for the remaining active period of the subscription.

Here are links to our privacy policy and terms of use:
- Privacy policy: http://www.riovox.com/en/privacy/index.html
- Terms of use: http://www.riovox.com/en/terms/index.html
								
*** Support & Feedback ***	
Mail: support@joydogames.com
Twitter: https://twitter.com/Riovox
Facebook: https://www.facebook.com/riovoxofficial",4.5,33157
Modern Combat 5,com.gameloft.ModernCombat5,"> “It plays as good as it looks.” – IGN
> “Amps everything up to the next level.”  – 148Apps 
> “Sharp controls, impressive graphics.”  – Pocket Gamer 

Step into the action as the latest installment in the best FPS series raises the bar for shooters once more! Create a squad, add your friends and test your individual and team skills against other squads!

Is single player your thing? Then step into a world on the brink of anarchy and shoot your way out of one dire situation after another to expose a lunatic who’s trying to tear the world to shreds.

CHOOSE YOUR FAVORITE CLASS
> 9 customizable classes that you can level up across single- and multiplayer
> Find the playstyle that suits you: Assault, Heavy, Recon, Sniper, Support, Bounty Hunter, Sapper, X1-Morph or Kommander 
> Activate class-specific skills by earning and spending Skill Points

HIGH-POWERED MULTIPLAYER 
> Watch players in battle with the new Spectator mode
> Epic team clashes in Squad vs. Squad matches
> Talk to other players in Global and Squad Chat
> Individual and Squad leaderboards
> Win cool rewards in the limited-time events

CUSTOMIZATION OPTIONS APLENTY
> Equip advanced tactical suits with powerful abilities 
> Attach trinkets to your weapons for a personal touch 
> Apply camos to the advanced tactical suits and weapons to mark your presence on the battlefield 

UNIFIED PROGRESSION
> Accumulate XP and level up by playing both single-player missions and multiplayer matches
> Unlock higher-tier weapons by mastering lower-tier ones
> Customize the perfect weapon using a host of attachments

INTENSE SOLO CAMPAIGN 
> Fast-paced story missions with various challenges taking you from Tokyo to Venice
> Play the new Spec-Ops missions for a real adrenaline rush
> Flawless graphics, music and voice performances with seamlessly integrated cutscenes

HIGHLY CUSTOMIZABLE CONTROLS
> Intuitive, highly customizable controls so you can play just the way you want

*IMPORTANT* Modern Combat 5 requires an iPad 2 (or newer), iPhone 4s (or newer), or iPod touch 5th Generation. An Internet connection is required to play.
_____________________________________________

Visit our official site at http://gmlft.co/website_EN
Check out the new blog at http://gmlft.co/central

Don't forget to follow us on social media:
Facebook: http://gmlft.co/SNS_FB_EN
Twitter: http://gmlft.co/SNS_TW_EN
Instagram: http://gmlft.co/GL_SNS_IG
YouTube: http://gmlft.co/GL_SNS_YT

This app allows you to purchase virtual items within the app and may contain third party advertisements that may redirect you to a third party site.

Terms of Use: http://www.gameloft.com/en/conditions-of-use
Privacy Policy: http://www.gameloft.com/en/privacy-notice
End-User License Agreement: http://www.gameloft.com/en/eula",4.5,126405
Pixelmon shooting - online multiplayer shooter # 1,com.pms.pixelmonshooter,"In Pixelmon shooting you will fight against other players and collect pixelmons’ eggs! By opening eggs, you will be able to build up a collection of pixelmons and create unique weapons! 


Multiplayer!
You will fight against players from all over the world!
Fight for each pixelmon’s egg found on the pixelmon island!
Collect pixelmons’ eggs yourself and don’t let your enemy do it!
Defeat other players and collect trophies left after their deaths!
Use assault rifles, sniper rifles, grenade-launchers and grenades to win!
Explore every corner of the pixelmon island! Develop your own strategy of how to collect pixelmons’ eggs and defeat your enemies!


Creation of Weapons and Collecting!
Open pixelmons’ eggs in a craftdeks. You can find rare pixelmons in these eggs, build up a collection of pixelmons from them and create unique weapons, coins and other items!
To create a unique item, you need to build up a collection of pixelmons. Collect and open as many eggs as you can to get many different pixelmons and build up all kinds of collections! 


Vast Assortment of Weapons!

In the store you can purchase different weapons and armor!
Vast assortment of weapons and armor will enable you to create your own equipment for capturing pixelmons’ eggs! Equip your character better than other players to collect more pixelmons’ eggs than others!

Pixelmon shooting - online multiplayer shooter # 1 is free to download and play, but contains optional in-app purchases that cost real money.",4.5,1060
Modern Combat Versus,com.gameloft.mcvs,"Drop into fun, action-packed gameplay that defines a new era of mobile shooter games.

Choose your Agent, master your role, and dominate the battlefield with your team. From skilled attackers to supportive defenders and covert assassins, there’s an Agent for every playstyle.

FEATURES
• Deploy into 4v4 multiplayer battles featuring a set of competitive team-based game modes.

• Play as 17+ specialized Agents, each equipped with unique weapons and abilities!

• Create or join a clan to connect with players from around the world.

• Host Live Tournaments with custom lobbies, spectator mode, and in-game prizes!

• Battle across 6 distinct maps ranging from close-quarters combat to long-range warfare.

• Compete in ranked seasons, earn trophies, and get promoted to higher leagues.

• Customize your Agents with cosmetic skins featuring unique designs and weapon camos.

• Pick up and play using groundbreaking, intuitive controls.

• Experience console-quality graphics, stunning visuals, and next-gen effects.
_____________________________________________

Visit our official site at http://gmlft.co/moderncombatversus
Check out the new blog at http://gmlft.co/central

Don't forget to follow us on social media:
Facebook: http://gmlft.co/MCVSFacebook
Twitter: http://gmlft.co/MCVSTwitter
Instagram: http://gmlft.co/MCVSInstagram
YouTube: http://gmlft.co/MCVSYouTube

This app allows you to purchase virtual items within the app and may contain third-party advertisements that may redirect you to a third-party site.

Terms of Use: http://www.gameloft.com/en/conditions-of-use
Privacy Policy: http://www.gameloft.com/en/privacy-notice
End-User License Agreement: http://www.gameloft.com/en/eula",4.5,39899
World of Warships Blitz,net.wargaming.wowsblitz,"Join real-time battles on the high sea, command your naval vessel and team-up to destroy your enemies in intense and realistic gunship battles.

World of Warships Blitz is a free-to-play mobile MMO action naval battleship game by Wargaming and is based on the top award winning online PC version of World of Warships Blitz. World of Warships Blitz brings the World War 2 naval strategy and action gameplay of PC to the highly immersive, quick and fast paced action on your mobile and tablet.

If you like war ship games, join this MMO naval action game with a fleet of naval vessels. Jump straight into quick online action-packed 7vs7 epic warships battles no matter where you are and sink enemy ships! World of Warships Blitz is the ultimate fighting and war game. Battle online and offline, on the high sea or in a bay, authentic warships and gunship battles await you!

A truly free-to-play game. No timers, energy bars, fuel—play as much as you want and whenever you want.

- Master the WWII steel boat juggernauts from a variety of Battleships, Cruisers, Destroyers and even Aircraft carriers
- Choose from 90 unique classes of ships from Japan, the U.S.A., U.S.S.R or Germany and battle for ocean dominance
- Take on your enemies in real world locations of the Atlantic, Pacific and Arctic oceans in massive world battlefield areas
- Choose from different levels and missions with different battle of warships difficulty
- Switch between various types of combat weapons such as missiles, torpedos and guns
- Play single-player solo missions or team up with friends to battle the enemy. Get supplies, equipment, war upgrades and new navy ships
- Get rewards and medals for your successes as a fleet commander

A truly free-to-play action multiplayer game. No timers, energy bars, fuel—play as much as you want and whenever you want in this sea battle game.

Whether fighting against random players around the world in solo battles or team matches, or in ranked battles, campaigns or co-op battles, World of Warships Blitz gives you the ultimate realistic historical navy boat battle experience along with amazing 3D game action.

Are you ready to compete in the most realistic online battle ship game? Guide your battleship fleet to victory and glory now!",4.5,25469
Afterpulse - Elite Army,com.dle.realpunch,"An electromagnetical pulse has transformed the world and leaders are deploying elite squads. Time has come for you to enter the fray, will you restore peace or ignite the largest world armed conflict in history?

The Pulse is back, the award winning game has returned. Enjoyed by over 10 million players, this competitive multiplayer third-person shooter has been featured in the Top 25 games of the year, praised as one the best games designed for mobile platforms.  

THE SHOOTER
Afterpulse is the next generation of online mobile shooters, perfectly designed for iOS. Every detail has been especially designed to take advantage of the mobile platform, capturing the essence of the console shooter. The result is over hundreds of hours of fun and intense gameplay powered by ultra-smooth and fully customizable touchscreen controls.                                                                                                      

KEY FEATURES

Full Customization

- Over 200 fully customizable weapons to combine with limitless possibilities.
- Fully customizable soldiers: from headgear and devices to full body armor, making up to over 100 unique combination of soldiers. 
- Shape your own style: Handgun, Shotgun, Assault, SMG, LMG, Sniper, Rockets.

Competitive Multiplayer

- Enhanced online multiplayer mode with balanced matchmaking.
- Solid game modes such as free-for-all, capture the flag and 8-player Team Deathmatch.
- PVP online matches with dedicated zone server technology for optimal player experience.

Console-Quality

- AAA console-quality photorealistic third-person shooter.
- Full physically based deferred render, HDR post processing, real-time high quality shadows, realistic skeletal animations and physics.
- 7 super realistic locations with its own smart weather systems (e.g. rain and snow) and hyper realistic textures.

Game flow optimized for first-time players and returning players

- Balanced online multiplayer matchmaking with segmentation for low-level players
- Immediate access to the Multiplayer mode with no level restriction
- Possibility to include bots in lower levels.
- Rewards and exclusive items for returning players.
- Rebalancing of overpowered weapons and gears.

What players say:

“Developers often claim to have ""console quality"" graphics in their iOS games, but it was only after playing this game when I first realized that this could be achieved""

“There's no way a mobile game could look that good”

""It's super polished, has lots of special guns in it, and I am absolutely smitten with it.""


OTHERS
Internet connection is required to play
Universal App and requires iOS 10.0 or later
Compatible with iPhone 5S/6/6 Plus/7/7 Plus/8/8 Plus/ X, iPad Mini 2, 3 and 4, iPad Air and iPad Air 2, iPad Pro and iPad Pro 9,7''
Free to play, In-app purchases optional. Seek bill payer’s permission.

 © 2017 Digital Legends Entertainment S.L. All Rights Reserved.
** This game is available in English.
** There may be additional costs when trying to obtain certain items.
* Digital Legends Official Website : https://www.digital-legends.com/
* Digital Legends Customer Support : http://www.digital-legends.com/game_afterpulse_support.html
Terms of Service and Privacy Policy: http://www.digital-legends.com/tos.php",4.0,1566
