And another shooting... https://t.co/aYfTWoR7QJ,carolynklimp1
RT @CBSNews: DEVELOPING: Police say they are responding to reports of a double shooting at an elementary school in Overland Park  Kansas; n…,Empress_Jai_
Two contractors critically wounded in Kansas school shooting https://t.co/d5EliiD4Po https://t.co/dUpP7nFxGt,KGWNews
Two contractors critically wounded in Kansas school shooting https://t.co/P2xbzTjVVw https://t.co/vtzKzODz11,wusa9
RT @AalayahEastmond: And there’s still people saying this isn’t a problem. DONT WAIT UNTIL ITS YOU. DONT WAIT UNTIL YOU GET THAT CALL FROM…,jaxonomara
RT @wusa9: Two contractors critically wounded in Kansas school shooting https://t.co/P2xbzTjVVw https://t.co/vtzKzODz11,bikepetal
And then there was a shooting to distract us from shooting our mouths off on Twitter. #NoRA https://t.co/sUBVcd6poI,cinerina
Two men injured in shooting near Kansas elementary school https://t.co/hHZY71jW8I @MailOnline,RitchieJodi
RT @ABC: DEVELOPING: Two workers in critical condition after shooting at elementary school in Overland Park  Kansas  police spokesperson sa…,___taty996
RT @CBSNews: DEVELOPING: Police say they are responding to reports of a double shooting at an elementary school in Overland Park  Kansas; n…,butterfly8871
RT @wvjoe911: Co-worker allegedly shoots 2 contractors installing playground equipment at Kansas elementary school  - ABC News - https://t.…,SuzanneStahl1
RT @ABC: JUST IN: Suspect in shooting at Kansas elementary school in custody  police say; no injuries to officers or suspect. https://t.co/…,Edward_Womack
RT @ABC: MORE: Suspect in shooting at Kansas elementary school still at large  police say. Suspect was a co-worker of the two victims.  Sch…,___taty996
RT @ABC: JUST IN: Suspect in shooting at Kansas elementary school in custody  police say; no injuries to officers or suspect. https://t.co/…,___taty996
So misleading it is not ok https://t.co/Ifyl3IsXGL,kirk_karyn
RT @CBSNews: DEVELOPING: Police say they are responding to reports of a double shooting at an elementary school in Overland Park  Kansas; n…,LolailoCosta
RT @KSNTNews: SAD UPDATE: Authorities report one of the two victims injured in a shooting at an Overland Park elementary school has died. h…,KSRedCross
MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials… https://t.co/YDClgaXLdF,ABC
RT @vandanarambaran: BREAKING: Two Critically Injured In Kansas Shooting At Elementary School https://t.co/5dIj3wDWT3,attilahen89
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,ones_news
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,MalibuMom62
MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials… https://t.co/tcQUAZ2TN3,LaurenceArlidge
RT @ABC: DEVELOPING: Two workers in critical condition after shooting at elementary school in Overland Park  Kansas  police spokesperson sa…,Lawrence_KC
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,RobbyWhite81
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,JoolsNews
RT @ABC: DEVELOPING: Two workers in critical condition after shooting at elementary school in Overland Park  Kansas  police spokesperson sa…,IzayahDoubleYou
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,WMBBTV
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,Lawrence_KC
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,IzayahDoubleYou
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,d3vfr3d
(Waiting for the obligatory thoughts and prayers bullshit) https://t.co/ABMxmSWlnB,ReBourneAgain
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,Foxtrot720
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,drmsmcbride
RT @ABC: DEVELOPING: Two workers in critical condition after shooting at elementary school in Overland Park  Kansas  police spokesperson sa…,IAMCAM35
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,misims2103
I just.... I can’t think of anything new to say about shootings https://t.co/VhqbkCjcvl,caroline_moira
Two shot in elementary school in U.S. state of Kansas  students safe https://t.co/9u9JLrF3Rz #learnchinese #learnmandarin #chineselanguage,hlearnchinese
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,beethecontrolla
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,DrayBeChillin
RT @ABC: DEVELOPING: Two workers in critical condition after shooting at elementary school in Overland Park  Kansas  police spokesperson sa…,Llp132
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,NoDanaOnlyZuul_
https://t.co/zZx1KQvfaC,phaedrus618
RT @wusa9: Two contractors critically wounded in Kansas school shooting https://t.co/P2xbzTjVVw https://t.co/vtzKzODz11,TheDreEra
RT @ABC: DEVELOPING: Two workers in critical condition after shooting at elementary school in Overland Park  Kansas  police spokesperson sa…,nonnagina2301
Otra vez.... https://t.co/EZsOoOK65y,carlitosahm
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,Jules_C_78
RT @ABC: JUST IN: Suspect in shooting at Kansas elementary school in custody  police say; no injuries to officers or suspect. https://t.co/…,Llp132
Another school shooting. Thought Trump said parkland was the last. #GunControl  @realDonaldTrump https://t.co/0UNXliEHAe,emergencymedSpR
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,nonnagina2301
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,Llp132
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,zaynlove2016
The @NRA and anyone that accepts their lobbying donations (@GOP) has blood on its hands.  #EnoughIsEnough… https://t.co/B3gNW2N4s8,levit42
RT @ABC: DEVELOPING: Two workers in critical condition after shooting at elementary school in Overland Park  Kansas  police spokesperson sa…,Pikturit_
RT @ABC: JUST IN: Suspect in shooting at Kansas elementary school in custody  police say; no injuries to officers or suspect. https://t.co/…,Pikturit_
RT @ABC: JUST IN: Suspect in shooting at Kansas elementary school in custody  police say; no injuries to officers or suspect. https://t.co/…,feralislandBud
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,Pikturit_
RT @WRAL: New story: 2 contractors critically wounded in Kansas school shooting https://t.co/9bwzG5h5SY #wral,alamb
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,OdochiEwuoma
RT @OANN: #DEVELOPING : 2 Workers Shot at Kansas Elementary School  Search for Suspect Underway - https://t.co/mRPgqplxz1 #OANN https://t.c…,Kennedy3L
RT @ABC: DEVELOPING: Two workers in critical condition after shooting at elementary school in Overland Park  Kansas  police spokesperson sa…,willfulbitch
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,DerekMenges
MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials… https://t.co/bWFS4OK6jx,ABCWorldNews
RT @OANN: #BREAKING: 2 workers have been shot outside of Sunrise Elementary School in Kansas  no reports of students injured  search for su…,Kennedy3L
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,TheDreEra
